<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JELLYJELLYUSDTSWAP,60,20250531,190000,0.02568,0.02623,0.0256,0.026,777.82
JELLYJELLYUSDTSWAP,60,20250531,200000,0.02601,0.02606,0.02561,0.02561,402.45
JELLYJELLYUSDTSWAP,60,20250531,210000,0.0256,0.02674,0.02559,0.02669,941.44
JELLYJELLYUSDTSWAP,60,20250531,220000,0.02668,0.02684,0.02644,0.02671,1242.35
JELLYJELLYUSDTSWAP,60,20250531,230000,0.0267,0.02738,0.02664,0.02708,1918.02
JELLYJELLYUSDTSWAP,60,20250601,000000,0.02708,0.02735,0.02667,0.0269,1162.98
JELLYJELLYUSDTSWAP,60,20250601,010000,0.02692,0.02697,0.02672,0.02684,364.69
JELLYJELLYUSDTSWAP,60,20250601,020000,0.02681,0.02701,0.02667,0.02683,396.9
JELLYJELLYUSDTSWAP,60,20250601,030000,0.02682,0.02683,0.02634,0.02648,606.16
JELLYJELLYUSDTSWAP,60,20250601,040000,0.02648,0.02663,0.02633,0.02645,233.37
JELLYJELLYUSDTSWAP,60,20250601,050000,0.02644,0.02664,0.02609,0.02646,590.19
JELLYJELLYUSDTSWAP,60,20250601,060000,0.02647,0.02649,0.02628,0.0263,189.55
JELLYJELLYUSDTSWAP,60,20250601,070000,0.02631,0.02639,0.02609,0.02618,645.62
JELLYJELLYUSDTSWAP,60,20250601,080000,0.02619,0.02633,0.02612,0.0262,174.79
JELLYJELLYUSDTSWAP,60,20250601,090000,0.0262,0.02628,0.02598,0.02607,430.68
JELLYJELLYUSDTSWAP,60,20250601,100000,0.02607,0.02607,0.02583,0.02602,285.31
JELLYJELLYUSDTSWAP,60,20250601,110000,0.02602,0.02605,0.02567,0.02573,349.97
JELLYJELLYUSDTSWAP,60,20250601,120000,0.02575,0.0258,0.02383,0.02426,7739.34
JELLYJELLYUSDTSWAP,60,20250601,130000,0.02427,0.02498,0.02422,0.02469,2349.36
JELLYJELLYUSDTSWAP,60,20250601,140000,0.02469,0.02469,0.02417,0.02462,1941.57
