<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JELLYJELLYUSDTSWAP,3,20250604,172700,0.02546,0.02553,0.02544,0.02547,97.44
JELLYJELLYUSDTSWAP,3,20250604,173000,0.02548,0.02549,0.02543,0.02545,31.8
JELLYJELLYUSDTSWAP,3,20250604,173300,0.02546,0.02561,0.02546,0.02554,144.92
JELLYJELLYUSDTSWAP,3,20250604,173600,0.02551,0.02552,0.0254,0.02542,39.74
JELLYJELLYUSDTSWAP,3,20250604,173900,0.02542,0.02553,0.02542,0.02552,74.73
JELLYJELLYUSDTSWAP,3,20250604,174200,0.02553,0.02553,0.02546,0.02551,14.27
JELLYJELLYUSDTSWAP,3,20250604,174500,0.02553,0.02563,0.02548,0.02559,67.73
JELLYJELLYUSDTSWAP,3,20250604,174800,0.02561,0.02566,0.0256,0.02562,28.3
JELLYJELLYUSDTSWAP,3,20250604,175100,0.02561,0.02564,0.02559,0.02564,16.08
JELLYJELLYUSDTSWAP,3,20250604,175400,0.02565,0.02571,0.02564,0.0257,49.91
JELLYJELLYUSDTSWAP,3,20250604,175700,0.02571,0.0258,0.02568,0.02579,51.52
JELLYJELLYUSDTSWAP,3,20250604,180000,0.02578,0.0258,0.02568,0.02568,36.92
JELLYJELLYUSDTSWAP,3,20250604,180300,0.02569,0.02571,0.02564,0.02568,40.72
JELLYJELLYUSDTSWAP,3,20250604,180600,0.02567,0.0258,0.02567,0.02574,60.68
JELLYJELLYUSDTSWAP,3,20250604,180900,0.02572,0.02575,0.02572,0.02575,30.58
JELLYJELLYUSDTSWAP,3,20250604,181200,0.02573,0.02577,0.0257,0.02571,51.13
JELLYJELLYUSDTSWAP,3,20250604,181500,0.02571,0.02587,0.02571,0.02586,76.1
JELLYJELLYUSDTSWAP,3,20250604,181800,0.02586,0.02592,0.02584,0.02584,88.49
JELLYJELLYUSDTSWAP,3,20250604,182100,0.02583,0.02595,0.0258,0.02594,63.65
JELLYJELLYUSDTSWAP,3,20250604,182400,0.02591,0.02593,0.02586,0.02589,38.32
JELLYJELLYUSDTSWAP,3,20250604,182700,0.02589,0.02594,0.02585,0.02585,7.2
JELLYJELLYUSDTSWAP,3,20250604,183000,0.02585,0.02597,0.02581,0.02597,48.55
JELLYJELLYUSDTSWAP,3,20250604,183300,0.02597,0.026,0.02595,0.02596,24.07
JELLYJELLYUSDTSWAP,3,20250604,183600,0.02597,0.02606,0.02595,0.02606,63.16
JELLYJELLYUSDTSWAP,3,20250604,183900,0.02606,0.0261,0.02604,0.02605,36.59
JELLYJELLYUSDTSWAP,3,20250604,184200,0.02607,0.02609,0.02605,0.02606,16.5
JELLYJELLYUSDTSWAP,3,20250604,184500,0.02607,0.0261,0.02595,0.02599,208.33
JELLYJELLYUSDTSWAP,3,20250604,184800,0.02597,0.02597,0.02588,0.02591,20.88
JELLYJELLYUSDTSWAP,3,20250604,185100,0.02591,0.02597,0.02591,0.02596,1.71
JELLYJELLYUSDTSWAP,3,20250604,185400,0.02595,0.026,0.02595,0.026,6.59
JELLYJELLYUSDTSWAP,3,20250604,185700,0.02598,0.02598,0.02594,0.02595,22.24
JELLYJELLYUSDTSWAP,3,20250604,190000,0.02595,0.02602,0.02588,0.02588,94.64
JELLYJELLYUSDTSWAP,3,20250604,190300,0.02589,0.02592,0.02588,0.0259,4.01
JELLYJELLYUSDTSWAP,3,20250604,190600,0.02589,0.02592,0.02588,0.02588,23.66
JELLYJELLYUSDTSWAP,3,20250604,190900,0.02589,0.02598,0.02589,0.02596,31.97
JELLYJELLYUSDTSWAP,3,20250604,191200,0.02595,0.026,0.02594,0.026,4.05
JELLYJELLYUSDTSWAP,3,20250604,191500,0.02598,0.02599,0.02594,0.02594,6.5
JELLYJELLYUSDTSWAP,3,20250604,191800,0.02592,0.02596,0.02587,0.02596,28.59
JELLYJELLYUSDTSWAP,3,20250604,192100,0.02597,0.02598,0.02583,0.02584,44.41
JELLYJELLYUSDTSWAP,3,20250604,192400,0.02583,0.02586,0.02576,0.02577,20.79
JELLYJELLYUSDTSWAP,3,20250604,192700,0.02577,0.02578,0.0257,0.02575,81.23
JELLYJELLYUSDTSWAP,3,20250604,193000,0.02574,0.02583,0.0257,0.02583,69.29
JELLYJELLYUSDTSWAP,3,20250604,193300,0.02584,0.0259,0.02583,0.02585,31.96
JELLYJELLYUSDTSWAP,3,20250604,193600,0.02585,0.02586,0.02584,0.02584,3.1
JELLYJELLYUSDTSWAP,3,20250604,193900,0.02585,0.02589,0.02579,0.02579,14.19
JELLYJELLYUSDTSWAP,3,20250604,194200,0.02579,0.02581,0.02578,0.02581,2.11
JELLYJELLYUSDTSWAP,3,20250604,194500,0.02579,0.02581,0.02576,0.0258,5.7
JELLYJELLYUSDTSWAP,3,20250604,194800,0.02581,0.02584,0.0258,0.0258,28.21
JELLYJELLYUSDTSWAP,3,20250604,195100,0.02581,0.02581,0.02576,0.02577,13.76
JELLYJELLYUSDTSWAP,3,20250604,195400,0.02578,0.0258,0.02578,0.02579,3.25
JELLYJELLYUSDTSWAP,3,20250604,195700,0.02577,0.02577,0.02572,0.02572,31.72
JELLYJELLYUSDTSWAP,3,20250604,200000,0.02572,0.02574,0.02565,0.02565,45.94
JELLYJELLYUSDTSWAP,3,20250604,200300,0.02565,0.02566,0.0256,0.02562,16.21
JELLYJELLYUSDTSWAP,3,20250604,200600,0.02562,0.02562,0.02556,0.02558,14.96
JELLYJELLYUSDTSWAP,3,20250604,200900,0.02559,0.02559,0.02551,0.02551,43.73
JELLYJELLYUSDTSWAP,3,20250604,201200,0.02554,0.02554,0.02547,0.02549,21.4
JELLYJELLYUSDTSWAP,3,20250604,201500,0.02549,0.02549,0.02541,0.02544,103.72
JELLYJELLYUSDTSWAP,3,20250604,201800,0.02545,0.02547,0.02543,0.02545,17.97
JELLYJELLYUSDTSWAP,3,20250604,202100,0.02545,0.02545,0.0254,0.02543,3.74
JELLYJELLYUSDTSWAP,3,20250604,202400,0.02541,0.02541,0.02535,0.02535,34.25
JELLYJELLYUSDTSWAP,3,20250604,202700,0.02536,0.0254,0.02525,0.02525,47.6
JELLYJELLYUSDTSWAP,3,20250604,203000,0.02528,0.02529,0.02517,0.02518,35.57
JELLYJELLYUSDTSWAP,3,20250604,203300,0.02517,0.02522,0.02507,0.02519,114.6
JELLYJELLYUSDTSWAP,3,20250604,203600,0.02518,0.0252,0.02512,0.0252,42.15
JELLYJELLYUSDTSWAP,3,20250604,203900,0.0252,0.0252,0.02515,0.02517,19.81
JELLYJELLYUSDTSWAP,3,20250604,204200,0.02518,0.0252,0.02515,0.02518,28.53
JELLYJELLYUSDTSWAP,3,20250604,204500,0.02518,0.02518,0.02508,0.02509,18.73
JELLYJELLYUSDTSWAP,3,20250604,204800,0.0251,0.02516,0.0251,0.0251,9.61
JELLYJELLYUSDTSWAP,3,20250604,205100,0.0251,0.02518,0.02506,0.02518,120.56
JELLYJELLYUSDTSWAP,3,20250604,205400,0.02516,0.02518,0.02511,0.02511,12.13
JELLYJELLYUSDTSWAP,3,20250604,205700,0.02512,0.02517,0.02511,0.02512,21.48
JELLYJELLYUSDTSWAP,3,20250604,210000,0.02513,0.02531,0.02513,0.02526,129.95
JELLYJELLYUSDTSWAP,3,20250604,210300,0.02528,0.02534,0.02526,0.02534,5.99
JELLYJELLYUSDTSWAP,3,20250604,210600,0.02531,0.02678,0.02531,0.02598,3079.21
JELLYJELLYUSDTSWAP,3,20250604,210900,0.02599,0.02657,0.02588,0.02654,472.13
JELLYJELLYUSDTSWAP,3,20250604,211200,0.02654,0.0267,0.02602,0.02622,683.96
JELLYJELLYUSDTSWAP,3,20250604,211500,0.02622,0.02623,0.02613,0.02617,48.77
JELLYJELLYUSDTSWAP,3,20250604,211800,0.02616,0.02621,0.02609,0.02609,69.14
JELLYJELLYUSDTSWAP,3,20250604,212100,0.02613,0.0262,0.02603,0.0261,88.24
JELLYJELLYUSDTSWAP,3,20250604,212400,0.02611,0.02622,0.0261,0.02622,28.2
JELLYJELLYUSDTSWAP,3,20250604,212700,0.0262,0.02624,0.02613,0.02613,49.65
JELLYJELLYUSDTSWAP,3,20250604,213000,0.02612,0.02617,0.02609,0.02611,28.21
JELLYJELLYUSDTSWAP,3,20250604,213300,0.02612,0.02623,0.0261,0.02621,45.89
JELLYJELLYUSDTSWAP,3,20250604,213600,0.02618,0.02632,0.02618,0.02625,96.81
JELLYJELLYUSDTSWAP,3,20250604,213900,0.02625,0.02633,0.02622,0.02625,46.75
JELLYJELLYUSDTSWAP,3,20250604,214200,0.02627,0.02635,0.02623,0.02627,128.49
JELLYJELLYUSDTSWAP,3,20250604,214500,0.02627,0.02628,0.02619,0.02619,45.63
JELLYJELLYUSDTSWAP,3,20250604,214800,0.0262,0.02623,0.02602,0.02602,77.34
JELLYJELLYUSDTSWAP,3,20250604,215100,0.02601,0.02601,0.02593,0.02595,129.43
JELLYJELLYUSDTSWAP,3,20250604,215400,0.02595,0.02596,0.02589,0.0259,38.02
JELLYJELLYUSDTSWAP,3,20250604,215700,0.0259,0.026,0.02589,0.02599,49.24
JELLYJELLYUSDTSWAP,3,20250604,220000,0.02599,0.026,0.02589,0.02594,15.23
JELLYJELLYUSDTSWAP,3,20250604,220300,0.02593,0.026,0.0259,0.026,5.11
JELLYJELLYUSDTSWAP,3,20250604,220600,0.02601,0.02602,0.02587,0.02595,66.74
JELLYJELLYUSDTSWAP,3,20250604,220900,0.02594,0.02594,0.02588,0.02591,15.33
JELLYJELLYUSDTSWAP,3,20250604,221200,0.02592,0.02598,0.02592,0.02594,23.54
JELLYJELLYUSDTSWAP,3,20250604,221500,0.02593,0.02593,0.02586,0.02587,34.31
JELLYJELLYUSDTSWAP,3,20250604,221800,0.02588,0.02598,0.02588,0.02594,4.94
JELLYJELLYUSDTSWAP,3,20250604,222100,0.02597,0.02607,0.02597,0.02605,41.99
JELLYJELLYUSDTSWAP,3,20250604,222400,0.02605,0.02605,0.02604,0.02605,0.31
