<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JSTUSDTSWAP,1440,20250225,030000,0.03331,0.03353,0.03143,0.03209,15339.72
JSTUSDTSWAP,1440,20250226,030000,0.03208,0.03223,0.03123,0.03177,5924.63
JSTUSDTSWAP,1440,20250227,030000,0.03178,0.03221,0.03154,0.03193,3857.17
JSTUSDTSWAP,1440,20250228,030000,0.03193,0.03327,0.03037,0.03215,15228.22
JSTUSDTSWAP,1440,20250301,030000,0.03215,0.0326,0.0317,0.0321,3005.25
JSTUSDTSWAP,1440,20250302,030000,0.0321,0.03341,0.03191,0.03331,4609.11
JSTUSDTSWAP,1440,20250303,030000,0.03332,0.03337,0.03139,0.03163,7335.86
JSTUSDTSWAP,1440,20250304,030000,0.03163,0.03278,0.03094,0.03264,9822.0
JSTUSDTSWAP,1440,20250305,030000,0.03263,0.0329,0.03232,0.0326,3980.66
JSTUSDTSWAP,1440,20250306,030000,0.03261,0.03298,0.03195,0.03206,4634.83
JSTUSDTSWAP,1440,20250307,030000,0.03204,0.03273,0.03148,0.03222,6386.73
JSTUSDTSWAP,1440,20250308,030000,0.03224,0.03355,0.0322,0.03254,7939.0
JSTUSDTSWAP,1440,20250309,030000,0.03256,0.03256,0.0309,0.0309,5074.31
JSTUSDTSWAP,1440,20250310,030000,0.03092,0.03174,0.03022,0.03037,5845.05
JSTUSDTSWAP,1440,20250311,030000,0.03036,0.03072,0.02974,0.03011,6148.66
JSTUSDTSWAP,1440,20250312,030000,0.03013,0.03037,0.02936,0.03006,5031.74
JSTUSDTSWAP,1440,20250313,030000,0.03006,0.03026,0.02978,0.03014,3146.23
JSTUSDTSWAP,1440,20250314,030000,0.03013,0.03025,0.02982,0.03013,1458.56
JSTUSDTSWAP,1440,20250315,030000,0.03013,0.0303,0.0299,0.0301,1725.15
JSTUSDTSWAP,1440,20250316,030000,0.03008,0.0302,0.02876,0.02896,7815.87
JSTUSDTSWAP,1440,20250317,030000,0.02895,0.02974,0.02879,0.02966,4288.57
JSTUSDTSWAP,1440,20250318,030000,0.02965,0.03135,0.02953,0.03101,4607.85
JSTUSDTSWAP,1440,20250319,030000,0.03099,0.03194,0.03003,0.03033,6084.02
JSTUSDTSWAP,1440,20250320,030000,0.03032,0.03078,0.02992,0.03057,2162.57
JSTUSDTSWAP,1440,20250321,030000,0.03057,0.03134,0.03016,0.03132,4078.13
JSTUSDTSWAP,1440,20250322,030000,0.03134,0.03161,0.03108,0.03132,2096.11
JSTUSDTSWAP,1440,20250323,030000,0.03132,0.03163,0.03052,0.03061,2195.12
JSTUSDTSWAP,1440,20250324,030000,0.03061,0.03125,0.03011,0.03088,10553.99
JSTUSDTSWAP,1440,20250325,030000,0.03088,0.03093,0.03062,0.03073,2088.14
JSTUSDTSWAP,1440,20250326,030000,0.03073,0.03117,0.03064,0.03115,3135.54
JSTUSDTSWAP,1440,20250327,030000,0.03117,0.03162,0.03109,0.03155,6329.47
JSTUSDTSWAP,1440,20250328,030000,0.03155,0.03156,0.03067,0.03098,4232.18
JSTUSDTSWAP,1440,20250329,030000,0.03097,0.03183,0.03093,0.03146,9170.56
JSTUSDTSWAP,1440,20250330,030000,0.03147,0.0315,0.0306,0.03073,4454.83
JSTUSDTSWAP,1440,20250331,030000,0.03072,0.03128,0.03039,0.03122,4768.51
JSTUSDTSWAP,1440,20250401,030000,0.03123,0.03129,0.03071,0.03115,3193.27
JSTUSDTSWAP,1440,20250402,030000,0.03115,0.03274,0.03111,0.03124,31580.03
JSTUSDTSWAP,1440,20250403,030000,0.03123,0.03177,0.03052,0.03135,6300.87
JSTUSDTSWAP,1440,20250404,030000,0.03135,0.03202,0.03125,0.03172,5459.7
JSTUSDTSWAP,1440,20250405,030000,0.03174,0.03175,0.03124,0.03135,1985.97
JSTUSDTSWAP,1440,20250406,030000,0.03133,0.03208,0.03049,0.03079,8891.74
JSTUSDTSWAP,1440,20250407,030000,0.03077,0.03077,0.02905,0.02981,16081.42
JSTUSDTSWAP,1440,20250408,030000,0.0298,0.03074,0.02886,0.02893,6638.04
JSTUSDTSWAP,1440,20250409,030000,0.02893,0.03027,0.0284,0.03022,13012.8
JSTUSDTSWAP,1440,20250410,030000,0.0302,0.03036,0.02926,0.02951,4841.45
JSTUSDTSWAP,1440,20250411,030000,0.02949,0.03013,0.02919,0.03005,4408.81
JSTUSDTSWAP,1440,20250412,030000,0.03004,0.03065,0.02985,0.03051,2101.12
JSTUSDTSWAP,1440,20250413,030000,0.03053,0.03156,0.03047,0.03154,5239.89
JSTUSDTSWAP,1440,20250414,030000,0.03154,0.03164,0.03077,0.03082,3258.08
JSTUSDTSWAP,1440,20250415,030000,0.03082,0.03092,0.03034,0.03061,1889.05
JSTUSDTSWAP,1440,20250416,030000,0.03061,0.03154,0.03049,0.03078,7063.32
JSTUSDTSWAP,1440,20250417,030000,0.03074,0.03081,0.03026,0.03066,2207.35
JSTUSDTSWAP,1440,20250418,030000,0.03071,0.0308,0.03041,0.03045,2153.91
JSTUSDTSWAP,1440,20250419,030000,0.03044,0.03082,0.03043,0.03072,1265.76
JSTUSDTSWAP,1440,20250420,030000,0.03072,0.031,0.03058,0.03084,2118.88
JSTUSDTSWAP,1440,20250421,030000,0.03084,0.03132,0.03079,0.03126,3460.06
JSTUSDTSWAP,1440,20250422,030000,0.03129,0.03173,0.03108,0.03173,3075.87
JSTUSDTSWAP,1440,20250423,030000,0.03174,0.03194,0.03142,0.03165,3961.85
JSTUSDTSWAP,1440,20250424,030000,0.03165,0.03186,0.03123,0.03163,3279.41
JSTUSDTSWAP,1440,20250425,030000,0.03164,0.03193,0.03133,0.03152,5287.04
