<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JSTUSDTSWAP,60,20250531,190000,0.03253,0.03261,0.03249,0.03253,162.36
JSTUSDTSWAP,60,20250531,200000,0.03252,0.03254,0.03241,0.03241,122.76
JSTUSDTSWAP,60,20250531,210000,0.03242,0.03249,0.03238,0.03249,309.71
JSTUSDTSWAP,60,20250531,220000,0.03249,0.03259,0.03243,0.03253,210.11
JSTUSDTSWAP,60,20250531,230000,0.03254,0.03263,0.03249,0.03261,56.49
JSTUSDTSWAP,60,20250601,000000,0.03261,0.03264,0.03256,0.03258,100.37
JSTUSDTSWAP,60,20250601,010000,0.03258,0.03258,0.03244,0.03245,115.5
JSTUSDTSWAP,60,20250601,020000,0.03245,0.03258,0.03242,0.03249,138.56
JSTUSDTSWAP,60,20250601,030000,0.03249,0.03251,0.03236,0.03245,258.0
JSTUSDTSWAP,60,20250601,040000,0.03246,0.03259,0.03237,0.03242,336.42
JSTUSDTSWAP,60,20250601,050000,0.03241,0.03251,0.03232,0.03247,271.53
JSTUSDTSWAP,60,20250601,060000,0.03247,0.03262,0.03247,0.03258,187.45
JSTUSDTSWAP,60,20250601,070000,0.03259,0.03277,0.03256,0.03273,91.25
JSTUSDTSWAP,60,20250601,080000,0.03274,0.03277,0.03269,0.03272,75.01
JSTUSDTSWAP,60,20250601,090000,0.03274,0.03275,0.03267,0.03271,154.89
JSTUSDTSWAP,60,20250601,100000,0.03271,0.03272,0.03266,0.03269,98.78
JSTUSDTSWAP,60,20250601,110000,0.0327,0.03272,0.03255,0.03259,185.9
JSTUSDTSWAP,60,20250601,120000,0.0326,0.03266,0.03243,0.03256,344.68
JSTUSDTSWAP,60,20250601,130000,0.03255,0.03258,0.03227,0.03249,508.46
JSTUSDTSWAP,60,20250601,140000,0.03248,0.03267,0.03246,0.03264,342.37
JSTUSDTSWAP,60,20250601,150000,0.03265,0.03274,0.03252,0.03262,282.42
JSTUSDTSWAP,60,20250601,160000,0.03261,0.03275,0.0326,0.03273,141.27
JSTUSDTSWAP,60,20250601,170000,0.03273,0.03284,0.03272,0.03277,203.22
JSTUSDTSWAP,60,20250601,180000,0.03278,0.03281,0.03271,0.03279,174.16
JSTUSDTSWAP,60,20250601,190000,0.03279,0.03296,0.03277,0.03291,225.07
JSTUSDTSWAP,60,20250601,200000,0.03291,0.03297,0.03288,0.03296,65.16
JSTUSDTSWAP,60,20250601,210000,0.03296,0.03298,0.03272,0.03289,236.88
JSTUSDTSWAP,60,20250601,220000,0.0329,0.03298,0.03289,0.03297,59.15
JSTUSDTSWAP,60,20250601,230000,0.03298,0.033,0.0329,0.03295,85.75
JSTUSDTSWAP,60,20250602,000000,0.03295,0.03305,0.03294,0.03304,70.51
JSTUSDTSWAP,60,20250602,010000,0.03306,0.0331,0.03303,0.03309,249.77
JSTUSDTSWAP,60,20250602,020000,0.03308,0.03315,0.03307,0.03314,126.76
JSTUSDTSWAP,60,20250602,030000,0.03314,0.03323,0.0331,0.03317,183.0
JSTUSDTSWAP,60,20250602,040000,0.03316,0.0332,0.03305,0.03308,105.61
JSTUSDTSWAP,60,20250602,050000,0.03308,0.03314,0.03305,0.03307,118.62
JSTUSDTSWAP,60,20250602,060000,0.03308,0.03311,0.033,0.03306,182.01
JSTUSDTSWAP,60,20250602,070000,0.03305,0.0332,0.03305,0.03315,133.79
JSTUSDTSWAP,60,20250602,080000,0.03316,0.03326,0.03314,0.03326,371.56
JSTUSDTSWAP,60,20250602,090000,0.03325,0.03332,0.0332,0.03327,283.72
JSTUSDTSWAP,60,20250602,100000,0.03327,0.03335,0.03321,0.03321,210.07
JSTUSDTSWAP,60,20250602,110000,0.03321,0.03326,0.03312,0.03316,385.04
JSTUSDTSWAP,60,20250602,120000,0.03317,0.03318,0.03297,0.033,530.32
JSTUSDTSWAP,60,20250602,130000,0.03299,0.03306,0.03294,0.033,233.8
JSTUSDTSWAP,60,20250602,140000,0.03301,0.03303,0.03293,0.03296,145.77
JSTUSDTSWAP,60,20250602,150000,0.03296,0.03315,0.03296,0.03311,197.6
JSTUSDTSWAP,60,20250602,160000,0.03312,0.03312,0.03296,0.03298,200.01
JSTUSDTSWAP,60,20250602,170000,0.03297,0.03307,0.03292,0.03302,254.66
JSTUSDTSWAP,60,20250602,180000,0.03302,0.03304,0.03295,0.033,181.48
JSTUSDTSWAP,60,20250602,190000,0.03299,0.03301,0.03287,0.03296,184.48
JSTUSDTSWAP,60,20250602,200000,0.03294,0.03301,0.03288,0.03294,239.87
JSTUSDTSWAP,60,20250602,210000,0.03295,0.03307,0.03295,0.03301,158.36
JSTUSDTSWAP,60,20250602,220000,0.03301,0.03303,0.03289,0.03292,81.01
JSTUSDTSWAP,60,20250602,230000,0.03295,0.03309,0.03294,0.03302,218.72
JSTUSDTSWAP,60,20250603,000000,0.03304,0.03317,0.03304,0.03316,69.78
JSTUSDTSWAP,60,20250603,010000,0.03318,0.03327,0.03318,0.03326,209.13
JSTUSDTSWAP,60,20250603,020000,0.03327,0.03332,0.03323,0.03325,111.32
JSTUSDTSWAP,60,20250603,030000,0.03325,0.03341,0.03322,0.0334,645.32
JSTUSDTSWAP,60,20250603,040000,0.0334,0.03356,0.03338,0.03355,287.47
JSTUSDTSWAP,60,20250603,050000,0.03354,0.03356,0.03341,0.03343,455.07
JSTUSDTSWAP,60,20250603,060000,0.03343,0.0336,0.03336,0.03356,416.67
JSTUSDTSWAP,60,20250603,070000,0.03356,0.03725,0.02931,0.03439,39336.21
JSTUSDTSWAP,60,20250603,080000,0.03441,0.03461,0.03383,0.03409,6247.82
JSTUSDTSWAP,60,20250603,090000,0.0341,0.03424,0.03405,0.03415,1470.39
JSTUSDTSWAP,60,20250603,100000,0.03416,0.03423,0.03399,0.03407,876.48
JSTUSDTSWAP,60,20250603,110000,0.03406,0.03415,0.03388,0.03402,910.36
JSTUSDTSWAP,60,20250603,120000,0.03402,0.03412,0.03396,0.03403,778.65
JSTUSDTSWAP,60,20250603,130000,0.03403,0.03416,0.034,0.03414,767.27
JSTUSDTSWAP,60,20250603,140000,0.03414,0.03415,0.03399,0.03408,569.28
JSTUSDTSWAP,60,20250603,150000,0.03409,0.03426,0.03406,0.03422,758.95
JSTUSDTSWAP,60,20250603,160000,0.03422,0.03424,0.03395,0.03403,1146.16
JSTUSDTSWAP,60,20250603,170000,0.03404,0.0341,0.03391,0.0341,645.6
JSTUSDTSWAP,60,20250603,180000,0.03411,0.03424,0.03407,0.03419,462.22
JSTUSDTSWAP,60,20250603,190000,0.03419,0.03423,0.03408,0.03413,538.66
JSTUSDTSWAP,60,20250603,200000,0.03412,0.03425,0.03409,0.03424,292.41
JSTUSDTSWAP,60,20250603,210000,0.03424,0.0343,0.03412,0.03414,464.36
JSTUSDTSWAP,60,20250603,220000,0.03415,0.03426,0.03414,0.03426,186.36
JSTUSDTSWAP,60,20250603,230000,0.03427,0.03429,0.03397,0.03412,653.77
JSTUSDTSWAP,60,20250604,000000,0.03413,0.03416,0.0338,0.03388,468.91
JSTUSDTSWAP,60,20250604,010000,0.03388,0.03404,0.03382,0.03401,236.21
JSTUSDTSWAP,60,20250604,020000,0.03402,0.03406,0.03378,0.03384,469.0
JSTUSDTSWAP,60,20250604,030000,0.03384,0.0339,0.03367,0.03376,767.8
JSTUSDTSWAP,60,20250604,040000,0.03377,0.03382,0.03335,0.03348,942.55
JSTUSDTSWAP,60,20250604,050000,0.03348,0.03353,0.03322,0.03325,468.22
JSTUSDTSWAP,60,20250604,060000,0.03325,0.03337,0.03317,0.0332,558.43
JSTUSDTSWAP,60,20250604,070000,0.03319,0.0332,0.03287,0.03305,1408.58
JSTUSDTSWAP,60,20250604,080000,0.03305,0.03308,0.03285,0.03291,441.61
JSTUSDTSWAP,60,20250604,090000,0.03291,0.03302,0.03282,0.03294,544.04
JSTUSDTSWAP,60,20250604,100000,0.03295,0.03304,0.0329,0.033,406.6
JSTUSDTSWAP,60,20250604,110000,0.033,0.03303,0.03289,0.033,557.93
JSTUSDTSWAP,60,20250604,120000,0.03299,0.03301,0.03276,0.03288,496.9
JSTUSDTSWAP,60,20250604,130000,0.03287,0.03297,0.03277,0.03278,428.59
JSTUSDTSWAP,60,20250604,140000,0.03278,0.03287,0.03262,0.03275,480.69
JSTUSDTSWAP,60,20250604,150000,0.03276,0.03288,0.03266,0.0327,448.65
JSTUSDTSWAP,60,20250604,160000,0.0327,0.03281,0.03265,0.03273,433.86
JSTUSDTSWAP,60,20250604,170000,0.03272,0.03295,0.03259,0.03295,439.92
JSTUSDTSWAP,60,20250604,180000,0.03295,0.03307,0.03289,0.03302,525.45
JSTUSDTSWAP,60,20250604,190000,0.03302,0.03315,0.03288,0.03313,532.81
JSTUSDTSWAP,60,20250604,200000,0.03313,0.03318,0.03304,0.03317,400.94
JSTUSDTSWAP,60,20250604,210000,0.03317,0.03326,0.03313,0.03316,232.32
JSTUSDTSWAP,60,20250604,220000,0.03317,0.03321,0.03314,0.03318,90.22
