<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KAITOUSDTSWAP,60,20250531,190000,1.9272,1.9816,1.9143,1.9593,6799400.57
KAITOUSDTSWAP,60,20250531,200000,1.9592,1.9671,1.9356,1.9404,2981925.91
KAITOUSDTSWAP,60,20250531,210000,1.9399,1.9857,1.9311,1.9725,3139219.9
KAITOUSDTSWAP,60,20250531,220000,1.9723,2.0295,1.9568,2.0168,3373895.27
KAITOUSDTSWAP,60,20250531,230000,2.0168,2.0324,1.9822,1.9924,4313414.87
KAITOUSDTSWAP,60,20250601,000000,1.9924,2.0076,1.9681,1.9881,1878741.55
KAITOUSDTSWAP,60,20250601,010000,1.9885,1.9952,1.9738,1.9765,1106256.24
KAITOUSDTSWAP,60,20250601,020000,1.9765,1.9892,1.9553,1.9611,2031496.11
KAITOUSDTSWAP,60,20250601,030000,1.9611,1.9676,1.9302,1.9486,3028083.52
KAITOUSDTSWAP,60,20250601,040000,1.9486,1.9525,1.8948,1.9018,3473367.81
KAITOUSDTSWAP,60,20250601,050000,1.9017,1.9199,1.881,1.9122,3234460.8
KAITOUSDTSWAP,60,20250601,060000,1.9123,1.9136,1.8857,1.8966,2038485.03
KAITOUSDTSWAP,60,20250601,070000,1.8964,1.938,1.8935,1.9101,2793194.29
KAITOUSDTSWAP,60,20250601,080000,1.9101,1.9216,1.8864,1.8998,2700816.46
KAITOUSDTSWAP,60,20250601,090000,1.8995,1.9072,1.8877,1.8958,1387379.6
KAITOUSDTSWAP,60,20250601,100000,1.8958,1.9018,1.8775,1.8984,2146857.0
KAITOUSDTSWAP,60,20250601,110000,1.898,1.8985,1.8655,1.8709,2608837.06
KAITOUSDTSWAP,60,20250601,120000,1.8709,1.8797,1.8284,1.8456,4744471.44
KAITOUSDTSWAP,60,20250601,130000,1.8452,1.8728,1.8402,1.8656,3407233.76
KAITOUSDTSWAP,60,20250601,140000,1.8658,1.8987,1.8648,1.8967,2859556.8
KAITOUSDTSWAP,60,20250601,150000,1.8968,1.9084,1.8712,1.8884,2828639.04
KAITOUSDTSWAP,60,20250601,160000,1.8888,1.943,1.8888,1.941,4572956.68
KAITOUSDTSWAP,60,20250601,170000,1.941,1.9942,1.9404,1.9728,5849269.49
KAITOUSDTSWAP,60,20250601,180000,1.9729,2.0427,1.9709,2.0262,7580311.89
KAITOUSDTSWAP,60,20250601,190000,2.0262,2.0563,2.009,2.0343,7574782.55
KAITOUSDTSWAP,60,20250601,200000,2.0353,2.0749,2.0327,2.0534,4472215.57
KAITOUSDTSWAP,60,20250601,210000,2.0534,2.0576,2.0102,2.0213,4528685.4
KAITOUSDTSWAP,60,20250601,220000,2.0212,2.0444,2.0178,2.0285,2395065.41
KAITOUSDTSWAP,60,20250601,230000,2.0285,2.0444,2.0129,2.0213,1707956.43
KAITOUSDTSWAP,60,20250602,000000,2.0213,2.0532,2.0152,2.0462,1361531.51
KAITOUSDTSWAP,60,20250602,010000,2.046,2.0638,2.0367,2.0431,1526113.45
KAITOUSDTSWAP,60,20250602,020000,2.043,2.0591,2.0167,2.0214,1695314.09
KAITOUSDTSWAP,60,20250602,030000,2.0215,2.0217,1.9701,1.984,4436301.02
KAITOUSDTSWAP,60,20250602,040000,1.9841,2.0509,1.9818,1.9926,6051530.79
KAITOUSDTSWAP,60,20250602,050000,1.9925,2.0146,1.9713,1.9985,4976248.83
KAITOUSDTSWAP,60,20250602,060000,1.9986,2.0109,1.9754,1.9909,3137584.15
KAITOUSDTSWAP,60,20250602,070000,1.9908,1.9976,1.9555,1.9659,2539052.38
KAITOUSDTSWAP,60,20250602,080000,1.9659,1.9841,1.951,1.964,2614935.99
KAITOUSDTSWAP,60,20250602,090000,1.9643,1.9916,1.9501,1.966,2836675.09
KAITOUSDTSWAP,60,20250602,100000,1.9663,1.9818,1.9513,1.9604,2482514.71
KAITOUSDTSWAP,60,20250602,110000,1.9603,1.9873,1.951,1.958,3539137.38
KAITOUSDTSWAP,60,20250602,120000,1.9584,1.9585,1.9217,1.9234,3947027.9
KAITOUSDTSWAP,60,20250602,130000,1.9233,1.9361,1.9061,1.9255,3341014.44
KAITOUSDTSWAP,60,20250602,140000,1.9258,1.9318,1.9126,1.9315,1526943.71
KAITOUSDTSWAP,60,20250602,150000,1.9313,1.9355,1.9105,1.9241,2250480.16
KAITOUSDTSWAP,60,20250602,160000,1.9241,1.9506,1.9035,1.9131,4166234.49
KAITOUSDTSWAP,60,20250602,170000,1.9131,1.9423,1.9034,1.923,4142561.69
KAITOUSDTSWAP,60,20250602,180000,1.9229,1.9298,1.8954,1.9031,3268455.04
KAITOUSDTSWAP,60,20250602,190000,1.9032,1.9117,1.8837,1.909,3456331.1
KAITOUSDTSWAP,60,20250602,200000,1.9094,1.9155,1.8894,1.9052,2019454.0
KAITOUSDTSWAP,60,20250602,210000,1.9053,1.9294,1.8983,1.9047,2587056.35
KAITOUSDTSWAP,60,20250602,220000,1.9045,1.9079,1.8771,1.8864,2200249.81
KAITOUSDTSWAP,60,20250602,230000,1.8865,1.9395,1.8865,1.9367,2406883.48
KAITOUSDTSWAP,60,20250603,000000,1.9366,1.9689,1.9366,1.9649,2843993.93
KAITOUSDTSWAP,60,20250603,010000,1.965,1.9991,1.9452,1.9476,4074794.96
KAITOUSDTSWAP,60,20250603,020000,1.9477,1.9652,1.9434,1.9565,1859829.51
KAITOUSDTSWAP,60,20250603,030000,1.9566,1.9827,1.9457,1.9668,3093815.05
KAITOUSDTSWAP,60,20250603,040000,1.9669,1.9891,1.9583,1.976,2611645.89
KAITOUSDTSWAP,60,20250603,050000,1.9762,1.9804,1.9352,1.9365,3070771.73
KAITOUSDTSWAP,60,20250603,060000,1.9366,1.9405,1.9123,1.9227,2858295.72
KAITOUSDTSWAP,60,20250603,070000,1.9228,1.9247,1.8956,1.9055,2244751.71
KAITOUSDTSWAP,60,20250603,080000,1.9055,1.9257,1.9003,1.9165,2052154.9
KAITOUSDTSWAP,60,20250603,090000,1.9161,1.9161,1.9001,1.9065,2564876.13
KAITOUSDTSWAP,60,20250603,100000,1.9063,1.9126,1.8879,1.89,2801161.06
KAITOUSDTSWAP,60,20250603,110000,1.8899,1.9037,1.848,1.8679,5775179.1
KAITOUSDTSWAP,60,20250603,120000,1.8677,1.9006,1.8632,1.8835,3263604.04
KAITOUSDTSWAP,60,20250603,130000,1.8835,1.8885,1.8695,1.8772,2164640.63
KAITOUSDTSWAP,60,20250603,140000,1.8773,1.9034,1.8743,1.8959,2959465.83
KAITOUSDTSWAP,60,20250603,150000,1.8954,1.9016,1.8773,1.8787,2428670.79
KAITOUSDTSWAP,60,20250603,160000,1.879,1.8965,1.8676,1.8822,3535500.09
KAITOUSDTSWAP,60,20250603,170000,1.882,1.9028,1.8636,1.9016,3449617.55
KAITOUSDTSWAP,60,20250603,180000,1.9014,1.9072,1.8608,1.8682,4102922.68
KAITOUSDTSWAP,60,20250603,190000,1.8682,1.8722,1.8518,1.8536,3073635.5
KAITOUSDTSWAP,60,20250603,200000,1.8535,1.8791,1.8511,1.8646,2565245.85
KAITOUSDTSWAP,60,20250603,210000,1.8643,1.865,1.8415,1.8454,2606073.28
KAITOUSDTSWAP,60,20250603,220000,1.8452,1.8653,1.8372,1.8466,2560696.6
KAITOUSDTSWAP,60,20250603,230000,1.8468,1.8555,1.8246,1.8385,2536563.18
KAITOUSDTSWAP,60,20250604,000000,1.8384,1.848,1.8153,1.8262,1948053.21
KAITOUSDTSWAP,60,20250604,010000,1.8264,1.8405,1.8227,1.8347,1343854.16
KAITOUSDTSWAP,60,20250604,020000,1.8348,1.8585,1.827,1.8356,2185571.56
KAITOUSDTSWAP,60,20250604,030000,1.8358,1.8428,1.7533,1.7785,9967749.63
KAITOUSDTSWAP,60,20250604,040000,1.7784,1.7885,1.7562,1.7591,4436727.42
KAITOUSDTSWAP,60,20250604,050000,1.7592,1.7709,1.7212,1.7247,5123101.78
KAITOUSDTSWAP,60,20250604,060000,1.7247,1.7515,1.7224,1.7298,4122441.75
KAITOUSDTSWAP,60,20250604,070000,1.7297,1.736,1.7045,1.7152,4412890.21
KAITOUSDTSWAP,60,20250604,080000,1.7154,1.7381,1.7102,1.722,3261340.78
KAITOUSDTSWAP,60,20250604,090000,1.7218,1.7325,1.712,1.712,2544415.78
KAITOUSDTSWAP,60,20250604,100000,1.7121,1.7233,1.7032,1.7225,2998756.85
KAITOUSDTSWAP,60,20250604,110000,1.7224,1.7299,1.7104,1.7206,2666209.75
KAITOUSDTSWAP,60,20250604,120000,1.7207,1.7312,1.7059,1.723,2757729.76
KAITOUSDTSWAP,60,20250604,130000,1.7231,1.7361,1.7153,1.7183,2651306.4
KAITOUSDTSWAP,60,20250604,140000,1.7181,1.7229,1.7051,1.7105,2615169.83
KAITOUSDTSWAP,60,20250604,150000,1.7105,1.7425,1.693,1.7387,4859874.31
KAITOUSDTSWAP,60,20250604,160000,1.7387,1.7668,1.7147,1.7634,5173235.83
KAITOUSDTSWAP,60,20250604,170000,1.7633,1.7812,1.7318,1.7437,6384815.85
KAITOUSDTSWAP,60,20250604,180000,1.7437,1.7457,1.7301,1.7387,2527901.18
KAITOUSDTSWAP,60,20250604,190000,1.7386,1.7428,1.7177,1.7239,2271284.44
KAITOUSDTSWAP,60,20250604,200000,1.7238,1.7261,1.7079,1.7125,1683473.42
KAITOUSDTSWAP,60,20250604,210000,1.7125,1.717,1.6977,1.7017,1620492.51
KAITOUSDTSWAP,60,20250604,220000,1.7017,1.7126,1.7001,1.7117,601961.06
