<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KAITOUSDTSWAP,3,20250604,172700,1.7597,1.7597,1.7478,1.7482,227972.65
KAITOUSDTSWAP,3,20250604,173000,1.7483,1.7582,1.746,1.7548,165305.26
KAITOUSDTSWAP,3,20250604,173300,1.7549,1.7593,1.7458,1.7465,119075.23
KAITOUSDTSWAP,3,20250604,173600,1.7466,1.7472,1.7335,1.7347,672505.62
KAITOUSDTSWAP,3,20250604,173900,1.7349,1.7469,1.7318,1.7446,415574.48
KAITOUSDTSWAP,3,20250604,174200,1.7446,1.7538,1.7422,1.7502,153428.85
KAITOUSDTSWAP,3,20250604,174500,1.7501,1.7516,1.7396,1.7463,301038.2
KAITOUSDTSWAP,3,20250604,174800,1.7462,1.7506,1.7427,1.7428,140211.13
KAITOUSDTSWAP,3,20250604,175100,1.7428,1.7448,1.7403,1.7437,170419.7
KAITOUSDTSWAP,3,20250604,175400,1.7433,1.7467,1.7402,1.7452,209488.87
KAITOUSDTSWAP,3,20250604,175700,1.7451,1.7461,1.7416,1.7437,151732.95
KAITOUSDTSWAP,3,20250604,180000,1.7437,1.7453,1.7353,1.7357,305046.37
KAITOUSDTSWAP,3,20250604,180300,1.7357,1.7384,1.7311,1.7322,186160.77
KAITOUSDTSWAP,3,20250604,180600,1.7323,1.7425,1.7323,1.7388,127473.03
KAITOUSDTSWAP,3,20250604,180900,1.7388,1.7437,1.7365,1.7431,133400.74
KAITOUSDTSWAP,3,20250604,181200,1.7431,1.7432,1.7356,1.7363,138105.81
KAITOUSDTSWAP,3,20250604,181500,1.7366,1.7447,1.7366,1.7412,117524.4
KAITOUSDTSWAP,3,20250604,181800,1.7411,1.7457,1.7384,1.7384,180564.26
KAITOUSDTSWAP,3,20250604,182100,1.7382,1.7394,1.7362,1.7379,108067.37
KAITOUSDTSWAP,3,20250604,182400,1.7379,1.7392,1.7337,1.7339,95509.77
