<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KMNOUSDTSWAP,60,20250531,190000,0.05236,0.05443,0.05101,0.05335,30693.96
KMNOUSDTSWAP,60,20250531,200000,0.05336,0.054,0.05306,0.05313,9802.13
KMNOUSDTSWAP,60,20250531,210000,0.05318,0.05377,0.0528,0.05356,4870.06
KMNOUSDTSWAP,60,20250531,220000,0.05355,0.054,0.05348,0.05364,4595.07
KMNOUSDTSWAP,60,20250531,230000,0.05363,0.05535,0.05342,0.05479,7818.72
KMNOUSDTSWAP,60,20250601,000000,0.05479,0.05524,0.05394,0.05401,6790.84
KMNOUSDTSWAP,60,20250601,010000,0.05402,0.05444,0.05371,0.05396,4805.84
KMNOUSDTSWAP,60,20250601,020000,0.05399,0.05472,0.05397,0.05423,4712.68
KMNOUSDTSWAP,60,20250601,030000,0.05422,0.05423,0.05345,0.0537,7370.18
KMNOUSDTSWAP,60,20250601,040000,0.05371,0.054,0.05301,0.05321,6503.85
KMNOUSDTSWAP,60,20250601,050000,0.05319,0.05336,0.05211,0.05295,12948.63
KMNOUSDTSWAP,60,20250601,060000,0.05297,0.05298,0.05166,0.0521,14141.19
KMNOUSDTSWAP,60,20250601,070000,0.05209,0.05287,0.05111,0.0523,18255.72
KMNOUSDTSWAP,60,20250601,080000,0.05232,0.05308,0.05214,0.05236,8036.14
KMNOUSDTSWAP,60,20250601,090000,0.05238,0.0524,0.05109,0.0519,19529.94
KMNOUSDTSWAP,60,20250601,100000,0.05189,0.05251,0.05168,0.0523,8820.99
KMNOUSDTSWAP,60,20250601,110000,0.05229,0.05264,0.05193,0.05227,10076.13
KMNOUSDTSWAP,60,20250601,120000,0.05226,0.05378,0.05224,0.05268,18672.65
KMNOUSDTSWAP,60,20250601,130000,0.05269,0.05351,0.05265,0.05301,8221.91
KMNOUSDTSWAP,60,20250601,140000,0.05301,0.05375,0.05274,0.05328,7394.36
KMNOUSDTSWAP,60,20250601,150000,0.0533,0.05354,0.0527,0.05302,8682.52
KMNOUSDTSWAP,60,20250601,160000,0.05302,0.0535,0.05301,0.05325,8476.94
KMNOUSDTSWAP,60,20250601,170000,0.05326,0.05973,0.05321,0.05627,74365.45
KMNOUSDTSWAP,60,20250601,180000,0.05627,0.05829,0.05572,0.05785,34120.72
KMNOUSDTSWAP,60,20250601,190000,0.05785,0.06283,0.05726,0.05746,138390.45
KMNOUSDTSWAP,60,20250601,200000,0.05746,0.05793,0.0552,0.05713,62361.86
KMNOUSDTSWAP,60,20250601,210000,0.05713,0.05732,0.05583,0.05656,19799.83
KMNOUSDTSWAP,60,20250601,220000,0.05657,0.05792,0.05607,0.0577,13006.69
KMNOUSDTSWAP,60,20250601,230000,0.0577,0.05861,0.05718,0.05772,13260.61
KMNOUSDTSWAP,60,20250602,000000,0.05772,0.05818,0.05748,0.05759,4841.15
KMNOUSDTSWAP,60,20250602,010000,0.0576,0.05808,0.05713,0.05746,5408.18
KMNOUSDTSWAP,60,20250602,020000,0.05749,0.05834,0.05737,0.058,5006.52
KMNOUSDTSWAP,60,20250602,030000,0.058,0.05874,0.05752,0.05831,10222.33
KMNOUSDTSWAP,60,20250602,040000,0.0583,0.05938,0.05802,0.05843,11407.33
KMNOUSDTSWAP,60,20250602,050000,0.05844,0.05938,0.05816,0.05864,15900.0
KMNOUSDTSWAP,60,20250602,060000,0.05864,0.05869,0.0566,0.05689,20147.88
KMNOUSDTSWAP,60,20250602,070000,0.05686,0.05717,0.05588,0.05607,18555.98
KMNOUSDTSWAP,60,20250602,080000,0.05607,0.05607,0.05444,0.05491,20652.54
KMNOUSDTSWAP,60,20250602,090000,0.05493,0.05656,0.05455,0.05617,24341.02
KMNOUSDTSWAP,60,20250602,100000,0.05619,0.05657,0.05564,0.05599,15397.58
KMNOUSDTSWAP,60,20250602,110000,0.05599,0.05735,0.0559,0.0566,15898.02
KMNOUSDTSWAP,60,20250602,120000,0.05657,0.05657,0.05541,0.05558,12202.26
KMNOUSDTSWAP,60,20250602,130000,0.05558,0.0558,0.05525,0.05563,6792.27
KMNOUSDTSWAP,60,20250602,140000,0.05562,0.05599,0.05522,0.0554,5371.95
KMNOUSDTSWAP,60,20250602,150000,0.05539,0.0558,0.05478,0.05542,8996.5
KMNOUSDTSWAP,60,20250602,160000,0.05543,0.05612,0.05464,0.055,11782.48
KMNOUSDTSWAP,60,20250602,170000,0.05499,0.0556,0.05452,0.05508,13779.56
KMNOUSDTSWAP,60,20250602,180000,0.05508,0.05522,0.05438,0.05486,9708.95
KMNOUSDTSWAP,60,20250602,190000,0.05487,0.05507,0.05358,0.05488,17088.88
KMNOUSDTSWAP,60,20250602,200000,0.05489,0.05514,0.05455,0.0551,5988.39
KMNOUSDTSWAP,60,20250602,210000,0.05506,0.05578,0.05482,0.05487,7625.15
KMNOUSDTSWAP,60,20250602,220000,0.05489,0.0551,0.05404,0.05422,6856.47
KMNOUSDTSWAP,60,20250602,230000,0.05421,0.0549,0.05396,0.0548,5316.65
KMNOUSDTSWAP,60,20250603,000000,0.05481,0.05637,0.05451,0.05582,14302.34
KMNOUSDTSWAP,60,20250603,010000,0.05582,0.05694,0.05582,0.05633,7220.15
KMNOUSDTSWAP,60,20250603,020000,0.05634,0.05681,0.05594,0.05599,4984.23
KMNOUSDTSWAP,60,20250603,030000,0.05599,0.05674,0.05569,0.05636,6370.21
KMNOUSDTSWAP,60,20250603,040000,0.05638,0.05799,0.05637,0.05692,11347.32
KMNOUSDTSWAP,60,20250603,050000,0.05691,0.05736,0.0561,0.05667,6977.79
KMNOUSDTSWAP,60,20250603,060000,0.05667,0.05688,0.05613,0.05661,6685.25
KMNOUSDTSWAP,60,20250603,070000,0.05661,0.05661,0.05556,0.05623,5860.72
KMNOUSDTSWAP,60,20250603,080000,0.05627,0.05734,0.05625,0.05719,6197.52
KMNOUSDTSWAP,60,20250603,090000,0.05722,0.05772,0.05667,0.05699,7389.96
KMNOUSDTSWAP,60,20250603,100000,0.05699,0.05726,0.05658,0.05691,4222.33
KMNOUSDTSWAP,60,20250603,110000,0.05691,0.05733,0.05619,0.05731,6810.82
KMNOUSDTSWAP,60,20250603,120000,0.05733,0.05783,0.05707,0.05764,5817.68
KMNOUSDTSWAP,60,20250603,130000,0.05761,0.0585,0.05722,0.058,8581.3
KMNOUSDTSWAP,60,20250603,140000,0.05799,0.05814,0.05717,0.05732,5602.41
KMNOUSDTSWAP,60,20250603,150000,0.05733,0.05821,0.05711,0.05797,3959.5
KMNOUSDTSWAP,60,20250603,160000,0.05797,0.05817,0.05747,0.05755,5024.26
KMNOUSDTSWAP,60,20250603,170000,0.05751,0.05834,0.05681,0.05823,8002.17
KMNOUSDTSWAP,60,20250603,180000,0.05824,0.05837,0.05711,0.05762,7447.73
KMNOUSDTSWAP,60,20250603,190000,0.0576,0.05825,0.05748,0.05748,7842.41
KMNOUSDTSWAP,60,20250603,200000,0.05748,0.05933,0.05744,0.05922,8972.11
KMNOUSDTSWAP,60,20250603,210000,0.05921,0.05922,0.05806,0.05843,5559.88
KMNOUSDTSWAP,60,20250603,220000,0.05844,0.05977,0.05841,0.05944,7436.02
