<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KMNOUSDTSWAP,3,20250604,172700,0.05608,0.05627,0.05605,0.05624,188.6
KMNOUSDTSWAP,3,20250604,173000,0.05624,0.05648,0.05624,0.05631,370.85
KMNOUSDTSWAP,3,20250604,173300,0.05633,0.05649,0.05624,0.05632,525.22
KMNOUSDTSWAP,3,20250604,173600,0.05632,0.05632,0.05601,0.05603,331.56
KMNOUSDTSWAP,3,20250604,173900,0.05605,0.05619,0.05605,0.05618,99.49
KMNOUSDTSWAP,3,20250604,174200,0.05618,0.05618,0.05597,0.05605,316.29
KMNOUSDTSWAP,3,20250604,174500,0.05604,0.05627,0.05599,0.05625,199.61
KMNOUSDTSWAP,3,20250604,174800,0.05626,0.05633,0.05605,0.05605,406.48
KMNOUSDTSWAP,3,20250604,175100,0.05605,0.0562,0.05596,0.05619,238.55
KMNOUSDTSWAP,3,20250604,175400,0.05618,0.05624,0.05612,0.05624,168.03
KMNOUSDTSWAP,3,20250604,175700,0.05623,0.05631,0.05614,0.05629,176.0
KMNOUSDTSWAP,3,20250604,180000,0.05628,0.05637,0.05619,0.05619,290.4
KMNOUSDTSWAP,3,20250604,180300,0.05619,0.05619,0.05597,0.05613,319.89
KMNOUSDTSWAP,3,20250604,180600,0.05613,0.05643,0.05613,0.0563,212.4
KMNOUSDTSWAP,3,20250604,180900,0.05629,0.05634,0.05623,0.05634,100.31
KMNOUSDTSWAP,3,20250604,181200,0.05631,0.05638,0.05628,0.05632,81.54
KMNOUSDTSWAP,3,20250604,181500,0.05632,0.05688,0.05632,0.05668,1082.3
KMNOUSDTSWAP,3,20250604,181800,0.05668,0.0568,0.05661,0.05661,360.65
KMNOUSDTSWAP,3,20250604,182100,0.05661,0.0567,0.05651,0.05662,192.25
KMNOUSDTSWAP,3,20250604,182400,0.05664,0.05674,0.05662,0.0567,141.37
KMNOUSDTSWAP,3,20250604,182700,0.05668,0.05687,0.05668,0.05676,177.3
KMNOUSDTSWAP,3,20250604,183000,0.05673,0.05687,0.05666,0.05682,339.36
KMNOUSDTSWAP,3,20250604,183300,0.05685,0.05697,0.05667,0.05674,413.07
KMNOUSDTSWAP,3,20250604,183600,0.05672,0.05691,0.0567,0.05689,190.41
KMNOUSDTSWAP,3,20250604,183900,0.05686,0.05697,0.05686,0.05692,226.99
KMNOUSDTSWAP,3,20250604,184200,0.05694,0.05699,0.05682,0.05686,114.05
KMNOUSDTSWAP,3,20250604,184500,0.05686,0.05695,0.05674,0.0568,264.29
KMNOUSDTSWAP,3,20250604,184800,0.05679,0.05691,0.05672,0.05687,148.17
KMNOUSDTSWAP,3,20250604,185100,0.05687,0.05713,0.05686,0.05707,465.77
KMNOUSDTSWAP,3,20250604,185400,0.05707,0.05718,0.05704,0.05711,288.6
KMNOUSDTSWAP,3,20250604,185700,0.05713,0.05713,0.05688,0.05708,371.8
KMNOUSDTSWAP,3,20250604,190000,0.05708,0.05714,0.0568,0.05693,339.85
KMNOUSDTSWAP,3,20250604,190300,0.05693,0.05699,0.05683,0.05683,212.92
KMNOUSDTSWAP,3,20250604,190600,0.05681,0.0569,0.05663,0.05665,337.22
KMNOUSDTSWAP,3,20250604,190900,0.05667,0.05694,0.05667,0.05691,143.72
KMNOUSDTSWAP,3,20250604,191200,0.05688,0.05695,0.05682,0.0569,146.01
KMNOUSDTSWAP,3,20250604,191500,0.05687,0.05699,0.05662,0.05662,399.11
KMNOUSDTSWAP,3,20250604,191800,0.05663,0.05669,0.0564,0.05661,691.96
KMNOUSDTSWAP,3,20250604,192100,0.05661,0.05661,0.05614,0.05626,715.78
KMNOUSDTSWAP,3,20250604,192400,0.05625,0.0563,0.05616,0.05626,220.72
KMNOUSDTSWAP,3,20250604,192700,0.05627,0.05627,0.05578,0.05586,1341.03
KMNOUSDTSWAP,3,20250604,193000,0.05587,0.05605,0.05571,0.05603,626.08
KMNOUSDTSWAP,3,20250604,193300,0.05602,0.05622,0.05595,0.05618,425.19
KMNOUSDTSWAP,3,20250604,193600,0.05616,0.05617,0.05609,0.05609,102.1
KMNOUSDTSWAP,3,20250604,193900,0.05612,0.05627,0.05606,0.05621,376.9
