<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LAUNCHCOINUSDTSWAP,60,20250603,130000,0.142,0.1487,0.1404,0.1431,158125.24
LAUNCHCOINUSDTSWAP,60,20250603,140000,0.1428,0.1434,0.1382,0.1399,111049.99
LAUNCHCOINUSDTSWAP,60,20250603,150000,0.1398,0.1409,0.1373,0.1388,102089.51
LAUNCHCOINUSDTSWAP,60,20250603,160000,0.1388,0.1451,0.138,0.1424,108869.03
LAUNCHCOINUSDTSWAP,60,20250603,170000,0.1422,0.144,0.1397,0.1438,50232.72
LAUNCHCOINUSDTSWAP,60,20250603,180000,0.1439,0.1442,0.1378,0.1383,69816.97
LAUNCHCOINUSDTSWAP,60,20250603,190000,0.1383,0.1395,0.1343,0.1351,95606.79
LAUNCHCOINUSDTSWAP,60,20250603,200000,0.1353,0.1365,0.1324,0.1324,61374.65
LAUNCHCOINUSDTSWAP,60,20250603,210000,0.1325,0.1327,0.128,0.1299,73448.2
LAUNCHCOINUSDTSWAP,60,20250603,220000,0.13,0.1335,0.1281,0.1293,36672.09
LAUNCHCOINUSDTSWAP,60,20250603,230000,0.1293,0.1386,0.1263,0.1293,192909.65
LAUNCHCOINUSDTSWAP,60,20250604,000000,0.1295,0.1298,0.1219,0.1225,96609.2
LAUNCHCOINUSDTSWAP,60,20250604,010000,0.1227,0.1271,0.1209,0.1245,68592.98
LAUNCHCOINUSDTSWAP,60,20250604,020000,0.1247,0.1266,0.1228,0.1235,46699.4
LAUNCHCOINUSDTSWAP,60,20250604,030000,0.1235,0.1239,0.1146,0.1156,143388.56
LAUNCHCOINUSDTSWAP,60,20250604,040000,0.1156,0.1218,0.1152,0.12,114878.31
LAUNCHCOINUSDTSWAP,60,20250604,050000,0.1199,0.1234,0.1186,0.1207,65889.37
LAUNCHCOINUSDTSWAP,60,20250604,060000,0.1207,0.1221,0.1196,0.1199,42762.92
LAUNCHCOINUSDTSWAP,60,20250604,070000,0.1201,0.1201,0.1158,0.1186,94449.64
LAUNCHCOINUSDTSWAP,60,20250604,080000,0.1186,0.1205,0.1169,0.1183,51294.62
LAUNCHCOINUSDTSWAP,60,20250604,090000,0.1182,0.1193,0.1168,0.1177,44786.22
LAUNCHCOINUSDTSWAP,60,20250604,100000,0.1177,0.1193,0.1171,0.1184,34461.5
LAUNCHCOINUSDTSWAP,60,20250604,110000,0.1184,0.1208,0.1184,0.1195,54487.09
LAUNCHCOINUSDTSWAP,60,20250604,120000,0.1197,0.1203,0.114,0.118,96844.48
LAUNCHCOINUSDTSWAP,60,20250604,130000,0.118,0.122,0.1179,0.1214,86981.81
LAUNCHCOINUSDTSWAP,60,20250604,140000,0.1214,0.1311,0.1213,0.1279,201963.95
LAUNCHCOINUSDTSWAP,60,20250604,150000,0.1278,0.1343,0.1265,0.1314,148978.38
LAUNCHCOINUSDTSWAP,60,20250604,160000,0.1314,0.1371,0.1306,0.1365,161392.31
LAUNCHCOINUSDTSWAP,60,20250604,170000,0.1363,0.1414,0.1303,0.1402,264854.34
LAUNCHCOINUSDTSWAP,60,20250604,180000,0.1401,0.1675,0.1365,0.1626,790244.28
LAUNCHCOINUSDTSWAP,60,20250604,190000,0.1626,0.1655,0.154,0.1584,778988.63
LAUNCHCOINUSDTSWAP,60,20250604,200000,0.1585,0.1746,0.1567,0.1712,697498.11
LAUNCHCOINUSDTSWAP,60,20250604,210000,0.1713,0.1757,0.1634,0.1658,430081.03
LAUNCHCOINUSDTSWAP,60,20250604,220000,0.1659,0.1704,0.1621,0.1645,109881.54
