<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LAUNCHCOINUSDTSWAP,3,20250604,172700,0.1334,0.1347,0.1332,0.1339,5434.18
LAUNCHCOINUSDTSWAP,3,20250604,173000,0.134,0.1358,0.1336,0.1352,11456.46
LAUNCHCOINUSDTSWAP,3,20250604,173300,0.1353,0.1357,0.1349,0.1352,5347.46
LAUNCHCOINUSDTSWAP,3,20250604,173600,0.1352,0.1352,0.1335,0.1345,5511.7
LAUNCHCOINUSDTSWAP,3,20250604,173900,0.1344,0.1345,0.1325,0.1341,7063.39
LAUNCHCOINUSDTSWAP,3,20250604,174200,0.1342,0.1343,0.1333,0.1342,3355.0
LAUNCHCOINUSDTSWAP,3,20250604,174500,0.1343,0.1365,0.1332,0.1353,12563.36
LAUNCHCOINUSDTSWAP,3,20250604,174800,0.1354,0.1358,0.1343,0.1343,6706.5
LAUNCHCOINUSDTSWAP,3,20250604,175100,0.1346,0.1375,0.1344,0.1368,13912.26
LAUNCHCOINUSDTSWAP,3,20250604,175400,0.1368,0.1414,0.1364,0.14,56722.2
LAUNCHCOINUSDTSWAP,3,20250604,175700,0.14,0.1414,0.139,0.1402,20311.48
LAUNCHCOINUSDTSWAP,3,20250604,180000,0.1401,0.1415,0.1395,0.1407,18147.29
LAUNCHCOINUSDTSWAP,3,20250604,180300,0.1406,0.1408,0.1365,0.138,31426.77
LAUNCHCOINUSDTSWAP,3,20250604,180600,0.1381,0.142,0.1381,0.1405,31778.61
LAUNCHCOINUSDTSWAP,3,20250604,180900,0.1405,0.1416,0.1402,0.1409,7894.55
LAUNCHCOINUSDTSWAP,3,20250604,181200,0.141,0.145,0.141,0.1428,36734.73
LAUNCHCOINUSDTSWAP,3,20250604,181500,0.1429,0.1436,0.1426,0.1428,14608.67
LAUNCHCOINUSDTSWAP,3,20250604,181800,0.1429,0.1448,0.1429,0.1444,14443.19
LAUNCHCOINUSDTSWAP,3,20250604,182100,0.1443,0.1464,0.1437,0.1439,24335.91
LAUNCHCOINUSDTSWAP,3,20250604,182400,0.144,0.1453,0.1439,0.1443,18518.69
LAUNCHCOINUSDTSWAP,3,20250604,182700,0.1446,0.1461,0.1443,0.1446,14557.17
LAUNCHCOINUSDTSWAP,3,20250604,183000,0.1447,0.1466,0.1446,0.1455,19687.3
LAUNCHCOINUSDTSWAP,3,20250604,183300,0.1456,0.1492,0.1455,0.1477,48399.92
LAUNCHCOINUSDTSWAP,3,20250604,183600,0.1477,0.1503,0.1473,0.1501,29250.66
LAUNCHCOINUSDTSWAP,3,20250604,183900,0.1501,0.154,0.1486,0.1535,49754.85
LAUNCHCOINUSDTSWAP,3,20250604,184200,0.1536,0.1597,0.1531,0.1552,98720.56
LAUNCHCOINUSDTSWAP,3,20250604,184500,0.1551,0.1627,0.1551,0.1593,73647.37
LAUNCHCOINUSDTSWAP,3,20250604,184800,0.1594,0.1675,0.159,0.1666,90441.81
LAUNCHCOINUSDTSWAP,3,20250604,185100,0.1667,0.1672,0.1636,0.1644,70235.21
LAUNCHCOINUSDTSWAP,3,20250604,185400,0.1645,0.1655,0.1586,0.1612,85623.4
LAUNCHCOINUSDTSWAP,3,20250604,185700,0.1612,0.1643,0.1569,0.1626,82969.96
LAUNCHCOINUSDTSWAP,3,20250604,190000,0.1626,0.1627,0.159,0.1612,54221.9
LAUNCHCOINUSDTSWAP,3,20250604,190300,0.1612,0.1653,0.1606,0.1636,74375.1
LAUNCHCOINUSDTSWAP,3,20250604,190600,0.1636,0.1655,0.1625,0.1632,59971.02
LAUNCHCOINUSDTSWAP,3,20250604,190900,0.1632,0.1647,0.1608,0.1613,43236.74
LAUNCHCOINUSDTSWAP,3,20250604,191200,0.1613,0.1655,0.161,0.1638,41484.91
LAUNCHCOINUSDTSWAP,3,20250604,191500,0.164,0.1654,0.1599,0.1602,61279.91
