<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LDOUSDTSWAP,1440,20250225,030000,1.4106,1.452,1.2813,1.4095,64756294.3
LDOUSDTSWAP,1440,20250226,030000,1.4096,1.4355,1.2845,1.3488,42069338.62
LDOUSDTSWAP,1440,20250227,030000,1.3489,1.4138,1.3033,1.3509,27240541.8
LDOUSDTSWAP,1440,20250228,030000,1.351,1.3564,1.1723,1.2705,50370752.9
LDOUSDTSWAP,1440,20250301,030000,1.2707,1.2831,1.1853,1.2495,22906905.09
LDOUSDTSWAP,1440,20250302,030000,1.2496,1.4035,1.2084,1.375,42582715.42
LDOUSDTSWAP,1440,20250303,030000,1.3751,1.3784,1.0957,1.1007,44439853.38
LDOUSDTSWAP,1440,20250304,030000,1.1007,1.1128,0.9624,1.0826,56190205.56
LDOUSDTSWAP,1440,20250305,030000,1.0826,1.1874,1.0782,1.1772,24622220.28
LDOUSDTSWAP,1440,20250306,030000,1.1772,1.2305,1.1463,1.1485,22837461.04
LDOUSDTSWAP,1440,20250307,030000,1.1487,1.1745,1.0621,1.0692,30438020.56
LDOUSDTSWAP,1440,20250308,030000,1.0692,1.0867,1.0323,1.0701,14063405.72
LDOUSDTSWAP,1440,20250309,030000,1.0701,1.0762,0.9817,0.991,21493688.31
LDOUSDTSWAP,1440,20250310,030000,0.9911,1.0563,0.87,0.8939,32167151.51
LDOUSDTSWAP,1440,20250311,030000,0.894,0.977,0.8101,0.9244,61418415.07
LDOUSDTSWAP,1440,20250312,030000,0.9244,0.9606,0.8726,0.9206,28161889.45
LDOUSDTSWAP,1440,20250313,030000,0.9206,0.9284,0.8613,0.9008,18872585.39
LDOUSDTSWAP,1440,20250314,030000,0.9009,0.962,0.8987,0.9523,17094923.45
LDOUSDTSWAP,1440,20250315,030000,0.9522,0.9786,0.9415,0.9621,9814977.66
LDOUSDTSWAP,1440,20250316,030000,0.9621,0.9634,0.9026,0.9228,12969110.89
LDOUSDTSWAP,1440,20250317,030000,0.9229,0.9987,0.9209,0.9619,21473161.37
LDOUSDTSWAP,1440,20250318,030000,0.9622,0.9643,0.8983,0.9496,13586396.78
LDOUSDTSWAP,1440,20250319,030000,0.9496,1.0637,0.9408,1.0382,34495578.88
LDOUSDTSWAP,1440,20250320,030000,1.038,1.0452,0.9872,1.02,16144742.68
LDOUSDTSWAP,1440,20250321,030000,1.02,1.0299,0.9745,0.992,12588353.46
LDOUSDTSWAP,1440,20250322,030000,0.9922,1.0388,0.9903,1.0148,13701839.48
LDOUSDTSWAP,1440,20250323,030000,1.0147,1.0569,1.0107,1.0394,12045926.83
LDOUSDTSWAP,1440,20250324,030000,1.0394,1.0895,1.0155,1.0737,18977513.83
LDOUSDTSWAP,1440,20250325,030000,1.0735,1.0966,1.0446,1.0597,15428241.09
