<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LDOUSDTSWAP,60,20250531,190000,0.8169,0.8362,0.8131,0.8347,1398353.08
LDOUSDTSWAP,60,20250531,200000,0.8346,0.8408,0.8284,0.83,1261875.97
LDOUSDTSWAP,60,20250531,210000,0.8298,0.8593,0.8285,0.8567,1613211.69
LDOUSDTSWAP,60,20250531,220000,0.8565,0.8588,0.8471,0.8481,854506.92
LDOUSDTSWAP,60,20250531,230000,0.848,0.8489,0.8429,0.8448,717184.13
LDOUSDTSWAP,60,20250601,000000,0.8449,0.8503,0.837,0.8394,899242.28
LDOUSDTSWAP,60,20250601,010000,0.8395,0.8409,0.8331,0.8332,519977.07
LDOUSDTSWAP,60,20250601,020000,0.8331,0.8399,0.8276,0.8312,924641.03
LDOUSDTSWAP,60,20250601,030000,0.8312,0.8384,0.8256,0.8343,1097327.8
LDOUSDTSWAP,60,20250601,040000,0.8342,0.8412,0.8288,0.8353,1043528.31
LDOUSDTSWAP,60,20250601,050000,0.8352,0.8414,0.8277,0.8345,1213355.17
LDOUSDTSWAP,60,20250601,060000,0.8345,0.8372,0.8216,0.8316,1012770.9
LDOUSDTSWAP,60,20250601,070000,0.8316,0.8447,0.8267,0.842,938977.02
LDOUSDTSWAP,60,20250601,080000,0.8418,0.8535,0.8416,0.8481,1086613.12
LDOUSDTSWAP,60,20250601,090000,0.848,0.8497,0.8402,0.8408,825442.35
LDOUSDTSWAP,60,20250601,100000,0.8407,0.8448,0.8358,0.8378,609277.99
LDOUSDTSWAP,60,20250601,110000,0.8376,0.839,0.831,0.8339,735786.37
LDOUSDTSWAP,60,20250601,120000,0.8339,0.8372,0.8149,0.828,1680804.67
LDOUSDTSWAP,60,20250601,130000,0.828,0.8553,0.8219,0.8519,3759075.29
LDOUSDTSWAP,60,20250601,140000,0.8518,0.8618,0.8457,0.8466,1984659.08
LDOUSDTSWAP,60,20250601,150000,0.8466,0.8501,0.838,0.8429,1269663.8
LDOUSDTSWAP,60,20250601,160000,0.8428,0.8529,0.8402,0.8439,974001.2
LDOUSDTSWAP,60,20250601,170000,0.844,0.8552,0.844,0.8471,1049275.15
LDOUSDTSWAP,60,20250601,180000,0.847,0.8565,0.8438,0.8538,686070.0
LDOUSDTSWAP,60,20250601,190000,0.8537,0.8739,0.8517,0.8563,2035058.6
LDOUSDTSWAP,60,20250601,200000,0.8564,0.8582,0.851,0.8515,756225.18
LDOUSDTSWAP,60,20250601,210000,0.8514,0.8518,0.8336,0.8429,1277372.45
LDOUSDTSWAP,60,20250601,220000,0.8428,0.8493,0.8388,0.849,522932.12
LDOUSDTSWAP,60,20250601,230000,0.849,0.8532,0.8415,0.8489,522877.03
LDOUSDTSWAP,60,20250602,000000,0.849,0.8548,0.8453,0.8496,467720.89
LDOUSDTSWAP,60,20250602,010000,0.8495,0.8585,0.8493,0.8566,593302.69
LDOUSDTSWAP,60,20250602,020000,0.8566,0.8625,0.8533,0.8551,572076.88
LDOUSDTSWAP,60,20250602,030000,0.8551,0.8623,0.8455,0.8495,1234503.59
LDOUSDTSWAP,60,20250602,040000,0.8494,0.8565,0.8427,0.8434,914346.82
LDOUSDTSWAP,60,20250602,050000,0.8434,0.8444,0.8357,0.8386,905165.56
LDOUSDTSWAP,60,20250602,060000,0.8387,0.8392,0.829,0.8309,1006805.67
LDOUSDTSWAP,60,20250602,070000,0.8308,0.8335,0.8245,0.8262,1062998.63
LDOUSDTSWAP,60,20250602,080000,0.8261,0.8312,0.8131,0.8215,1758177.89
LDOUSDTSWAP,60,20250602,090000,0.8215,0.8355,0.815,0.828,1403320.8
LDOUSDTSWAP,60,20250602,100000,0.8282,0.8396,0.828,0.8359,645354.97
LDOUSDTSWAP,60,20250602,110000,0.8357,0.8461,0.8289,0.8333,1317451.8
LDOUSDTSWAP,60,20250602,120000,0.8334,0.8336,0.8233,0.8285,1209665.1
LDOUSDTSWAP,60,20250602,130000,0.8285,0.8316,0.821,0.8253,1317354.77
LDOUSDTSWAP,60,20250602,140000,0.8251,0.828,0.8183,0.8246,810852.17
LDOUSDTSWAP,60,20250602,150000,0.8244,0.8374,0.823,0.8338,1029283.19
LDOUSDTSWAP,60,20250602,160000,0.8339,0.8483,0.8256,0.8333,1857914.19
LDOUSDTSWAP,60,20250602,170000,0.8333,0.8434,0.8261,0.837,1877268.24
LDOUSDTSWAP,60,20250602,180000,0.8369,0.8441,0.8316,0.8404,1166372.47
LDOUSDTSWAP,60,20250602,190000,0.8404,0.8479,0.8299,0.8441,1314841.1
LDOUSDTSWAP,60,20250602,200000,0.8442,0.8458,0.8371,0.8423,750851.74
LDOUSDTSWAP,60,20250602,210000,0.8423,0.8528,0.8377,0.8396,1611921.3
LDOUSDTSWAP,60,20250602,220000,0.8394,0.8415,0.8295,0.8348,788001.86
LDOUSDTSWAP,60,20250602,230000,0.8348,0.8522,0.8348,0.8488,751692.32
LDOUSDTSWAP,60,20250603,000000,0.8491,0.8658,0.8486,0.8652,1426568.66
LDOUSDTSWAP,60,20250603,010000,0.8652,0.8819,0.865,0.8794,2054362.03
LDOUSDTSWAP,60,20250603,020000,0.8795,0.8945,0.8689,0.8712,3510441.58
LDOUSDTSWAP,60,20250603,030000,0.8714,0.8853,0.868,0.8783,2006998.02
LDOUSDTSWAP,60,20250603,040000,0.8787,0.8886,0.875,0.8861,1469805.88
LDOUSDTSWAP,60,20250603,050000,0.8863,0.887,0.8637,0.8673,2070507.59
LDOUSDTSWAP,60,20250603,060000,0.8672,0.8683,0.858,0.8595,1402866.84
LDOUSDTSWAP,60,20250603,070000,0.8595,0.8606,0.8502,0.8537,786460.55
LDOUSDTSWAP,60,20250603,080000,0.8538,0.8672,0.8535,0.866,774727.87
LDOUSDTSWAP,60,20250603,090000,0.866,0.8683,0.8567,0.8679,1153912.96
LDOUSDTSWAP,60,20250603,100000,0.8681,0.869,0.8579,0.8603,656267.11
LDOUSDTSWAP,60,20250603,110000,0.8604,0.8623,0.8505,0.858,793010.03
LDOUSDTSWAP,60,20250603,120000,0.858,0.8649,0.8537,0.8609,556676.41
LDOUSDTSWAP,60,20250603,130000,0.8607,0.8616,0.856,0.8612,686333.37
LDOUSDTSWAP,60,20250603,140000,0.8613,0.8665,0.854,0.8562,886165.73
LDOUSDTSWAP,60,20250603,150000,0.8561,0.8628,0.8524,0.8608,871920.73
LDOUSDTSWAP,60,20250603,160000,0.8608,0.8843,0.8608,0.8763,2816631.43
LDOUSDTSWAP,60,20250603,170000,0.8762,0.8857,0.8683,0.883,2156532.35
LDOUSDTSWAP,60,20250603,180000,0.8829,0.8947,0.8671,0.8709,4082936.62
LDOUSDTSWAP,60,20250603,190000,0.8707,0.8764,0.8636,0.8661,1283897.65
LDOUSDTSWAP,60,20250603,200000,0.8659,0.8772,0.8646,0.869,846100.33
LDOUSDTSWAP,60,20250603,210000,0.8692,0.8695,0.8624,0.866,405640.86
LDOUSDTSWAP,60,20250603,220000,0.866,0.8831,0.866,0.8771,1175692.86
LDOUSDTSWAP,60,20250603,230000,0.8773,0.8795,0.8627,0.8636,1178493.76
LDOUSDTSWAP,60,20250604,000000,0.8635,0.8642,0.845,0.8495,1495027.63
LDOUSDTSWAP,60,20250604,010000,0.8496,0.8535,0.8414,0.8496,2023365.73
LDOUSDTSWAP,60,20250604,020000,0.8497,0.8531,0.8395,0.8446,948755.48
LDOUSDTSWAP,60,20250604,030000,0.8445,0.8545,0.8405,0.8538,906317.4
LDOUSDTSWAP,60,20250604,040000,0.854,0.8679,0.8539,0.8582,1472769.12
LDOUSDTSWAP,60,20250604,050000,0.8583,0.8649,0.8531,0.8551,569223.7
LDOUSDTSWAP,60,20250604,060000,0.8552,0.875,0.8552,0.8684,1525577.6
LDOUSDTSWAP,60,20250604,070000,0.8685,0.8703,0.8625,0.8701,640072.34
LDOUSDTSWAP,60,20250604,080000,0.8702,0.8724,0.8594,0.8595,708413.29
LDOUSDTSWAP,60,20250604,090000,0.8596,0.8653,0.8566,0.8624,757232.81
LDOUSDTSWAP,60,20250604,100000,0.8625,0.8637,0.8547,0.8609,699787.65
LDOUSDTSWAP,60,20250604,110000,0.8609,0.87,0.858,0.8684,1003039.76
