<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LDOUSDTSWAP,3,20250604,172700,0.8516,0.8522,0.8494,0.8504,58910.28
LDOUSDTSWAP,3,20250604,173000,0.8503,0.851,0.8496,0.851,13482.36
LDOUSDTSWAP,3,20250604,173300,0.8511,0.8538,0.8507,0.8516,63181.41
LDOUSDTSWAP,3,20250604,173600,0.8515,0.8525,0.8499,0.8504,9542.76
LDOUSDTSWAP,3,20250604,173900,0.8504,0.852,0.8502,0.852,13499.25
LDOUSDTSWAP,3,20250604,174200,0.852,0.8529,0.8506,0.8529,34050.18
LDOUSDTSWAP,3,20250604,174500,0.853,0.8551,0.8519,0.855,62225.5
LDOUSDTSWAP,3,20250604,174800,0.8552,0.8578,0.8528,0.8529,103565.58
LDOUSDTSWAP,3,20250604,175100,0.8529,0.854,0.8506,0.854,66931.33
LDOUSDTSWAP,3,20250604,175400,0.8539,0.8589,0.8538,0.8587,66630.67
LDOUSDTSWAP,3,20250604,175700,0.8587,0.8617,0.8577,0.8612,81962.92
LDOUSDTSWAP,3,20250604,180000,0.8611,0.8625,0.8581,0.8581,76153.96
LDOUSDTSWAP,3,20250604,180300,0.8583,0.8594,0.856,0.8566,78803.1
LDOUSDTSWAP,3,20250604,180600,0.8567,0.8616,0.8563,0.8571,42019.42
LDOUSDTSWAP,3,20250604,180900,0.8572,0.859,0.8571,0.8584,22536.65
LDOUSDTSWAP,3,20250604,181200,0.8583,0.8609,0.8572,0.8596,46779.92
LDOUSDTSWAP,3,20250604,181500,0.8598,0.867,0.8595,0.8657,89757.1
LDOUSDTSWAP,3,20250604,181800,0.8657,0.867,0.8642,0.8649,203551.18
LDOUSDTSWAP,3,20250604,182100,0.865,0.8693,0.8637,0.8679,165687.29
LDOUSDTSWAP,3,20250604,182400,0.8679,0.869,0.8664,0.8664,84455.35
LDOUSDTSWAP,3,20250604,182700,0.8665,0.8682,0.8558,0.858,478742.12
LDOUSDTSWAP,3,20250604,183000,0.8582,0.8588,0.8543,0.8581,125078.36
LDOUSDTSWAP,3,20250604,183300,0.8581,0.8624,0.8578,0.8604,178001.69
LDOUSDTSWAP,3,20250604,183600,0.8603,0.8681,0.8599,0.8675,334876.94
LDOUSDTSWAP,3,20250604,183900,0.8671,0.872,0.8671,0.8715,178045.11
LDOUSDTSWAP,3,20250604,184200,0.8717,0.8759,0.8712,0.8735,313094.59
LDOUSDTSWAP,3,20250604,184500,0.8733,0.8758,0.8716,0.8717,171532.71
LDOUSDTSWAP,3,20250604,184800,0.8721,0.8742,0.8702,0.8734,103397.92
LDOUSDTSWAP,3,20250604,185100,0.8732,0.8898,0.8721,0.8875,774200.08
LDOUSDTSWAP,3,20250604,185400,0.8873,0.9274,0.8867,0.9214,3212412.86
LDOUSDTSWAP,3,20250604,185700,0.9213,0.9325,0.9078,0.909,2751385.06
LDOUSDTSWAP,3,20250604,190000,0.9091,0.9145,0.8967,0.9135,1413188.68
LDOUSDTSWAP,3,20250604,190300,0.9136,0.9207,0.8943,0.8968,1290117.4
LDOUSDTSWAP,3,20250604,190600,0.8969,0.9151,0.8965,0.9018,1285701.67
LDOUSDTSWAP,3,20250604,190900,0.9019,0.9245,0.8986,0.9218,1362765.49
LDOUSDTSWAP,3,20250604,191200,0.9218,0.937,0.9121,0.913,1469877.39
LDOUSDTSWAP,3,20250604,191500,0.9132,0.923,0.9122,0.9165,733979.02
LDOUSDTSWAP,3,20250604,191800,0.9168,0.9268,0.9155,0.9247,543756.83
