<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LOOKSUSDTSWAP,60,20250531,190000,0.01344,0.01359,0.01331,0.01358,85573.21
LOOKSUSDTSWAP,60,20250531,200000,0.01357,0.01364,0.01335,0.01338,44864.96
LOOKSUSDTSWAP,60,20250531,210000,0.01339,0.01365,0.01336,0.01363,25583.43
LOOKSUSDTSWAP,60,20250531,220000,0.01363,0.01374,0.01362,0.01373,36252.26
LOOKSUSDTSWAP,60,20250531,230000,0.01372,0.01381,0.01366,0.0138,45193.69
LOOKSUSDTSWAP,60,20250601,000000,0.01379,0.0139,0.01373,0.01378,42185.02
LOOKSUSDTSWAP,60,20250601,010000,0.01379,0.01384,0.01368,0.01374,21029.53
LOOKSUSDTSWAP,60,20250601,020000,0.01374,0.01384,0.01362,0.01365,64171.24
LOOKSUSDTSWAP,60,20250601,030000,0.01365,0.01377,0.01355,0.01373,59060.07
LOOKSUSDTSWAP,60,20250601,040000,0.01373,0.01375,0.01357,0.01363,38370.17
LOOKSUSDTSWAP,60,20250601,050000,0.01362,0.01372,0.01347,0.01368,75833.14
LOOKSUSDTSWAP,60,20250601,060000,0.01369,0.0137,0.01355,0.01365,22367.46
LOOKSUSDTSWAP,60,20250601,070000,0.01365,0.01406,0.01364,0.01399,102682.92
LOOKSUSDTSWAP,60,20250601,080000,0.014,0.01404,0.0138,0.01391,52185.15
LOOKSUSDTSWAP,60,20250601,090000,0.01391,0.01404,0.01387,0.01392,24334.54
LOOKSUSDTSWAP,60,20250601,100000,0.01391,0.01406,0.01382,0.01401,42063.46
LOOKSUSDTSWAP,60,20250601,110000,0.01401,0.01401,0.01375,0.01384,47004.19
LOOKSUSDTSWAP,60,20250601,120000,0.01384,0.01391,0.01343,0.01355,114377.93
LOOKSUSDTSWAP,60,20250601,130000,0.01356,0.01361,0.01337,0.01343,76998.14
LOOKSUSDTSWAP,60,20250601,140000,0.01342,0.01351,0.01331,0.01346,54189.01
LOOKSUSDTSWAP,60,20250601,150000,0.01345,0.01351,0.01321,0.01341,71833.61
LOOKSUSDTSWAP,60,20250601,160000,0.01341,0.01365,0.01337,0.01358,53157.07
LOOKSUSDTSWAP,60,20250601,170000,0.01357,0.01403,0.01356,0.01379,106610.33
LOOKSUSDTSWAP,60,20250601,180000,0.01378,0.01385,0.01368,0.01378,54668.13
LOOKSUSDTSWAP,60,20250601,190000,0.01379,0.01426,0.01373,0.01414,176061.05
LOOKSUSDTSWAP,60,20250601,200000,0.01412,0.01444,0.01357,0.01386,688592.3
LOOKSUSDTSWAP,60,20250601,210000,0.01386,0.01393,0.01361,0.0138,105231.48
LOOKSUSDTSWAP,60,20250601,220000,0.0138,0.0139,0.01365,0.01377,59801.75
LOOKSUSDTSWAP,60,20250601,230000,0.01377,0.01394,0.01368,0.01383,95925.57
LOOKSUSDTSWAP,60,20250602,000000,0.01384,0.01399,0.01382,0.01398,23678.41
LOOKSUSDTSWAP,60,20250602,010000,0.01397,0.01408,0.01397,0.01403,20784.93
LOOKSUSDTSWAP,60,20250602,020000,0.01403,0.01415,0.01402,0.01405,26414.62
LOOKSUSDTSWAP,60,20250602,030000,0.01405,0.01416,0.01394,0.01403,63459.28
LOOKSUSDTSWAP,60,20250602,040000,0.01403,0.01417,0.01398,0.014,56195.31
LOOKSUSDTSWAP,60,20250602,050000,0.01401,0.0141,0.01386,0.01391,79004.16
LOOKSUSDTSWAP,60,20250602,060000,0.01391,0.01395,0.01361,0.01383,109016.55
