<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LOOKSUSDTSWAP,3,20250604,172700,0.01391,0.01391,0.01389,0.01389,201.72
LOOKSUSDTSWAP,3,20250604,173000,0.0139,0.01393,0.0139,0.01392,2258.14
LOOKSUSDTSWAP,3,20250604,173300,0.01393,0.01396,0.01392,0.01394,1613.94
LOOKSUSDTSWAP,3,20250604,173600,0.01394,0.01394,0.0139,0.01391,3117.39
LOOKSUSDTSWAP,3,20250604,173900,0.01389,0.01391,0.01389,0.01391,457.37
LOOKSUSDTSWAP,3,20250604,174200,0.01391,0.01392,0.0139,0.01392,188.66
LOOKSUSDTSWAP,3,20250604,174500,0.01393,0.01394,0.0139,0.01394,1145.95
LOOKSUSDTSWAP,3,20250604,174800,0.01394,0.01401,0.01394,0.01395,2391.83
LOOKSUSDTSWAP,3,20250604,175100,0.01396,0.01396,0.01392,0.01395,1115.15
LOOKSUSDTSWAP,3,20250604,175400,0.01396,0.01402,0.01396,0.01402,1822.49
LOOKSUSDTSWAP,3,20250604,175700,0.01401,0.01408,0.01401,0.01407,4107.58
LOOKSUSDTSWAP,3,20250604,180000,0.01407,0.01409,0.01404,0.01407,5308.84
LOOKSUSDTSWAP,3,20250604,180300,0.01407,0.01407,0.01405,0.01407,1731.54
LOOKSUSDTSWAP,3,20250604,180600,0.01406,0.01414,0.01403,0.01408,9420.42
LOOKSUSDTSWAP,3,20250604,180900,0.01408,0.01412,0.01407,0.01411,443.8
LOOKSUSDTSWAP,3,20250604,181200,0.01411,0.01413,0.0141,0.01411,1099.51
LOOKSUSDTSWAP,3,20250604,181500,0.0141,0.01416,0.0141,0.01414,13842.45
LOOKSUSDTSWAP,3,20250604,181800,0.01413,0.01422,0.01412,0.01418,5088.72
LOOKSUSDTSWAP,3,20250604,182100,0.01418,0.0142,0.01415,0.01418,7709.07
LOOKSUSDTSWAP,3,20250604,182400,0.01418,0.01426,0.01418,0.01425,4144.73
LOOKSUSDTSWAP,3,20250604,182700,0.01424,0.01428,0.0142,0.0142,9245.28
