<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LRCUSDTSWAP,1440,20250225,030000,0.1196,0.1207,0.1113,0.1192,248543.87
LRCUSDTSWAP,1440,20250226,030000,0.1192,0.1255,0.1166,0.1212,127693.48
LRCUSDTSWAP,1440,20250227,030000,0.1211,0.1278,0.1198,0.1236,123178.44
LRCUSDTSWAP,1440,20250228,030000,0.1236,0.1251,0.1127,0.1236,205293.05
LRCUSDTSWAP,1440,20250301,030000,0.1235,0.1241,0.1179,0.1218,190860.23
LRCUSDTSWAP,1440,20250302,030000,0.1218,0.1329,0.118,0.1323,203734.25
LRCUSDTSWAP,1440,20250303,030000,0.1324,0.1329,0.1116,0.1133,320003.92
LRCUSDTSWAP,1440,20250304,030000,0.1134,0.1139,0.1033,0.1113,302686.83
LRCUSDTSWAP,1440,20250305,030000,0.1113,0.1159,0.1099,0.1145,137048.36
LRCUSDTSWAP,1440,20250306,030000,0.1144,0.1176,0.1101,0.1124,132494.19
LRCUSDTSWAP,1440,20250307,030000,0.1123,0.1149,0.1068,0.1109,220912.07
LRCUSDTSWAP,1440,20250308,030000,0.1109,0.1118,0.1067,0.1079,96031.64
LRCUSDTSWAP,1440,20250309,030000,0.1078,0.1084,0.0981,0.1014,130915.55
LRCUSDTSWAP,1440,20250310,030000,0.1013,0.1136,0.0996,0.101,288704.7
LRCUSDTSWAP,1440,20250311,030000,0.1011,0.108,0.0946,0.1053,192613.5
LRCUSDTSWAP,1440,20250312,030000,0.1053,0.1076,0.1016,0.1048,168111.24
LRCUSDTSWAP,1440,20250313,030000,0.1048,0.1053,0.1005,0.1035,103877.24
LRCUSDTSWAP,1440,20250314,030000,0.1035,0.1075,0.1029,0.1049,76262.63
LRCUSDTSWAP,1440,20250315,030000,0.1049,0.1083,0.1046,0.1074,78765.63
LRCUSDTSWAP,1440,20250316,030000,0.1074,0.1078,0.1018,0.1028,84672.98
LRCUSDTSWAP,1440,20250317,030000,0.1028,0.1083,0.1026,0.1071,89527.39
LRCUSDTSWAP,1440,20250318,030000,0.107,0.1071,0.1017,0.1062,90649.12
LRCUSDTSWAP,1440,20250319,030000,0.1062,0.1108,0.1062,0.1101,107229.61
LRCUSDTSWAP,1440,20250320,030000,0.1101,0.1106,0.1052,0.1059,70341.35
LRCUSDTSWAP,1440,20250321,030000,0.106,0.1067,0.1034,0.1043,69817.43
LRCUSDTSWAP,1440,20250322,030000,0.1042,0.108,0.1037,0.1061,62880.84
LRCUSDTSWAP,1440,20250323,030000,0.1062,0.1076,0.1044,0.1053,49837.64
LRCUSDTSWAP,1440,20250324,030000,0.1054,0.1125,0.1045,0.111,143320.5
LRCUSDTSWAP,1440,20250325,030000,0.1109,0.1137,0.109,0.1131,73297.69
