<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LRCUSDTSWAP,60,20250531,190000,0.08545,0.08664,0.08528,0.08615,2201.53
LRCUSDTSWAP,60,20250531,200000,0.08615,0.08628,0.08522,0.08529,1522.44
LRCUSDTSWAP,60,20250531,210000,0.08527,0.08593,0.08518,0.08589,1721.77
LRCUSDTSWAP,60,20250531,220000,0.08587,0.08614,0.08571,0.08581,1657.38
LRCUSDTSWAP,60,20250531,230000,0.08583,0.08623,0.08571,0.08618,3299.82
LRCUSDTSWAP,60,20250601,000000,0.08622,0.08915,0.0862,0.08676,17122.0
LRCUSDTSWAP,60,20250601,010000,0.08675,0.08691,0.08591,0.08606,3179.65
LRCUSDTSWAP,60,20250601,020000,0.08604,0.08673,0.08598,0.08627,2697.61
LRCUSDTSWAP,60,20250601,030000,0.08625,0.0866,0.0858,0.08639,5290.32
LRCUSDTSWAP,60,20250601,040000,0.08641,0.08702,0.08609,0.08635,4110.44
LRCUSDTSWAP,60,20250601,050000,0.08638,0.08678,0.08586,0.08632,4124.13
LRCUSDTSWAP,60,20250601,060000,0.08633,0.08653,0.08574,0.08634,1908.5
LRCUSDTSWAP,60,20250601,070000,0.08632,0.08634,0.08542,0.08604,6627.74
LRCUSDTSWAP,60,20250601,080000,0.08607,0.08645,0.08601,0.08634,2818.19
LRCUSDTSWAP,60,20250601,090000,0.08635,0.08641,0.08587,0.08627,2214.96
LRCUSDTSWAP,60,20250601,100000,0.08623,0.08628,0.08579,0.08615,1636.82
LRCUSDTSWAP,60,20250601,110000,0.08613,0.08629,0.08588,0.08602,6446.23
LRCUSDTSWAP,60,20250601,120000,0.08605,0.08623,0.08456,0.08511,5223.92
LRCUSDTSWAP,60,20250601,130000,0.0851,0.08579,0.0851,0.08558,2941.31
LRCUSDTSWAP,60,20250601,140000,0.08557,0.08639,0.08532,0.08602,2735.93
LRCUSDTSWAP,60,20250601,150000,0.086,0.08602,0.08489,0.08523,5374.57
LRCUSDTSWAP,60,20250601,160000,0.08524,0.08611,0.08518,0.08579,1531.34
LRCUSDTSWAP,60,20250601,170000,0.08582,0.08741,0.08582,0.08703,4918.86
LRCUSDTSWAP,60,20250601,180000,0.08708,0.08725,0.08673,0.08698,2018.17
LRCUSDTSWAP,60,20250601,190000,0.08701,0.08805,0.0869,0.08765,5162.04
LRCUSDTSWAP,60,20250601,200000,0.08768,0.08796,0.08725,0.08779,2947.28
LRCUSDTSWAP,60,20250601,210000,0.08776,0.08778,0.08622,0.08699,4364.57
LRCUSDTSWAP,60,20250601,220000,0.08698,0.08775,0.08684,0.08775,2141.71
LRCUSDTSWAP,60,20250601,230000,0.08774,0.0878,0.08711,0.08711,5974.13
LRCUSDTSWAP,60,20250602,000000,0.08711,0.0879,0.08701,0.0879,5713.72
LRCUSDTSWAP,60,20250602,010000,0.08784,0.08835,0.08758,0.08772,5707.14
LRCUSDTSWAP,60,20250602,020000,0.08774,0.0882,0.08758,0.0877,2031.09
LRCUSDTSWAP,60,20250602,030000,0.08768,0.08768,0.08674,0.08697,6152.24
LRCUSDTSWAP,60,20250602,040000,0.08698,0.08748,0.08676,0.08688,3013.68
LRCUSDTSWAP,60,20250602,050000,0.08687,0.08688,0.08587,0.08593,6021.65
LRCUSDTSWAP,60,20250602,060000,0.08595,0.08607,0.08543,0.08573,2155.45
LRCUSDTSWAP,60,20250602,070000,0.08572,0.0861,0.0855,0.08557,1416.35
LRCUSDTSWAP,60,20250602,080000,0.08557,0.08606,0.08515,0.08569,2639.75
LRCUSDTSWAP,60,20250602,090000,0.08568,0.08675,0.08556,0.08629,2705.0
LRCUSDTSWAP,60,20250602,100000,0.08631,0.0872,0.08628,0.08665,2669.91
LRCUSDTSWAP,60,20250602,110000,0.08665,0.08723,0.08616,0.08629,2783.72
LRCUSDTSWAP,60,20250602,120000,0.08635,0.08635,0.08548,0.08568,2997.38
LRCUSDTSWAP,60,20250602,130000,0.0857,0.08596,0.08515,0.08551,4085.23
LRCUSDTSWAP,60,20250602,140000,0.08552,0.08613,0.0854,0.08591,2900.58
LRCUSDTSWAP,60,20250602,150000,0.08591,0.08698,0.08571,0.08685,4629.86
LRCUSDTSWAP,60,20250602,160000,0.08689,0.08747,0.0862,0.08655,5198.19
LRCUSDTSWAP,60,20250602,170000,0.08655,0.08767,0.0863,0.08693,6857.27
LRCUSDTSWAP,60,20250602,180000,0.087,0.08747,0.08651,0.08716,1501.53
LRCUSDTSWAP,60,20250602,190000,0.08717,0.08753,0.08671,0.08735,1558.86
LRCUSDTSWAP,60,20250602,200000,0.08738,0.0877,0.08684,0.08768,5784.38
LRCUSDTSWAP,60,20250602,210000,0.08766,0.08808,0.08735,0.08753,2655.92
LRCUSDTSWAP,60,20250602,220000,0.08761,0.08788,0.08675,0.08768,4781.67
LRCUSDTSWAP,60,20250602,230000,0.08767,0.08973,0.08766,0.0896,8090.01
LRCUSDTSWAP,60,20250603,000000,0.08964,0.09087,0.08958,0.09087,3887.24
LRCUSDTSWAP,60,20250603,010000,0.09081,0.09158,0.09051,0.09088,3474.12
LRCUSDTSWAP,60,20250603,020000,0.0909,0.09142,0.09071,0.09088,4239.21
LRCUSDTSWAP,60,20250603,030000,0.09089,0.09168,0.09066,0.09136,4807.99
LRCUSDTSWAP,60,20250603,040000,0.09142,0.09223,0.09129,0.09209,3053.7
LRCUSDTSWAP,60,20250603,050000,0.09215,0.09231,0.09127,0.09162,5942.29
LRCUSDTSWAP,60,20250603,060000,0.09162,0.09171,0.08405,0.09006,169962.98
