<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LRCUSDTSWAP,3,20250604,172700,0.08646,0.08646,0.08635,0.0864,16.51
LRCUSDTSWAP,3,20250604,173000,0.08637,0.08638,0.08634,0.08635,11.49
LRCUSDTSWAP,3,20250604,173300,0.08638,0.08661,0.08638,0.08639,468.61
LRCUSDTSWAP,3,20250604,173600,0.08641,0.08641,0.08628,0.08632,571.52
LRCUSDTSWAP,3,20250604,173900,0.08633,0.08648,0.08633,0.08648,104.11
LRCUSDTSWAP,3,20250604,174200,0.08649,0.08696,0.08638,0.08693,2524.38
LRCUSDTSWAP,3,20250604,174500,0.08691,0.08753,0.08685,0.08753,4191.32
LRCUSDTSWAP,3,20250604,174800,0.08749,0.0878,0.08742,0.08776,4329.36
LRCUSDTSWAP,3,20250604,175100,0.08774,0.08827,0.08767,0.08827,2698.09
LRCUSDTSWAP,3,20250604,175400,0.08826,0.08875,0.08817,0.08874,5665.67
LRCUSDTSWAP,3,20250604,175700,0.08874,0.08945,0.08868,0.08944,4647.23
LRCUSDTSWAP,3,20250604,180000,0.08944,0.09342,0.08773,0.08824,68673.28
LRCUSDTSWAP,3,20250604,180300,0.08828,0.08934,0.08772,0.08804,6487.17
LRCUSDTSWAP,3,20250604,180600,0.08804,0.08838,0.08777,0.08787,3592.56
LRCUSDTSWAP,3,20250604,180900,0.0878,0.08819,0.0878,0.08789,740.77
LRCUSDTSWAP,3,20250604,181200,0.0879,0.08973,0.08783,0.08929,7037.54
LRCUSDTSWAP,3,20250604,181500,0.08929,0.0913,0.08922,0.09081,9545.01
LRCUSDTSWAP,3,20250604,181800,0.09083,0.09155,0.09067,0.09136,3194.85
LRCUSDTSWAP,3,20250604,182100,0.09136,0.09203,0.09114,0.09162,4213.98
LRCUSDTSWAP,3,20250604,182400,0.09168,0.09227,0.09161,0.09193,2635.89
LRCUSDTSWAP,3,20250604,182700,0.09195,0.09205,0.09076,0.09089,6548.5
LRCUSDTSWAP,3,20250604,183000,0.09093,0.09138,0.09058,0.09117,5576.19
LRCUSDTSWAP,3,20250604,183300,0.09118,0.09186,0.09099,0.09186,2069.88
LRCUSDTSWAP,3,20250604,183600,0.0918,0.09204,0.09159,0.09194,2311.25
LRCUSDTSWAP,3,20250604,183900,0.09195,0.09237,0.0918,0.09228,1962.76
LRCUSDTSWAP,3,20250604,184200,0.09226,0.09328,0.09222,0.09309,3737.45
LRCUSDTSWAP,3,20250604,184500,0.09309,0.09324,0.09233,0.09244,2135.48
LRCUSDTSWAP,3,20250604,184800,0.09244,0.09281,0.09224,0.09238,1273.82
LRCUSDTSWAP,3,20250604,185100,0.09243,0.09257,0.09186,0.09202,2293.47
LRCUSDTSWAP,3,20250604,185400,0.09202,0.09228,0.09163,0.09198,2058.12
LRCUSDTSWAP,3,20250604,185700,0.09196,0.09198,0.09138,0.09144,1896.03
LRCUSDTSWAP,3,20250604,190000,0.09145,0.0915,0.09096,0.091,1425.16
LRCUSDTSWAP,3,20250604,190300,0.091,0.09185,0.091,0.09149,949.49
LRCUSDTSWAP,3,20250604,190600,0.09152,0.09174,0.09103,0.09115,598.08
LRCUSDTSWAP,3,20250604,190900,0.09107,0.09149,0.09093,0.09093,1087.38
LRCUSDTSWAP,3,20250604,191200,0.09097,0.09102,0.0904,0.09053,669.72
LRCUSDTSWAP,3,20250604,191500,0.09053,0.09077,0.09045,0.09054,385.39
LRCUSDTSWAP,3,20250604,191800,0.09055,0.09064,0.09042,0.0906,449.94
LRCUSDTSWAP,3,20250604,192100,0.09055,0.09059,0.09008,0.09021,725.76
LRCUSDTSWAP,3,20250604,192400,0.0902,0.09096,0.0902,0.09079,813.96
LRCUSDTSWAP,3,20250604,192700,0.09081,0.09129,0.09075,0.09079,979.11
LRCUSDTSWAP,3,20250604,193000,0.09085,0.09093,0.09066,0.09074,418.55
LRCUSDTSWAP,3,20250604,193300,0.09074,0.09105,0.09061,0.09105,720.48
LRCUSDTSWAP,3,20250604,193600,0.09108,0.09148,0.09104,0.09128,582.09
LRCUSDTSWAP,3,20250604,193900,0.09131,0.09179,0.09131,0.09149,492.8
LRCUSDTSWAP,3,20250604,194200,0.0915,0.09154,0.09074,0.09074,909.88
LRCUSDTSWAP,3,20250604,194500,0.09074,0.09108,0.09057,0.09108,481.83
LRCUSDTSWAP,3,20250604,194800,0.09108,0.09116,0.091,0.09112,444.83
LRCUSDTSWAP,3,20250604,195100,0.0912,0.09121,0.09087,0.09087,204.65
LRCUSDTSWAP,3,20250604,195400,0.09086,0.09117,0.09078,0.09113,188.99
