<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LUNCUSDTSWAP,1440,20250225,030000,0.00006525,0.00006863,0.00006197,0.00006754,499.93
LUNCUSDTSWAP,1440,20250226,030000,0.00006754,0.00006932,0.00006483,0.00006738,268.12
LUNCUSDTSWAP,1440,20250227,030000,0.0000674,0.00006983,0.00006639,0.00006805,248.82
LUNCUSDTSWAP,1440,20250228,030000,0.00006807,0.00006818,0.00006251,0.00006743,333.78
LUNCUSDTSWAP,1440,20250301,030000,0.00006743,0.00006833,0.00006503,0.00006707,206.38
LUNCUSDTSWAP,1440,20250302,030000,0.00006707,0.00007252,0.00006593,0.00007193,371.68
LUNCUSDTSWAP,1440,20250303,030000,0.00007195,0.00007217,0.0000634,0.00006406,433.15
LUNCUSDTSWAP,1440,20250304,030000,0.00006404,0.00006478,0.00005967,0.00006377,461.79
LUNCUSDTSWAP,1440,20250305,030000,0.00006376,0.00006585,0.00006257,0.00006521,250.76
LUNCUSDTSWAP,1440,20250306,030000,0.00006522,0.00006709,0.00006359,0.00006398,259.3
LUNCUSDTSWAP,1440,20250307,030000,0.00006399,0.00006719,0.00006123,0.00006426,399.45
LUNCUSDTSWAP,1440,20250308,030000,0.00006425,0.00006486,0.00006227,0.000063,196.48
LUNCUSDTSWAP,1440,20250309,030000,0.00006299,0.0000633,0.00005686,0.00005812,346.75
LUNCUSDTSWAP,1440,20250310,030000,0.00005814,0.00006186,0.00005667,0.00005782,343.73
LUNCUSDTSWAP,1440,20250311,030000,0.00005781,0.00006163,0.00005456,0.00006082,318.66
LUNCUSDTSWAP,1440,20250312,030000,0.00006081,0.00006296,0.00005936,0.00006201,273.6
LUNCUSDTSWAP,1440,20250313,030000,0.00006205,0.00006234,0.00005897,0.0000605,174.68
LUNCUSDTSWAP,1440,20250314,030000,0.00006047,0.00006308,0.00006031,0.00006212,177.93
LUNCUSDTSWAP,1440,20250315,030000,0.00006213,0.00006615,0.00006186,0.00006393,406.41
LUNCUSDTSWAP,1440,20250316,030000,0.00006395,0.00006475,0.00006121,0.00006199,325.91
LUNCUSDTSWAP,1440,20250317,030000,0.00006199,0.00006586,0.00006195,0.00006478,391.05
LUNCUSDTSWAP,1440,20250318,030000,0.00006479,0.00006624,0.00006148,0.00006297,492.74
LUNCUSDTSWAP,1440,20250319,030000,0.00006295,0.00006571,0.00006275,0.00006559,262.93
LUNCUSDTSWAP,1440,20250320,030000,0.0000656,0.00006599,0.0000639,0.00006519,198.43
LUNCUSDTSWAP,1440,20250321,030000,0.00006519,0.00006635,0.00006288,0.00006353,220.39
LUNCUSDTSWAP,1440,20250322,030000,0.00006352,0.00006579,0.0000631,0.00006343,194.08
LUNCUSDTSWAP,1440,20250323,030000,0.00006342,0.00006476,0.00006289,0.00006335,124.34
LUNCUSDTSWAP,1440,20250324,030000,0.00006335,0.00006576,0.00006299,0.00006533,253.46
LUNCUSDTSWAP,1440,20250325,030000,0.00006531,0.00006655,0.00006428,0.00006599,167.75
LUNCUSDTSWAP,1440,20250326,030000,0.00006598,0.00006855,0.00006504,0.00006724,319.45
LUNCUSDTSWAP,1440,20250327,030000,0.00006724,0.00006777,0.00006486,0.00006551,169.74
LUNCUSDTSWAP,1440,20250328,030000,0.00006547,0.00006581,0.00006089,0.00006175,232.84
LUNCUSDTSWAP,1440,20250329,030000,0.00006174,0.00006209,0.00005847,0.00005934,206.27
LUNCUSDTSWAP,1440,20250330,030000,0.00005936,0.00006199,0.00005868,0.00006074,248.41
LUNCUSDTSWAP,1440,20250331,030000,0.00006077,0.00006155,0.00005849,0.00005945,228.24
LUNCUSDTSWAP,1440,20250401,030000,0.00005944,0.00006179,0.00005927,0.00006007,163.66
LUNCUSDTSWAP,1440,20250402,030000,0.00006007,0.00006201,0.00005747,0.00005856,323.76
LUNCUSDTSWAP,1440,20250403,030000,0.00005858,0.0000611,0.00005519,0.00005846,256.28
LUNCUSDTSWAP,1440,20250404,030000,0.00005845,0.00005986,0.00005716,0.00005902,162.68
LUNCUSDTSWAP,1440,20250405,030000,0.00005903,0.00005957,0.00005753,0.00005843,65.15
LUNCUSDTSWAP,1440,20250406,030000,0.00005841,0.00005866,0.00005364,0.00005479,268.44
LUNCUSDTSWAP,1440,20250407,030000,0.00005479,0.00005745,0.00005086,0.00005614,374.83
LUNCUSDTSWAP,1440,20250408,030000,0.00005611,0.00005785,0.0000525,0.00005296,178.3
LUNCUSDTSWAP,1440,20250409,030000,0.00005296,0.00005919,0.0000511,0.0000582,222.04
LUNCUSDTSWAP,1440,20250410,030000,0.00005824,0.0000585,0.00005629,0.00005733,219.75
LUNCUSDTSWAP,1440,20250411,030000,0.00005733,0.00005968,0.00005693,0.00005884,168.22
LUNCUSDTSWAP,1440,20250412,030000,0.0000588,0.00006084,0.00005796,0.0000604,159.97
LUNCUSDTSWAP,1440,20250413,030000,0.00006045,0.00006084,0.00005791,0.00005882,217.63
