<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LUNCUSDTSWAP,60,20250531,190000,0.0000574,0.00005796,0.00005726,0.00005778,9.58
LUNCUSDTSWAP,60,20250531,200000,0.0000578,0.00005826,0.00005754,0.00005758,8.0
LUNCUSDTSWAP,60,20250531,210000,0.0000576,0.00005798,0.00005758,0.00005774,1.47
LUNCUSDTSWAP,60,20250531,220000,0.00005779,0.00005799,0.00005773,0.00005773,2.44
LUNCUSDTSWAP,60,20250531,230000,0.00005777,0.00005795,0.00005764,0.00005789,2.78
LUNCUSDTSWAP,60,20250601,000000,0.00005791,0.00005825,0.00005788,0.00005814,5.76
LUNCUSDTSWAP,60,20250601,010000,0.00005817,0.00005819,0.00005778,0.00005778,2.31
LUNCUSDTSWAP,60,20250601,020000,0.00005777,0.00005816,0.00005765,0.00005787,3.58
LUNCUSDTSWAP,60,20250601,030000,0.00005788,0.00005811,0.0000576,0.00005808,5.32
LUNCUSDTSWAP,60,20250601,040000,0.00005808,0.00005836,0.00005754,0.00005765,3.67
LUNCUSDTSWAP,60,20250601,050000,0.00005762,0.00005809,0.00005733,0.00005805,5.29
LUNCUSDTSWAP,60,20250601,060000,0.00005806,0.0000583,0.00005784,0.00005814,4.04
LUNCUSDTSWAP,60,20250601,070000,0.00005816,0.00005877,0.00005804,0.00005864,3.9
LUNCUSDTSWAP,60,20250601,080000,0.00005864,0.00005906,0.00005857,0.00005906,3.75
LUNCUSDTSWAP,60,20250601,090000,0.00005905,0.00005919,0.00005881,0.00005881,7.94
LUNCUSDTSWAP,60,20250601,100000,0.00005883,0.00005896,0.00005844,0.0000586,6.41
LUNCUSDTSWAP,60,20250601,110000,0.00005861,0.00005864,0.00005839,0.00005843,3.73
LUNCUSDTSWAP,60,20250601,120000,0.00005849,0.00005863,0.00005758,0.00005792,12.85
LUNCUSDTSWAP,60,20250601,130000,0.00005795,0.0000582,0.0000578,0.00005815,3.44
LUNCUSDTSWAP,60,20250601,140000,0.00005811,0.00005848,0.00005795,0.00005829,3.02
LUNCUSDTSWAP,60,20250601,150000,0.00005829,0.00005829,0.00005773,0.00005783,3.39
LUNCUSDTSWAP,60,20250601,160000,0.00005786,0.00005857,0.00005782,0.00005831,2.73
LUNCUSDTSWAP,60,20250601,170000,0.00005831,0.0000591,0.00005831,0.00005892,4.97
LUNCUSDTSWAP,60,20250601,180000,0.00005891,0.00005927,0.00005875,0.00005909,2.67
LUNCUSDTSWAP,60,20250601,190000,0.0000591,0.00005955,0.00005901,0.00005921,6.16
LUNCUSDTSWAP,60,20250601,200000,0.00005922,0.00005929,0.00005874,0.0000588,3.54
LUNCUSDTSWAP,60,20250601,210000,0.00005879,0.00005884,0.00005775,0.00005814,7.52
LUNCUSDTSWAP,60,20250601,220000,0.0000582,0.00005851,0.00005813,0.00005851,2.95
LUNCUSDTSWAP,60,20250601,230000,0.00005848,0.00005863,0.00005815,0.00005831,5.57
LUNCUSDTSWAP,60,20250602,000000,0.0000583,0.00005871,0.00005828,0.00005868,6.05
LUNCUSDTSWAP,60,20250602,010000,0.00005871,0.00005887,0.00005848,0.00005859,3.33
LUNCUSDTSWAP,60,20250602,020000,0.00005859,0.00005878,0.00005849,0.00005858,2.3
LUNCUSDTSWAP,60,20250602,030000,0.00005858,0.00005875,0.0000584,0.00005856,5.52
LUNCUSDTSWAP,60,20250602,040000,0.00005857,0.00005879,0.0000584,0.0000584,2.04
LUNCUSDTSWAP,60,20250602,050000,0.00005838,0.00005841,0.00005805,0.0000581,2.28
LUNCUSDTSWAP,60,20250602,060000,0.0000581,0.00005811,0.00005769,0.00005793,4.22
LUNCUSDTSWAP,60,20250602,070000,0.00005794,0.00005823,0.00005782,0.00005821,2.9
LUNCUSDTSWAP,60,20250602,080000,0.0000582,0.00005831,0.00005777,0.00005809,2.57
LUNCUSDTSWAP,60,20250602,090000,0.00005809,0.00005854,0.00005783,0.00005833,2.52
LUNCUSDTSWAP,60,20250602,100000,0.00005833,0.00005867,0.0000583,0.00005846,4.04
