<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LUNCUSDTSWAP,3,20250604,172700,0.00005939,0.00005939,0.00005929,0.00005929,0.61
LUNCUSDTSWAP,3,20250604,173000,0.00005932,0.00005935,0.00005929,0.00005931,0.16
LUNCUSDTSWAP,3,20250604,173300,0.00005933,0.00005939,0.0000593,0.00005931,0.07
LUNCUSDTSWAP,3,20250604,173600,0.00005929,0.0000593,0.00005925,0.00005928,0.05
LUNCUSDTSWAP,3,20250604,173900,0.00005928,0.00005937,0.00005928,0.00005937,0.09
LUNCUSDTSWAP,3,20250604,174200,0.00005936,0.00005939,0.00005933,0.00005939,0.09
LUNCUSDTSWAP,3,20250604,174500,0.00005938,0.00005944,0.00005937,0.00005944,0.11
LUNCUSDTSWAP,3,20250604,174800,0.00005946,0.00005951,0.00005943,0.00005948,0.3
LUNCUSDTSWAP,3,20250604,175100,0.00005946,0.00005948,0.00005942,0.00005948,0.17
LUNCUSDTSWAP,3,20250604,175400,0.00005954,0.00005963,0.00005954,0.00005963,0.73
LUNCUSDTSWAP,3,20250604,175700,0.00005963,0.00005966,0.00005959,0.00005966,0.19
LUNCUSDTSWAP,3,20250604,180000,0.00005967,0.00005967,0.00005954,0.00005954,1.73
LUNCUSDTSWAP,3,20250604,180300,0.00005953,0.00005958,0.00005951,0.00005955,0.14
LUNCUSDTSWAP,3,20250604,180600,0.00005954,0.00005968,0.00005954,0.00005956,0.9
LUNCUSDTSWAP,3,20250604,180900,0.00005959,0.00005964,0.00005957,0.00005964,0.04
LUNCUSDTSWAP,3,20250604,181200,0.00005964,0.00005967,0.00005963,0.00005965,0.36
LUNCUSDTSWAP,3,20250604,181500,0.00005967,0.0000598,0.00005967,0.00005975,1.06
LUNCUSDTSWAP,3,20250604,181800,0.00005975,0.00005977,0.00005973,0.00005974,0.31
LUNCUSDTSWAP,3,20250604,182100,0.00005972,0.00005982,0.0000597,0.0000598,0.15
LUNCUSDTSWAP,3,20250604,182400,0.0000598,0.00005981,0.00005979,0.0000598,0.3
LUNCUSDTSWAP,3,20250604,182700,0.00005979,0.00005983,0.00005979,0.0000598,0.37
LUNCUSDTSWAP,3,20250604,183000,0.00005981,0.00005996,0.00005974,0.00005993,4.76
LUNCUSDTSWAP,3,20250604,183300,0.00005992,0.00005995,0.00005987,0.00005989,0.18
LUNCUSDTSWAP,3,20250604,183600,0.0000599,0.00006009,0.0000599,0.00006006,0.66
LUNCUSDTSWAP,3,20250604,183900,0.00006005,0.00006013,0.00006005,0.00006013,0.69
LUNCUSDTSWAP,3,20250604,184200,0.0000601,0.00006017,0.0000601,0.00006011,0.52
LUNCUSDTSWAP,3,20250604,184500,0.00006013,0.00006015,0.00006001,0.00006006,3.93
LUNCUSDTSWAP,3,20250604,184800,0.00006002,0.00006004,0.00005997,0.00006002,0.25
LUNCUSDTSWAP,3,20250604,185100,0.00006001,0.00006008,0.00006,0.00006003,0.08
LUNCUSDTSWAP,3,20250604,185400,0.00006002,0.00006009,0.00006001,0.00006009,0.13
LUNCUSDTSWAP,3,20250604,185700,0.00006008,0.00006008,0.00005999,0.00006002,0.26
LUNCUSDTSWAP,3,20250604,190000,0.00006001,0.00006001,0.00005996,0.00005996,0.16
LUNCUSDTSWAP,3,20250604,190300,0.00005999,0.00005999,0.00005993,0.00005993,0.17
LUNCUSDTSWAP,3,20250604,190600,0.0000599,0.00005991,0.00005984,0.00005984,0.22
LUNCUSDTSWAP,3,20250604,190900,0.00005985,0.0000599,0.00005985,0.0000599,0.22
LUNCUSDTSWAP,3,20250604,191200,0.00005992,0.00005994,0.00005988,0.00005991,0.04
LUNCUSDTSWAP,3,20250604,191500,0.00005991,0.00005991,0.00005981,0.00005982,0.74
LUNCUSDTSWAP,3,20250604,191800,0.00005983,0.0000599,0.00005977,0.0000599,0.21
LUNCUSDTSWAP,3,20250604,192100,0.00005991,0.00005994,0.00005982,0.00005984,0.17
LUNCUSDTSWAP,3,20250604,192400,0.00005982,0.00005984,0.00005979,0.00005979,0.14
LUNCUSDTSWAP,3,20250604,192700,0.0000598,0.00005983,0.00005977,0.00005981,0.59
LUNCUSDTSWAP,3,20250604,193000,0.00005979,0.00005979,0.00005975,0.00005979,0.15
LUNCUSDTSWAP,3,20250604,193300,0.00005982,0.00005987,0.00005982,0.00005985,0.03
LUNCUSDTSWAP,3,20250604,193600,0.00005984,0.00005986,0.00005984,0.00005985,0.04
LUNCUSDTSWAP,3,20250604,193900,0.00005986,0.00005994,0.00005986,0.0000599,0.08
LUNCUSDTSWAP,3,20250604,194200,0.00005988,0.00005991,0.00005978,0.00005982,0.92
LUNCUSDTSWAP,3,20250604,194500,0.00005983,0.00005987,0.0000598,0.00005983,0.07
LUNCUSDTSWAP,3,20250604,194800,0.00005986,0.00005991,0.00005983,0.00005991,0.08
LUNCUSDTSWAP,3,20250604,195100,0.0000599,0.00005991,0.00005989,0.00005989,0.04
LUNCUSDTSWAP,3,20250604,195400,0.0000599,0.00005996,0.0000599,0.00005995,0.1
LUNCUSDTSWAP,3,20250604,195700,0.00005997,0.00005997,0.0000599,0.00005995,0.0
LUNCUSDTSWAP,3,20250604,200000,0.00005998,0.00005998,0.00005988,0.00005988,0.06
LUNCUSDTSWAP,3,20250604,200300,0.00005989,0.0000599,0.00005984,0.00005985,0.01
LUNCUSDTSWAP,3,20250604,200600,0.00005984,0.00005984,0.00005981,0.00005984,0.01
LUNCUSDTSWAP,3,20250604,200900,0.00005986,0.00005986,0.00005977,0.00005977,0.0
LUNCUSDTSWAP,3,20250604,201200,0.00005979,0.00005987,0.00005979,0.00005984,0.01
LUNCUSDTSWAP,3,20250604,201500,0.00005984,0.00005984,0.00005972,0.00005975,0.08
LUNCUSDTSWAP,3,20250604,201800,0.00005975,0.00005978,0.00005975,0.00005975,0.05
LUNCUSDTSWAP,3,20250604,202100,0.00005978,0.00005981,0.00005974,0.00005979,0.08
LUNCUSDTSWAP,3,20250604,202400,0.00005978,0.00005978,0.00005964,0.0000597,0.09
LUNCUSDTSWAP,3,20250604,202700,0.0000597,0.00005973,0.00005957,0.0000596,0.25
LUNCUSDTSWAP,3,20250604,203000,0.00005957,0.00005957,0.00005944,0.00005946,0.53
LUNCUSDTSWAP,3,20250604,203300,0.00005947,0.00005955,0.00005941,0.00005952,0.24
LUNCUSDTSWAP,3,20250604,203600,0.00005951,0.00005951,0.00005938,0.00005947,0.18
LUNCUSDTSWAP,3,20250604,203900,0.00005945,0.00005956,0.00005943,0.00005953,0.21
LUNCUSDTSWAP,3,20250604,204200,0.00005951,0.00005951,0.00005948,0.00005948,0.3
LUNCUSDTSWAP,3,20250604,204500,0.00005948,0.00005951,0.00005943,0.00005943,0.04
LUNCUSDTSWAP,3,20250604,204800,0.00005944,0.00005954,0.00005944,0.0000595,0.03
LUNCUSDTSWAP,3,20250604,205100,0.00005948,0.00005957,0.00005948,0.00005957,0.03
LUNCUSDTSWAP,3,20250604,205400,0.00005958,0.00005965,0.00005958,0.00005963,0.14
LUNCUSDTSWAP,3,20250604,205700,0.00005964,0.00005969,0.00005962,0.00005963,0.15
LUNCUSDTSWAP,3,20250604,210000,0.00005965,0.00005972,0.00005965,0.00005972,0.34
LUNCUSDTSWAP,3,20250604,210300,0.00005972,0.00005984,0.00005972,0.00005984,0.31
LUNCUSDTSWAP,3,20250604,210600,0.00005984,0.00005985,0.00005965,0.00005968,0.07
LUNCUSDTSWAP,3,20250604,210900,0.00005968,0.00005983,0.00005967,0.00005982,0.1
LUNCUSDTSWAP,3,20250604,211200,0.00005982,0.00005984,0.00005978,0.00005981,0.04
LUNCUSDTSWAP,3,20250604,211500,0.00005981,0.00005984,0.00005981,0.00005984,0.01
LUNCUSDTSWAP,3,20250604,211800,0.00005982,0.00005986,0.00005979,0.00005985,0.01
LUNCUSDTSWAP,3,20250604,212100,0.00005984,0.00005984,0.00005981,0.00005981,0.0
LUNCUSDTSWAP,3,20250604,212400,0.00005983,0.00005986,0.00005983,0.00005986,0.08
LUNCUSDTSWAP,3,20250604,212700,0.00005987,0.0000599,0.00005987,0.00005989,0.66
LUNCUSDTSWAP,3,20250604,213000,0.00005987,0.00005993,0.00005985,0.00005987,0.14
LUNCUSDTSWAP,3,20250604,213300,0.00005987,0.00005987,0.0000598,0.00005982,0.08
LUNCUSDTSWAP,3,20250604,213600,0.00005983,0.00005985,0.00005983,0.00005984,0.0
