<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAGICUSDTSWAP,1440,20250225,030000,0.2027,0.2148,0.1894,0.2109,3289415.8
MAGICUSDTSWAP,1440,20250226,030000,0.2109,0.2162,0.2018,0.2136,1779892.45
MAGICUSDTSWAP,1440,20250227,030000,0.2136,0.219,0.2052,0.2122,1545024.55
MAGICUSDTSWAP,1440,20250228,030000,0.2122,0.2157,0.1901,0.2121,2367731.0
MAGICUSDTSWAP,1440,20250301,030000,0.2122,0.2158,0.1992,0.2059,1226956.1
MAGICUSDTSWAP,1440,20250302,030000,0.2058,0.2315,0.2007,0.2301,2049323.47
MAGICUSDTSWAP,1440,20250303,030000,0.2301,0.2311,0.1848,0.1888,3529702.02
MAGICUSDTSWAP,1440,20250304,030000,0.1888,0.1901,0.1621,0.1785,4396368.86
MAGICUSDTSWAP,1440,20250305,030000,0.1783,0.1841,0.1699,0.1775,2081011.69
MAGICUSDTSWAP,1440,20250306,030000,0.1776,0.1829,0.1684,0.1721,1827685.33
MAGICUSDTSWAP,1440,20250307,030000,0.1722,0.1737,0.1599,0.1643,3029173.13
MAGICUSDTSWAP,1440,20250308,030000,0.1642,0.1661,0.157,0.1604,1459206.32
MAGICUSDTSWAP,1440,20250309,030000,0.1604,0.1613,0.1358,0.1394,2381790.99
MAGICUSDTSWAP,1440,20250310,030000,0.1395,0.1526,0.1269,0.1343,3192785.05
MAGICUSDTSWAP,1440,20250311,030000,0.1343,0.1411,0.1224,0.1383,2822710.42
MAGICUSDTSWAP,1440,20250312,030000,0.1384,0.1425,0.1312,0.1387,2585520.29
MAGICUSDTSWAP,1440,20250313,030000,0.1387,0.1401,0.1296,0.1338,1664701.12
MAGICUSDTSWAP,1440,20250314,030000,0.1338,0.1424,0.1325,0.1383,1067127.25
MAGICUSDTSWAP,1440,20250315,030000,0.1385,0.147,0.1363,0.1459,1913504.64
MAGICUSDTSWAP,1440,20250316,030000,0.1458,0.1474,0.1334,0.1355,1699425.85
MAGICUSDTSWAP,1440,20250317,030000,0.1355,0.1704,0.1351,0.1582,6381835.1
MAGICUSDTSWAP,1440,20250318,030000,0.1582,0.1591,0.1427,0.1497,7649328.96
MAGICUSDTSWAP,1440,20250319,030000,0.1497,0.1535,0.1414,0.1474,4712751.51
MAGICUSDTSWAP,1440,20250320,030000,0.1473,0.15,0.1431,0.1455,4643312.86
MAGICUSDTSWAP,1440,20250321,030000,0.1455,0.149,0.135,0.1384,3444585.77
MAGICUSDTSWAP,1440,20250322,030000,0.1384,0.1508,0.1381,0.1447,1863199.48
MAGICUSDTSWAP,1440,20250323,030000,0.1447,0.1473,0.1381,0.1411,1545555.31
MAGICUSDTSWAP,1440,20250324,030000,0.141,0.1467,0.1365,0.1445,1784847.51
MAGICUSDTSWAP,1440,20250325,030000,0.1444,0.1468,0.1392,0.1464,1638060.6
MAGICUSDTSWAP,1440,20250326,030000,0.1464,0.1483,0.1366,0.1389,2024156.12
MAGICUSDTSWAP,1440,20250327,030000,0.1388,0.143,0.1358,0.1378,1499051.1
MAGICUSDTSWAP,1440,20250328,030000,0.1378,0.138,0.1189,0.1236,3385546.74
MAGICUSDTSWAP,1440,20250329,030000,0.1235,0.1244,0.1111,0.1146,1898310.35
MAGICUSDTSWAP,1440,20250330,030000,0.1146,0.1201,0.1117,0.1171,1089960.94
MAGICUSDTSWAP,1440,20250331,030000,0.1171,0.1193,0.1114,0.1141,1579682.28
MAGICUSDTSWAP,1440,20250401,030000,0.1141,0.1187,0.1095,0.1113,1256871.63
MAGICUSDTSWAP,1440,20250402,030000,0.1114,0.1114,0.0928,0.0937,3685187.31
MAGICUSDTSWAP,1440,20250403,030000,0.0937,0.098,0.0762,0.0813,10991268.71
MAGICUSDTSWAP,1440,20250404,030000,0.0813,0.0839,0.0791,0.0807,2273858.07
MAGICUSDTSWAP,1440,20250405,030000,0.0808,0.0824,0.0782,0.079,1240801.4
MAGICUSDTSWAP,1440,20250406,030000,0.0791,0.0793,0.0684,0.0705,3293635.96
MAGICUSDTSWAP,1440,20250407,030000,0.0705,0.0775,0.0641,0.0717,4337372.06
MAGICUSDTSWAP,1440,20250408,030000,0.0717,0.0739,0.0676,0.0683,1618894.65
MAGICUSDTSWAP,1440,20250409,030000,0.0683,0.0778,0.0657,0.0771,2266060.47
MAGICUSDTSWAP,1440,20250410,030000,0.0771,0.0773,0.0719,0.0741,1354919.7
MAGICUSDTSWAP,1440,20250411,030000,0.0741,0.0781,0.0736,0.0764,864513.66
MAGICUSDTSWAP,1440,20250412,030000,0.0764,0.0802,0.0749,0.0799,903406.77
MAGICUSDTSWAP,1440,20250413,030000,0.08,0.0809,0.0723,0.0737,1262836.48
MAGICUSDTSWAP,1440,20250414,030000,0.0737,0.077,0.0724,0.0738,1201162.82
MAGICUSDTSWAP,1440,20250415,030000,0.0738,0.0755,0.0703,0.0711,802971.6
MAGICUSDTSWAP,1440,20250416,030000,0.0711,0.0733,0.0691,0.0706,1079001.66
MAGICUSDTSWAP,1440,20250417,030000,0.0706,0.0729,0.0697,0.0713,597727.63
MAGICUSDTSWAP,1440,20250418,030000,0.0714,0.081,0.0706,0.0766,2689617.22
MAGICUSDTSWAP,1440,20250419,030000,0.0766,0.1324,0.0757,0.1247,81444593.89
MAGICUSDTSWAP,1440,20250420,030000,0.1247,0.2087,0.1209,0.201,384044106.6
MAGICUSDTSWAP,1440,20250421,030000,0.2011,0.2752,0.1779,0.234,622550058.59
MAGICUSDTSWAP,1440,20250422,030000,0.2339,0.2722,0.2137,0.22372,487804758.75
MAGICUSDTSWAP,1440,20250423,030000,0.22373,0.22513,0.19431,0.19691,165791929.69
MAGICUSDTSWAP,1440,20250424,030000,0.19692,0.24632,0.18519,0.21658,134960358.07
MAGICUSDTSWAP,1440,20250425,030000,0.21658,0.2343,0.2032,0.21526,83292641.99
MAGICUSDTSWAP,1440,20250426,030000,0.21527,0.22642,0.20682,0.21172,46994786.65
MAGICUSDTSWAP,1440,20250427,030000,0.21171,0.24316,0.20264,0.2094,80299023.74
MAGICUSDTSWAP,1440,20250428,030000,0.2094,0.21602,0.20384,0.21114,31689292.9
MAGICUSDTSWAP,1440,20250429,030000,0.2112,0.22075,0.19276,0.19923,33801289.21
MAGICUSDTSWAP,1440,20250430,030000,0.19922,0.24318,0.19819,0.21194,79058578.55
MAGICUSDTSWAP,1440,20250501,030000,0.21194,0.2179,0.20364,0.20467,20329162.51
