<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAGICUSDTSWAP,60,20250531,190000,0.12942,0.1313,0.12867,0.1306,286663.23
MAGICUSDTSWAP,60,20250531,200000,0.13059,0.13102,0.12931,0.12948,130576.16
MAGICUSDTSWAP,60,20250531,210000,0.12951,0.13159,0.12925,0.13135,181308.43
MAGICUSDTSWAP,60,20250531,220000,0.13136,0.13231,0.13097,0.13175,136679.16
MAGICUSDTSWAP,60,20250531,230000,0.13176,0.13235,0.13112,0.13208,76874.32
MAGICUSDTSWAP,60,20250601,000000,0.13211,0.13308,0.13201,0.13256,129549.05
MAGICUSDTSWAP,60,20250601,010000,0.13258,0.13268,0.13132,0.13139,85583.04
MAGICUSDTSWAP,60,20250601,020000,0.13136,0.13217,0.13067,0.13112,190173.55
MAGICUSDTSWAP,60,20250601,030000,0.13112,0.13179,0.12987,0.13094,214644.75
MAGICUSDTSWAP,60,20250601,040000,0.13092,0.13228,0.12962,0.1301,137623.5
MAGICUSDTSWAP,60,20250601,050000,0.13007,0.132,0.12881,0.13132,211252.41
MAGICUSDTSWAP,60,20250601,060000,0.13134,0.13175,0.1302,0.13094,136920.64
MAGICUSDTSWAP,60,20250601,070000,0.13091,0.1328,0.13062,0.13238,145236.27
MAGICUSDTSWAP,60,20250601,080000,0.13237,0.13375,0.1321,0.13338,111656.35
MAGICUSDTSWAP,60,20250601,090000,0.13333,0.13364,0.1324,0.13251,124261.43
MAGICUSDTSWAP,60,20250601,100000,0.1325,0.13255,0.1316,0.13183,117743.34
MAGICUSDTSWAP,60,20250601,110000,0.13183,0.132,0.13018,0.13087,137759.85
MAGICUSDTSWAP,60,20250601,120000,0.13089,0.13129,0.12817,0.12924,281443.6
MAGICUSDTSWAP,60,20250601,130000,0.12919,0.1298,0.12825,0.12917,146879.08
MAGICUSDTSWAP,60,20250601,140000,0.12913,0.13128,0.1287,0.13067,162667.77
MAGICUSDTSWAP,60,20250601,150000,0.13066,0.13106,0.12926,0.13001,173904.67
MAGICUSDTSWAP,60,20250601,160000,0.12998,0.13294,0.12992,0.13251,252669.42
MAGICUSDTSWAP,60,20250601,170000,0.13251,0.13578,0.13243,0.13483,311099.03
MAGICUSDTSWAP,60,20250601,180000,0.13483,0.13497,0.13317,0.13355,180457.55
MAGICUSDTSWAP,60,20250601,190000,0.1335,0.13522,0.13291,0.13354,254754.58
MAGICUSDTSWAP,60,20250601,200000,0.13352,0.13452,0.13291,0.13301,213768.32
MAGICUSDTSWAP,60,20250601,210000,0.133,0.13326,0.13101,0.13246,291573.64
MAGICUSDTSWAP,60,20250601,220000,0.13246,0.13304,0.1324,0.13286,99792.85
MAGICUSDTSWAP,60,20250601,230000,0.13286,0.13361,0.13223,0.13314,93281.14
MAGICUSDTSWAP,60,20250602,000000,0.13313,0.13468,0.13304,0.13468,93124.04
MAGICUSDTSWAP,60,20250602,010000,0.13467,0.13541,0.13386,0.13419,131046.84
