<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAGICUSDTSWAP,3,20250604,172700,0.13474,0.13482,0.13453,0.13464,3507.69
MAGICUSDTSWAP,3,20250604,173000,0.13466,0.13475,0.13453,0.13466,1863.56
MAGICUSDTSWAP,3,20250604,173300,0.13467,0.13494,0.13463,0.13476,3096.74
MAGICUSDTSWAP,3,20250604,173600,0.1347,0.1347,0.13436,0.13439,5221.51
MAGICUSDTSWAP,3,20250604,173900,0.13439,0.13478,0.13439,0.13471,7939.22
MAGICUSDTSWAP,3,20250604,174200,0.13472,0.13487,0.13452,0.13487,7903.48
MAGICUSDTSWAP,3,20250604,174500,0.13477,0.13522,0.13469,0.13516,5768.56
MAGICUSDTSWAP,3,20250604,174800,0.13521,0.13555,0.13499,0.13508,7234.55
MAGICUSDTSWAP,3,20250604,175100,0.13506,0.13541,0.13498,0.13541,5627.95
MAGICUSDTSWAP,3,20250604,175400,0.13538,0.13577,0.13535,0.13563,30506.94
MAGICUSDTSWAP,3,20250604,175700,0.13564,0.13619,0.13556,0.136,11471.48
MAGICUSDTSWAP,3,20250604,180000,0.13598,0.13614,0.13569,0.13573,9958.63
MAGICUSDTSWAP,3,20250604,180300,0.13575,0.13595,0.13568,0.13585,5083.16
MAGICUSDTSWAP,3,20250604,180600,0.13587,0.13643,0.13586,0.13601,7384.26
MAGICUSDTSWAP,3,20250604,180900,0.136,0.13645,0.136,0.13631,3818.2
MAGICUSDTSWAP,3,20250604,181200,0.1363,0.13649,0.13614,0.13637,4082.87
MAGICUSDTSWAP,3,20250604,181500,0.13638,0.13705,0.13627,0.13687,53254.34
MAGICUSDTSWAP,3,20250604,181800,0.13686,0.13696,0.13663,0.13669,6023.07
MAGICUSDTSWAP,3,20250604,182100,0.13662,0.13696,0.13649,0.13685,7743.21
MAGICUSDTSWAP,3,20250604,182400,0.13687,0.13694,0.13653,0.13661,6332.84
MAGICUSDTSWAP,3,20250604,182700,0.13661,0.13676,0.1363,0.13636,3726.72
MAGICUSDTSWAP,3,20250604,183000,0.13639,0.13651,0.13614,0.13643,10364.55
MAGICUSDTSWAP,3,20250604,183300,0.13647,0.13664,0.13629,0.13638,16642.38
MAGICUSDTSWAP,3,20250604,183600,0.13635,0.13716,0.13631,0.13707,17470.39
MAGICUSDTSWAP,3,20250604,183900,0.13708,0.13726,0.13689,0.13724,9731.99
MAGICUSDTSWAP,3,20250604,184200,0.13725,0.13767,0.13685,0.13691,29944.52
MAGICUSDTSWAP,3,20250604,184500,0.13695,0.13717,0.1367,0.13679,7429.81
MAGICUSDTSWAP,3,20250604,184800,0.13681,0.13682,0.13654,0.13654,9903.81
MAGICUSDTSWAP,3,20250604,185100,0.13659,0.13687,0.13642,0.13664,5518.1
MAGICUSDTSWAP,3,20250604,185400,0.13663,0.13719,0.13663,0.13715,5760.73
MAGICUSDTSWAP,3,20250604,185700,0.1371,0.13744,0.13693,0.13703,18582.81
MAGICUSDTSWAP,3,20250604,190000,0.13703,0.13709,0.13675,0.13686,5518.2
MAGICUSDTSWAP,3,20250604,190300,0.13687,0.13703,0.13669,0.13674,1830.77
MAGICUSDTSWAP,3,20250604,190600,0.1367,0.13685,0.13649,0.13651,4464.9
MAGICUSDTSWAP,3,20250604,190900,0.13653,0.13692,0.13653,0.13692,2492.49
MAGICUSDTSWAP,3,20250604,191200,0.13693,0.13703,0.1368,0.13688,3266.6
MAGICUSDTSWAP,3,20250604,191500,0.13692,0.13695,0.1364,0.13642,6091.02
MAGICUSDTSWAP,3,20250604,191800,0.13645,0.13687,0.13626,0.13682,8130.51
MAGICUSDTSWAP,3,20250604,192100,0.1368,0.13688,0.13636,0.13644,6654.36
MAGICUSDTSWAP,3,20250604,192400,0.13642,0.13644,0.13621,0.13625,5024.76
MAGICUSDTSWAP,3,20250604,192700,0.13624,0.13649,0.13616,0.13634,10151.11
MAGICUSDTSWAP,3,20250604,193000,0.13634,0.13666,0.13621,0.13666,11473.97
MAGICUSDTSWAP,3,20250604,193300,0.13666,0.13687,0.13658,0.13685,6333.78
MAGICUSDTSWAP,3,20250604,193600,0.13684,0.13686,0.13663,0.1367,3933.47
MAGICUSDTSWAP,3,20250604,193900,0.13677,0.137,0.13649,0.13649,3973.03
MAGICUSDTSWAP,3,20250604,194200,0.13645,0.13647,0.13619,0.13631,2310.64
MAGICUSDTSWAP,3,20250604,194500,0.13628,0.13642,0.1361,0.13634,8976.76
MAGICUSDTSWAP,3,20250604,194800,0.13633,0.13669,0.13622,0.13668,8287.09
MAGICUSDTSWAP,3,20250604,195100,0.13659,0.13666,0.13644,0.13655,3480.31
MAGICUSDTSWAP,3,20250604,195400,0.13657,0.13691,0.13655,0.13673,7941.96
MAGICUSDTSWAP,3,20250604,195700,0.13673,0.1368,0.13651,0.1368,2557.67
MAGICUSDTSWAP,3,20250604,200000,0.13682,0.13686,0.13638,0.13646,5446.12
MAGICUSDTSWAP,3,20250604,200300,0.13646,0.13664,0.13632,0.13648,5053.52
MAGICUSDTSWAP,3,20250604,200600,0.13646,0.13646,0.13612,0.13623,4369.31
MAGICUSDTSWAP,3,20250604,200900,0.13622,0.13622,0.13582,0.13596,2507.27
MAGICUSDTSWAP,3,20250604,201200,0.13594,0.13621,0.13594,0.13607,4859.45
MAGICUSDTSWAP,3,20250604,201500,0.13608,0.13609,0.13548,0.13559,12321.91
MAGICUSDTSWAP,3,20250604,201800,0.13556,0.13578,0.13547,0.13558,5094.48
MAGICUSDTSWAP,3,20250604,202100,0.13557,0.13564,0.13534,0.1355,3042.19
MAGICUSDTSWAP,3,20250604,202400,0.13548,0.13554,0.13516,0.13527,5526.77
MAGICUSDTSWAP,3,20250604,202700,0.13527,0.13537,0.13474,0.13501,29683.51
MAGICUSDTSWAP,3,20250604,203000,0.13491,0.13491,0.13321,0.13356,109674.41
MAGICUSDTSWAP,3,20250604,203300,0.13356,0.13402,0.13321,0.13378,19301.96
MAGICUSDTSWAP,3,20250604,203600,0.13376,0.13376,0.13322,0.13366,14789.71
MAGICUSDTSWAP,3,20250604,203900,0.13367,0.13373,0.13325,0.1335,16501.03
MAGICUSDTSWAP,3,20250604,204200,0.13352,0.13373,0.13332,0.13351,13165.61
MAGICUSDTSWAP,3,20250604,204500,0.13355,0.13388,0.1335,0.13362,9824.61
MAGICUSDTSWAP,3,20250604,204800,0.13357,0.1342,0.13353,0.13377,5203.49
MAGICUSDTSWAP,3,20250604,205100,0.13375,0.13408,0.1337,0.13408,7991.96
MAGICUSDTSWAP,3,20250604,205400,0.13408,0.13436,0.13408,0.13416,10030.79
MAGICUSDTSWAP,3,20250604,205700,0.13415,0.13436,0.13405,0.13433,4781.24
MAGICUSDTSWAP,3,20250604,210000,0.13431,0.13473,0.13431,0.13465,14973.42
MAGICUSDTSWAP,3,20250604,210300,0.13467,0.13499,0.13463,0.13492,4320.21
MAGICUSDTSWAP,3,20250604,210600,0.1349,0.1349,0.13444,0.13455,10387.7
MAGICUSDTSWAP,3,20250604,210900,0.13456,0.13492,0.13441,0.13484,6337.51
MAGICUSDTSWAP,3,20250604,211200,0.13485,0.13485,0.13467,0.1348,2524.53
MAGICUSDTSWAP,3,20250604,211500,0.13479,0.13486,0.13467,0.13473,2523.67
MAGICUSDTSWAP,3,20250604,211800,0.1347,0.13501,0.13461,0.13488,3529.27
MAGICUSDTSWAP,3,20250604,212100,0.1349,0.13494,0.13472,0.1348,2081.64
MAGICUSDTSWAP,3,20250604,212400,0.13483,0.13498,0.13481,0.13498,2191.53
MAGICUSDTSWAP,3,20250604,212700,0.13492,0.13506,0.13486,0.13489,4721.8
MAGICUSDTSWAP,3,20250604,213000,0.13489,0.1351,0.13481,0.13506,5963.08
MAGICUSDTSWAP,3,20250604,213300,0.13501,0.13502,0.13474,0.13483,3363.1
MAGICUSDTSWAP,3,20250604,213600,0.13483,0.13494,0.13474,0.13476,2408.2
MAGICUSDTSWAP,3,20250604,213900,0.13479,0.13484,0.13465,0.13477,2329.17
MAGICUSDTSWAP,3,20250604,214200,0.13478,0.13504,0.13476,0.13492,1861.99
MAGICUSDTSWAP,3,20250604,214500,0.13498,0.13503,0.13462,0.13476,2644.53
MAGICUSDTSWAP,3,20250604,214800,0.1348,0.1349,0.13444,0.13453,6212.39
MAGICUSDTSWAP,3,20250604,215100,0.13449,0.1345,0.13437,0.13441,2530.29
MAGICUSDTSWAP,3,20250604,215400,0.13443,0.1345,0.1341,0.13424,5586.24
MAGICUSDTSWAP,3,20250604,215700,0.13425,0.13441,0.13417,0.13428,2259.02
MAGICUSDTSWAP,3,20250604,220000,0.13427,0.1344,0.13411,0.13411,3201.4
MAGICUSDTSWAP,3,20250604,220300,0.13411,0.13448,0.13401,0.13447,6511.31
MAGICUSDTSWAP,3,20250604,220600,0.13449,0.13449,0.13403,0.13417,3177.06
MAGICUSDTSWAP,3,20250604,220900,0.13418,0.13418,0.13381,0.13404,5140.03
MAGICUSDTSWAP,3,20250604,221200,0.13407,0.1342,0.13394,0.13405,4825.85
MAGICUSDTSWAP,3,20250604,221500,0.13401,0.13402,0.13373,0.13394,16485.78
MAGICUSDTSWAP,3,20250604,221800,0.13396,0.13437,0.13396,0.1343,5574.88
MAGICUSDTSWAP,3,20250604,222100,0.1343,0.13444,0.13422,0.1343,2523.9
MAGICUSDTSWAP,3,20250604,222400,0.13436,0.13436,0.1341,0.13417,890.81
