<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAJORUSDTSWAP,1440,20250225,030000,0.1516,0.1614,0.1442,0.157,3985332.66
MAJORUSDTSWAP,1440,20250226,030000,0.157,0.1632,0.1528,0.1595,2602224.76
MAJORUSDTSWAP,1440,20250227,030000,0.1595,0.171,0.1563,0.1595,2982389.06
MAJORUSDTSWAP,1440,20250228,030000,0.1595,0.1635,0.1458,0.1603,3162860.92
MAJORUSDTSWAP,1440,20250301,030000,0.1603,0.1621,0.1504,0.1547,1814136.74
MAJORUSDTSWAP,1440,20250302,030000,0.1547,0.1704,0.1493,0.1689,2412512.62
MAJORUSDTSWAP,1440,20250303,030000,0.169,0.1741,0.1438,0.1454,3735833.22
MAJORUSDTSWAP,1440,20250304,030000,0.1452,0.1461,0.131,0.1428,2988297.89
MAJORUSDTSWAP,1440,20250305,030000,0.1428,0.1461,0.1399,0.1444,1510861.27
MAJORUSDTSWAP,1440,20250306,030000,0.1444,0.1528,0.1411,0.1439,2389205.14
MAJORUSDTSWAP,1440,20250307,030000,0.1439,0.1454,0.1322,0.1389,2200250.71
MAJORUSDTSWAP,1440,20250308,030000,0.1387,0.1397,0.1257,0.128,1933512.81
MAJORUSDTSWAP,1440,20250309,030000,0.128,0.1293,0.1062,0.1141,3393827.84
MAJORUSDTSWAP,1440,20250310,030000,0.1142,0.1223,0.1051,0.1096,3029051.19
MAJORUSDTSWAP,1440,20250311,030000,0.1096,0.1227,0.0979,0.1175,3045185.26
MAJORUSDTSWAP,1440,20250312,030000,0.1175,0.1242,0.1155,0.1205,1437123.93
MAJORUSDTSWAP,1440,20250313,030000,0.1205,0.1275,0.1133,0.1161,1776954.82
MAJORUSDTSWAP,1440,20250314,030000,0.116,0.133,0.1159,0.1303,1834799.03
MAJORUSDTSWAP,1440,20250315,030000,0.1303,0.1388,0.1248,0.1327,5088898.68
MAJORUSDTSWAP,1440,20250316,030000,0.1328,0.1649,0.1318,0.1484,16479719.19
MAJORUSDTSWAP,1440,20250317,030000,0.1484,0.1629,0.1403,0.1538,18839664.48
MAJORUSDTSWAP,1440,20250318,030000,0.1537,0.1548,0.1317,0.1488,7708382.38
MAJORUSDTSWAP,1440,20250319,030000,0.1487,0.15,0.1401,0.1472,4521404.17
MAJORUSDTSWAP,1440,20250320,030000,0.1472,0.2549,0.146,0.1841,66183961.7
MAJORUSDTSWAP,1440,20250321,030000,0.184,0.2478,0.175,0.2048,71575220.02
MAJORUSDTSWAP,1440,20250322,030000,0.205,0.2061,0.1824,0.1899,28116250.2
MAJORUSDTSWAP,1440,20250323,030000,0.1898,0.2018,0.175,0.1829,21083428.13
MAJORUSDTSWAP,1440,20250324,030000,0.1829,0.1953,0.1781,0.1947,10540931.03
MAJORUSDTSWAP,1440,20250325,030000,0.1947,0.2145,0.1831,0.1869,17016269.11
MAJORUSDTSWAP,1440,20250326,030000,0.1868,0.1979,0.1785,0.1799,5506716.05
MAJORUSDTSWAP,1440,20250327,030000,0.18,0.1846,0.1727,0.1789,3568475.88
MAJORUSDTSWAP,1440,20250328,030000,0.179,0.1836,0.157,0.1599,5085851.28
MAJORUSDTSWAP,1440,20250329,030000,0.16,0.163,0.1469,0.1495,2764950.08
MAJORUSDTSWAP,1440,20250330,030000,0.1496,0.1569,0.1465,0.1531,2731442.58
MAJORUSDTSWAP,1440,20250331,030000,0.1532,0.1642,0.1489,0.1548,4439942.21
MAJORUSDTSWAP,1440,20250401,030000,0.1546,0.1661,0.153,0.1551,3482827.41
MAJORUSDTSWAP,1440,20250402,030000,0.1553,0.156,0.1417,0.1464,3134750.07
MAJORUSDTSWAP,1440,20250403,030000,0.1465,0.1487,0.1317,0.1363,2247820.7
MAJORUSDTSWAP,1440,20250404,030000,0.1364,0.1389,0.1317,0.1358,1722205.77
MAJORUSDTSWAP,1440,20250405,030000,0.1358,0.1391,0.1334,0.1368,990594.87
MAJORUSDTSWAP,1440,20250406,030000,0.1367,0.1371,0.1181,0.1213,2458284.71
MAJORUSDTSWAP,1440,20250407,030000,0.1214,0.1326,0.1124,0.1261,3025921.95
MAJORUSDTSWAP,1440,20250408,030000,0.1261,0.1297,0.1177,0.1213,1297406.46
MAJORUSDTSWAP,1440,20250409,030000,0.1212,0.1317,0.1172,0.1295,1639758.07
MAJORUSDTSWAP,1440,20250410,030000,0.1294,0.1294,0.1178,0.1253,1582303.33
MAJORUSDTSWAP,1440,20250411,030000,0.1253,0.1276,0.1232,0.1247,983478.7
MAJORUSDTSWAP,1440,20250412,030000,0.1248,0.1319,0.1224,0.1285,1080220.5
MAJORUSDTSWAP,1440,20250413,030000,0.1284,0.1289,0.1122,0.115,2052584.3
MAJORUSDTSWAP,1440,20250414,030000,0.1151,0.1206,0.114,0.1185,1102499.05
MAJORUSDTSWAP,1440,20250415,030000,0.1186,0.1223,0.1091,0.1102,1191210.69
MAJORUSDTSWAP,1440,20250416,030000,0.1101,0.1137,0.1036,0.1077,1191195.57
MAJORUSDTSWAP,1440,20250417,030000,0.1076,0.1134,0.1058,0.1124,1044759.2
MAJORUSDTSWAP,1440,20250418,030000,0.1124,0.145,0.1102,0.1198,9383193.14
MAJORUSDTSWAP,1440,20250419,030000,0.1198,0.1495,0.1192,0.1406,11534181.19
MAJORUSDTSWAP,1440,20250420,030000,0.1407,0.2016,0.1375,0.1789,52460727.06
MAJORUSDTSWAP,1440,20250421,030000,0.1788,0.217,0.1681,0.1832,29796127.43
MAJORUSDTSWAP,1440,20250422,030000,0.183,0.2149,0.179,0.204,35645108.93
MAJORUSDTSWAP,1440,20250423,030000,0.2041,0.207,0.1868,0.2031,11365553.22
MAJORUSDTSWAP,1440,20250424,030000,0.2031,0.2245,0.1834,0.202,7099645.04
MAJORUSDTSWAP,1440,20250425,030000,0.202,0.2056,0.1928,0.1947,3484813.1
MAJORUSDTSWAP,1440,20250426,030000,0.1946,0.203,0.1806,0.1897,3494503.03
MAJORUSDTSWAP,1440,20250427,030000,0.1896,0.1899,0.1751,0.1785,2725937.22
MAJORUSDTSWAP,1440,20250428,030000,0.1785,0.1898,0.1728,0.1824,3624411.26
MAJORUSDTSWAP,1440,20250429,030000,0.1823,0.1837,0.1731,0.1771,2877711.96
MAJORUSDTSWAP,1440,20250430,030000,0.1771,0.1914,0.176,0.1837,2337373.24
MAJORUSDTSWAP,1440,20250501,030000,0.1838,0.1902,0.1798,0.1819,1789484.52
MAJORUSDTSWAP,1440,20250502,030000,0.182,0.192,0.179,0.182,1934297.82
MAJORUSDTSWAP,1440,20250503,030000,0.182,0.1881,0.166,0.1693,2913614.7
MAJORUSDTSWAP,1440,20250504,030000,0.1693,0.1721,0.1543,0.1576,3349459.3
MAJORUSDTSWAP,1440,20250505,030000,0.1576,0.1645,0.1544,0.1567,1479461.65
MAJORUSDTSWAP,1440,20250506,030000,0.1568,0.1684,0.1507,0.1605,4321367.86
MAJORUSDTSWAP,1440,20250507,030000,0.1606,0.1859,0.1562,0.1832,5553338.58
MAJORUSDTSWAP,1440,20250508,030000,0.1833,0.1905,0.1751,0.1887,4329123.86
MAJORUSDTSWAP,1440,20250509,030000,0.1887,0.2034,0.1855,0.1961,4112056.8
MAJORUSDTSWAP,1440,20250510,030000,0.1962,0.2613,0.1878,0.2468,11971856.97
MAJORUSDTSWAP,1440,20250511,030000,0.2468,0.2532,0.2109,0.2177,7291209.69
MAJORUSDTSWAP,1440,20250512,030000,0.2182,0.3379,0.2166,0.2829,16554810.43
MAJORUSDTSWAP,1440,20250513,030000,0.282,0.368,0.2512,0.3012,27747410.3
MAJORUSDTSWAP,1440,20250514,030000,0.3015,0.3061,0.2482,0.2535,11863525.11
