<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAJORUSDTSWAP,60,20250531,190000,0.2241,0.2316,0.2232,0.2311,130622.29
MAJORUSDTSWAP,60,20250531,200000,0.2312,0.2313,0.2256,0.2271,103265.48
MAJORUSDTSWAP,60,20250531,210000,0.227,0.2322,0.2265,0.2293,72372.14
MAJORUSDTSWAP,60,20250531,220000,0.2293,0.2316,0.229,0.2314,49772.09
MAJORUSDTSWAP,60,20250531,230000,0.2313,0.2321,0.2296,0.2302,34109.81
MAJORUSDTSWAP,60,20250601,000000,0.2301,0.2336,0.2301,0.2319,39914.3
MAJORUSDTSWAP,60,20250601,010000,0.2315,0.2335,0.2304,0.2306,56087.36
MAJORUSDTSWAP,60,20250601,020000,0.2305,0.2341,0.2296,0.2325,78379.22
MAJORUSDTSWAP,60,20250601,030000,0.2325,0.2351,0.2314,0.2316,86678.33
MAJORUSDTSWAP,60,20250601,040000,0.2316,0.235,0.2303,0.2318,82428.29
MAJORUSDTSWAP,60,20250601,050000,0.2318,0.2408,0.2291,0.2338,383723.57
MAJORUSDTSWAP,60,20250601,060000,0.2339,0.2367,0.229,0.229,262683.5
MAJORUSDTSWAP,60,20250601,070000,0.2291,0.2302,0.2258,0.229,101558.66
MAJORUSDTSWAP,60,20250601,080000,0.2293,0.2353,0.2292,0.2318,117653.14
MAJORUSDTSWAP,60,20250601,090000,0.2317,0.2331,0.2295,0.2304,46650.94
MAJORUSDTSWAP,60,20250601,100000,0.2303,0.2309,0.2264,0.2275,77857.98
MAJORUSDTSWAP,60,20250601,110000,0.2275,0.2302,0.2272,0.2284,48170.17
MAJORUSDTSWAP,60,20250601,120000,0.2285,0.229,0.2212,0.2246,149631.17
MAJORUSDTSWAP,60,20250601,130000,0.2247,0.2255,0.2234,0.2245,33039.44
MAJORUSDTSWAP,60,20250601,140000,0.2244,0.2244,0.2227,0.2237,41546.54
MAJORUSDTSWAP,60,20250601,150000,0.2237,0.2255,0.2232,0.2243,66279.85
MAJORUSDTSWAP,60,20250601,160000,0.2243,0.2318,0.2242,0.2284,100241.46
MAJORUSDTSWAP,60,20250601,170000,0.2285,0.2368,0.2285,0.2325,119341.44
MAJORUSDTSWAP,60,20250601,180000,0.2326,0.2368,0.2316,0.2332,90449.77
MAJORUSDTSWAP,60,20250601,190000,0.2332,0.2334,0.2274,0.2308,181454.32
MAJORUSDTSWAP,60,20250601,200000,0.2309,0.2367,0.2308,0.2363,76916.95
MAJORUSDTSWAP,60,20250601,210000,0.2362,0.2364,0.2294,0.2333,114440.32
MAJORUSDTSWAP,60,20250601,220000,0.2333,0.2356,0.2332,0.2341,57757.15
MAJORUSDTSWAP,60,20250601,230000,0.234,0.238,0.2338,0.2367,69312.67
MAJORUSDTSWAP,60,20250602,000000,0.2367,0.2423,0.2363,0.2401,83628.0
MAJORUSDTSWAP,60,20250602,010000,0.2399,0.2423,0.2388,0.2406,36193.47
MAJORUSDTSWAP,60,20250602,020000,0.2405,0.2417,0.2392,0.2408,39355.42
MAJORUSDTSWAP,60,20250602,030000,0.2409,0.2437,0.2393,0.2437,43926.91
MAJORUSDTSWAP,60,20250602,040000,0.2437,0.2476,0.2401,0.2408,148240.76
MAJORUSDTSWAP,60,20250602,050000,0.2406,0.2412,0.2351,0.2368,114148.82
MAJORUSDTSWAP,60,20250602,060000,0.2369,0.2372,0.2351,0.2365,42791.25
MAJORUSDTSWAP,60,20250602,070000,0.2366,0.2407,0.2366,0.2391,64829.35
MAJORUSDTSWAP,60,20250602,080000,0.2392,0.2416,0.2326,0.2375,168751.77
MAJORUSDTSWAP,60,20250602,090000,0.2374,0.241,0.2335,0.2387,64001.85
