<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MASKUSDTSWAP,1440,20250225,030000,2.178,2.281,2.138,2.263,8850017.68
MASKUSDTSWAP,1440,20250226,030000,2.264,2.329,2.204,2.252,5303252.46
MASKUSDTSWAP,1440,20250227,030000,2.25,2.281,2.211,2.248,3070872.0
MASKUSDTSWAP,1440,20250228,030000,2.247,2.276,2.169,2.217,5323122.78
MASKUSDTSWAP,1440,20250301,030000,2.217,2.224,2.183,2.199,1890245.24
MASKUSDTSWAP,1440,20250302,030000,2.198,2.305,2.188,2.295,5154413.31
MASKUSDTSWAP,1440,20250303,030000,2.295,2.305,2.17,2.184,6967576.39
MASKUSDTSWAP,1440,20250304,030000,2.185,2.229,2.167,2.201,8376890.15
MASKUSDTSWAP,1440,20250305,030000,2.201,2.224,2.186,2.213,3782836.69
MASKUSDTSWAP,1440,20250306,030000,2.213,2.231,2.187,2.191,2756459.69
MASKUSDTSWAP,1440,20250307,030000,2.19,2.212,2.178,2.185,4506413.37
MASKUSDTSWAP,1440,20250308,030000,2.185,2.202,2.175,2.19,2113303.6
MASKUSDTSWAP,1440,20250309,030000,2.191,2.192,2.164,2.171,3264362.14
MASKUSDTSWAP,1440,20250310,030000,2.171,2.18,2.158,2.172,5435154.95
MASKUSDTSWAP,1440,20250311,030000,2.172,2.186,2.157,2.173,5740910.94
MASKUSDTSWAP,1440,20250312,030000,2.174,2.192,2.165,2.182,2444047.76
MASKUSDTSWAP,1440,20250313,030000,2.183,2.184,2.158,2.169,1698764.76
MASKUSDTSWAP,1440,20250314,030000,2.169,2.182,2.168,2.173,1329293.34
MASKUSDTSWAP,1440,20250315,030000,2.173,2.184,2.171,2.183,889317.63
MASKUSDTSWAP,1440,20250316,030000,2.183,2.191,2.163,2.165,1631731.38
MASKUSDTSWAP,1440,20250317,030000,2.165,2.173,2.151,2.167,1566531.22
MASKUSDTSWAP,1440,20250318,030000,2.168,2.169,2.137,2.16,1759210.59
MASKUSDTSWAP,1440,20250319,030000,2.161,2.179,2.157,2.176,2098382.86
MASKUSDTSWAP,1440,20250320,030000,2.177,2.19,2.159,2.168,2023216.72
MASKUSDTSWAP,1440,20250321,030000,2.167,2.193,2.158,2.19,2257855.81
MASKUSDTSWAP,1440,20250322,030000,2.189,2.193,2.165,2.169,1235147.63
MASKUSDTSWAP,1440,20250323,030000,2.17,2.2,2.167,2.192,2054558.17
MASKUSDTSWAP,1440,20250324,030000,2.191,2.226,2.182,2.223,2434062.97
MASKUSDTSWAP,1440,20250325,030000,2.223,2.258,2.19,2.224,4266928.46
MASKUSDTSWAP,1440,20250326,030000,2.225,2.251,2.192,2.214,3500505.73
MASKUSDTSWAP,1440,20250327,030000,2.214,2.237,2.196,2.205,1998267.84
MASKUSDTSWAP,1440,20250328,030000,2.205,2.211,2.156,2.191,2669139.27
MASKUSDTSWAP,1440,20250329,030000,2.19,2.193,2.169,2.178,1600410.39
MASKUSDTSWAP,1440,20250330,030000,2.179,2.188,2.175,2.188,993338.55
MASKUSDTSWAP,1440,20250331,030000,2.187,2.213,2.02,2.063,33012211.69
MASKUSDTSWAP,1440,20250401,030000,2.063,2.519,1.324,1.476,244742177.18
MASKUSDTSWAP,1440,20250402,030000,1.475,1.49,1.172,1.208,104865894.95
MASKUSDTSWAP,1440,20250403,030000,1.208,1.314,1.158,1.205,33568696.45
MASKUSDTSWAP,1440,20250404,030000,1.204,1.231,1.114,1.166,19607363.94
MASKUSDTSWAP,1440,20250405,030000,1.166,1.251,1.123,1.169,24094033.94
MASKUSDTSWAP,1440,20250406,030000,1.168,1.241,1.044,1.073,25593311.78
MASKUSDTSWAP,1440,20250407,030000,1.074,1.081,0.936,1.021,27139674.98
MASKUSDTSWAP,1440,20250408,030000,1.021,1.045,0.958,0.971,12401985.92
MASKUSDTSWAP,1440,20250409,030000,0.972,1.17,0.925,1.135,36853727.0
MASKUSDTSWAP,1440,20250410,030000,1.136,1.158,1.047,1.065,11794968.72
MASKUSDTSWAP,1440,20250411,030000,1.065,1.084,1.035,1.066,8147947.57
MASKUSDTSWAP,1440,20250412,030000,1.066,1.236,1.056,1.144,22739091.18
MASKUSDTSWAP,1440,20250413,030000,1.144,1.219,1.094,1.11,20906229.34
MASKUSDTSWAP,1440,20250414,030000,1.11,1.167,1.058,1.07,13361779.29
MASKUSDTSWAP,1440,20250415,030000,1.071,1.076,1.02,1.038,7110818.82
