<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MASKUSDTSWAP,60,20250531,190000,1.941,2.014,1.937,1.981,1479337.03
MASKUSDTSWAP,60,20250531,200000,1.979,2.011,1.977,1.996,856709.1
MASKUSDTSWAP,60,20250531,210000,1.996,2.012,1.983,2.005,765246.44
MASKUSDTSWAP,60,20250531,220000,2.006,2.015,1.996,2.011,658311.03
MASKUSDTSWAP,60,20250531,230000,2.01,2.079,2.006,2.065,1722358.95
MASKUSDTSWAP,60,20250601,000000,2.066,2.108,2.019,2.023,1412798.98
MASKUSDTSWAP,60,20250601,010000,2.022,2.053,2.012,2.053,847306.97
MASKUSDTSWAP,60,20250601,020000,2.053,2.06,2.039,2.057,809306.97
MASKUSDTSWAP,60,20250601,030000,2.057,2.06,2.038,2.051,1181003.92
MASKUSDTSWAP,60,20250601,040000,2.051,2.085,2.048,2.069,1539316.52
MASKUSDTSWAP,60,20250601,050000,2.068,2.073,2.024,2.043,1596928.21
MASKUSDTSWAP,60,20250601,060000,2.044,2.059,2.026,2.037,838187.17
MASKUSDTSWAP,60,20250601,070000,2.036,2.068,2.002,2.065,857005.34
MASKUSDTSWAP,60,20250601,080000,2.066,2.099,2.042,2.093,1555764.11
MASKUSDTSWAP,60,20250601,090000,2.093,2.134,2.078,2.13,1910561.56
MASKUSDTSWAP,60,20250601,100000,2.13,2.148,2.115,2.121,2574070.92
MASKUSDTSWAP,60,20250601,110000,2.122,2.134,1.849,1.939,7332004.43
MASKUSDTSWAP,60,20250601,120000,1.939,2.023,1.918,2.001,5077112.5
MASKUSDTSWAP,60,20250601,130000,2.002,2.07,1.995,2.066,2033113.08
MASKUSDTSWAP,60,20250601,140000,2.065,2.093,2.033,2.09,1814540.28
MASKUSDTSWAP,60,20250601,150000,2.09,2.146,2.066,2.127,4006185.15
MASKUSDTSWAP,60,20250601,160000,2.128,2.276,2.109,2.263,11798251.25
MASKUSDTSWAP,60,20250601,170000,2.263,2.545,2.259,2.502,26957412.7
MASKUSDTSWAP,60,20250601,180000,2.503,2.542,2.432,2.501,23224050.46
MASKUSDTSWAP,60,20250601,190000,2.501,2.888,2.372,2.422,76061857.58
MASKUSDTSWAP,60,20250601,200000,2.421,2.553,2.17,2.494,88277344.25
MASKUSDTSWAP,60,20250601,210000,2.494,2.688,2.482,2.654,28628478.85
MASKUSDTSWAP,60,20250601,220000,2.654,2.668,2.55,2.651,11191673.83
MASKUSDTSWAP,60,20250601,230000,2.65,2.794,2.647,2.761,15095279.8
