<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MASKUSDTSWAP,3,20250604,172700,2.886,2.886,2.877,2.88,65119.7
MASKUSDTSWAP,3,20250604,173000,2.88,2.885,2.873,2.878,126953.28
MASKUSDTSWAP,3,20250604,173300,2.878,2.885,2.874,2.881,107389.69
MASKUSDTSWAP,3,20250604,173600,2.881,2.882,2.872,2.881,140872.26
MASKUSDTSWAP,3,20250604,173900,2.881,2.887,2.879,2.885,57061.09
MASKUSDTSWAP,3,20250604,174200,2.884,2.892,2.881,2.882,75869.39
MASKUSDTSWAP,3,20250604,174500,2.882,2.883,2.88,2.881,47553.0
MASKUSDTSWAP,3,20250604,174800,2.88,2.887,2.88,2.883,39075.84
MASKUSDTSWAP,3,20250604,175100,2.883,2.885,2.873,2.882,158334.36
MASKUSDTSWAP,3,20250604,175400,2.882,2.886,2.879,2.88,94469.08
MASKUSDTSWAP,3,20250604,175700,2.88,2.886,2.879,2.88,115257.6
MASKUSDTSWAP,3,20250604,180000,2.88,2.887,2.873,2.877,121639.68
MASKUSDTSWAP,3,20250604,180300,2.877,2.881,2.874,2.88,62545.98
MASKUSDTSWAP,3,20250604,180600,2.88,2.886,2.879,2.883,72138.24
MASKUSDTSWAP,3,20250604,180900,2.883,2.885,2.878,2.881,85331.03
MASKUSDTSWAP,3,20250604,181200,2.881,2.884,2.872,2.881,53854.53
MASKUSDTSWAP,3,20250604,181500,2.88,2.889,2.878,2.886,104814.72
MASKUSDTSWAP,3,20250604,181800,2.885,2.888,2.882,2.888,134241.93
MASKUSDTSWAP,3,20250604,182100,2.887,2.893,2.883,2.887,82983.93
MASKUSDTSWAP,3,20250604,182400,2.887,2.893,2.885,2.889,75879.02
MASKUSDTSWAP,3,20250604,182700,2.889,2.906,2.888,2.896,188082.57
MASKUSDTSWAP,3,20250604,183000,2.896,2.9,2.891,2.896,126369.86
MASKUSDTSWAP,3,20250604,183300,2.896,2.897,2.884,2.887,158275.09
MASKUSDTSWAP,3,20250604,183600,2.887,2.893,2.878,2.881,118915.53
MASKUSDTSWAP,3,20250604,183900,2.882,2.888,2.881,2.885,54135.49
MASKUSDTSWAP,3,20250604,184200,2.886,2.886,2.879,2.88,50060.56
MASKUSDTSWAP,3,20250604,184500,2.881,2.882,2.872,2.872,45833.83
MASKUSDTSWAP,3,20250604,184800,2.873,2.876,2.872,2.874,53756.7
MASKUSDTSWAP,3,20250604,185100,2.874,2.881,2.867,2.868,88542.19
MASKUSDTSWAP,3,20250604,185400,2.868,2.868,2.855,2.858,227839.66
MASKUSDTSWAP,3,20250604,185700,2.857,2.867,2.854,2.865,225120.17
MASKUSDTSWAP,3,20250604,190000,2.865,2.881,2.865,2.877,173338.23
MASKUSDTSWAP,3,20250604,190300,2.876,2.89,2.873,2.876,220019.75
MASKUSDTSWAP,3,20250604,190600,2.877,2.883,2.864,2.866,156569.22
MASKUSDTSWAP,3,20250604,190900,2.867,2.872,2.853,2.865,190750.11
MASKUSDTSWAP,3,20250604,191200,2.865,2.871,2.855,2.862,180967.73
MASKUSDTSWAP,3,20250604,191500,2.863,2.869,2.862,2.865,104382.12
MASKUSDTSWAP,3,20250604,191800,2.865,2.865,2.847,2.857,350209.01
MASKUSDTSWAP,3,20250604,192100,2.857,2.861,2.854,2.857,169282.96
MASKUSDTSWAP,3,20250604,192400,2.858,2.858,2.839,2.844,309167.01
MASKUSDTSWAP,3,20250604,192700,2.844,2.856,2.841,2.856,139722.88
MASKUSDTSWAP,3,20250604,193000,2.855,2.865,2.848,2.865,81892.82
MASKUSDTSWAP,3,20250604,193300,2.866,2.866,2.854,2.863,77711.59
MASKUSDTSWAP,3,20250604,193600,2.863,2.873,2.859,2.87,134555.27
MASKUSDTSWAP,3,20250604,193900,2.87,2.88,2.867,2.877,136864.56
MASKUSDTSWAP,3,20250604,194200,2.877,2.884,2.871,2.879,114044.28
MASKUSDTSWAP,3,20250604,194500,2.879,2.886,2.876,2.886,115629.28
MASKUSDTSWAP,3,20250604,194800,2.885,2.89,2.883,2.887,192614.14
MASKUSDTSWAP,3,20250604,195100,2.886,2.89,2.88,2.889,87212.03
MASKUSDTSWAP,3,20250604,195400,2.889,2.91,2.887,2.907,317440.43
MASKUSDTSWAP,3,20250604,195700,2.906,2.906,2.893,2.894,171686.48
MASKUSDTSWAP,3,20250604,200000,2.894,2.896,2.853,2.86,541305.34
MASKUSDTSWAP,3,20250604,200300,2.861,2.872,2.857,2.87,102933.06
MASKUSDTSWAP,3,20250604,200600,2.871,2.872,2.862,2.866,143334.67
MASKUSDTSWAP,3,20250604,200900,2.867,2.876,2.866,2.876,30556.49
MASKUSDTSWAP,3,20250604,201200,2.876,2.885,2.862,2.866,154150.72
MASKUSDTSWAP,3,20250604,201500,2.866,2.867,2.859,2.867,71182.84
MASKUSDTSWAP,3,20250604,201800,2.867,2.868,2.855,2.859,233267.72
MASKUSDTSWAP,3,20250604,202100,2.859,2.86,2.849,2.851,79937.64
MASKUSDTSWAP,3,20250604,202400,2.851,2.857,2.842,2.849,152169.27
MASKUSDTSWAP,3,20250604,202700,2.849,2.852,2.845,2.848,71390.24
MASKUSDTSWAP,3,20250604,203000,2.849,2.856,2.849,2.851,81415.87
MASKUSDTSWAP,3,20250604,203300,2.852,2.856,2.849,2.855,75934.5
MASKUSDTSWAP,3,20250604,203600,2.856,2.868,2.853,2.865,189943.99
MASKUSDTSWAP,3,20250604,203900,2.864,2.872,2.86,2.865,153158.13
MASKUSDTSWAP,3,20250604,204200,2.866,2.866,2.857,2.858,68548.99
MASKUSDTSWAP,3,20250604,204500,2.859,2.864,2.855,2.863,73110.35
MASKUSDTSWAP,3,20250604,204800,2.864,2.87,2.861,2.87,55561.6
MASKUSDTSWAP,3,20250604,205100,2.869,2.876,2.862,2.866,110447.89
MASKUSDTSWAP,3,20250604,205400,2.867,2.868,2.861,2.863,36373.63
MASKUSDTSWAP,3,20250604,205700,2.864,2.865,2.861,2.865,26732.58
MASKUSDTSWAP,3,20250604,210000,2.864,2.876,2.862,2.866,85541.95
MASKUSDTSWAP,3,20250604,210300,2.866,2.866,2.858,2.86,64344.57
MASKUSDTSWAP,3,20250604,210600,2.861,2.867,2.858,2.866,34509.38
MASKUSDTSWAP,3,20250604,210900,2.867,2.874,2.867,2.871,66187.56
MASKUSDTSWAP,3,20250604,211200,2.871,2.874,2.869,2.872,39387.25
MASKUSDTSWAP,3,20250604,211500,2.872,2.876,2.866,2.866,40722.09
MASKUSDTSWAP,3,20250604,211800,2.867,2.872,2.861,2.87,49091.64
MASKUSDTSWAP,3,20250604,212100,2.869,2.875,2.867,2.867,65080.4
