<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEMEUSDTSWAP,1440,20250225,030000,0.003531,0.003761,0.003334,0.003694,128709.79
MEMEUSDTSWAP,1440,20250226,030000,0.003696,0.00386,0.003574,0.003845,70799.33
MEMEUSDTSWAP,1440,20250227,030000,0.003846,0.003976,0.003674,0.003804,49901.31
MEMEUSDTSWAP,1440,20250228,030000,0.003804,0.003924,0.003374,0.003825,97220.16
MEMEUSDTSWAP,1440,20250301,030000,0.003826,0.003846,0.003516,0.003626,47748.51
MEMEUSDTSWAP,1440,20250302,030000,0.003626,0.004039,0.00349,0.003999,79699.24
MEMEUSDTSWAP,1440,20250303,030000,0.003999,0.004006,0.00317,0.003274,121527.13
MEMEUSDTSWAP,1440,20250304,030000,0.003274,0.003308,0.002832,0.003134,187523.34
MEMEUSDTSWAP,1440,20250305,030000,0.003134,0.00319,0.002969,0.003097,74633.8
MEMEUSDTSWAP,1440,20250306,030000,0.003096,0.003187,0.002902,0.002994,80906.72
MEMEUSDTSWAP,1440,20250307,030000,0.002994,0.003139,0.002801,0.002932,92624.54
MEMEUSDTSWAP,1440,20250308,030000,0.002931,0.002945,0.002702,0.00278,56681.89
MEMEUSDTSWAP,1440,20250309,030000,0.00278,0.002794,0.002306,0.002384,107659.82
MEMEUSDTSWAP,1440,20250310,030000,0.002385,0.002651,0.002232,0.002352,66126.87
MEMEUSDTSWAP,1440,20250311,030000,0.002353,0.002546,0.002152,0.002444,89041.0
MEMEUSDTSWAP,1440,20250312,030000,0.002443,0.002522,0.002339,0.002463,47717.34
MEMEUSDTSWAP,1440,20250313,030000,0.002462,0.002537,0.002324,0.002389,49316.94
MEMEUSDTSWAP,1440,20250314,030000,0.00239,0.002557,0.002379,0.002469,36638.81
MEMEUSDTSWAP,1440,20250315,030000,0.002468,0.002559,0.002412,0.002511,51227.46
MEMEUSDTSWAP,1440,20250316,030000,0.002511,0.002512,0.002285,0.002315,63822.62
MEMEUSDTSWAP,1440,20250317,030000,0.002315,0.002517,0.002313,0.002468,56510.88
MEMEUSDTSWAP,1440,20250318,030000,0.002468,0.002482,0.002295,0.002456,54012.82
MEMEUSDTSWAP,1440,20250319,030000,0.002456,0.002508,0.002375,0.002502,69272.02
MEMEUSDTSWAP,1440,20250320,030000,0.002501,0.002519,0.00237,0.002406,46367.87
MEMEUSDTSWAP,1440,20250321,030000,0.002405,0.002452,0.002286,0.002326,54207.55
MEMEUSDTSWAP,1440,20250322,030000,0.002325,0.002532,0.002322,0.002427,52752.67
MEMEUSDTSWAP,1440,20250323,030000,0.002427,0.002507,0.002408,0.002465,57364.68
MEMEUSDTSWAP,1440,20250324,030000,0.002465,0.002619,0.002401,0.002569,74832.07
MEMEUSDTSWAP,1440,20250325,030000,0.002569,0.002643,0.002509,0.002624,55281.13
MEMEUSDTSWAP,1440,20250326,030000,0.002624,0.00283,0.002553,0.002603,86611.08
MEMEUSDTSWAP,1440,20250327,030000,0.002604,0.002688,0.002516,0.002554,62024.21
MEMEUSDTSWAP,1440,20250328,030000,0.002553,0.002579,0.002197,0.002287,86239.01
MEMEUSDTSWAP,1440,20250329,030000,0.002288,0.002309,0.002008,0.002086,59724.2
MEMEUSDTSWAP,1440,20250330,030000,0.002085,0.002138,0.002032,0.002084,37134.05
MEMEUSDTSWAP,1440,20250331,030000,0.002085,0.002124,0.002007,0.002063,39580.04
MEMEUSDTSWAP,1440,20250401,030000,0.002063,0.002162,0.002036,0.002061,35115.75
MEMEUSDTSWAP,1440,20250402,030000,0.002061,0.002074,0.001815,0.00187,83276.09
MEMEUSDTSWAP,1440,20250403,030000,0.001869,0.001942,0.001761,0.001857,45993.34
MEMEUSDTSWAP,1440,20250404,030000,0.001857,0.001892,0.001763,0.001849,61927.96
MEMEUSDTSWAP,1440,20250405,030000,0.001849,0.001867,0.001769,0.001798,31056.16
MEMEUSDTSWAP,1440,20250406,030000,0.001798,0.001799,0.001512,0.001562,91713.37
MEMEUSDTSWAP,1440,20250407,030000,0.001563,0.001672,0.001425,0.001591,117982.07
MEMEUSDTSWAP,1440,20250408,030000,0.001591,0.001629,0.001456,0.001477,36313.22
MEMEUSDTSWAP,1440,20250409,030000,0.001477,0.001655,0.001425,0.001633,41657.34
MEMEUSDTSWAP,1440,20250410,030000,0.001633,0.001634,0.001492,0.001545,31931.26
MEMEUSDTSWAP,1440,20250411,030000,0.001545,0.001624,0.001538,0.001594,24152.34
MEMEUSDTSWAP,1440,20250412,030000,0.001593,0.001683,0.001572,0.001669,28118.18
MEMEUSDTSWAP,1440,20250413,030000,0.001669,0.001673,0.00151,0.001542,35188.8
MEMEUSDTSWAP,1440,20250414,030000,0.001543,0.001629,0.001515,0.001528,34957.12
MEMEUSDTSWAP,1440,20250415,030000,0.001528,0.00157,0.001441,0.001454,34435.72
MEMEUSDTSWAP,1440,20250416,030000,0.001454,0.001491,0.001374,0.001435,46705.48
MEMEUSDTSWAP,1440,20250417,030000,0.001436,0.00146,0.001401,0.001424,24472.27
MEMEUSDTSWAP,1440,20250418,030000,0.001424,0.002478,0.001415,0.002452,1020344.19
MEMEUSDTSWAP,1440,20250419,030000,0.002452,0.002678,0.001977,0.002156,2372620.74
MEMEUSDTSWAP,1440,20250420,030000,0.002156,0.002433,0.002074,0.002258,802263.16
MEMEUSDTSWAP,1440,20250421,030000,0.002258,0.002354,0.002007,0.002012,327563.18
MEMEUSDTSWAP,1440,20250422,030000,0.002013,0.002255,0.001932,0.002148,306000.52
MEMEUSDTSWAP,1440,20250423,030000,0.002148,0.002234,0.002064,0.002224,257642.04
MEMEUSDTSWAP,1440,20250424,030000,0.002224,0.002325,0.002092,0.00214,407966.86
MEMEUSDTSWAP,1440,20250425,030000,0.00214,0.002293,0.002094,0.00223,187431.31
MEMEUSDTSWAP,1440,20250426,030000,0.00223,0.002347,0.002155,0.002281,163337.04
MEMEUSDTSWAP,1440,20250427,030000,0.00228,0.00228,0.002064,0.002075,136261.18
MEMEUSDTSWAP,1440,20250428,030000,0.002075,0.002195,0.001987,0.002177,105660.42
MEMEUSDTSWAP,1440,20250429,030000,0.002178,0.002203,0.002041,0.002083,88136.87
MEMEUSDTSWAP,1440,20250430,030000,0.002083,0.002188,0.002052,0.002126,80136.83
MEMEUSDTSWAP,1440,20250501,030000,0.002127,0.002352,0.002101,0.002234,175362.86
MEMEUSDTSWAP,1440,20250502,030000,0.002235,0.002313,0.002115,0.002158,132678.16
MEMEUSDTSWAP,1440,20250503,030000,0.002157,0.002161,0.001921,0.001929,91988.96
