<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEMEUSDTSWAP,60,20250531,190000,0.001826,0.001857,0.001812,0.001842,3791.35
MEMEUSDTSWAP,60,20250531,200000,0.001842,0.001847,0.001819,0.001824,2796.95
MEMEUSDTSWAP,60,20250531,210000,0.001824,0.001851,0.001823,0.001848,1327.7
MEMEUSDTSWAP,60,20250531,220000,0.001849,0.001865,0.001848,0.001854,1311.07
MEMEUSDTSWAP,60,20250531,230000,0.001853,0.001864,0.001848,0.001863,1464.89
MEMEUSDTSWAP,60,20250601,000000,0.001863,0.001882,0.001863,0.001874,2955.39
MEMEUSDTSWAP,60,20250601,010000,0.001875,0.001876,0.001856,0.001863,1356.0
MEMEUSDTSWAP,60,20250601,020000,0.001862,0.001874,0.001847,0.001857,1794.65
MEMEUSDTSWAP,60,20250601,030000,0.001856,0.001867,0.001839,0.001854,1865.08
MEMEUSDTSWAP,60,20250601,040000,0.001853,0.001873,0.001841,0.001847,2551.19
MEMEUSDTSWAP,60,20250601,050000,0.001846,0.001864,0.001828,0.001857,2293.05
MEMEUSDTSWAP,60,20250601,060000,0.001859,0.00187,0.001844,0.00186,2220.64
MEMEUSDTSWAP,60,20250601,070000,0.001859,0.001878,0.00185,0.001872,1780.13
MEMEUSDTSWAP,60,20250601,080000,0.001872,0.001899,0.001867,0.001897,2837.95
MEMEUSDTSWAP,60,20250601,090000,0.001896,0.001906,0.00188,0.001887,1979.04
MEMEUSDTSWAP,60,20250601,100000,0.001887,0.001926,0.001882,0.001924,3083.86
MEMEUSDTSWAP,60,20250601,110000,0.001924,0.001929,0.001896,0.001906,5047.26
MEMEUSDTSWAP,60,20250601,120000,0.001907,0.001913,0.001857,0.001872,5797.65
MEMEUSDTSWAP,60,20250601,130000,0.001872,0.00189,0.001866,0.001882,2331.68
MEMEUSDTSWAP,60,20250601,140000,0.001881,0.001901,0.001871,0.001899,2458.63
MEMEUSDTSWAP,60,20250601,150000,0.001898,0.001901,0.001861,0.001869,2644.38
MEMEUSDTSWAP,60,20250601,160000,0.001869,0.001905,0.001867,0.001897,2192.58
MEMEUSDTSWAP,60,20250601,170000,0.001897,0.001939,0.001897,0.001924,4025.71
MEMEUSDTSWAP,60,20250601,180000,0.001924,0.00193,0.001903,0.001909,3060.57
MEMEUSDTSWAP,60,20250601,190000,0.001908,0.001938,0.001902,0.001911,5366.23
MEMEUSDTSWAP,60,20250601,200000,0.001912,0.001922,0.001897,0.001903,4701.77
MEMEUSDTSWAP,60,20250601,210000,0.001905,0.001907,0.001864,0.001884,4524.85
MEMEUSDTSWAP,60,20250601,220000,0.001884,0.001901,0.001883,0.001897,2135.94
MEMEUSDTSWAP,60,20250601,230000,0.001898,0.001914,0.001884,0.001903,1691.15
MEMEUSDTSWAP,60,20250602,000000,0.001903,0.001917,0.001899,0.001916,1051.93
MEMEUSDTSWAP,60,20250602,010000,0.001917,0.00193,0.001907,0.00191,1416.18
MEMEUSDTSWAP,60,20250602,020000,0.001911,0.00192,0.001906,0.001913,1312.76
MEMEUSDTSWAP,60,20250602,030000,0.001914,0.001918,0.001903,0.001911,1239.3
MEMEUSDTSWAP,60,20250602,040000,0.001912,0.001927,0.001901,0.001904,1799.05
MEMEUSDTSWAP,60,20250602,050000,0.001903,0.001904,0.001866,0.001871,4613.84
MEMEUSDTSWAP,60,20250602,060000,0.001871,0.001872,0.001851,0.00186,3239.66
MEMEUSDTSWAP,60,20250602,070000,0.00186,0.001882,0.001853,0.001864,6283.07
MEMEUSDTSWAP,60,20250602,080000,0.001865,0.00188,0.001852,0.001865,1951.99
MEMEUSDTSWAP,60,20250602,090000,0.001866,0.001905,0.001855,0.001895,2793.88
MEMEUSDTSWAP,60,20250602,100000,0.001896,0.00192,0.001893,0.001899,1888.12
MEMEUSDTSWAP,60,20250602,110000,0.001898,0.001907,0.001871,0.001878,1682.77
MEMEUSDTSWAP,60,20250602,120000,0.001878,0.001878,0.001839,0.001847,2693.38
MEMEUSDTSWAP,60,20250602,130000,0.001847,0.001853,0.001836,0.001853,3577.3
MEMEUSDTSWAP,60,20250602,140000,0.001852,0.001865,0.001843,0.001857,1917.26
MEMEUSDTSWAP,60,20250602,150000,0.001858,0.001886,0.001846,0.001878,2086.88
MEMEUSDTSWAP,60,20250602,160000,0.001879,0.001899,0.001864,0.00188,2700.06
MEMEUSDTSWAP,60,20250602,170000,0.001879,0.001921,0.00187,0.001898,3093.15
MEMEUSDTSWAP,60,20250602,180000,0.001898,0.001916,0.001882,0.001909,2293.26
MEMEUSDTSWAP,60,20250602,190000,0.001909,0.00191,0.001881,0.001899,2265.08
MEMEUSDTSWAP,60,20250602,200000,0.001898,0.001903,0.00188,0.001899,1777.14
MEMEUSDTSWAP,60,20250602,210000,0.0019,0.001922,0.001886,0.001888,2370.06
MEMEUSDTSWAP,60,20250602,220000,0.00189,0.001899,0.001861,0.001876,1878.6
MEMEUSDTSWAP,60,20250602,230000,0.001877,0.001919,0.001877,0.001918,2446.86
MEMEUSDTSWAP,60,20250603,000000,0.001918,0.001941,0.001916,0.001936,1839.31
MEMEUSDTSWAP,60,20250603,010000,0.001936,0.001962,0.001936,0.001946,1959.64
MEMEUSDTSWAP,60,20250603,020000,0.001947,0.001954,0.001937,0.001939,2303.83
MEMEUSDTSWAP,60,20250603,030000,0.00194,0.001974,0.001934,0.00197,3426.52
MEMEUSDTSWAP,60,20250603,040000,0.001971,0.002007,0.001969,0.002004,3842.31
MEMEUSDTSWAP,60,20250603,050000,0.002005,0.002008,0.001963,0.001973,3439.2
MEMEUSDTSWAP,60,20250603,060000,0.001972,0.001976,0.001955,0.001971,2604.29
MEMEUSDTSWAP,60,20250603,070000,0.001971,0.001973,0.001938,0.001946,1600.19
