<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEMEUSDTSWAP,3,20250604,172700,0.001938,0.001939,0.001933,0.001935,48.11
MEMEUSDTSWAP,3,20250604,173000,0.001935,0.001935,0.001931,0.001932,98.75
MEMEUSDTSWAP,3,20250604,173300,0.001933,0.001939,0.001933,0.001935,71.75
MEMEUSDTSWAP,3,20250604,173600,0.001934,0.001935,0.00193,0.001931,35.0
MEMEUSDTSWAP,3,20250604,173900,0.001931,0.001937,0.001931,0.001936,23.01
MEMEUSDTSWAP,3,20250604,174200,0.001935,0.001938,0.001933,0.001938,21.84
MEMEUSDTSWAP,3,20250604,174500,0.001938,0.001944,0.001936,0.001944,76.59
MEMEUSDTSWAP,3,20250604,174800,0.001945,0.001951,0.001942,0.001944,187.52
MEMEUSDTSWAP,3,20250604,175100,0.001943,0.001946,0.001942,0.001946,26.31
MEMEUSDTSWAP,3,20250604,175400,0.001947,0.001956,0.001947,0.001956,117.84
MEMEUSDTSWAP,3,20250604,175700,0.001956,0.00196,0.001954,0.001958,346.13
MEMEUSDTSWAP,3,20250604,180000,0.001957,0.001961,0.001951,0.001951,396.82
MEMEUSDTSWAP,3,20250604,180300,0.001951,0.001954,0.001949,0.001952,53.91
MEMEUSDTSWAP,3,20250604,180600,0.001953,0.001965,0.001953,0.001958,345.25
MEMEUSDTSWAP,3,20250604,180900,0.001958,0.001963,0.001958,0.001962,44.24
MEMEUSDTSWAP,3,20250604,181200,0.001961,0.001964,0.00196,0.001962,35.2
MEMEUSDTSWAP,3,20250604,181500,0.001962,0.001979,0.001961,0.001973,742.82
MEMEUSDTSWAP,3,20250604,181800,0.001973,0.001978,0.00197,0.00197,384.76
MEMEUSDTSWAP,3,20250604,182100,0.001971,0.001976,0.001968,0.001973,476.98
MEMEUSDTSWAP,3,20250604,182400,0.001973,0.001976,0.001972,0.001973,54.42
MEMEUSDTSWAP,3,20250604,182700,0.001972,0.001974,0.001967,0.00197,349.44
MEMEUSDTSWAP,3,20250604,183000,0.00197,0.001971,0.001964,0.00197,208.01
MEMEUSDTSWAP,3,20250604,183300,0.001969,0.001973,0.001967,0.001968,77.15
MEMEUSDTSWAP,3,20250604,183600,0.001968,0.00198,0.001968,0.00198,501.31
MEMEUSDTSWAP,3,20250604,183900,0.001978,0.00198,0.001975,0.00198,142.26
MEMEUSDTSWAP,3,20250604,184200,0.00198,0.001984,0.001978,0.001979,179.33
