<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MERLUSDTSWAP,1440,20250225,030000,0.09018,0.09365,0.08131,0.0892,5266185.1
MERLUSDTSWAP,1440,20250226,030000,0.08915,0.09188,0.08207,0.08571,3515446.07
MERLUSDTSWAP,1440,20250227,030000,0.08569,0.08832,0.0819,0.08543,2558355.93
MERLUSDTSWAP,1440,20250228,030000,0.08549,0.08746,0.07795,0.08506,3514849.79
MERLUSDTSWAP,1440,20250301,030000,0.08501,0.08599,0.08206,0.08385,2819839.76
MERLUSDTSWAP,1440,20250302,030000,0.08383,0.1,0.08318,0.09969,4180671.43
MERLUSDTSWAP,1440,20250303,030000,0.0997,0.105,0.0868,0.088,4483950.77
MERLUSDTSWAP,1440,20250304,030000,0.08801,0.08998,0.07909,0.08418,3781905.61
MERLUSDTSWAP,1440,20250305,030000,0.08417,0.08755,0.08162,0.08403,2287068.33
MERLUSDTSWAP,1440,20250306,030000,0.08403,0.08849,0.08087,0.0828,3196241.8
MERLUSDTSWAP,1440,20250307,030000,0.0828,0.08481,0.07844,0.08142,2122138.41
MERLUSDTSWAP,1440,20250308,030000,0.08142,0.08358,0.07849,0.08032,1801289.26
MERLUSDTSWAP,1440,20250309,030000,0.08033,0.08287,0.0783,0.08272,2079348.32
MERLUSDTSWAP,1440,20250310,030000,0.08269,0.09041,0.07987,0.08255,5064088.74
MERLUSDTSWAP,1440,20250311,030000,0.08256,0.08696,0.07887,0.08413,3147432.24
MERLUSDTSWAP,1440,20250312,030000,0.08415,0.09048,0.08008,0.08873,1987418.35
MERLUSDTSWAP,1440,20250313,030000,0.08873,0.0959,0.0887,0.09428,3767144.39
MERLUSDTSWAP,1440,20250314,030000,0.0943,0.10886,0.09309,0.10204,6828335.05
MERLUSDTSWAP,1440,20250315,030000,0.102,0.10579,0.09431,0.10262,10557331.09
MERLUSDTSWAP,1440,20250316,030000,0.10261,0.11857,0.1013,0.11319,12111114.74
MERLUSDTSWAP,1440,20250317,030000,0.11309,0.13888,0.11219,0.13667,31788590.35
MERLUSDTSWAP,1440,20250318,030000,0.13672,0.145,0.12101,0.12468,15339137.29
MERLUSDTSWAP,1440,20250319,030000,0.1247,0.13931,0.12285,0.12829,11324127.58
MERLUSDTSWAP,1440,20250320,030000,0.12829,0.12839,0.10744,0.11165,11972505.81
MERLUSDTSWAP,1440,20250321,030000,0.11161,0.11683,0.10344,0.10508,6729398.72
MERLUSDTSWAP,1440,20250322,030000,0.10506,0.11303,0.10404,0.10628,4031983.43
MERLUSDTSWAP,1440,20250323,030000,0.1063,0.12927,0.10627,0.11612,9005994.63
MERLUSDTSWAP,1440,20250324,030000,0.11609,0.12527,0.11263,0.1229,7147018.05
MERLUSDTSWAP,1440,20250325,030000,0.12291,0.1278,0.11513,0.11797,6019719.93
MERLUSDTSWAP,1440,20250326,030000,0.11795,0.12424,0.10963,0.1122,3978336.49
MERLUSDTSWAP,1440,20250327,030000,0.11222,0.11629,0.1091,0.11178,2161035.35
MERLUSDTSWAP,1440,20250328,030000,0.11181,0.11831,0.09857,0.10109,4992507.92
MERLUSDTSWAP,1440,20250329,030000,0.1011,0.10416,0.09811,0.10155,2353887.95
MERLUSDTSWAP,1440,20250330,030000,0.10158,0.1062,0.10013,0.10391,2651797.3
MERLUSDTSWAP,1440,20250331,030000,0.10392,0.11,0.10005,0.10187,6379307.11
MERLUSDTSWAP,1440,20250401,030000,0.10191,0.10613,0.0982,0.09898,2377495.99
MERLUSDTSWAP,1440,20250402,030000,0.09898,0.09929,0.08029,0.08139,3155035.01
MERLUSDTSWAP,1440,20250403,030000,0.08135,0.0867,0.0813,0.08412,1892952.19
MERLUSDTSWAP,1440,20250404,030000,0.08414,0.0893,0.08049,0.08758,1784421.01
MERLUSDTSWAP,1440,20250405,030000,0.08752,0.09665,0.08638,0.09561,7840129.56
MERLUSDTSWAP,1440,20250406,030000,0.0956,0.09643,0.09011,0.09122,4408173.55
MERLUSDTSWAP,1440,20250407,030000,0.09118,0.09512,0.08103,0.0921,4343985.07
MERLUSDTSWAP,1440,20250408,030000,0.09205,0.09337,0.08171,0.08328,2528887.35
MERLUSDTSWAP,1440,20250409,030000,0.08328,0.09064,0.0797,0.08858,4924814.85
MERLUSDTSWAP,1440,20250410,030000,0.08858,0.08858,0.08059,0.084,2980699.99
MERLUSDTSWAP,1440,20250411,030000,0.08398,0.0881,0.08274,0.08645,1378466.03
MERLUSDTSWAP,1440,20250412,030000,0.08646,0.08722,0.07883,0.08374,2389490.78
MERLUSDTSWAP,1440,20250413,030000,0.08378,0.08488,0.0732,0.07522,3895336.02
MERLUSDTSWAP,1440,20250414,030000,0.07523,0.08095,0.07429,0.07762,2503541.4
MERLUSDTSWAP,1440,20250415,030000,0.07762,0.07989,0.07422,0.07469,1746760.01
MERLUSDTSWAP,1440,20250416,030000,0.07474,0.0764,0.07083,0.07225,2085895.27
MERLUSDTSWAP,1440,20250417,030000,0.07226,0.07698,0.07224,0.07466,1625901.45
MERLUSDTSWAP,1440,20250418,030000,0.07465,0.07758,0.07353,0.07387,895455.79
MERLUSDTSWAP,1440,20250419,030000,0.07391,0.07713,0.07288,0.07687,886335.45
MERLUSDTSWAP,1440,20250420,030000,0.07687,0.08091,0.07556,0.07869,1686311.1
MERLUSDTSWAP,1440,20250421,030000,0.07869,0.08633,0.078,0.07939,1905449.55
MERLUSDTSWAP,1440,20250422,030000,0.07938,0.086,0.07657,0.08477,1892078.5
MERLUSDTSWAP,1440,20250423,030000,0.08479,0.0954,0.08379,0.08953,3150353.8
MERLUSDTSWAP,1440,20250424,030000,0.08955,0.12363,0.08643,0.10817,22386977.12
MERLUSDTSWAP,1440,20250425,030000,0.10812,0.11207,0.10383,0.10681,4695124.41
MERLUSDTSWAP,1440,20250426,030000,0.10683,0.1209,0.10567,0.11492,4385690.49
MERLUSDTSWAP,1440,20250427,030000,0.11491,0.11527,0.09705,0.09796,3884554.5
MERLUSDTSWAP,1440,20250428,030000,0.09802,0.1032,0.09422,0.10107,2622632.24
MERLUSDTSWAP,1440,20250429,030000,0.10125,0.10669,0.09501,0.09608,2134024.08
MERLUSDTSWAP,1440,20250430,030000,0.09604,0.09888,0.092,0.09592,1271302.42
MERLUSDTSWAP,1440,20250501,030000,0.09594,0.10006,0.09274,0.0976,1369376.76
MERLUSDTSWAP,1440,20250502,030000,0.0976,0.09979,0.09364,0.09454,1216437.4
MERLUSDTSWAP,1440,20250503,030000,0.09452,0.09888,0.08501,0.0871,1741317.38
MERLUSDTSWAP,1440,20250504,030000,0.08703,0.09419,0.08507,0.08924,1859908.03
MERLUSDTSWAP,1440,20250505,030000,0.08923,0.0935,0.08777,0.0901,1712525.54
MERLUSDTSWAP,1440,20250506,030000,0.09014,0.09577,0.085,0.09046,2650045.51
MERLUSDTSWAP,1440,20250507,030000,0.09046,0.10168,0.08742,0.09618,6853356.52
MERLUSDTSWAP,1440,20250508,030000,0.09619,0.10803,0.09607,0.1072,5179183.47
MERLUSDTSWAP,1440,20250509,030000,0.10706,0.119,0.10201,0.11399,3748191.37
MERLUSDTSWAP,1440,20250510,030000,0.11395,0.12,0.10637,0.11498,3773827.32
MERLUSDTSWAP,1440,20250511,030000,0.11503,0.12856,0.10967,0.11687,5623010.91
MERLUSDTSWAP,1440,20250512,030000,0.11688,0.12299,0.10272,0.11006,5582531.49
MERLUSDTSWAP,1440,20250513,030000,0.11007,0.11965,0.10115,0.11496,2534053.88
MERLUSDTSWAP,1440,20250514,030000,0.11498,0.12888,0.10723,0.10961,6733741.04
MERLUSDTSWAP,1440,20250515,030000,0.10965,0.12137,0.10007,0.11876,10004165.12
MERLUSDTSWAP,1440,20250516,030000,0.11896,0.1247,0.10323,0.10362,19508754.2
MERLUSDTSWAP,1440,20250517,030000,0.10362,0.11866,0.09755,0.10909,15248166.08
MERLUSDTSWAP,1440,20250518,030000,0.10907,0.1182,0.10768,0.11786,6241002.41
MERLUSDTSWAP,1440,20250519,030000,0.11786,0.1195,0.1019,0.1027,6168878.08
MERLUSDTSWAP,1440,20250520,030000,0.10273,0.10891,0.08802,0.09227,21610401.04
MERLUSDTSWAP,1440,20250521,030000,0.09224,0.09693,0.0856,0.09599,12933312.7
MERLUSDTSWAP,1440,20250522,030000,0.09599,0.14108,0.09578,0.13794,58765097.97
MERLUSDTSWAP,1440,20250523,030000,0.13788,0.1625,0.13173,0.13248,62194667.18
MERLUSDTSWAP,1440,20250524,030000,0.13246,0.13832,0.11251,0.11332,22040604.61
MERLUSDTSWAP,1440,20250525,030000,0.11334,0.1185,0.11001,0.1167,12469889.74
MERLUSDTSWAP,1440,20250526,030000,0.11667,0.12539,0.11353,0.11544,11510394.33
MERLUSDTSWAP,1440,20250527,030000,0.11547,0.12272,0.1147,0.12067,10096678.09
MERLUSDTSWAP,1440,20250528,030000,0.12073,0.13549,0.11985,0.13432,24431284.99
MERLUSDTSWAP,1440,20250529,030000,0.13425,0.15531,0.13332,0.13463,58233049.66
MERLUSDTSWAP,1440,20250530,030000,0.13462,0.1373,0.11029,0.11034,14616181.67
MERLUSDTSWAP,1440,20250531,030000,0.11035,0.11831,0.1089,0.11698,10427024.91
MERLUSDTSWAP,1440,20250601,030000,0.11694,0.1219,0.11593,0.11982,7907607.11
MERLUSDTSWAP,1440,20250602,030000,0.11983,0.14095,0.11923,0.13953,17842514.68
MERLUSDTSWAP,1440,20250603,030000,0.13949,0.1494,0.11139,0.11325,53457800.55
MERLUSDTSWAP,1440,20250604,030000,0.1132,0.11529,0.11015,0.11309,8021197.6
