<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MERLUSDTSWAP,60,20250531,190000,0.11664,0.11728,0.11565,0.1165,296216.73
MERLUSDTSWAP,60,20250531,200000,0.11649,0.11653,0.11502,0.11515,239739.45
MERLUSDTSWAP,60,20250531,210000,0.11516,0.1159,0.11443,0.11486,156000.34
MERLUSDTSWAP,60,20250531,220000,0.11486,0.11529,0.11361,0.11464,383441.62
MERLUSDTSWAP,60,20250531,230000,0.11458,0.11709,0.11433,0.11646,385468.66
MERLUSDTSWAP,60,20250601,000000,0.11641,0.11748,0.11634,0.11734,168309.19
MERLUSDTSWAP,60,20250601,010000,0.1174,0.11831,0.11601,0.11646,335372.12
MERLUSDTSWAP,60,20250601,020000,0.11645,0.11732,0.11621,0.11698,155024.18
MERLUSDTSWAP,60,20250601,030000,0.11694,0.11743,0.11654,0.11696,180009.13
MERLUSDTSWAP,60,20250601,040000,0.11697,0.11759,0.11665,0.11701,299296.75
MERLUSDTSWAP,60,20250601,050000,0.11701,0.11734,0.11593,0.11673,381707.33
MERLUSDTSWAP,60,20250601,060000,0.11665,0.11766,0.11634,0.11728,303304.81
MERLUSDTSWAP,60,20250601,070000,0.11729,0.1219,0.11683,0.12044,741223.54
MERLUSDTSWAP,60,20250601,080000,0.12044,0.12178,0.11887,0.11984,699457.47
MERLUSDTSWAP,60,20250601,090000,0.11986,0.12094,0.11929,0.12031,212771.28
MERLUSDTSWAP,60,20250601,100000,0.1203,0.12102,0.11975,0.12069,333393.65
MERLUSDTSWAP,60,20250601,110000,0.12058,0.12092,0.11984,0.12072,240424.22
MERLUSDTSWAP,60,20250601,120000,0.12072,0.12077,0.11872,0.12021,735170.19
MERLUSDTSWAP,60,20250601,130000,0.12018,0.12063,0.11957,0.12055,374964.36
MERLUSDTSWAP,60,20250601,140000,0.12057,0.12124,0.12011,0.12058,309748.31
MERLUSDTSWAP,60,20250601,150000,0.12056,0.12118,0.11988,0.12051,364818.9
MERLUSDTSWAP,60,20250601,160000,0.12055,0.12125,0.12041,0.121,275109.2
MERLUSDTSWAP,60,20250601,170000,0.12099,0.1214,0.1206,0.12108,301131.41
MERLUSDTSWAP,60,20250601,180000,0.12107,0.12129,0.12003,0.1208,235611.78
MERLUSDTSWAP,60,20250601,190000,0.12082,0.12118,0.12052,0.12062,236404.39
MERLUSDTSWAP,60,20250601,200000,0.12061,0.12111,0.11993,0.12019,231577.11
MERLUSDTSWAP,60,20250601,210000,0.12014,0.12049,0.11861,0.11914,353856.99
