<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MERLUSDTSWAP,3,20250604,172700,0.11242,0.11254,0.11235,0.1124,14838.43
MERLUSDTSWAP,3,20250604,173000,0.11242,0.11304,0.11242,0.11271,51039.24
MERLUSDTSWAP,3,20250604,173300,0.11272,0.11288,0.11262,0.11262,10073.34
MERLUSDTSWAP,3,20250604,173600,0.11261,0.1127,0.11239,0.11239,22944.96
MERLUSDTSWAP,3,20250604,173900,0.1124,0.11245,0.1123,0.11238,9499.71
MERLUSDTSWAP,3,20250604,174200,0.11236,0.11274,0.11235,0.11274,16980.97
MERLUSDTSWAP,3,20250604,174500,0.11273,0.11276,0.1123,0.11236,15091.5
MERLUSDTSWAP,3,20250604,174800,0.11234,0.11235,0.1117,0.11171,18026.19
MERLUSDTSWAP,3,20250604,175100,0.11176,0.11225,0.11168,0.11218,25305.71
MERLUSDTSWAP,3,20250604,175400,0.11218,0.11223,0.11186,0.11188,24210.91
MERLUSDTSWAP,3,20250604,175700,0.11187,0.11219,0.11185,0.11206,12476.08
MERLUSDTSWAP,3,20250604,180000,0.11205,0.11233,0.11193,0.11215,12073.16
MERLUSDTSWAP,3,20250604,180300,0.11214,0.11221,0.11208,0.11214,4524.74
MERLUSDTSWAP,3,20250604,180600,0.1121,0.11221,0.11192,0.11192,10098.98
MERLUSDTSWAP,3,20250604,180900,0.11193,0.11198,0.11185,0.11198,3623.17
MERLUSDTSWAP,3,20250604,181200,0.11196,0.11229,0.11181,0.11206,23373.67
MERLUSDTSWAP,3,20250604,181500,0.11205,0.11245,0.112,0.11225,12083.25
MERLUSDTSWAP,3,20250604,181800,0.11226,0.11264,0.11224,0.11235,18481.36
MERLUSDTSWAP,3,20250604,182100,0.11232,0.11232,0.11212,0.11225,6435.04
MERLUSDTSWAP,3,20250604,182400,0.11224,0.11229,0.11206,0.11212,7389.66
MERLUSDTSWAP,3,20250604,182700,0.11215,0.11264,0.11215,0.11258,14173.18
MERLUSDTSWAP,3,20250604,183000,0.1126,0.11269,0.11252,0.11257,11795.86
MERLUSDTSWAP,3,20250604,183300,0.11257,0.1127,0.11236,0.11241,14106.26
MERLUSDTSWAP,3,20250604,183600,0.1124,0.11264,0.11234,0.11264,9153.07
MERLUSDTSWAP,3,20250604,183900,0.11264,0.11305,0.11258,0.11278,27427.39
MERLUSDTSWAP,3,20250604,184200,0.11277,0.11304,0.11271,0.11282,5599.93
MERLUSDTSWAP,3,20250604,184500,0.11283,0.11301,0.11266,0.11266,21286.39
MERLUSDTSWAP,3,20250604,184800,0.11265,0.11265,0.11252,0.1126,9043.88
MERLUSDTSWAP,3,20250604,185100,0.11256,0.11256,0.11213,0.11233,25862.57
MERLUSDTSWAP,3,20250604,185400,0.11236,0.11254,0.11226,0.11254,16749.95
MERLUSDTSWAP,3,20250604,185700,0.1125,0.1125,0.11218,0.11219,10997.89
MERLUSDTSWAP,3,20250604,190000,0.11227,0.11263,0.11221,0.11262,20026.83
MERLUSDTSWAP,3,20250604,190300,0.11263,0.11304,0.11263,0.11272,32146.29
MERLUSDTSWAP,3,20250604,190600,0.1127,0.1127,0.1125,0.1125,21210.14
MERLUSDTSWAP,3,20250604,190900,0.11248,0.11271,0.11236,0.11253,13206.95
MERLUSDTSWAP,3,20250604,191200,0.11254,0.11262,0.11168,0.11197,50761.28
MERLUSDTSWAP,3,20250604,191500,0.112,0.112,0.11163,0.11176,32034.46
MERLUSDTSWAP,3,20250604,191800,0.11176,0.11213,0.11167,0.11213,14109.25
MERLUSDTSWAP,3,20250604,192100,0.11212,0.11226,0.11194,0.11199,7654.99
MERLUSDTSWAP,3,20250604,192400,0.11197,0.11203,0.11185,0.1119,9402.46
MERLUSDTSWAP,3,20250604,192700,0.1119,0.11227,0.1119,0.11202,12531.68
MERLUSDTSWAP,3,20250604,193000,0.11204,0.11335,0.11191,0.11275,84902.57
MERLUSDTSWAP,3,20250604,193300,0.1127,0.11307,0.11269,0.113,37982.15
MERLUSDTSWAP,3,20250604,193600,0.113,0.11351,0.113,0.11343,33708.24
MERLUSDTSWAP,3,20250604,193900,0.11347,0.11399,0.11346,0.11375,82983.33
MERLUSDTSWAP,3,20250604,194200,0.11373,0.11383,0.11344,0.11374,42394.22
MERLUSDTSWAP,3,20250604,194500,0.11372,0.11387,0.11357,0.11383,22700.33
