<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEUSDTSWAP,1440,20250225,030000,1.324,1.36,1.231,1.337,37576320.87
MEUSDTSWAP,1440,20250226,030000,1.338,1.392,1.26,1.351,23182295.04
MEUSDTSWAP,1440,20250227,030000,1.352,1.43,1.324,1.363,14095194.88
MEUSDTSWAP,1440,20250228,030000,1.362,1.41,1.275,1.378,23002092.05
MEUSDTSWAP,1440,20250301,030000,1.378,1.388,1.311,1.344,9725055.86
MEUSDTSWAP,1440,20250302,030000,1.344,1.433,1.322,1.413,17042680.7
MEUSDTSWAP,1440,20250303,030000,1.413,1.413,1.178,1.19,33418604.42
MEUSDTSWAP,1440,20250304,030000,1.189,1.192,1.062,1.149,30317949.54
MEUSDTSWAP,1440,20250305,030000,1.15,1.18,1.127,1.179,8714688.5
MEUSDTSWAP,1440,20250306,030000,1.179,1.213,1.133,1.156,7792740.8
MEUSDTSWAP,1440,20250307,030000,1.157,1.207,1.096,1.157,11281564.53
MEUSDTSWAP,1440,20250308,030000,1.157,1.167,1.103,1.121,4765667.96
MEUSDTSWAP,1440,20250309,030000,1.121,1.131,0.997,1.018,9032910.38
MEUSDTSWAP,1440,20250310,030000,1.018,1.166,0.991,1.024,17855671.14
MEUSDTSWAP,1440,20250311,030000,1.024,1.056,0.941,1.039,12157484.03
MEUSDTSWAP,1440,20250312,030000,1.04,1.065,0.991,1.046,10073994.32
MEUSDTSWAP,1440,20250313,030000,1.046,1.092,1.019,1.067,7205262.22
MEUSDTSWAP,1440,20250314,030000,1.067,1.111,1.052,1.088,5493638.36
MEUSDTSWAP,1440,20250315,030000,1.087,1.126,1.083,1.12,3344180.5
MEUSDTSWAP,1440,20250316,030000,1.12,1.122,1.05,1.064,5990503.68
MEUSDTSWAP,1440,20250317,030000,1.063,1.192,1.054,1.165,13781091.29
MEUSDTSWAP,1440,20250318,030000,1.164,1.19,1.091,1.137,10500038.93
MEUSDTSWAP,1440,20250319,030000,1.137,1.167,1.106,1.144,5330000.17
MEUSDTSWAP,1440,20250320,030000,1.145,1.148,1.093,1.118,3040207.44
MEUSDTSWAP,1440,20250321,030000,1.117,1.23,1.108,1.216,15618176.6
MEUSDTSWAP,1440,20250322,030000,1.214,1.284,1.172,1.191,8734181.27
MEUSDTSWAP,1440,20250323,030000,1.191,1.195,1.127,1.16,5573471.49
MEUSDTSWAP,1440,20250324,030000,1.16,1.206,1.138,1.193,5498397.68
