<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEUSDTSWAP,3,20250604,172700,1.021,1.0231,1.02,1.023,133962.35
MEUSDTSWAP,3,20250604,173000,1.0232,1.0236,1.0183,1.0189,260092.32
MEUSDTSWAP,3,20250604,173300,1.0186,1.0195,1.003,1.0074,1014911.65
MEUSDTSWAP,3,20250604,173600,1.0074,1.0121,0.9985,1.0119,697248.74
MEUSDTSWAP,3,20250604,173900,1.0117,1.0156,1.0084,1.0134,277764.26
MEUSDTSWAP,3,20250604,174200,1.0133,1.0154,1.0118,1.0147,194885.96
MEUSDTSWAP,3,20250604,174500,1.0148,1.0196,1.0126,1.0191,201266.3
MEUSDTSWAP,3,20250604,174800,1.0192,1.0224,1.0189,1.0201,284140.73
MEUSDTSWAP,3,20250604,175100,1.02,1.021,1.0165,1.02,132760.14
MEUSDTSWAP,3,20250604,175400,1.0202,1.0227,1.0201,1.022,147740.26
MEUSDTSWAP,3,20250604,175700,1.0221,1.0235,1.0217,1.0224,111950.61
MEUSDTSWAP,3,20250604,180000,1.0224,1.0264,1.02,1.022,261531.96
MEUSDTSWAP,3,20250604,180300,1.0221,1.0241,1.0187,1.0217,157451.44
MEUSDTSWAP,3,20250604,180600,1.0218,1.0249,1.0195,1.0197,237024.9
MEUSDTSWAP,3,20250604,180900,1.02,1.0216,1.0187,1.019,167530.92
MEUSDTSWAP,3,20250604,181200,1.0193,1.02,1.0184,1.0188,88589.4
MEUSDTSWAP,3,20250604,181500,1.0189,1.0243,1.0188,1.0194,242091.66
MEUSDTSWAP,3,20250604,181800,1.0195,1.0229,1.0176,1.0195,153173.76
MEUSDTSWAP,3,20250604,182100,1.0196,1.0225,1.0183,1.0217,102612.54
MEUSDTSWAP,3,20250604,182400,1.0219,1.0247,1.0209,1.0215,157402.24
MEUSDTSWAP,3,20250604,182700,1.0216,1.0282,1.0216,1.028,151529.84
MEUSDTSWAP,3,20250604,183000,1.0278,1.0354,1.027,1.0354,489628.5
MEUSDTSWAP,3,20250604,183300,1.0352,1.0415,1.034,1.0385,609458.47
MEUSDTSWAP,3,20250604,183600,1.0385,1.0397,1.0328,1.0349,317419.6
MEUSDTSWAP,3,20250604,183900,1.035,1.0351,1.0306,1.0338,253021.27
MEUSDTSWAP,3,20250604,184200,1.0338,1.035,1.0283,1.0316,322425.68
MEUSDTSWAP,3,20250604,184500,1.0318,1.0377,1.0313,1.0342,305220.89
MEUSDTSWAP,3,20250604,184800,1.0343,1.0375,1.0331,1.0374,158023.46
MEUSDTSWAP,3,20250604,185100,1.0372,1.0395,1.0352,1.0356,187989.39
MEUSDTSWAP,3,20250604,185400,1.0355,1.0355,1.0258,1.0282,468256.21
MEUSDTSWAP,3,20250604,185700,1.0282,1.0315,1.0236,1.0299,347981.95
MEUSDTSWAP,3,20250604,190000,1.03,1.0324,1.0221,1.0317,588221.67
MEUSDTSWAP,3,20250604,190300,1.0314,1.0339,1.0221,1.0226,253188.07
MEUSDTSWAP,3,20250604,190600,1.0225,1.0247,1.0154,1.0167,368459.92
MEUSDTSWAP,3,20250604,190900,1.0168,1.022,1.0166,1.0215,159334.59
MEUSDTSWAP,3,20250604,191200,1.0216,1.0231,1.0187,1.0187,212311.98
MEUSDTSWAP,3,20250604,191500,1.0189,1.02,1.015,1.0168,226013.42
MEUSDTSWAP,3,20250604,191800,1.0169,1.0172,1.0087,1.0114,455096.31
MEUSDTSWAP,3,20250604,192100,1.0114,1.0124,1.007,1.0116,223257.45
MEUSDTSWAP,3,20250604,192400,1.0121,1.0141,1.0079,1.0087,210923.66
MEUSDTSWAP,3,20250604,192700,1.0086,1.0107,1.0053,1.0079,193435.36
MEUSDTSWAP,3,20250604,193000,1.0078,1.0118,1.0067,1.011,216773.75
MEUSDTSWAP,3,20250604,193300,1.0109,1.013,1.0083,1.0125,115142.52
MEUSDTSWAP,3,20250604,193600,1.0124,1.0161,1.0121,1.0161,154850.63
MEUSDTSWAP,3,20250604,193900,1.016,1.0238,1.0157,1.0226,191000.89
MEUSDTSWAP,3,20250604,194200,1.0225,1.0298,1.0218,1.0293,212752.6
MEUSDTSWAP,3,20250604,194500,1.0293,1.0322,1.0233,1.0273,371892.27
MEUSDTSWAP,3,20250604,194800,1.0274,1.0292,1.0218,1.0224,158471.31
MEUSDTSWAP,3,20250604,195100,1.0225,1.0232,1.0136,1.0161,332581.42
MEUSDTSWAP,3,20250604,195400,1.0159,1.0159,1.0095,1.0117,218654.19
MEUSDTSWAP,3,20250604,195700,1.0116,1.0123,1.0047,1.0096,301325.29
MEUSDTSWAP,3,20250604,200000,1.01,1.0113,0.995,1.0031,817174.84
MEUSDTSWAP,3,20250604,200300,1.0033,1.0042,0.9997,1.0008,146535.98
MEUSDTSWAP,3,20250604,200600,1.0007,1.0082,0.9988,1.0064,177154.92
MEUSDTSWAP,3,20250604,200900,1.0064,1.0082,1.0049,1.0065,132614.33
MEUSDTSWAP,3,20250604,201200,1.0065,1.0092,1.0005,1.0031,278661.6
MEUSDTSWAP,3,20250604,201500,1.0031,1.0043,0.991,0.9971,695637.81
MEUSDTSWAP,3,20250604,201800,0.9968,0.9974,0.9931,0.9952,311485.05
MEUSDTSWAP,3,20250604,202100,0.9953,0.998,0.9873,0.9874,536167.11
MEUSDTSWAP,3,20250604,202400,0.9876,0.9899,0.9681,0.9709,1317015.96
MEUSDTSWAP,3,20250604,202700,0.9708,0.9765,0.9701,0.9725,414506.36
MEUSDTSWAP,3,20250604,203000,0.9726,0.9729,0.957,0.9613,686529.16
MEUSDTSWAP,3,20250604,203300,0.9614,0.9617,0.9551,0.9573,389194.91
MEUSDTSWAP,3,20250604,203600,0.9571,0.9575,0.9433,0.9503,765230.16
MEUSDTSWAP,3,20250604,203900,0.9504,0.9544,0.9468,0.9508,344327.07
MEUSDTSWAP,3,20250604,204200,0.9508,0.9546,0.9493,0.9532,234556.66
MEUSDTSWAP,3,20250604,204500,0.9535,0.9559,0.9515,0.9527,219302.14
MEUSDTSWAP,3,20250604,204800,0.9525,0.9526,0.9482,0.9516,204650.34
MEUSDTSWAP,3,20250604,205100,0.9517,0.957,0.9517,0.9553,254543.59
MEUSDTSWAP,3,20250604,205400,0.9554,0.9568,0.9535,0.9541,133553.46
MEUSDTSWAP,3,20250604,205700,0.9541,0.9577,0.951,0.9572,236607.26
MEUSDTSWAP,3,20250604,210000,0.9571,0.9621,0.9553,0.9612,299923.56
