<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEWUSDTSWAP,1440,20250225,030000,0.002426,0.002455,0.002222,0.002402,9816.39
MEWUSDTSWAP,1440,20250226,030000,0.002402,0.002452,0.002182,0.002303,6657.62
MEWUSDTSWAP,1440,20250227,030000,0.002304,0.00248,0.002266,0.002351,6264.3
MEWUSDTSWAP,1440,20250228,030000,0.002351,0.00258,0.002218,0.0025,17801.31
MEWUSDTSWAP,1440,20250301,030000,0.002502,0.002513,0.002338,0.002399,4178.75
MEWUSDTSWAP,1440,20250302,030000,0.002399,0.002796,0.002346,0.002746,9337.85
MEWUSDTSWAP,1440,20250303,030000,0.002745,0.002757,0.002142,0.002205,11159.8
MEWUSDTSWAP,1440,20250304,030000,0.002204,0.002223,0.001953,0.00211,9365.92
MEWUSDTSWAP,1440,20250305,030000,0.00211,0.002219,0.002073,0.002169,4282.34
MEWUSDTSWAP,1440,20250306,030000,0.002169,0.002226,0.002086,0.002121,4070.55
MEWUSDTSWAP,1440,20250307,030000,0.002122,0.00222,0.001987,0.002087,5072.99
MEWUSDTSWAP,1440,20250308,030000,0.002086,0.002122,0.002009,0.002038,2003.92
MEWUSDTSWAP,1440,20250309,030000,0.002037,0.002054,0.00179,0.001823,3761.95
MEWUSDTSWAP,1440,20250310,030000,0.001824,0.00196,0.001684,0.001722,4566.46
MEWUSDTSWAP,1440,20250311,030000,0.001722,0.00187,0.001612,0.00183,4957.92
MEWUSDTSWAP,1440,20250312,030000,0.001831,0.001904,0.001757,0.001863,4098.59
MEWUSDTSWAP,1440,20250313,030000,0.001863,0.0019,0.00175,0.00181,3282.42
MEWUSDTSWAP,1440,20250314,030000,0.001811,0.001948,0.001798,0.0019,2891.47
MEWUSDTSWAP,1440,20250315,030000,0.0019,0.001957,0.001884,0.00195,2073.48
MEWUSDTSWAP,1440,20250316,030000,0.001951,0.001968,0.001807,0.00183,3148.53
MEWUSDTSWAP,1440,20250317,030000,0.001829,0.001992,0.001828,0.001952,3131.26
MEWUSDTSWAP,1440,20250318,030000,0.001951,0.001952,0.001808,0.001899,3955.42
MEWUSDTSWAP,1440,20250319,030000,0.001898,0.002011,0.001872,0.002007,6308.82
MEWUSDTSWAP,1440,20250320,030000,0.002008,0.002055,0.001913,0.001943,4349.1
MEWUSDTSWAP,1440,20250321,030000,0.001942,0.001963,0.001877,0.001931,2585.87
MEWUSDTSWAP,1440,20250322,030000,0.001932,0.002092,0.001932,0.002071,2749.8
MEWUSDTSWAP,1440,20250323,030000,0.002071,0.002126,0.002042,0.002114,4101.98
MEWUSDTSWAP,1440,20250324,030000,0.002115,0.002242,0.002057,0.002167,4220.39
MEWUSDTSWAP,1440,20250325,030000,0.002165,0.002429,0.002115,0.002297,14735.4
MEWUSDTSWAP,1440,20250326,030000,0.002296,0.003007,0.002264,0.002783,154246.34
MEWUSDTSWAP,1440,20250327,030000,0.002782,0.002905,0.00251,0.002516,82028.64
MEWUSDTSWAP,1440,20250328,030000,0.002516,0.002516,0.002231,0.002259,29088.67
MEWUSDTSWAP,1440,20250329,030000,0.002258,0.002715,0.002258,0.002625,96663.24
MEWUSDTSWAP,1440,20250330,030000,0.002626,0.002892,0.00251,0.002625,111355.21
MEWUSDTSWAP,1440,20250331,030000,0.002626,0.002685,0.002437,0.002511,61095.13
MEWUSDTSWAP,1440,20250401,030000,0.002511,0.002899,0.002497,0.002872,80548.02
MEWUSDTSWAP,1440,20250402,030000,0.002871,0.003437,0.002814,0.003051,197064.21
MEWUSDTSWAP,1440,20250403,030000,0.003052,0.003285,0.002716,0.002911,88709.8
MEWUSDTSWAP,1440,20250404,030000,0.002912,0.00299,0.002634,0.002832,78637.28
MEWUSDTSWAP,1440,20250405,030000,0.00283,0.00284,0.002601,0.002726,31014.56
MEWUSDTSWAP,1440,20250406,030000,0.002725,0.002752,0.002216,0.002254,34079.83
MEWUSDTSWAP,1440,20250407,030000,0.002255,0.002278,0.00194,0.002141,52574.75
MEWUSDTSWAP,1440,20250408,030000,0.00214,0.002161,0.001952,0.001966,22142.05
MEWUSDTSWAP,1440,20250409,030000,0.001966,0.002268,0.001877,0.002261,23650.36
MEWUSDTSWAP,1440,20250410,030000,0.002261,0.002273,0.002062,0.00211,19633.08
MEWUSDTSWAP,1440,20250411,030000,0.002109,0.002479,0.002095,0.00245,36683.91
MEWUSDTSWAP,1440,20250412,030000,0.002451,0.002616,0.00241,0.002552,36231.03
MEWUSDTSWAP,1440,20250413,030000,0.002552,0.002581,0.002265,0.00231,22128.71
MEWUSDTSWAP,1440,20250414,030000,0.002311,0.002478,0.002302,0.002353,19240.91
