<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEWUSDTSWAP,60,20250531,190000,0.003247,0.003276,0.00321,0.003239,731.17
MEWUSDTSWAP,60,20250531,200000,0.003239,0.003247,0.003205,0.003211,415.84
MEWUSDTSWAP,60,20250531,210000,0.003212,0.003262,0.003206,0.003246,199.8
MEWUSDTSWAP,60,20250531,220000,0.003246,0.003263,0.003235,0.003241,226.01
MEWUSDTSWAP,60,20250531,230000,0.00324,0.003243,0.003217,0.003231,208.86
MEWUSDTSWAP,60,20250601,000000,0.00323,0.003264,0.003215,0.00322,426.28
MEWUSDTSWAP,60,20250601,010000,0.003221,0.003226,0.003188,0.00319,469.22
MEWUSDTSWAP,60,20250601,020000,0.003191,0.003247,0.003174,0.003228,661.38
MEWUSDTSWAP,60,20250601,030000,0.003229,0.003316,0.00322,0.003311,2371.24
MEWUSDTSWAP,60,20250601,040000,0.003312,0.003362,0.003259,0.00327,1730.16
MEWUSDTSWAP,60,20250601,050000,0.003269,0.003311,0.003218,0.003292,984.9
MEWUSDTSWAP,60,20250601,060000,0.003292,0.00334,0.003272,0.003304,999.21
MEWUSDTSWAP,60,20250601,070000,0.003303,0.003308,0.003259,0.003272,674.78
MEWUSDTSWAP,60,20250601,080000,0.003272,0.003277,0.00324,0.003254,560.53
MEWUSDTSWAP,60,20250601,090000,0.003253,0.003256,0.003209,0.003215,471.17
MEWUSDTSWAP,60,20250601,100000,0.003215,0.003237,0.003198,0.003234,504.35
MEWUSDTSWAP,60,20250601,110000,0.003233,0.003242,0.003202,0.003213,349.19
MEWUSDTSWAP,60,20250601,120000,0.003214,0.003219,0.003148,0.003174,927.94
MEWUSDTSWAP,60,20250601,130000,0.003174,0.003192,0.003159,0.003189,276.85
MEWUSDTSWAP,60,20250601,140000,0.003188,0.003226,0.003172,0.00322,264.56
MEWUSDTSWAP,60,20250601,150000,0.003221,0.003239,0.003177,0.003193,433.93
MEWUSDTSWAP,60,20250601,160000,0.003193,0.003228,0.00319,0.003208,307.67
MEWUSDTSWAP,60,20250601,170000,0.003209,0.003297,0.003209,0.003262,702.15
MEWUSDTSWAP,60,20250601,180000,0.003263,0.003269,0.003245,0.003259,530.31
MEWUSDTSWAP,60,20250601,190000,0.003258,0.003321,0.003248,0.00328,921.91
MEWUSDTSWAP,60,20250601,200000,0.003281,0.003294,0.003255,0.003267,336.92
MEWUSDTSWAP,60,20250601,210000,0.003267,0.003267,0.003204,0.003241,610.34
