<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MEWUSDTSWAP,3,20250604,172700,0.003244,0.003244,0.003238,0.003239,10.4
MEWUSDTSWAP,3,20250604,173000,0.00324,0.003244,0.003239,0.003244,16.47
MEWUSDTSWAP,3,20250604,173300,0.003245,0.003252,0.003241,0.003246,12.02
MEWUSDTSWAP,3,20250604,173600,0.003244,0.003245,0.003238,0.003238,4.17
MEWUSDTSWAP,3,20250604,173900,0.003238,0.003247,0.003237,0.003247,18.01
MEWUSDTSWAP,3,20250604,174200,0.003247,0.003252,0.003243,0.003252,4.72
MEWUSDTSWAP,3,20250604,174500,0.003251,0.003258,0.003246,0.003257,18.36
MEWUSDTSWAP,3,20250604,174800,0.003257,0.003264,0.003254,0.003255,12.8
MEWUSDTSWAP,3,20250604,175100,0.003254,0.003259,0.003252,0.003259,4.27
MEWUSDTSWAP,3,20250604,175400,0.003259,0.003274,0.003259,0.003274,17.04
MEWUSDTSWAP,3,20250604,175700,0.003274,0.003282,0.003271,0.00328,16.76
MEWUSDTSWAP,3,20250604,180000,0.00328,0.003281,0.003267,0.00327,78.9
MEWUSDTSWAP,3,20250604,180300,0.003271,0.003272,0.003262,0.003265,20.63
MEWUSDTSWAP,3,20250604,180600,0.003265,0.003285,0.003265,0.003274,106.75
MEWUSDTSWAP,3,20250604,180900,0.003274,0.003282,0.003273,0.00328,11.85
MEWUSDTSWAP,3,20250604,181200,0.00328,0.00328,0.003275,0.003275,7.29
MEWUSDTSWAP,3,20250604,181500,0.003275,0.003291,0.003275,0.003286,9.87
MEWUSDTSWAP,3,20250604,181800,0.003285,0.003294,0.003281,0.003282,23.72
MEWUSDTSWAP,3,20250604,182100,0.003282,0.00329,0.003274,0.003287,133.57
MEWUSDTSWAP,3,20250604,182400,0.003288,0.003293,0.003287,0.003288,16.97
MEWUSDTSWAP,3,20250604,182700,0.003288,0.003293,0.003286,0.00329,12.95
MEWUSDTSWAP,3,20250604,183000,0.003289,0.003296,0.003279,0.003294,98.93
MEWUSDTSWAP,3,20250604,183300,0.003294,0.0033,0.00329,0.003291,33.15
MEWUSDTSWAP,3,20250604,183600,0.003291,0.00331,0.003291,0.003308,41.36
MEWUSDTSWAP,3,20250604,183900,0.003308,0.003316,0.003304,0.003315,35.69
MEWUSDTSWAP,3,20250604,184200,0.003315,0.003324,0.00331,0.003314,26.92
MEWUSDTSWAP,3,20250604,184500,0.003316,0.00332,0.003305,0.003305,16.51
MEWUSDTSWAP,3,20250604,184800,0.003305,0.003307,0.003295,0.003301,27.99
MEWUSDTSWAP,3,20250604,185100,0.003301,0.003312,0.003297,0.003308,13.81
MEWUSDTSWAP,3,20250604,185400,0.003308,0.003318,0.003306,0.003315,23.57
MEWUSDTSWAP,3,20250604,185700,0.003315,0.003316,0.003308,0.003313,23.26
MEWUSDTSWAP,3,20250604,190000,0.003314,0.003317,0.003302,0.003303,9.37
MEWUSDTSWAP,3,20250604,190300,0.003303,0.003304,0.003298,0.003298,7.81
MEWUSDTSWAP,3,20250604,190600,0.003297,0.003303,0.003294,0.003295,18.9
MEWUSDTSWAP,3,20250604,190900,0.003296,0.0033,0.003295,0.0033,8.19
MEWUSDTSWAP,3,20250604,191200,0.0033,0.003303,0.003296,0.003296,7.34
MEWUSDTSWAP,3,20250604,191500,0.003295,0.003295,0.003284,0.003284,15.75
MEWUSDTSWAP,3,20250604,191800,0.003284,0.003294,0.00328,0.003294,7.78
MEWUSDTSWAP,3,20250604,192100,0.003294,0.003296,0.003287,0.003288,10.27
MEWUSDTSWAP,3,20250604,192400,0.003287,0.003287,0.00328,0.003281,16.11
MEWUSDTSWAP,3,20250604,192700,0.003281,0.003287,0.00328,0.00328,6.85
MEWUSDTSWAP,3,20250604,193000,0.00328,0.003289,0.003278,0.003289,41.61
MEWUSDTSWAP,3,20250604,193300,0.003288,0.003289,0.003283,0.003286,14.08
MEWUSDTSWAP,3,20250604,193600,0.003286,0.003286,0.003283,0.003286,5.24
MEWUSDTSWAP,3,20250604,193900,0.003285,0.003294,0.003285,0.003289,7.93
MEWUSDTSWAP,3,20250604,194200,0.003289,0.003289,0.003282,0.003284,7.64
MEWUSDTSWAP,3,20250604,194500,0.003284,0.00329,0.003281,0.003289,11.29
MEWUSDTSWAP,3,20250604,194800,0.003288,0.003294,0.003284,0.003293,3.7
MEWUSDTSWAP,3,20250604,195100,0.003292,0.003292,0.003289,0.00329,3.67
MEWUSDTSWAP,3,20250604,195400,0.00329,0.003298,0.003286,0.003288,7.31
MEWUSDTSWAP,3,20250604,195700,0.003288,0.003289,0.003282,0.003289,2.28
MEWUSDTSWAP,3,20250604,200000,0.003289,0.003289,0.003275,0.003277,12.86
MEWUSDTSWAP,3,20250604,200300,0.003277,0.00328,0.003275,0.003277,2.8
MEWUSDTSWAP,3,20250604,200600,0.003277,0.003279,0.003275,0.003278,7.1
MEWUSDTSWAP,3,20250604,200900,0.003278,0.003278,0.003268,0.003268,5.06
MEWUSDTSWAP,3,20250604,201200,0.003267,0.003276,0.003267,0.003274,9.53
MEWUSDTSWAP,3,20250604,201500,0.003276,0.003276,0.003265,0.003267,2.83
MEWUSDTSWAP,3,20250604,201800,0.003268,0.003271,0.003267,0.00327,3.8
MEWUSDTSWAP,3,20250604,202100,0.003272,0.003274,0.003267,0.003272,3.67
MEWUSDTSWAP,3,20250604,202400,0.003271,0.003273,0.003261,0.003262,6.58
MEWUSDTSWAP,3,20250604,202700,0.003263,0.003266,0.003251,0.003253,29.87
MEWUSDTSWAP,3,20250604,203000,0.003253,0.003253,0.00324,0.003243,25.18
MEWUSDTSWAP,3,20250604,203300,0.003243,0.00325,0.003236,0.003244,21.95
MEWUSDTSWAP,3,20250604,203600,0.003243,0.003243,0.003235,0.00324,27.72
MEWUSDTSWAP,3,20250604,203900,0.00324,0.003245,0.003238,0.003243,8.55
MEWUSDTSWAP,3,20250604,204200,0.003243,0.003243,0.00324,0.003241,13.62
MEWUSDTSWAP,3,20250604,204500,0.00324,0.003246,0.003239,0.00324,8.64
MEWUSDTSWAP,3,20250604,204800,0.003241,0.00325,0.003238,0.003244,6.2
MEWUSDTSWAP,3,20250604,205100,0.003244,0.003254,0.003243,0.003254,4.44
MEWUSDTSWAP,3,20250604,205400,0.003254,0.003256,0.003253,0.003255,5.23
MEWUSDTSWAP,3,20250604,205700,0.003256,0.003258,0.003254,0.003257,4.37
MEWUSDTSWAP,3,20250604,210000,0.003258,0.003269,0.003258,0.003268,11.02
MEWUSDTSWAP,3,20250604,210300,0.003268,0.003272,0.003268,0.00327,9.47
MEWUSDTSWAP,3,20250604,210600,0.00327,0.00327,0.003254,0.003256,12.32
MEWUSDTSWAP,3,20250604,210900,0.003256,0.003263,0.003253,0.003261,4.82
MEWUSDTSWAP,3,20250604,211200,0.003261,0.003262,0.003259,0.003262,2.62
MEWUSDTSWAP,3,20250604,211500,0.003263,0.003266,0.003262,0.003263,7.07
MEWUSDTSWAP,3,20250604,211800,0.003262,0.00327,0.003261,0.003267,6.13
MEWUSDTSWAP,3,20250604,212100,0.003266,0.003269,0.003265,0.003267,3.23
MEWUSDTSWAP,3,20250604,212400,0.003266,0.00327,0.003265,0.003269,2.23
MEWUSDTSWAP,3,20250604,212700,0.003269,0.003271,0.003268,0.003269,3.27
MEWUSDTSWAP,3,20250604,213000,0.003269,0.003273,0.003263,0.003265,5.52
MEWUSDTSWAP,3,20250604,213300,0.003264,0.003265,0.003262,0.003262,2.19
MEWUSDTSWAP,3,20250604,213600,0.003262,0.003263,0.003258,0.003261,3.2
MEWUSDTSWAP,3,20250604,213900,0.00326,0.00326,0.003256,0.003258,1.28
MEWUSDTSWAP,3,20250604,214200,0.003258,0.003263,0.003258,0.00326,3.09
MEWUSDTSWAP,3,20250604,214500,0.003261,0.003261,0.003253,0.003256,3.96
MEWUSDTSWAP,3,20250604,214800,0.003257,0.003259,0.003248,0.003251,13.27
MEWUSDTSWAP,3,20250604,215100,0.00325,0.00325,0.003247,0.003249,4.2
MEWUSDTSWAP,3,20250604,215400,0.00325,0.003251,0.003243,0.003246,21.7
