<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOODENGUSDTSWAP,1440,20250225,030000,0.05131,0.06334,0.04953,0.05952,2949271.96
MOODENGUSDTSWAP,1440,20250226,030000,0.05953,0.06748,0.05939,0.06642,2852099.98
MOODENGUSDTSWAP,1440,20250227,030000,0.06644,0.06893,0.05796,0.0599,2636103.21
MOODENGUSDTSWAP,1440,20250228,030000,0.05991,0.06738,0.05483,0.06161,2869863.7
MOODENGUSDTSWAP,1440,20250301,030000,0.0616,0.06244,0.05365,0.05526,2009891.76
MOODENGUSDTSWAP,1440,20250302,030000,0.05526,0.06294,0.05406,0.06184,1934755.33
MOODENGUSDTSWAP,1440,20250303,030000,0.06188,0.06217,0.04856,0.04958,2482671.14
MOODENGUSDTSWAP,1440,20250304,030000,0.04959,0.05028,0.04327,0.047,2150982.07
MOODENGUSDTSWAP,1440,20250305,030000,0.047,0.04911,0.04504,0.04674,852758.98
MOODENGUSDTSWAP,1440,20250306,030000,0.04675,0.04816,0.04178,0.04246,1381708.92
MOODENGUSDTSWAP,1440,20250307,030000,0.04245,0.04338,0.0385,0.03958,1689270.54
MOODENGUSDTSWAP,1440,20250308,030000,0.03958,0.04107,0.03805,0.03967,816291.9
MOODENGUSDTSWAP,1440,20250309,030000,0.03966,0.04037,0.03229,0.0351,1518021.56
MOODENGUSDTSWAP,1440,20250310,030000,0.03511,0.03858,0.03352,0.03592,1331123.25
MOODENGUSDTSWAP,1440,20250311,030000,0.03593,0.04029,0.03253,0.03806,1977955.81
MOODENGUSDTSWAP,1440,20250312,030000,0.03806,0.03941,0.03607,0.03838,1192394.91
MOODENGUSDTSWAP,1440,20250313,030000,0.03838,0.0392,0.03481,0.03687,1216796.37
MOODENGUSDTSWAP,1440,20250314,030000,0.03686,0.04272,0.03669,0.04018,1866117.23
MOODENGUSDTSWAP,1440,20250315,030000,0.04018,0.04222,0.03972,0.04109,582673.32
