<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOODENGUSDTSWAP,60,20250531,190000,0.20219,0.20899,0.20132,0.20504,833289.89
MOODENGUSDTSWAP,60,20250531,200000,0.20502,0.20586,0.19923,0.2003,640414.82
MOODENGUSDTSWAP,60,20250531,210000,0.20029,0.20791,0.19984,0.20486,482089.42
MOODENGUSDTSWAP,60,20250531,220000,0.2049,0.20733,0.20468,0.20568,272098.59
MOODENGUSDTSWAP,60,20250531,230000,0.20569,0.20655,0.20426,0.20549,165404.79
MOODENGUSDTSWAP,60,20250601,000000,0.20549,0.20716,0.20383,0.20524,306039.96
MOODENGUSDTSWAP,60,20250601,010000,0.20527,0.20573,0.203,0.20325,174581.11
MOODENGUSDTSWAP,60,20250601,020000,0.20327,0.2084,0.20087,0.20279,605090.07
MOODENGUSDTSWAP,60,20250601,030000,0.20282,0.20664,0.19872,0.2041,702226.32
MOODENGUSDTSWAP,60,20250601,040000,0.2041,0.20594,0.20029,0.20085,356214.71
MOODENGUSDTSWAP,60,20250601,050000,0.20084,0.20407,0.19811,0.20225,446892.3
MOODENGUSDTSWAP,60,20250601,060000,0.20223,0.20236,0.19865,0.19973,270509.32
MOODENGUSDTSWAP,60,20250601,070000,0.19975,0.20227,0.19826,0.20046,281436.96
MOODENGUSDTSWAP,60,20250601,080000,0.20047,0.20197,0.1984,0.19944,290836.66
MOODENGUSDTSWAP,60,20250601,090000,0.19943,0.20054,0.19746,0.19867,376815.81
MOODENGUSDTSWAP,60,20250601,100000,0.1987,0.20089,0.19735,0.20053,274176.99
MOODENGUSDTSWAP,60,20250601,110000,0.20054,0.2009,0.197,0.19829,314535.76
MOODENGUSDTSWAP,60,20250601,120000,0.19827,0.19898,0.1935,0.19505,576221.59
MOODENGUSDTSWAP,60,20250601,130000,0.19507,0.19829,0.19496,0.19812,328873.78
MOODENGUSDTSWAP,60,20250601,140000,0.19812,0.20197,0.19714,0.20098,403059.09
MOODENGUSDTSWAP,60,20250601,150000,0.20099,0.20132,0.19737,0.19866,326541.22
MOODENGUSDTSWAP,60,20250601,160000,0.19863,0.20329,0.1985,0.20144,332510.79
MOODENGUSDTSWAP,60,20250601,170000,0.20143,0.20734,0.20127,0.20514,588182.25
MOODENGUSDTSWAP,60,20250601,180000,0.20513,0.20666,0.20357,0.20482,448696.44
MOODENGUSDTSWAP,60,20250601,190000,0.2048,0.20816,0.20362,0.20428,598697.37
MOODENGUSDTSWAP,60,20250601,200000,0.20431,0.2051,0.2028,0.20324,272551.58
MOODENGUSDTSWAP,60,20250601,210000,0.20323,0.2036,0.20003,0.20274,397403.06
MOODENGUSDTSWAP,60,20250601,220000,0.20275,0.20614,0.20263,0.2052,265331.02
MOODENGUSDTSWAP,60,20250601,230000,0.2052,0.20775,0.20361,0.20578,173397.49
MOODENGUSDTSWAP,60,20250602,000000,0.20578,0.20972,0.20572,0.2084,206814.87
MOODENGUSDTSWAP,60,20250602,010000,0.20838,0.21158,0.20654,0.2074,380438.53
MOODENGUSDTSWAP,60,20250602,020000,0.20741,0.20972,0.20669,0.20856,256500.21
MOODENGUSDTSWAP,60,20250602,030000,0.2086,0.20956,0.20681,0.20773,248907.15
MOODENGUSDTSWAP,60,20250602,040000,0.20777,0.20998,0.20556,0.20578,355525.43
MOODENGUSDTSWAP,60,20250602,050000,0.20578,0.20599,0.20384,0.20454,337021.96
MOODENGUSDTSWAP,60,20250602,060000,0.20455,0.20469,0.20161,0.20243,331620.14
MOODENGUSDTSWAP,60,20250602,070000,0.20241,0.20289,0.19788,0.19901,393730.36
MOODENGUSDTSWAP,60,20250602,080000,0.19896,0.20356,0.19843,0.20086,538532.59
MOODENGUSDTSWAP,60,20250602,090000,0.20089,0.20378,0.19972,0.20221,381644.19
MOODENGUSDTSWAP,60,20250602,100000,0.20218,0.2039,0.20105,0.20161,240737.14
MOODENGUSDTSWAP,60,20250602,110000,0.2016,0.20316,0.19775,0.19885,419322.56
MOODENGUSDTSWAP,60,20250602,120000,0.19889,0.19895,0.18657,0.18777,1429077.95
MOODENGUSDTSWAP,60,20250602,130000,0.18776,0.19096,0.1853,0.19031,1040789.35
MOODENGUSDTSWAP,60,20250602,140000,0.19033,0.1915,0.18861,0.19064,411815.88
MOODENGUSDTSWAP,60,20250602,150000,0.19063,0.19268,0.1898,0.19263,414698.98
MOODENGUSDTSWAP,60,20250602,160000,0.19263,0.19648,0.19044,0.19351,840162.49
MOODENGUSDTSWAP,60,20250602,170000,0.19353,0.19642,0.19132,0.19222,978253.9
MOODENGUSDTSWAP,60,20250602,180000,0.1922,0.19479,0.1902,0.19305,464046.53
MOODENGUSDTSWAP,60,20250602,190000,0.19306,0.19377,0.19072,0.19298,313499.71
