<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOVEUSDTSWAP,1440,20250225,030000,0.42048,0.42982,0.38553,0.42587,3574754.45
MOVEUSDTSWAP,1440,20250226,030000,0.42587,0.46522,0.42009,0.45842,3011247.13
MOVEUSDTSWAP,1440,20250227,030000,0.45849,0.47951,0.44578,0.46014,1713701.28
MOVEUSDTSWAP,1440,20250228,030000,0.46017,0.46313,0.4136,0.44349,2842448.46
MOVEUSDTSWAP,1440,20250301,030000,0.44353,0.45641,0.42757,0.44535,1220905.92
MOVEUSDTSWAP,1440,20250302,030000,0.44548,0.557,0.43726,0.52878,4048752.11
MOVEUSDTSWAP,1440,20250303,030000,0.52873,0.53116,0.4135,0.42197,3706141.92
MOVEUSDTSWAP,1440,20250304,030000,0.42198,0.4249,0.37024,0.40455,3451488.78
MOVEUSDTSWAP,1440,20250305,030000,0.40446,0.4508,0.39173,0.44997,2065237.07
MOVEUSDTSWAP,1440,20250306,030000,0.44996,0.51139,0.43609,0.47703,17915871.94
MOVEUSDTSWAP,1440,20250307,030000,0.47703,0.53837,0.44884,0.49732,17636842.36
MOVEUSDTSWAP,1440,20250308,030000,0.49738,0.515,0.47624,0.48479,6530278.09
MOVEUSDTSWAP,1440,20250309,030000,0.48479,0.55044,0.45943,0.46386,17169881.12
MOVEUSDTSWAP,1440,20250310,030000,0.46388,0.55386,0.44204,0.49369,15238649.58
MOVEUSDTSWAP,1440,20250311,030000,0.4937,0.52772,0.46606,0.50023,11188250.63
MOVEUSDTSWAP,1440,20250312,030000,0.50017,0.50722,0.45563,0.4749,6443492.04
MOVEUSDTSWAP,1440,20250313,030000,0.47478,0.4865,0.43334,0.44357,4224928.11
MOVEUSDTSWAP,1440,20250314,030000,0.44357,0.46921,0.44023,0.45089,2524858.1
MOVEUSDTSWAP,1440,20250315,030000,0.45089,0.47622,0.44625,0.46396,2294353.31
MOVEUSDTSWAP,1440,20250316,030000,0.46389,0.48314,0.42746,0.43391,3542483.92
MOVEUSDTSWAP,1440,20250317,030000,0.43384,0.45289,0.42996,0.4482,2504978.28
MOVEUSDTSWAP,1440,20250318,030000,0.44822,0.4629,0.42063,0.44534,2968204.73
MOVEUSDTSWAP,1440,20250319,030000,0.44538,0.45913,0.4377,0.4583,2529972.63
MOVEUSDTSWAP,1440,20250320,030000,0.45835,0.45973,0.43216,0.44227,3509578.16
MOVEUSDTSWAP,1440,20250321,030000,0.44222,0.45079,0.41705,0.42851,1984801.43
MOVEUSDTSWAP,1440,20250322,030000,0.42851,0.449,0.42498,0.43814,1977745.91
MOVEUSDTSWAP,1440,20250323,030000,0.4381,0.43823,0.41316,0.42277,1312705.75
MOVEUSDTSWAP,1440,20250324,030000,0.42276,0.4403,0.40902,0.4332,1807165.41
MOVEUSDTSWAP,1440,20250325,030000,0.43326,0.58046,0.42491,0.55101,23738494.34
MOVEUSDTSWAP,1440,20250326,030000,0.55086,0.57788,0.50215,0.50674,20120109.17
MOVEUSDTSWAP,1440,20250327,030000,0.50673,0.50956,0.48354,0.48621,5066873.33
MOVEUSDTSWAP,1440,20250328,030000,0.48616,0.50097,0.45967,0.48896,6077106.96
MOVEUSDTSWAP,1440,20250329,030000,0.48898,0.50454,0.43688,0.44716,6179619.22
MOVEUSDTSWAP,1440,20250330,030000,0.44722,0.46216,0.41701,0.42424,3445504.97
MOVEUSDTSWAP,1440,20250331,030000,0.42425,0.42446,0.39406,0.40359,3589060.82
MOVEUSDTSWAP,1440,20250401,030000,0.40359,0.42647,0.39852,0.40988,3429822.44
MOVEUSDTSWAP,1440,20250402,030000,0.40975,0.41899,0.37108,0.37973,4161035.83
MOVEUSDTSWAP,1440,20250403,030000,0.37967,0.398,0.3733,0.38983,3283728.24
MOVEUSDTSWAP,1440,20250404,030000,0.38984,0.39389,0.3643,0.38003,2707300.02
MOVEUSDTSWAP,1440,20250405,030000,0.38003,0.38808,0.368,0.37504,1673185.82
MOVEUSDTSWAP,1440,20250406,030000,0.37505,0.37505,0.30653,0.31627,3433818.66
MOVEUSDTSWAP,1440,20250407,030000,0.31625,0.33946,0.28609,0.32867,4859416.86
MOVEUSDTSWAP,1440,20250408,030000,0.32859,0.33874,0.30479,0.30803,2940487.18
MOVEUSDTSWAP,1440,20250409,030000,0.30802,0.34405,0.28953,0.33554,3949882.15
MOVEUSDTSWAP,1440,20250410,030000,0.33556,0.33683,0.30585,0.3222,2216641.58
MOVEUSDTSWAP,1440,20250411,030000,0.32219,0.34281,0.32066,0.33479,2092799.64
MOVEUSDTSWAP,1440,20250412,030000,0.33477,0.35047,0.32723,0.34279,2677847.99
MOVEUSDTSWAP,1440,20250413,030000,0.34282,0.34372,0.2934,0.30458,3245291.47
MOVEUSDTSWAP,1440,20250414,030000,0.30463,0.3136,0.28614,0.29742,3360252.9
MOVEUSDTSWAP,1440,20250415,030000,0.29742,0.30672,0.26284,0.2746,4923436.25
MOVEUSDTSWAP,1440,20250416,030000,0.27457,0.2747,0.24054,0.2451,4467402.17
MOVEUSDTSWAP,1440,20250417,030000,0.2451,0.25338,0.22891,0.2364,4177820.68
MOVEUSDTSWAP,1440,20250418,030000,0.23636,0.24783,0.23177,0.24061,3243493.12
MOVEUSDTSWAP,1440,20250419,030000,0.24055,0.24464,0.23001,0.23585,2028399.39
MOVEUSDTSWAP,1440,20250420,030000,0.23583,0.2383,0.21639,0.22355,3912972.01
MOVEUSDTSWAP,1440,20250421,030000,0.22359,0.24778,0.2196,0.22581,3942564.71
MOVEUSDTSWAP,1440,20250422,030000,0.22576,0.23533,0.21835,0.2346,2516357.53
MOVEUSDTSWAP,1440,20250423,030000,0.23461,0.25653,0.23138,0.24535,4688162.6
MOVEUSDTSWAP,1440,20250424,030000,0.24535,0.24626,0.22093,0.23868,3327845.94
MOVEUSDTSWAP,1440,20250425,030000,0.23871,0.24478,0.22978,0.23993,2776039.27
MOVEUSDTSWAP,1440,20250426,030000,0.23993,0.25781,0.23569,0.24843,3153951.83
MOVEUSDTSWAP,1440,20250427,030000,0.24847,0.25115,0.23106,0.2356,2085056.88
MOVEUSDTSWAP,1440,20250428,030000,0.23559,0.2458,0.22568,0.24203,2088199.79
MOVEUSDTSWAP,1440,20250429,030000,0.24201,0.254,0.23331,0.23839,2563745.76
MOVEUSDTSWAP,1440,20250430,030000,0.23842,0.24991,0.2345,0.24564,2121555.57
MOVEUSDTSWAP,1440,20250501,030000,0.24563,0.25391,0.17839,0.1854,10959817.53
MOVEUSDTSWAP,1440,20250502,030000,0.18533,0.20993,0.18431,0.19559,12267896.37
MOVEUSDTSWAP,1440,20250503,030000,0.1956,0.19567,0.17613,0.18104,5593926.65
MOVEUSDTSWAP,1440,20250504,030000,0.18099,0.18104,0.16503,0.17228,5654636.18
MOVEUSDTSWAP,1440,20250505,030000,0.17221,0.17432,0.16063,0.16573,3721933.06
MOVEUSDTSWAP,1440,20250506,030000,0.1657,0.1985,0.15211,0.15901,15428268.51
MOVEUSDTSWAP,1440,20250507,030000,0.159,0.16413,0.14406,0.15737,7818958.24
MOVEUSDTSWAP,1440,20250508,030000,0.15737,0.17131,0.15502,0.16942,2869038.59
MOVEUSDTSWAP,1440,20250509,030000,0.16944,0.19579,0.16588,0.19528,3369384.21
MOVEUSDTSWAP,1440,20250510,030000,0.19526,0.21393,0.18501,0.20713,5467914.99
MOVEUSDTSWAP,1440,20250511,030000,0.20709,0.24436,0.20582,0.21522,7804403.47
MOVEUSDTSWAP,1440,20250512,030000,0.21524,0.24071,0.20504,0.22105,5560082.91
MOVEUSDTSWAP,1440,20250513,030000,0.22099,0.23474,0.21154,0.22892,4694002.18
MOVEUSDTSWAP,1440,20250514,030000,0.22895,0.22996,0.21215,0.21583,2159136.1
MOVEUSDTSWAP,1440,20250515,030000,0.21585,0.22251,0.1872,0.19403,2880883.9
MOVEUSDTSWAP,1440,20250516,030000,0.19402,0.20085,0.18736,0.1903,1370875.47
MOVEUSDTSWAP,1440,20250517,030000,0.1903,0.19052,0.17841,0.18505,1235108.09
MOVEUSDTSWAP,1440,20250518,030000,0.18506,0.193,0.17692,0.18903,1363555.21
MOVEUSDTSWAP,1440,20250519,030000,0.18905,0.18999,0.17359,0.18362,1255088.02
MOVEUSDTSWAP,1440,20250520,030000,0.18363,0.18607,0.17582,0.18207,871030.17
MOVEUSDTSWAP,1440,20250521,030000,0.18207,0.18656,0.17601,0.18302,911972.79
MOVEUSDTSWAP,1440,20250522,030000,0.18309,0.19359,0.18239,0.19258,955846.25
MOVEUSDTSWAP,1440,20250523,030000,0.19261,0.20026,0.18028,0.1817,1872698.68
MOVEUSDTSWAP,1440,20250524,030000,0.18168,0.18786,0.18013,0.18335,669046.77
MOVEUSDTSWAP,1440,20250525,030000,0.18333,0.18398,0.16953,0.17983,1159005.66
MOVEUSDTSWAP,1440,20250526,030000,0.17984,0.18435,0.16215,0.17103,2355369.88
MOVEUSDTSWAP,1440,20250527,030000,0.17102,0.17516,0.16451,0.17311,1197470.07
MOVEUSDTSWAP,1440,20250528,030000,0.17313,0.17393,0.16222,0.16711,1104161.68
MOVEUSDTSWAP,1440,20250529,030000,0.16705,0.16993,0.1561,0.15823,1160616.79
MOVEUSDTSWAP,1440,20250530,030000,0.15818,0.1584,0.13782,0.14103,1590336.03
MOVEUSDTSWAP,1440,20250531,030000,0.14099,0.14128,0.13237,0.13958,1223507.98
MOVEUSDTSWAP,1440,20250601,030000,0.13956,0.14286,0.13239,0.14204,1002860.16
MOVEUSDTSWAP,1440,20250602,030000,0.14206,0.14741,0.13781,0.14601,993824.77
MOVEUSDTSWAP,1440,20250603,030000,0.146,0.16065,0.14542,0.15183,1837562.72
MOVEUSDTSWAP,1440,20250604,030000,0.15183,0.15435,0.14468,0.14536,676505.44
