<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOVEUSDTSWAP,60,20250531,190000,0.13351,0.13728,0.13253,0.13666,104408.69
MOVEUSDTSWAP,60,20250531,200000,0.13668,0.13704,0.13488,0.13506,60135.24
MOVEUSDTSWAP,60,20250531,210000,0.13506,0.13822,0.13495,0.13765,48059.35
MOVEUSDTSWAP,60,20250531,220000,0.13763,0.13814,0.13713,0.1375,23889.82
MOVEUSDTSWAP,60,20250531,230000,0.13744,0.13846,0.1372,0.13802,28018.93
MOVEUSDTSWAP,60,20250601,000000,0.13799,0.13955,0.1379,0.13955,28403.45
MOVEUSDTSWAP,60,20250601,010000,0.13954,0.13993,0.13901,0.13945,21781.08
MOVEUSDTSWAP,60,20250601,020000,0.13956,0.14113,0.13903,0.13958,36245.13
MOVEUSDTSWAP,60,20250601,030000,0.13956,0.1411,0.13808,0.13955,78196.58
MOVEUSDTSWAP,60,20250601,040000,0.13952,0.14058,0.13814,0.13863,44065.02
MOVEUSDTSWAP,60,20250601,050000,0.1386,0.13912,0.13696,0.1387,40758.38
MOVEUSDTSWAP,60,20250601,060000,0.13872,0.13879,0.13635,0.13697,48254.03
MOVEUSDTSWAP,60,20250601,070000,0.13694,0.13934,0.13682,0.13852,26831.61
MOVEUSDTSWAP,60,20250601,080000,0.13855,0.13958,0.138,0.1391,37763.33
MOVEUSDTSWAP,60,20250601,090000,0.13911,0.13943,0.13712,0.1372,24487.81
MOVEUSDTSWAP,60,20250601,100000,0.13718,0.13771,0.13632,0.13748,30929.01
MOVEUSDTSWAP,60,20250601,110000,0.13743,0.13743,0.13476,0.13522,52262.43
MOVEUSDTSWAP,60,20250601,120000,0.13523,0.13601,0.13239,0.13361,87315.17
MOVEUSDTSWAP,60,20250601,130000,0.13366,0.13522,0.13339,0.1349,47541.79
MOVEUSDTSWAP,60,20250601,140000,0.1349,0.13726,0.13427,0.13604,42724.31
MOVEUSDTSWAP,60,20250601,150000,0.13604,0.13627,0.13453,0.135,52741.89
MOVEUSDTSWAP,60,20250601,160000,0.13499,0.1372,0.13492,0.13669,64781.43
MOVEUSDTSWAP,60,20250601,170000,0.13666,0.13976,0.13664,0.13861,44853.18
MOVEUSDTSWAP,60,20250601,180000,0.1386,0.13907,0.13788,0.13846,21716.68
MOVEUSDTSWAP,60,20250601,190000,0.13845,0.14056,0.13821,0.13979,55779.43
MOVEUSDTSWAP,60,20250601,200000,0.13981,0.14082,0.13954,0.14032,27818.83
MOVEUSDTSWAP,60,20250601,210000,0.14028,0.14037,0.13764,0.13931,38388.32
MOVEUSDTSWAP,60,20250601,220000,0.13933,0.14038,0.13926,0.14038,23338.19
MOVEUSDTSWAP,60,20250601,230000,0.14035,0.14208,0.14004,0.14114,35733.39
MOVEUSDTSWAP,60,20250602,000000,0.14115,0.14212,0.14077,0.14178,13148.26
MOVEUSDTSWAP,60,20250602,010000,0.14174,0.14286,0.14158,0.14191,26892.61
MOVEUSDTSWAP,60,20250602,020000,0.14193,0.14276,0.14166,0.14204,23624.96
MOVEUSDTSWAP,60,20250602,030000,0.14206,0.14212,0.14088,0.14151,23428.82
MOVEUSDTSWAP,60,20250602,040000,0.14153,0.14297,0.14094,0.14118,33710.18
MOVEUSDTSWAP,60,20250602,050000,0.14119,0.14134,0.13971,0.14004,35008.34
MOVEUSDTSWAP,60,20250602,060000,0.14006,0.14012,0.13896,0.13935,28946.34
MOVEUSDTSWAP,60,20250602,070000,0.13936,0.14082,0.13908,0.13994,25555.84
MOVEUSDTSWAP,60,20250602,080000,0.13991,0.14057,0.13863,0.13922,25206.61
MOVEUSDTSWAP,60,20250602,090000,0.13922,0.14197,0.13876,0.14111,45236.89
MOVEUSDTSWAP,60,20250602,100000,0.1411,0.14415,0.14108,0.14377,74824.06
MOVEUSDTSWAP,60,20250602,110000,0.14377,0.14459,0.1406,0.14085,80746.12
MOVEUSDTSWAP,60,20250602,120000,0.14085,0.14089,0.13892,0.13917,56954.81
MOVEUSDTSWAP,60,20250602,130000,0.13916,0.13981,0.13808,0.13927,49440.76
MOVEUSDTSWAP,60,20250602,140000,0.13927,0.14001,0.13856,0.1391,49546.7
MOVEUSDTSWAP,60,20250602,150000,0.13908,0.14019,0.1383,0.13919,62173.35
MOVEUSDTSWAP,60,20250602,160000,0.13922,0.14045,0.13781,0.1388,52889.96
MOVEUSDTSWAP,60,20250602,170000,0.13879,0.14097,0.13827,0.13986,44913.14
MOVEUSDTSWAP,60,20250602,180000,0.13985,0.14169,0.13916,0.1411,35551.55
MOVEUSDTSWAP,60,20250602,190000,0.14111,0.14111,0.13951,0.14081,29960.19
MOVEUSDTSWAP,60,20250602,200000,0.1408,0.14212,0.14002,0.14178,27168.49
MOVEUSDTSWAP,60,20250602,210000,0.14175,0.14305,0.14143,0.14206,43730.58
MOVEUSDTSWAP,60,20250602,220000,0.14204,0.14256,0.1394,0.14051,24255.03
MOVEUSDTSWAP,60,20250602,230000,0.14049,0.14353,0.14036,0.1435,31683.02
MOVEUSDTSWAP,60,20250603,000000,0.14346,0.14484,0.14337,0.14484,23736.75
MOVEUSDTSWAP,60,20250603,010000,0.14478,0.14741,0.14475,0.14644,47277.91
MOVEUSDTSWAP,60,20250603,020000,0.14645,0.14692,0.14541,0.14601,34482.38
MOVEUSDTSWAP,60,20250603,030000,0.146,0.14772,0.14542,0.14698,27775.33
MOVEUSDTSWAP,60,20250603,040000,0.14699,0.15082,0.14699,0.15064,61134.61
MOVEUSDTSWAP,60,20250603,050000,0.15065,0.15086,0.14835,0.15028,83785.05
MOVEUSDTSWAP,60,20250603,060000,0.15027,0.15142,0.14763,0.1485,77691.09
MOVEUSDTSWAP,60,20250603,070000,0.14844,0.14913,0.14734,0.14755,26321.68
MOVEUSDTSWAP,60,20250603,080000,0.14756,0.14936,0.14732,0.1492,27455.46
MOVEUSDTSWAP,60,20250603,090000,0.1492,0.15039,0.1482,0.15031,35899.01
MOVEUSDTSWAP,60,20250603,100000,0.1503,0.1503,0.1483,0.14867,21144.81
MOVEUSDTSWAP,60,20250603,110000,0.14866,0.14911,0.147,0.14854,39141.73
MOVEUSDTSWAP,60,20250603,120000,0.14854,0.14981,0.14816,0.14956,33884.2
MOVEUSDTSWAP,60,20250603,130000,0.1496,0.14982,0.14877,0.14927,18871.89
MOVEUSDTSWAP,60,20250603,140000,0.14928,0.14981,0.14794,0.14861,18911.69
MOVEUSDTSWAP,60,20250603,150000,0.14861,0.14935,0.14791,0.14902,22157.16
MOVEUSDTSWAP,60,20250603,160000,0.14904,0.15031,0.14839,0.14912,35714.01
MOVEUSDTSWAP,60,20250603,170000,0.1491,0.15023,0.14807,0.15006,29509.13
MOVEUSDTSWAP,60,20250603,180000,0.1501,0.1503,0.14881,0.14902,25892.55
MOVEUSDTSWAP,60,20250603,190000,0.14902,0.15632,0.14855,0.15391,245713.42
MOVEUSDTSWAP,60,20250603,200000,0.15387,0.16065,0.15065,0.15929,431458.87
MOVEUSDTSWAP,60,20250603,210000,0.15932,0.16037,0.15382,0.15575,351017.01
MOVEUSDTSWAP,60,20250603,220000,0.15578,0.15751,0.15345,0.15728,141247.91
MOVEUSDTSWAP,60,20250603,230000,0.1573,0.1574,0.15263,0.1528,70315.62
MOVEUSDTSWAP,60,20250604,000000,0.1528,0.15334,0.15024,0.15083,41588.19
MOVEUSDTSWAP,60,20250604,010000,0.15084,0.15342,0.15078,0.15257,33487.39
MOVEUSDTSWAP,60,20250604,020000,0.15261,0.15292,0.15075,0.15183,23596.71
MOVEUSDTSWAP,60,20250604,030000,0.15183,0.15381,0.14973,0.15148,77406.43
MOVEUSDTSWAP,60,20250604,040000,0.15151,0.15435,0.15134,0.15187,57456.99
MOVEUSDTSWAP,60,20250604,050000,0.15185,0.1526,0.15058,0.15062,27950.88
MOVEUSDTSWAP,60,20250604,060000,0.15064,0.15272,0.15044,0.15143,30857.25
MOVEUSDTSWAP,60,20250604,070000,0.15144,0.15199,0.15055,0.15114,23742.31
MOVEUSDTSWAP,60,20250604,080000,0.15117,0.15247,0.15073,0.15137,23002.78
MOVEUSDTSWAP,60,20250604,090000,0.15138,0.15217,0.15034,0.1507,21856.24
MOVEUSDTSWAP,60,20250604,100000,0.15071,0.15136,0.14939,0.1504,28335.74
MOVEUSDTSWAP,60,20250604,110000,0.15036,0.15179,0.14965,0.14997,32388.15
MOVEUSDTSWAP,60,20250604,120000,0.14999,0.15118,0.14947,0.15074,23724.37
MOVEUSDTSWAP,60,20250604,130000,0.15077,0.1515,0.14885,0.14894,38776.39
MOVEUSDTSWAP,60,20250604,140000,0.14894,0.14914,0.1467,0.14712,40135.61
MOVEUSDTSWAP,60,20250604,150000,0.14713,0.14778,0.14608,0.1466,41341.91
MOVEUSDTSWAP,60,20250604,160000,0.14664,0.14806,0.14627,0.14703,22397.65
MOVEUSDTSWAP,60,20250604,170000,0.14703,0.14785,0.14578,0.14774,36747.06
MOVEUSDTSWAP,60,20250604,180000,0.14772,0.15005,0.1473,0.14955,32296.17
MOVEUSDTSWAP,60,20250604,190000,0.14952,0.14972,0.14758,0.14795,27289.04
MOVEUSDTSWAP,60,20250604,200000,0.14795,0.14804,0.14514,0.14566,38966.18
MOVEUSDTSWAP,60,20250604,210000,0.14566,0.14677,0.14553,0.14577,18700.12
MOVEUSDTSWAP,60,20250604,220000,0.14575,0.14596,0.14468,0.14526,23100.21
