<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOVEUSDTSWAP,3,20250604,172700,0.14656,0.14659,0.14636,0.1465,1857.21
MOVEUSDTSWAP,3,20250604,173000,0.14646,0.14655,0.14635,0.14646,987.14
MOVEUSDTSWAP,3,20250604,173300,0.14647,0.14666,0.14637,0.14652,1331.27
MOVEUSDTSWAP,3,20250604,173600,0.14648,0.14657,0.1463,0.14644,724.34
MOVEUSDTSWAP,3,20250604,173900,0.14641,0.14675,0.14641,0.14672,795.88
MOVEUSDTSWAP,3,20250604,174200,0.14666,0.14666,0.14641,0.14661,576.81
MOVEUSDTSWAP,3,20250604,174500,0.14661,0.1469,0.14653,0.1469,2265.27
MOVEUSDTSWAP,3,20250604,174800,0.14691,0.14714,0.14679,0.14692,2061.73
MOVEUSDTSWAP,3,20250604,175100,0.14691,0.14716,0.14685,0.14716,477.16
MOVEUSDTSWAP,3,20250604,175400,0.14717,0.14769,0.14717,0.14763,1058.15
MOVEUSDTSWAP,3,20250604,175700,0.14765,0.14785,0.14748,0.14774,3865.18
MOVEUSDTSWAP,3,20250604,180000,0.14772,0.14784,0.14732,0.14733,1412.2
MOVEUSDTSWAP,3,20250604,180300,0.1473,0.14761,0.1473,0.14761,1073.38
MOVEUSDTSWAP,3,20250604,180600,0.14762,0.14796,0.14762,0.14772,3312.45
MOVEUSDTSWAP,3,20250604,180900,0.14769,0.14791,0.14764,0.14779,336.88
MOVEUSDTSWAP,3,20250604,181200,0.1478,0.14825,0.14776,0.1481,2016.88
MOVEUSDTSWAP,3,20250604,181500,0.14813,0.14867,0.14813,0.14856,1184.45
MOVEUSDTSWAP,3,20250604,181800,0.14856,0.1486,0.14833,0.14834,1327.83
MOVEUSDTSWAP,3,20250604,182100,0.14832,0.14872,0.14825,0.14858,755.84
MOVEUSDTSWAP,3,20250604,182400,0.14861,0.14876,0.14851,0.14875,681.38
MOVEUSDTSWAP,3,20250604,182700,0.14874,0.14909,0.14874,0.14885,1577.39
MOVEUSDTSWAP,3,20250604,183000,0.14883,0.14899,0.14843,0.14899,1249.73
MOVEUSDTSWAP,3,20250604,183300,0.14884,0.14915,0.14884,0.14894,1589.91
MOVEUSDTSWAP,3,20250604,183600,0.14892,0.14949,0.14892,0.14941,3909.3
MOVEUSDTSWAP,3,20250604,183900,0.14939,0.14939,0.14904,0.14909,1546.04
MOVEUSDTSWAP,3,20250604,184200,0.14914,0.14944,0.14898,0.1491,1096.48
MOVEUSDTSWAP,3,20250604,184500,0.14907,0.14924,0.14887,0.14889,2161.37
MOVEUSDTSWAP,3,20250604,184800,0.14888,0.14901,0.14861,0.14896,1030.4
MOVEUSDTSWAP,3,20250604,185100,0.14896,0.1496,0.14896,0.14949,2695.43
MOVEUSDTSWAP,3,20250604,185400,0.14944,0.15005,0.14944,0.15,2124.59
MOVEUSDTSWAP,3,20250604,185700,0.14998,0.14998,0.14923,0.14955,1415.06
MOVEUSDTSWAP,3,20250604,190000,0.14952,0.14968,0.14918,0.14956,3383.04
MOVEUSDTSWAP,3,20250604,190300,0.14953,0.14972,0.1489,0.1489,1361.62
MOVEUSDTSWAP,3,20250604,190600,0.1489,0.14913,0.14848,0.14851,2191.81
MOVEUSDTSWAP,3,20250604,190900,0.14862,0.14886,0.14862,0.14878,679.19
MOVEUSDTSWAP,3,20250604,191200,0.14874,0.14885,0.14853,0.14862,1802.73
MOVEUSDTSWAP,3,20250604,191500,0.14859,0.14867,0.14819,0.14819,771.33
MOVEUSDTSWAP,3,20250604,191800,0.1482,0.14848,0.14797,0.14848,3531.9
MOVEUSDTSWAP,3,20250604,192100,0.14847,0.14848,0.14801,0.14813,1208.25
MOVEUSDTSWAP,3,20250604,192400,0.14811,0.1482,0.14791,0.14793,862.15
MOVEUSDTSWAP,3,20250604,192700,0.14793,0.14798,0.14763,0.14765,835.21
MOVEUSDTSWAP,3,20250604,193000,0.14768,0.14784,0.14758,0.1478,833.36
MOVEUSDTSWAP,3,20250604,193300,0.14779,0.14806,0.14769,0.14806,815.36
MOVEUSDTSWAP,3,20250604,193600,0.14806,0.14806,0.14785,0.1479,930.26
MOVEUSDTSWAP,3,20250604,193900,0.1479,0.14815,0.14788,0.148,1142.38
MOVEUSDTSWAP,3,20250604,194200,0.148,0.14807,0.14783,0.14793,524.51
MOVEUSDTSWAP,3,20250604,194500,0.14793,0.14805,0.14773,0.14784,752.08
MOVEUSDTSWAP,3,20250604,194800,0.14784,0.14811,0.14768,0.14804,1342.98
MOVEUSDTSWAP,3,20250604,195100,0.14804,0.14804,0.14788,0.14795,707.34
MOVEUSDTSWAP,3,20250604,195400,0.14795,0.14819,0.14783,0.14788,1106.22
MOVEUSDTSWAP,3,20250604,195700,0.14788,0.14805,0.14775,0.14795,2307.96
MOVEUSDTSWAP,3,20250604,200000,0.14795,0.14804,0.14736,0.14741,3441.91
MOVEUSDTSWAP,3,20250604,200300,0.1474,0.14759,0.14736,0.14755,1062.46
MOVEUSDTSWAP,3,20250604,200600,0.14755,0.14757,0.1472,0.14738,2849.49
MOVEUSDTSWAP,3,20250604,200900,0.14738,0.14741,0.1469,0.14701,3106.92
MOVEUSDTSWAP,3,20250604,201200,0.14702,0.14735,0.14702,0.14718,1702.79
MOVEUSDTSWAP,3,20250604,201500,0.14718,0.14725,0.14687,0.14695,1896.12
MOVEUSDTSWAP,3,20250604,201800,0.14695,0.14711,0.14686,0.14707,2119.75
MOVEUSDTSWAP,3,20250604,202100,0.14706,0.1472,0.14687,0.14711,830.3
MOVEUSDTSWAP,3,20250604,202400,0.14711,0.14719,0.14653,0.14661,2170.9
MOVEUSDTSWAP,3,20250604,202700,0.14661,0.1468,0.14626,0.14629,2157.95
MOVEUSDTSWAP,3,20250604,203000,0.1463,0.1463,0.14538,0.14554,3065.28
MOVEUSDTSWAP,3,20250604,203300,0.14554,0.14581,0.14518,0.1456,3475.35
MOVEUSDTSWAP,3,20250604,203600,0.14557,0.1456,0.14514,0.14555,2244.25
MOVEUSDTSWAP,3,20250604,203900,0.14554,0.14567,0.14538,0.14563,1142.63
MOVEUSDTSWAP,3,20250604,204200,0.14565,0.14567,0.14538,0.1454,1118.01
MOVEUSDTSWAP,3,20250604,204500,0.14538,0.14557,0.1452,0.14524,1994.76
MOVEUSDTSWAP,3,20250604,204800,0.14522,0.14567,0.14514,0.1453,1203.87
MOVEUSDTSWAP,3,20250604,205100,0.1453,0.14554,0.14518,0.14545,2124.87
MOVEUSDTSWAP,3,20250604,205400,0.14545,0.14562,0.14544,0.14555,457.29
MOVEUSDTSWAP,3,20250604,205700,0.14554,0.14572,0.14553,0.14566,428.32
MOVEUSDTSWAP,3,20250604,210000,0.14566,0.1462,0.14566,0.14605,1655.43
MOVEUSDTSWAP,3,20250604,210300,0.14605,0.14634,0.14605,0.14629,512.2
MOVEUSDTSWAP,3,20250604,210600,0.14627,0.14637,0.14586,0.146,1247.39
MOVEUSDTSWAP,3,20250604,210900,0.14599,0.14637,0.14586,0.14633,418.41
MOVEUSDTSWAP,3,20250604,211200,0.14632,0.14649,0.14632,0.14649,608.25
MOVEUSDTSWAP,3,20250604,211500,0.14649,0.14657,0.1464,0.1464,416.32
MOVEUSDTSWAP,3,20250604,211800,0.1464,0.1467,0.14629,0.14659,1727.81
MOVEUSDTSWAP,3,20250604,212100,0.14659,0.14662,0.1464,0.1464,730.16
MOVEUSDTSWAP,3,20250604,212400,0.14647,0.14665,0.14647,0.14659,678.16
MOVEUSDTSWAP,3,20250604,212700,0.1466,0.14671,0.14652,0.14667,834.89
MOVEUSDTSWAP,3,20250604,213000,0.14666,0.14677,0.14637,0.14656,2288.34
MOVEUSDTSWAP,3,20250604,213300,0.14655,0.14655,0.14635,0.14641,1071.43
MOVEUSDTSWAP,3,20250604,213600,0.14644,0.14651,0.14636,0.14643,477.25
MOVEUSDTSWAP,3,20250604,213900,0.14647,0.14652,0.14621,0.14627,1098.23
MOVEUSDTSWAP,3,20250604,214200,0.14627,0.14652,0.14623,0.14652,596.34
MOVEUSDTSWAP,3,20250604,214500,0.14654,0.14657,0.14618,0.14628,1055.97
MOVEUSDTSWAP,3,20250604,214800,0.14631,0.14638,0.14601,0.14605,567.1
MOVEUSDTSWAP,3,20250604,215100,0.14604,0.14607,0.14577,0.14583,895.96
MOVEUSDTSWAP,3,20250604,215400,0.14582,0.1459,0.14553,0.14557,869.38
MOVEUSDTSWAP,3,20250604,215700,0.14557,0.14582,0.14557,0.14577,1030.93
MOVEUSDTSWAP,3,20250604,220000,0.14575,0.14578,0.14554,0.14554,1274.44
MOVEUSDTSWAP,3,20250604,220300,0.14554,0.14596,0.1455,0.14554,5882.58
MOVEUSDTSWAP,3,20250604,220600,0.14555,0.14557,0.14497,0.14514,3753.15
MOVEUSDTSWAP,3,20250604,220900,0.14514,0.14516,0.14497,0.14514,894.5
MOVEUSDTSWAP,3,20250604,221200,0.14516,0.14519,0.145,0.14509,783.86
MOVEUSDTSWAP,3,20250604,221500,0.14507,0.14511,0.14468,0.14496,6242.51
MOVEUSDTSWAP,3,20250604,221800,0.14494,0.14536,0.14494,0.14524,1682.75
MOVEUSDTSWAP,3,20250604,222100,0.14523,0.14548,0.14519,0.14536,1920.09
MOVEUSDTSWAP,3,20250604,222400,0.14536,0.14537,0.14517,0.14517,663.13
