<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MUBARAKUSDTSWAP,60,20250603,130000,0.044,0.04545,0.044,0.04492,15907.45
MUBARAKUSDTSWAP,60,20250603,140000,0.04497,0.04535,0.04421,0.04472,23179.47
MUBARAKUSDTSWAP,60,20250603,150000,0.04472,0.04499,0.0443,0.04448,11991.27
MUBARAKUSDTSWAP,60,20250603,160000,0.04448,0.04507,0.04406,0.0446,19296.67
MUBARAKUSDTSWAP,60,20250603,170000,0.0446,0.04503,0.04425,0.04493,13200.17
MUBARAKUSDTSWAP,60,20250603,180000,0.04492,0.04499,0.04435,0.04458,9418.2
MUBARAKUSDTSWAP,60,20250603,190000,0.04459,0.04473,0.04181,0.04323,17083.9
MUBARAKUSDTSWAP,60,20250603,200000,0.04322,0.04348,0.04276,0.04291,12608.1
MUBARAKUSDTSWAP,60,20250603,210000,0.0429,0.04295,0.04237,0.0427,6557.57
MUBARAKUSDTSWAP,60,20250603,220000,0.0427,0.04349,0.04268,0.04307,4066.19
MUBARAKUSDTSWAP,60,20250603,230000,0.04306,0.04314,0.04209,0.0424,4615.26
MUBARAKUSDTSWAP,60,20250604,000000,0.04241,0.04255,0.0415,0.04198,3975.9
MUBARAKUSDTSWAP,60,20250604,010000,0.04199,0.04287,0.04165,0.04237,5243.12
MUBARAKUSDTSWAP,60,20250604,020000,0.04237,0.04254,0.04203,0.04223,2874.64
MUBARAKUSDTSWAP,60,20250604,030000,0.04224,0.04283,0.04192,0.04264,4928.06
MUBARAKUSDTSWAP,60,20250604,040000,0.04263,0.04295,0.04225,0.0423,3943.1
MUBARAKUSDTSWAP,60,20250604,050000,0.0423,0.04278,0.0423,0.04239,2859.99
MUBARAKUSDTSWAP,60,20250604,060000,0.04239,0.04307,0.04237,0.04261,3980.34
MUBARAKUSDTSWAP,60,20250604,070000,0.04261,0.04281,0.04207,0.0422,4805.09
MUBARAKUSDTSWAP,60,20250604,080000,0.0422,0.04263,0.04213,0.04243,3528.55
MUBARAKUSDTSWAP,60,20250604,090000,0.04243,0.04257,0.042,0.04221,3583.17
MUBARAKUSDTSWAP,60,20250604,100000,0.04222,0.04253,0.04205,0.04231,3495.01
MUBARAKUSDTSWAP,60,20250604,110000,0.04231,0.0431,0.04225,0.04274,6422.53
MUBARAKUSDTSWAP,60,20250604,120000,0.04274,0.04291,0.04222,0.04279,5725.66
MUBARAKUSDTSWAP,60,20250604,130000,0.0428,0.04292,0.04203,0.04232,4779.13
MUBARAKUSDTSWAP,60,20250604,140000,0.04231,0.04256,0.04157,0.04176,7266.57
MUBARAKUSDTSWAP,60,20250604,150000,0.04174,0.04239,0.04162,0.04219,5343.22
MUBARAKUSDTSWAP,60,20250604,160000,0.0422,0.0428,0.04176,0.04214,6779.3
MUBARAKUSDTSWAP,60,20250604,170000,0.0421,0.04258,0.04175,0.04253,4524.82
MUBARAKUSDTSWAP,60,20250604,180000,0.04253,0.04306,0.04217,0.04275,7478.26
MUBARAKUSDTSWAP,60,20250604,190000,0.04273,0.04284,0.0424,0.04274,3995.81
MUBARAKUSDTSWAP,60,20250604,200000,0.04276,0.04276,0.0419,0.04234,4305.59
MUBARAKUSDTSWAP,60,20250604,210000,0.04235,0.04395,0.04235,0.04318,10055.37
MUBARAKUSDTSWAP,60,20250604,220000,0.04317,0.04322,0.04239,0.04251,3288.26
