<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MUBARAKUSDTSWAP,3,20250604,172700,0.04222,0.04225,0.04213,0.04219,139.75
MUBARAKUSDTSWAP,3,20250604,173000,0.04217,0.04234,0.04214,0.04231,193.43
MUBARAKUSDTSWAP,3,20250604,173300,0.04233,0.04238,0.04215,0.04215,553.63
MUBARAKUSDTSWAP,3,20250604,173600,0.04217,0.04224,0.04207,0.04212,155.4
MUBARAKUSDTSWAP,3,20250604,173900,0.0421,0.04225,0.04208,0.04222,151.64
MUBARAKUSDTSWAP,3,20250604,174200,0.0422,0.04222,0.04209,0.0421,48.57
MUBARAKUSDTSWAP,3,20250604,174500,0.04212,0.04217,0.04196,0.04208,230.4
MUBARAKUSDTSWAP,3,20250604,174800,0.04209,0.04224,0.04203,0.04212,199.0
MUBARAKUSDTSWAP,3,20250604,175100,0.04211,0.04216,0.04209,0.04216,57.73
MUBARAKUSDTSWAP,3,20250604,175400,0.04218,0.04243,0.04218,0.04241,126.24
MUBARAKUSDTSWAP,3,20250604,175700,0.04243,0.04258,0.04235,0.04253,185.25
MUBARAKUSDTSWAP,3,20250604,180000,0.04253,0.04255,0.04236,0.0424,220.48
MUBARAKUSDTSWAP,3,20250604,180300,0.04241,0.04243,0.04217,0.04223,175.37
MUBARAKUSDTSWAP,3,20250604,180600,0.04222,0.04246,0.0422,0.04231,192.14
MUBARAKUSDTSWAP,3,20250604,180900,0.04229,0.04243,0.04227,0.04236,163.37
MUBARAKUSDTSWAP,3,20250604,181200,0.04236,0.04246,0.04233,0.04241,131.32
MUBARAKUSDTSWAP,3,20250604,181500,0.04237,0.04278,0.04237,0.04263,523.52
MUBARAKUSDTSWAP,3,20250604,181800,0.04261,0.04269,0.04256,0.04257,273.64
MUBARAKUSDTSWAP,3,20250604,182100,0.04257,0.04279,0.0425,0.04277,237.58
MUBARAKUSDTSWAP,3,20250604,182400,0.04275,0.04278,0.04265,0.04266,190.49
MUBARAKUSDTSWAP,3,20250604,182700,0.04266,0.04272,0.04254,0.04255,174.65
MUBARAKUSDTSWAP,3,20250604,183000,0.04257,0.04271,0.0425,0.04271,200.42
MUBARAKUSDTSWAP,3,20250604,183300,0.04272,0.04281,0.04265,0.04268,248.46
MUBARAKUSDTSWAP,3,20250604,183600,0.04267,0.04297,0.04267,0.04289,335.3
MUBARAKUSDTSWAP,3,20250604,183900,0.04288,0.04291,0.04281,0.04287,330.69
MUBARAKUSDTSWAP,3,20250604,184200,0.04288,0.04306,0.04259,0.04284,2454.02
MUBARAKUSDTSWAP,3,20250604,184500,0.04283,0.04288,0.04273,0.0428,246.36
MUBARAKUSDTSWAP,3,20250604,184800,0.0428,0.04286,0.04279,0.04281,202.74
MUBARAKUSDTSWAP,3,20250604,185100,0.04281,0.04284,0.04274,0.04282,150.78
MUBARAKUSDTSWAP,3,20250604,185400,0.04281,0.04286,0.04252,0.04277,867.37
MUBARAKUSDTSWAP,3,20250604,185700,0.04276,0.0428,0.04266,0.04275,192.29
MUBARAKUSDTSWAP,3,20250604,190000,0.04273,0.0428,0.04268,0.04273,191.99
MUBARAKUSDTSWAP,3,20250604,190300,0.04274,0.04279,0.04259,0.04259,466.98
MUBARAKUSDTSWAP,3,20250604,190600,0.04258,0.04274,0.04247,0.04247,510.15
MUBARAKUSDTSWAP,3,20250604,190900,0.04248,0.04261,0.04248,0.0426,154.67
MUBARAKUSDTSWAP,3,20250604,191200,0.0426,0.04279,0.0426,0.04277,195.32
MUBARAKUSDTSWAP,3,20250604,191500,0.04276,0.04277,0.04248,0.04252,147.27
MUBARAKUSDTSWAP,3,20250604,191800,0.04248,0.04263,0.0424,0.04261,234.79
MUBARAKUSDTSWAP,3,20250604,192100,0.04261,0.04263,0.04252,0.04253,163.54
MUBARAKUSDTSWAP,3,20250604,192400,0.04252,0.04255,0.04244,0.04245,85.76
MUBARAKUSDTSWAP,3,20250604,192700,0.04245,0.04264,0.04245,0.04264,35.11
MUBARAKUSDTSWAP,3,20250604,193000,0.04263,0.04272,0.04258,0.04269,79.29
MUBARAKUSDTSWAP,3,20250604,193300,0.04273,0.04276,0.04264,0.0427,151.95
MUBARAKUSDTSWAP,3,20250604,193600,0.04269,0.04269,0.04261,0.04266,98.06
MUBARAKUSDTSWAP,3,20250604,193900,0.04264,0.04276,0.04264,0.04267,177.68
MUBARAKUSDTSWAP,3,20250604,194200,0.04266,0.04284,0.04245,0.04254,698.73
MUBARAKUSDTSWAP,3,20250604,194500,0.04253,0.0427,0.04253,0.04261,168.25
MUBARAKUSDTSWAP,3,20250604,194800,0.04262,0.04278,0.04261,0.04272,178.75
MUBARAKUSDTSWAP,3,20250604,195100,0.0427,0.0427,0.04266,0.04266,63.67
MUBARAKUSDTSWAP,3,20250604,195400,0.04267,0.04271,0.04265,0.04268,116.28
MUBARAKUSDTSWAP,3,20250604,195700,0.04271,0.04274,0.04263,0.04274,68.72
MUBARAKUSDTSWAP,3,20250604,200000,0.04276,0.04276,0.04247,0.04261,239.58
MUBARAKUSDTSWAP,3,20250604,200300,0.04257,0.04264,0.04251,0.04259,50.4
MUBARAKUSDTSWAP,3,20250604,200600,0.0426,0.04262,0.04255,0.04262,25.69
MUBARAKUSDTSWAP,3,20250604,200900,0.04262,0.04262,0.04243,0.04248,140.65
MUBARAKUSDTSWAP,3,20250604,201200,0.04249,0.04258,0.04249,0.04258,74.61
MUBARAKUSDTSWAP,3,20250604,201500,0.04258,0.0426,0.04243,0.04249,171.13
MUBARAKUSDTSWAP,3,20250604,201800,0.04249,0.0426,0.04249,0.04258,253.62
MUBARAKUSDTSWAP,3,20250604,202100,0.04259,0.04264,0.04255,0.04263,157.5
MUBARAKUSDTSWAP,3,20250604,202400,0.04263,0.04264,0.04233,0.0424,243.42
MUBARAKUSDTSWAP,3,20250604,202700,0.04238,0.04246,0.04218,0.04219,464.87
MUBARAKUSDTSWAP,3,20250604,203000,0.04223,0.04224,0.04191,0.04194,870.44
MUBARAKUSDTSWAP,3,20250604,203300,0.04198,0.04225,0.0419,0.04216,865.04
MUBARAKUSDTSWAP,3,20250604,203600,0.04218,0.04218,0.04208,0.04216,75.59
MUBARAKUSDTSWAP,3,20250604,203900,0.04217,0.04217,0.042,0.04214,109.68
MUBARAKUSDTSWAP,3,20250604,204200,0.04214,0.04214,0.04211,0.04212,9.82
MUBARAKUSDTSWAP,3,20250604,204500,0.04213,0.04222,0.04213,0.04213,95.72
MUBARAKUSDTSWAP,3,20250604,204800,0.04213,0.04233,0.04213,0.04222,169.24
MUBARAKUSDTSWAP,3,20250604,205100,0.04222,0.04232,0.0422,0.04232,105.8
