<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NCUSDTSWAP,1440,20250225,030000,0.06356,0.07388,0.05701,0.06671,4330642.23
NCUSDTSWAP,1440,20250226,030000,0.06675,0.06872,0.0601,0.0675,2565104.18
NCUSDTSWAP,1440,20250227,030000,0.06748,0.09263,0.06736,0.07644,10232080.87
NCUSDTSWAP,1440,20250228,030000,0.0764,0.0785,0.06695,0.07487,4902441.39
NCUSDTSWAP,1440,20250301,030000,0.07488,0.07495,0.06266,0.06506,3008171.46
NCUSDTSWAP,1440,20250302,030000,0.06506,0.07042,0.06156,0.06744,2645597.56
NCUSDTSWAP,1440,20250303,030000,0.06744,0.07534,0.06632,0.06923,4445157.48
NCUSDTSWAP,1440,20250304,030000,0.06922,0.08181,0.06292,0.0729,6779603.45
NCUSDTSWAP,1440,20250305,030000,0.07289,0.07453,0.06555,0.07085,2214943.34
NCUSDTSWAP,1440,20250306,030000,0.07087,0.07101,0.05989,0.0615,2183509.38
NCUSDTSWAP,1440,20250307,030000,0.06152,0.06254,0.0535,0.0611,3126725.39
NCUSDTSWAP,1440,20250308,030000,0.06109,0.06482,0.05831,0.06033,4269090.34
NCUSDTSWAP,1440,20250309,030000,0.06032,0.06032,0.04991,0.05369,2104053.29
NCUSDTSWAP,1440,20250310,030000,0.05369,0.05544,0.0475,0.04767,1766369.48
NCUSDTSWAP,1440,20250311,030000,0.0477,0.05318,0.04396,0.05165,946276.51
NCUSDTSWAP,1440,20250312,030000,0.0516,0.057,0.05004,0.05412,1173623.01
NCUSDTSWAP,1440,20250313,030000,0.05414,0.05516,0.04967,0.05411,938970.32
NCUSDTSWAP,1440,20250314,030000,0.05412,0.0598,0.05377,0.05439,1341444.68
NCUSDTSWAP,1440,20250315,030000,0.0544,0.06012,0.05192,0.05696,1316048.55
NCUSDTSWAP,1440,20250316,030000,0.05696,0.06257,0.05565,0.05896,1521347.6
NCUSDTSWAP,1440,20250317,030000,0.05899,0.06105,0.05233,0.05415,1331569.71
NCUSDTSWAP,1440,20250318,030000,0.05418,0.05423,0.048,0.04977,1073227.67
NCUSDTSWAP,1440,20250319,030000,0.04972,0.05362,0.04807,0.05165,871927.16
NCUSDTSWAP,1440,20250320,030000,0.05166,0.0536,0.05013,0.05146,818701.79
NCUSDTSWAP,1440,20250321,030000,0.05146,0.05287,0.04901,0.05076,461025.46
NCUSDTSWAP,1440,20250322,030000,0.05074,0.05595,0.05,0.05167,944661.69
NCUSDTSWAP,1440,20250323,030000,0.05165,0.05374,0.05057,0.05176,550342.53
NCUSDTSWAP,1440,20250324,030000,0.05177,0.05868,0.0512,0.05398,1018448.28
NCUSDTSWAP,1440,20250325,030000,0.05396,0.05511,0.05078,0.05305,464054.76
NCUSDTSWAP,1440,20250326,030000,0.05306,0.05395,0.04871,0.05021,451823.68
NCUSDTSWAP,1440,20250327,030000,0.05022,0.05125,0.04818,0.0486,405513.24
NCUSDTSWAP,1440,20250328,030000,0.04859,0.05114,0.04199,0.04423,1150397.4
NCUSDTSWAP,1440,20250329,030000,0.04422,0.05383,0.042,0.04369,1934787.95
NCUSDTSWAP,1440,20250330,030000,0.0437,0.04503,0.04216,0.04431,371863.58
NCUSDTSWAP,1440,20250331,030000,0.04432,0.04686,0.04243,0.04612,526044.58
NCUSDTSWAP,1440,20250401,030000,0.04614,0.0493,0.04463,0.04724,775354.19
NCUSDTSWAP,1440,20250402,030000,0.04726,0.04858,0.03955,0.04062,831169.99
NCUSDTSWAP,1440,20250403,030000,0.04061,0.04375,0.03878,0.0405,592681.02
NCUSDTSWAP,1440,20250404,030000,0.04051,0.04166,0.03769,0.0411,606852.8
NCUSDTSWAP,1440,20250405,030000,0.04111,0.04175,0.03873,0.03914,294535.39
NCUSDTSWAP,1440,20250406,030000,0.03915,0.04106,0.03255,0.0351,744724.45
NCUSDTSWAP,1440,20250407,030000,0.03511,0.03809,0.03135,0.03724,757954.36
NCUSDTSWAP,1440,20250408,030000,0.03725,0.03854,0.03382,0.03478,416456.23
NCUSDTSWAP,1440,20250409,030000,0.03478,0.0393,0.03433,0.03859,506235.07
NCUSDTSWAP,1440,20250410,030000,0.0386,0.03863,0.03266,0.0351,460817.07
NCUSDTSWAP,1440,20250411,030000,0.03509,0.03901,0.03467,0.03734,617763.52
NCUSDTSWAP,1440,20250412,030000,0.03735,0.0447,0.03636,0.03973,1647313.5
NCUSDTSWAP,1440,20250413,030000,0.03974,0.04237,0.03744,0.04065,948287.29
NCUSDTSWAP,1440,20250414,030000,0.04063,0.04076,0.03562,0.03697,700079.6
NCUSDTSWAP,1440,20250415,030000,0.03697,0.03732,0.03461,0.0352,545487.54
NCUSDTSWAP,1440,20250416,030000,0.0352,0.03929,0.03324,0.03644,682273.12
NCUSDTSWAP,1440,20250417,030000,0.03645,0.03768,0.03576,0.03674,308845.11
NCUSDTSWAP,1440,20250418,030000,0.03673,0.03899,0.03507,0.03594,390624.32
NCUSDTSWAP,1440,20250419,030000,0.03595,0.03758,0.03524,0.03758,209868.91
NCUSDTSWAP,1440,20250420,030000,0.03757,0.03985,0.0356,0.03746,521890.39
NCUSDTSWAP,1440,20250421,030000,0.03745,0.04147,0.03672,0.04054,856110.33
NCUSDTSWAP,1440,20250422,030000,0.04055,0.04335,0.03838,0.04256,766269.17
NCUSDTSWAP,1440,20250423,030000,0.04256,0.04676,0.04146,0.04622,1162610.33
NCUSDTSWAP,1440,20250424,030000,0.04621,0.04859,0.04211,0.04657,830284.18
NCUSDTSWAP,1440,20250425,030000,0.04657,0.04806,0.0443,0.04697,645495.13
NCUSDTSWAP,1440,20250426,030000,0.04694,0.04842,0.04351,0.04664,454072.35
NCUSDTSWAP,1440,20250427,030000,0.04663,0.04685,0.04123,0.04312,535792.6
NCUSDTSWAP,1440,20250428,030000,0.04314,0.05075,0.04211,0.04601,1627433.85
NCUSDTSWAP,1440,20250429,030000,0.04601,0.0484,0.04302,0.04392,718306.05
NCUSDTSWAP,1440,20250430,030000,0.04391,0.04504,0.04057,0.04316,581161.58
NCUSDTSWAP,1440,20250501,030000,0.04315,0.04538,0.04248,0.04378,323212.7
NCUSDTSWAP,1440,20250502,030000,0.04378,0.04474,0.0413,0.04365,521391.08
NCUSDTSWAP,1440,20250503,030000,0.04366,0.04459,0.0404,0.0424,487162.34
NCUSDTSWAP,1440,20250504,030000,0.04245,0.04273,0.03839,0.03912,385794.81
NCUSDTSWAP,1440,20250505,030000,0.0391,0.04097,0.03748,0.03942,396369.25
NCUSDTSWAP,1440,20250506,030000,0.03942,0.04155,0.03804,0.04085,399955.12
NCUSDTSWAP,1440,20250507,030000,0.04086,0.0428,0.03768,0.03955,495224.22
NCUSDTSWAP,1440,20250508,030000,0.03955,0.04346,0.03886,0.04242,522459.1
NCUSDTSWAP,1440,20250509,030000,0.04242,0.0514,0.04152,0.04993,1368599.9
NCUSDTSWAP,1440,20250510,030000,0.04987,0.05198,0.03812,0.04601,979475.62
NCUSDTSWAP,1440,20250511,030000,0.04601,0.0698,0.04542,0.05807,5172297.84
NCUSDTSWAP,1440,20250512,030000,0.05807,0.06254,0.04768,0.05102,2679953.79
NCUSDTSWAP,1440,20250513,030000,0.05104,0.05178,0.04476,0.05097,1148533.37
NCUSDTSWAP,1440,20250514,030000,0.05093,0.0545,0.04617,0.04708,1096353.86
NCUSDTSWAP,1440,20250515,030000,0.0471,0.0479,0.04101,0.0425,975183.41
NCUSDTSWAP,1440,20250516,030000,0.0425,0.04475,0.04169,0.04267,384782.21
NCUSDTSWAP,1440,20250517,030000,0.04268,0.0428,0.03977,0.04213,432989.41
NCUSDTSWAP,1440,20250518,030000,0.04216,0.04462,0.04015,0.04279,448798.22
NCUSDTSWAP,1440,20250519,030000,0.04278,0.04344,0.03917,0.04183,375149.54
NCUSDTSWAP,1440,20250520,030000,0.04179,0.04352,0.04022,0.04336,404261.5
NCUSDTSWAP,1440,20250521,030000,0.04335,0.04563,0.04194,0.04413,527063.95
NCUSDTSWAP,1440,20250522,030000,0.04412,0.04598,0.04392,0.04595,396172.89
NCUSDTSWAP,1440,20250523,030000,0.04593,0.04679,0.04031,0.04469,697591.87
NCUSDTSWAP,1440,20250524,030000,0.04469,0.04646,0.04191,0.04229,1085742.88
NCUSDTSWAP,1440,20250525,030000,0.04229,0.04368,0.04,0.04236,471385.23
NCUSDTSWAP,1440,20250526,030000,0.04236,0.0427,0.04143,0.04211,223717.94
NCUSDTSWAP,1440,20250527,030000,0.0421,0.04283,0.04076,0.04175,255812.48
NCUSDTSWAP,1440,20250528,030000,0.04175,0.04211,0.0384,0.03974,302458.75
NCUSDTSWAP,1440,20250529,030000,0.03976,0.0409,0.0385,0.03901,286450.52
NCUSDTSWAP,1440,20250530,030000,0.03901,0.03968,0.03221,0.03285,663161.34
NCUSDTSWAP,1440,20250531,030000,0.03283,0.03368,0.03155,0.03324,292722.19
NCUSDTSWAP,1440,20250601,030000,0.03322,0.03464,0.03172,0.03385,435239.14
