<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NCUSDTSWAP,60,20250531,190000,0.03277,0.03345,0.03254,0.03307,10078.41
NCUSDTSWAP,60,20250531,200000,0.03307,0.03325,0.03271,0.03284,6388.33
NCUSDTSWAP,60,20250531,210000,0.03283,0.03337,0.03276,0.03331,3322.59
NCUSDTSWAP,60,20250531,220000,0.0333,0.03341,0.03313,0.03322,2814.48
NCUSDTSWAP,60,20250531,230000,0.0332,0.03334,0.03309,0.03322,3212.96
NCUSDTSWAP,60,20250601,000000,0.03322,0.03344,0.03319,0.03332,3458.1
NCUSDTSWAP,60,20250601,010000,0.03333,0.03341,0.03313,0.0333,4558.18
NCUSDTSWAP,60,20250601,020000,0.03331,0.03356,0.03307,0.03324,6623.59
NCUSDTSWAP,60,20250601,030000,0.03322,0.03338,0.03271,0.033,11544.12
NCUSDTSWAP,60,20250601,040000,0.03299,0.03307,0.03253,0.03264,12082.03
NCUSDTSWAP,60,20250601,050000,0.03267,0.033,0.03218,0.03289,14286.82
NCUSDTSWAP,60,20250601,060000,0.03289,0.03295,0.03231,0.03291,11002.36
NCUSDTSWAP,60,20250601,070000,0.0329,0.03311,0.03262,0.03299,11765.67
NCUSDTSWAP,60,20250601,080000,0.03299,0.03331,0.03284,0.03308,6689.48
NCUSDTSWAP,60,20250601,090000,0.03307,0.03321,0.03288,0.03295,7531.73
NCUSDTSWAP,60,20250601,100000,0.03295,0.03306,0.03272,0.03294,4610.07
NCUSDTSWAP,60,20250601,110000,0.03293,0.03299,0.0325,0.03264,8196.05
NCUSDTSWAP,60,20250601,120000,0.03265,0.03277,0.03185,0.03203,17544.48
NCUSDTSWAP,60,20250601,130000,0.03204,0.03221,0.03172,0.03211,19044.51
NCUSDTSWAP,60,20250601,140000,0.03211,0.03254,0.03181,0.03238,6495.66
NCUSDTSWAP,60,20250601,150000,0.03239,0.03239,0.0318,0.03203,10729.71
NCUSDTSWAP,60,20250601,160000,0.03204,0.03252,0.03198,0.03235,10713.31
NCUSDTSWAP,60,20250601,170000,0.03237,0.03301,0.03237,0.03271,13428.47
NCUSDTSWAP,60,20250601,180000,0.03274,0.03285,0.0325,0.03281,7807.93
NCUSDTSWAP,60,20250601,190000,0.03275,0.03464,0.03253,0.03258,155719.8
NCUSDTSWAP,60,20250601,200000,0.03262,0.03276,0.0323,0.03268,15952.71
NCUSDTSWAP,60,20250601,210000,0.03269,0.03309,0.0322,0.03261,27863.09
NCUSDTSWAP,60,20250601,220000,0.03261,0.03304,0.03257,0.03304,9081.75
NCUSDTSWAP,60,20250601,230000,0.03305,0.03391,0.03283,0.03374,17386.05
NCUSDTSWAP,60,20250602,000000,0.03374,0.0342,0.03366,0.03419,8298.83
NCUSDTSWAP,60,20250602,010000,0.03417,0.03444,0.03375,0.03392,13727.52
NCUSDTSWAP,60,20250602,020000,0.03392,0.03402,0.0337,0.03385,8064.58
NCUSDTSWAP,60,20250602,030000,0.03386,0.03406,0.03353,0.0339,15846.72
NCUSDTSWAP,60,20250602,040000,0.03391,0.03409,0.03366,0.03373,9006.5
NCUSDTSWAP,60,20250602,050000,0.03374,0.03379,0.03325,0.0335,9724.91
NCUSDTSWAP,60,20250602,060000,0.0335,0.03353,0.03306,0.03336,10651.26
NCUSDTSWAP,60,20250602,070000,0.03337,0.03353,0.03304,0.03314,10600.98
NCUSDTSWAP,60,20250602,080000,0.03315,0.0333,0.03288,0.03317,9338.35
NCUSDTSWAP,60,20250602,090000,0.03317,0.03348,0.03294,0.03333,6033.52
NCUSDTSWAP,60,20250602,100000,0.03334,0.03359,0.03324,0.03341,6954.62
NCUSDTSWAP,60,20250602,110000,0.03338,0.03355,0.03308,0.03318,8635.31
NCUSDTSWAP,60,20250602,120000,0.0332,0.03323,0.03258,0.03278,14178.06
NCUSDTSWAP,60,20250602,130000,0.03278,0.03298,0.03247,0.03291,10030.84
NCUSDTSWAP,60,20250602,140000,0.03292,0.03307,0.03277,0.03299,7681.72
NCUSDTSWAP,60,20250602,150000,0.03301,0.03319,0.03265,0.03313,6415.46
NCUSDTSWAP,60,20250602,160000,0.03314,0.03336,0.03294,0.03314,10533.12
NCUSDTSWAP,60,20250602,170000,0.03313,0.03371,0.03302,0.03357,12215.86
NCUSDTSWAP,60,20250602,180000,0.03358,0.03436,0.03342,0.03436,18472.39
NCUSDTSWAP,60,20250602,190000,0.03433,0.03435,0.03371,0.03394,16297.55
NCUSDTSWAP,60,20250602,200000,0.03395,0.03427,0.03376,0.03423,4740.44
NCUSDTSWAP,60,20250602,210000,0.03423,0.03464,0.03402,0.03444,7163.18
NCUSDTSWAP,60,20250602,220000,0.03446,0.03447,0.03384,0.03418,7932.73
NCUSDTSWAP,60,20250602,230000,0.03418,0.03471,0.03416,0.03467,3774.5
NCUSDTSWAP,60,20250603,000000,0.03468,0.0355,0.03468,0.03544,10219.26
NCUSDTSWAP,60,20250603,010000,0.03543,0.03607,0.03533,0.03594,12003.47
NCUSDTSWAP,60,20250603,020000,0.03595,0.03604,0.03555,0.03573,15701.31
NCUSDTSWAP,60,20250603,030000,0.03574,0.0362,0.03562,0.03572,16055.48
NCUSDTSWAP,60,20250603,040000,0.03573,0.03592,0.0354,0.03582,13486.65
NCUSDTSWAP,60,20250603,050000,0.0358,0.03586,0.03539,0.03557,10273.56
NCUSDTSWAP,60,20250603,060000,0.03555,0.0356,0.0352,0.03548,16984.26
NCUSDTSWAP,60,20250603,070000,0.03548,0.03555,0.03506,0.0353,6608.19
NCUSDTSWAP,60,20250603,080000,0.03532,0.03563,0.03523,0.03558,5521.61
NCUSDTSWAP,60,20250603,090000,0.03558,0.03638,0.03555,0.03593,18882.95
NCUSDTSWAP,60,20250603,100000,0.03592,0.03622,0.03588,0.03614,7651.93
