<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NCUSDTSWAP,3,20250604,172700,0.03597,0.03605,0.03597,0.03597,240.17
NCUSDTSWAP,3,20250604,173000,0.03598,0.03598,0.03596,0.03596,159.82
NCUSDTSWAP,3,20250604,173300,0.03599,0.03603,0.03599,0.03601,121.75
NCUSDTSWAP,3,20250604,173600,0.03599,0.03602,0.03593,0.03598,159.26
NCUSDTSWAP,3,20250604,173900,0.03597,0.03604,0.03597,0.03601,108.38
NCUSDTSWAP,3,20250604,174200,0.03601,0.03604,0.03598,0.03604,152.68
NCUSDTSWAP,3,20250604,174500,0.03601,0.03602,0.03591,0.03597,234.93
NCUSDTSWAP,3,20250604,174800,0.03601,0.03607,0.03601,0.03603,107.06
NCUSDTSWAP,3,20250604,175100,0.03602,0.03602,0.03591,0.03597,129.89
NCUSDTSWAP,3,20250604,175400,0.03595,0.03613,0.03595,0.0361,167.17
NCUSDTSWAP,3,20250604,175700,0.03611,0.03625,0.03607,0.03625,256.27
NCUSDTSWAP,3,20250604,180000,0.03624,0.03625,0.03605,0.03605,375.16
NCUSDTSWAP,3,20250604,180300,0.03603,0.03605,0.03597,0.03599,59.56
NCUSDTSWAP,3,20250604,180600,0.036,0.03611,0.03589,0.03603,1057.75
NCUSDTSWAP,3,20250604,180900,0.03603,0.03609,0.03599,0.03604,234.45
NCUSDTSWAP,3,20250604,181200,0.03607,0.03607,0.03601,0.03602,397.02
NCUSDTSWAP,3,20250604,181500,0.03602,0.03621,0.03602,0.03611,365.78
NCUSDTSWAP,3,20250604,181800,0.03614,0.03615,0.03605,0.03605,112.5
NCUSDTSWAP,3,20250604,182100,0.03603,0.03609,0.036,0.03603,14.7
NCUSDTSWAP,3,20250604,182400,0.03604,0.03615,0.03604,0.03613,458.43
NCUSDTSWAP,3,20250604,182700,0.03612,0.03619,0.03609,0.03619,201.01
NCUSDTSWAP,3,20250604,183000,0.0362,0.03627,0.03614,0.03627,1018.16
NCUSDTSWAP,3,20250604,183300,0.03626,0.0363,0.03625,0.0363,98.41
NCUSDTSWAP,3,20250604,183600,0.0363,0.03642,0.0363,0.03641,380.75
NCUSDTSWAP,3,20250604,183900,0.03641,0.03641,0.03634,0.03634,143.64
NCUSDTSWAP,3,20250604,184200,0.03637,0.03639,0.03631,0.03631,349.99
NCUSDTSWAP,3,20250604,184500,0.03633,0.03643,0.03624,0.03631,1106.94
NCUSDTSWAP,3,20250604,184800,0.03633,0.03639,0.03633,0.03639,221.29
NCUSDTSWAP,3,20250604,185100,0.03638,0.03641,0.03635,0.03641,37.8
NCUSDTSWAP,3,20250604,185400,0.03641,0.03649,0.03639,0.03649,518.11
NCUSDTSWAP,3,20250604,185700,0.03648,0.03652,0.03645,0.03652,675.14
NCUSDTSWAP,3,20250604,190000,0.03653,0.03655,0.03629,0.03629,241.17
NCUSDTSWAP,3,20250604,190300,0.03631,0.03665,0.03627,0.03652,1270.01
NCUSDTSWAP,3,20250604,190600,0.03653,0.03653,0.03636,0.03642,120.48
NCUSDTSWAP,3,20250604,190900,0.03642,0.03652,0.03641,0.03652,82.82
NCUSDTSWAP,3,20250604,191200,0.03652,0.0366,0.03651,0.0366,146.08
NCUSDTSWAP,3,20250604,191500,0.03659,0.03662,0.03656,0.03662,83.32
NCUSDTSWAP,3,20250604,191800,0.03661,0.03769,0.03653,0.03769,13071.05
