<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEIROETHUSDTSWAP,1440,20250225,030000,0.02207,0.02882,0.02056,0.02705,353427.81
NEIROETHUSDTSWAP,1440,20250226,030000,0.02705,0.0306,0.02369,0.02975,269294.76
NEIROETHUSDTSWAP,1440,20250227,030000,0.02975,0.03024,0.02618,0.02766,301217.14
NEIROETHUSDTSWAP,1440,20250228,030000,0.02766,0.03199,0.02661,0.02752,385194.52
NEIROETHUSDTSWAP,1440,20250301,030000,0.02752,0.02813,0.02092,0.02194,463882.16
NEIROETHUSDTSWAP,1440,20250302,030000,0.02194,0.02491,0.02079,0.02442,148685.89
NEIROETHUSDTSWAP,1440,20250303,030000,0.02442,0.03085,0.02213,0.02691,420129.54
NEIROETHUSDTSWAP,1440,20250304,030000,0.02691,0.04406,0.02578,0.0411,821809.17
NEIROETHUSDTSWAP,1440,20250305,030000,0.04109,0.04587,0.03958,0.04454,552940.73
NEIROETHUSDTSWAP,1440,20250306,030000,0.04454,0.04646,0.03652,0.03938,705061.12
NEIROETHUSDTSWAP,1440,20250307,030000,0.03938,0.04334,0.03426,0.03855,324476.59
NEIROETHUSDTSWAP,1440,20250308,030000,0.03854,0.04008,0.0338,0.03583,152420.61
NEIROETHUSDTSWAP,1440,20250309,030000,0.03583,0.03609,0.03243,0.03296,69083.03
NEIROETHUSDTSWAP,1440,20250310,030000,0.03295,0.03648,0.03167,0.03522,141407.82
NEIROETHUSDTSWAP,1440,20250311,030000,0.03523,0.03773,0.03198,0.03265,141481.78
NEIROETHUSDTSWAP,1440,20250312,030000,0.03264,0.03337,0.03027,0.03158,54536.64
NEIROETHUSDTSWAP,1440,20250313,030000,0.03158,0.03338,0.02799,0.02941,97432.42
NEIROETHUSDTSWAP,1440,20250314,030000,0.02941,0.03083,0.02848,0.02913,91416.25
NEIROETHUSDTSWAP,1440,20250315,030000,0.02912,0.03213,0.02861,0.03055,114593.55
NEIROETHUSDTSWAP,1440,20250316,030000,0.03054,0.03102,0.02902,0.02923,35742.58
NEIROETHUSDTSWAP,1440,20250317,030000,0.02925,0.03088,0.02904,0.0303,30984.82
NEIROETHUSDTSWAP,1440,20250318,030000,0.03032,0.03048,0.02725,0.02823,29763.02
NEIROETHUSDTSWAP,1440,20250319,030000,0.02821,0.03322,0.02702,0.03312,62489.49
NEIROETHUSDTSWAP,1440,20250320,030000,0.03313,0.03331,0.03052,0.03161,63807.19
NEIROETHUSDTSWAP,1440,20250321,030000,0.03163,0.03414,0.02997,0.03322,53327.86
NEIROETHUSDTSWAP,1440,20250322,030000,0.03323,0.03666,0.02869,0.02883,105514.09
NEIROETHUSDTSWAP,1440,20250323,030000,0.02881,0.02914,0.02686,0.02765,71416.73
NEIROETHUSDTSWAP,1440,20250324,030000,0.02766,0.0308,0.02733,0.0277,69933.17
NEIROETHUSDTSWAP,1440,20250325,030000,0.02769,0.0278,0.02641,0.02683,57072.33
NEIROETHUSDTSWAP,1440,20250326,030000,0.02682,0.02828,0.02606,0.02648,33908.96
NEIROETHUSDTSWAP,1440,20250327,030000,0.02648,0.02846,0.02605,0.02829,28521.58
NEIROETHUSDTSWAP,1440,20250328,030000,0.02827,0.02959,0.02623,0.02687,89262.81
NEIROETHUSDTSWAP,1440,20250329,030000,0.02687,0.02792,0.02354,0.02367,45251.63
NEIROETHUSDTSWAP,1440,20250330,030000,0.02367,0.02766,0.02313,0.02632,103390.94
NEIROETHUSDTSWAP,1440,20250331,030000,0.02632,0.02765,0.0253,0.02704,49781.86
NEIROETHUSDTSWAP,1440,20250401,030000,0.02704,0.02845,0.0262,0.02729,35950.9
NEIROETHUSDTSWAP,1440,20250402,030000,0.0273,0.02856,0.02556,0.02668,32393.2
NEIROETHUSDTSWAP,1440,20250403,030000,0.02669,0.02779,0.0259,0.0265,35176.81
NEIROETHUSDTSWAP,1440,20250404,030000,0.02651,0.02895,0.02426,0.02797,46189.88
NEIROETHUSDTSWAP,1440,20250405,030000,0.02799,0.02994,0.02058,0.02351,273499.16
NEIROETHUSDTSWAP,1440,20250406,030000,0.02352,0.02443,0.01964,0.02118,168650.04
NEIROETHUSDTSWAP,1440,20250407,030000,0.02122,0.0223,0.01932,0.02158,67661.88
NEIROETHUSDTSWAP,1440,20250408,030000,0.02157,0.02279,0.01612,0.01685,120219.49
NEIROETHUSDTSWAP,1440,20250409,030000,0.01685,0.01995,0.01532,0.0186,152764.43
NEIROETHUSDTSWAP,1440,20250410,030000,0.01859,0.01881,0.0161,0.0165,40373.26
NEIROETHUSDTSWAP,1440,20250411,030000,0.0165,0.01802,0.01639,0.01769,69726.44
NEIROETHUSDTSWAP,1440,20250412,030000,0.0177,0.02235,0.01626,0.01905,209151.63
NEIROETHUSDTSWAP,1440,20250413,030000,0.01905,0.01956,0.01666,0.01775,185351.93
NEIROETHUSDTSWAP,1440,20250414,030000,0.01775,0.02377,0.01764,0.0203,243945.46
NEIROETHUSDTSWAP,1440,20250415,030000,0.02032,0.02174,0.01991,0.02048,70221.17
NEIROETHUSDTSWAP,1440,20250416,030000,0.02048,0.02162,0.01789,0.01805,85685.99
NEIROETHUSDTSWAP,1440,20250417,030000,0.01805,0.01889,0.0178,0.01869,31891.84
NEIROETHUSDTSWAP,1440,20250418,030000,0.0187,0.01933,0.0182,0.01877,22931.29
NEIROETHUSDTSWAP,1440,20250419,030000,0.01876,0.01986,0.01802,0.0196,26086.81
NEIROETHUSDTSWAP,1440,20250420,030000,0.0196,0.01997,0.0185,0.01911,20058.25
NEIROETHUSDTSWAP,1440,20250421,030000,0.01912,0.03111,0.01912,0.02952,591761.46
NEIROETHUSDTSWAP,1440,20250422,030000,0.02951,0.0431,0.027,0.04064,1011842.45
NEIROETHUSDTSWAP,1440,20250423,030000,0.04064,0.0728,0.04045,0.06225,1068356.88
NEIROETHUSDTSWAP,1440,20250424,030000,0.06226,0.07416,0.05231,0.06826,894117.91
NEIROETHUSDTSWAP,1440,20250425,030000,0.06824,0.0817,0.06575,0.0747,566168.72
NEIROETHUSDTSWAP,1440,20250426,030000,0.07471,0.08082,0.07215,0.0792,271878.28
NEIROETHUSDTSWAP,1440,20250427,030000,0.07921,0.07993,0.062,0.06587,330076.94
NEIROETHUSDTSWAP,1440,20250428,030000,0.06586,0.07219,0.06393,0.06863,128440.7
NEIROETHUSDTSWAP,1440,20250429,030000,0.06862,0.07073,0.05976,0.06378,92755.51
NEIROETHUSDTSWAP,1440,20250430,030000,0.06378,0.06947,0.06292,0.06552,70776.09
NEIROETHUSDTSWAP,1440,20250501,030000,0.06554,0.07381,0.06467,0.06861,78883.94
NEIROETHUSDTSWAP,1440,20250502,030000,0.06866,0.07245,0.0619,0.06396,83433.23
NEIROETHUSDTSWAP,1440,20250503,030000,0.06396,0.06528,0.05668,0.06307,76792.74
NEIROETHUSDTSWAP,1440,20250504,030000,0.06307,0.06457,0.05956,0.05997,53953.93
NEIROETHUSDTSWAP,1440,20250505,030000,0.05998,0.06096,0.05708,0.05823,40636.81
NEIROETHUSDTSWAP,1440,20250506,030000,0.05822,0.06722,0.0569,0.0649,111885.86
NEIROETHUSDTSWAP,1440,20250507,030000,0.0649,0.06654,0.06118,0.06471,48069.42
NEIROETHUSDTSWAP,1440,20250508,030000,0.0647,0.08366,0.06345,0.08091,177545.41
NEIROETHUSDTSWAP,1440,20250509,030000,0.08088,0.1019,0.06889,0.07107,426412.06
NEIROETHUSDTSWAP,1440,20250510,030000,0.07109,0.10865,0.06821,0.10821,322705.87
NEIROETHUSDTSWAP,1440,20250511,030000,0.10826,0.12271,0.10425,0.11591,752121.63
NEIROETHUSDTSWAP,1440,20250512,030000,0.1159,0.127,0.1014,0.11015,346717.17
NEIROETHUSDTSWAP,1440,20250513,030000,0.11016,0.11498,0.0975,0.10159,441028.31
NEIROETHUSDTSWAP,1440,20250514,030000,0.10163,0.10293,0.08861,0.09143,192605.92
NEIROETHUSDTSWAP,1440,20250515,030000,0.09144,0.0927,0.08082,0.08388,187135.25
