<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEIROETHUSDTSWAP,3,20250604,172700,0.09308,0.09325,0.09301,0.09318,202.73
NEIROETHUSDTSWAP,3,20250604,173000,0.09319,0.09343,0.09308,0.0932,209.49
NEIROETHUSDTSWAP,3,20250604,173300,0.09324,0.09342,0.09295,0.09299,124.76
NEIROETHUSDTSWAP,3,20250604,173600,0.09298,0.09299,0.0926,0.09261,461.92
NEIROETHUSDTSWAP,3,20250604,173900,0.09264,0.09299,0.09261,0.09289,121.45
NEIROETHUSDTSWAP,3,20250604,174200,0.09288,0.09288,0.09264,0.09274,83.41
NEIROETHUSDTSWAP,3,20250604,174500,0.09272,0.09284,0.09234,0.09284,319.51
NEIROETHUSDTSWAP,3,20250604,174800,0.09282,0.09305,0.09276,0.09277,55.97
NEIROETHUSDTSWAP,3,20250604,175100,0.09278,0.09278,0.09227,0.09254,574.59
NEIROETHUSDTSWAP,3,20250604,175400,0.09255,0.0931,0.09255,0.09291,302.92
NEIROETHUSDTSWAP,3,20250604,175700,0.09288,0.0932,0.09246,0.09312,551.89
NEIROETHUSDTSWAP,3,20250604,180000,0.09311,0.09325,0.0926,0.0926,213.87
NEIROETHUSDTSWAP,3,20250604,180300,0.09259,0.09282,0.0925,0.09276,243.7
NEIROETHUSDTSWAP,3,20250604,180600,0.09276,0.09304,0.0927,0.09273,274.76
NEIROETHUSDTSWAP,3,20250604,180900,0.09276,0.09313,0.09276,0.09305,97.77
NEIROETHUSDTSWAP,3,20250604,181200,0.09305,0.09315,0.09296,0.09297,144.51
NEIROETHUSDTSWAP,3,20250604,181500,0.09297,0.09399,0.09297,0.09381,886.19
NEIROETHUSDTSWAP,3,20250604,181800,0.09378,0.09382,0.09333,0.09337,557.24
NEIROETHUSDTSWAP,3,20250604,182100,0.09337,0.09379,0.09328,0.09369,144.26
NEIROETHUSDTSWAP,3,20250604,182400,0.09366,0.09385,0.09357,0.09357,269.65
NEIROETHUSDTSWAP,3,20250604,182700,0.09357,0.09378,0.09356,0.09356,194.63
NEIROETHUSDTSWAP,3,20250604,183000,0.09357,0.09377,0.09336,0.09372,221.76
NEIROETHUSDTSWAP,3,20250604,183300,0.09372,0.09377,0.09353,0.09359,65.6
NEIROETHUSDTSWAP,3,20250604,183600,0.09358,0.09438,0.09358,0.09425,620.72
NEIROETHUSDTSWAP,3,20250604,183900,0.0942,0.09439,0.09404,0.09422,309.54
NEIROETHUSDTSWAP,3,20250604,184200,0.0942,0.09424,0.09387,0.09397,95.42
NEIROETHUSDTSWAP,3,20250604,184500,0.09392,0.09427,0.0935,0.09365,1244.16
NEIROETHUSDTSWAP,3,20250604,184800,0.09366,0.09403,0.09351,0.09372,694.02
NEIROETHUSDTSWAP,3,20250604,185100,0.09372,0.09414,0.09369,0.09402,226.99
NEIROETHUSDTSWAP,3,20250604,185400,0.094,0.09439,0.09384,0.09425,360.3
