<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEIROUSDTSWAP,60,20250531,190000,0.0004402,0.0004585,0.0004371,0.0004544,3363.62
NEIROUSDTSWAP,60,20250531,200000,0.0004543,0.0004555,0.0004463,0.0004489,2411.67
NEIROUSDTSWAP,60,20250531,210000,0.0004489,0.0004877,0.0004482,0.000479,5643.93
NEIROUSDTSWAP,60,20250531,220000,0.0004791,0.0004861,0.000467,0.0004724,4425.96
NEIROUSDTSWAP,60,20250531,230000,0.0004723,0.0004727,0.0004623,0.0004679,2458.46
NEIROUSDTSWAP,60,20250601,000000,0.0004677,0.0004701,0.0004576,0.0004605,1230.22
NEIROUSDTSWAP,60,20250601,010000,0.0004606,0.0004609,0.0004536,0.000454,756.7
NEIROUSDTSWAP,60,20250601,020000,0.000454,0.0004607,0.0004489,0.0004501,1807.45
NEIROUSDTSWAP,60,20250601,030000,0.00045,0.0004568,0.0004447,0.0004529,1622.52
NEIROUSDTSWAP,60,20250601,040000,0.0004529,0.0004559,0.0004462,0.0004485,1624.32
NEIROUSDTSWAP,60,20250601,050000,0.0004485,0.0004592,0.0004432,0.000458,2148.51
NEIROUSDTSWAP,60,20250601,060000,0.0004581,0.0004583,0.0004504,0.0004511,1169.52
NEIROUSDTSWAP,60,20250601,070000,0.000451,0.0004544,0.0004468,0.0004482,1032.61
NEIROUSDTSWAP,60,20250601,080000,0.0004481,0.0004491,0.000444,0.0004463,845.74
NEIROUSDTSWAP,60,20250601,090000,0.0004463,0.0004474,0.0004395,0.0004402,906.11
NEIROUSDTSWAP,60,20250601,100000,0.0004402,0.0004451,0.0004368,0.0004445,1070.53
NEIROUSDTSWAP,60,20250601,110000,0.0004445,0.000445,0.0004383,0.0004399,737.04
NEIROUSDTSWAP,60,20250601,120000,0.0004399,0.0004418,0.0004305,0.0004336,1661.03
NEIROUSDTSWAP,60,20250601,130000,0.0004336,0.0004371,0.0004311,0.000435,856.19
NEIROUSDTSWAP,60,20250601,140000,0.0004351,0.0004386,0.0004327,0.0004356,1061.99
NEIROUSDTSWAP,60,20250601,150000,0.0004356,0.0004375,0.0004311,0.0004346,709.41
NEIROUSDTSWAP,60,20250601,160000,0.0004345,0.0004466,0.0004344,0.0004409,1731.35
NEIROUSDTSWAP,60,20250601,170000,0.0004409,0.0004541,0.0004406,0.0004488,1346.01
NEIROUSDTSWAP,60,20250601,180000,0.0004488,0.0004555,0.0004458,0.0004522,716.41
NEIROUSDTSWAP,60,20250601,190000,0.0004521,0.0004637,0.0004504,0.000458,1737.69
NEIROUSDTSWAP,60,20250601,200000,0.0004582,0.0004583,0.0004493,0.0004504,1164.18
NEIROUSDTSWAP,60,20250601,210000,0.0004503,0.0004517,0.0004431,0.0004474,1167.23
NEIROUSDTSWAP,60,20250601,220000,0.0004474,0.0004539,0.0004474,0.0004512,612.06
NEIROUSDTSWAP,60,20250601,230000,0.0004513,0.0004565,0.0004479,0.0004527,626.81
NEIROUSDTSWAP,60,20250602,000000,0.0004527,0.0004561,0.0004511,0.0004543,327.7
NEIROUSDTSWAP,60,20250602,010000,0.0004542,0.0004593,0.0004504,0.0004518,833.8
NEIROUSDTSWAP,60,20250602,020000,0.0004518,0.0004568,0.0004517,0.0004554,569.58
