<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEIROUSDTSWAP,3,20250604,172700,0.0004397,0.0004399,0.0004382,0.000439,43.19
NEIROUSDTSWAP,3,20250604,173000,0.000439,0.0004398,0.0004383,0.0004398,36.36
NEIROUSDTSWAP,3,20250604,173300,0.0004398,0.0004414,0.0004397,0.0004406,20.57
NEIROUSDTSWAP,3,20250604,173600,0.0004407,0.0004407,0.0004396,0.00044,26.12
NEIROUSDTSWAP,3,20250604,173900,0.00044,0.0004414,0.0004397,0.000441,36.87
NEIROUSDTSWAP,3,20250604,174200,0.000441,0.0004416,0.0004403,0.0004415,50.1
NEIROUSDTSWAP,3,20250604,174500,0.0004415,0.0004424,0.0004398,0.0004424,55.17
NEIROUSDTSWAP,3,20250604,174800,0.0004425,0.0004442,0.0004416,0.0004418,38.14
NEIROUSDTSWAP,3,20250604,175100,0.0004417,0.0004424,0.0004414,0.0004423,17.68
NEIROUSDTSWAP,3,20250604,175400,0.0004423,0.0004458,0.0004422,0.0004457,39.9
NEIROUSDTSWAP,3,20250604,175700,0.0004457,0.0004479,0.0004454,0.0004475,74.9
NEIROUSDTSWAP,3,20250604,180000,0.0004475,0.0004486,0.0004449,0.000445,87.58
NEIROUSDTSWAP,3,20250604,180300,0.000445,0.0004459,0.0004445,0.0004452,58.92
NEIROUSDTSWAP,3,20250604,180600,0.0004452,0.0004484,0.0004451,0.0004472,73.15
NEIROUSDTSWAP,3,20250604,180900,0.0004472,0.0004504,0.000447,0.0004493,234.73
NEIROUSDTSWAP,3,20250604,181200,0.0004492,0.0004502,0.0004485,0.0004485,69.04
NEIROUSDTSWAP,3,20250604,181500,0.0004485,0.0004522,0.0004485,0.0004516,118.25
NEIROUSDTSWAP,3,20250604,181800,0.0004516,0.0004542,0.0004515,0.0004523,130.7
NEIROUSDTSWAP,3,20250604,182100,0.0004523,0.0004541,0.0004517,0.0004535,102.65
NEIROUSDTSWAP,3,20250604,182400,0.0004535,0.0004544,0.0004532,0.0004532,50.53
NEIROUSDTSWAP,3,20250604,182700,0.0004532,0.0004544,0.0004515,0.0004517,84.57
NEIROUSDTSWAP,3,20250604,183000,0.0004518,0.0004532,0.0004499,0.0004527,89.41
NEIROUSDTSWAP,3,20250604,183300,0.0004527,0.0004548,0.0004526,0.0004527,47.17
NEIROUSDTSWAP,3,20250604,183600,0.0004526,0.000456,0.0004526,0.0004554,205.74
NEIROUSDTSWAP,3,20250604,183900,0.0004554,0.0004582,0.0004554,0.0004582,83.25
NEIROUSDTSWAP,3,20250604,184200,0.0004581,0.0004584,0.0004563,0.0004571,102.83
NEIROUSDTSWAP,3,20250604,184500,0.000457,0.0004577,0.0004551,0.0004552,90.07
NEIROUSDTSWAP,3,20250604,184800,0.0004552,0.0004563,0.0004536,0.0004537,77.42
NEIROUSDTSWAP,3,20250604,185100,0.0004537,0.0004542,0.0004527,0.0004527,77.29
NEIROUSDTSWAP,3,20250604,185400,0.0004526,0.000457,0.0004526,0.0004565,97.91
NEIROUSDTSWAP,3,20250604,185700,0.0004565,0.000457,0.0004541,0.0004557,50.61
NEIROUSDTSWAP,3,20250604,190000,0.0004557,0.0004563,0.0004529,0.0004533,74.0
NEIROUSDTSWAP,3,20250604,190300,0.0004533,0.0004539,0.000452,0.0004526,97.0
NEIROUSDTSWAP,3,20250604,190600,0.0004524,0.0004529,0.0004515,0.0004517,55.34
NEIROUSDTSWAP,3,20250604,190900,0.0004518,0.0004523,0.0004508,0.0004521,34.68
NEIROUSDTSWAP,3,20250604,191200,0.0004521,0.0004524,0.0004512,0.0004514,49.74
NEIROUSDTSWAP,3,20250604,191500,0.0004514,0.0004519,0.0004501,0.0004501,41.7
NEIROUSDTSWAP,3,20250604,191800,0.0004502,0.0004521,0.0004492,0.000452,42.97
NEIROUSDTSWAP,3,20250604,192100,0.0004521,0.0004528,0.0004502,0.0004505,28.88
NEIROUSDTSWAP,3,20250604,192400,0.0004506,0.0004506,0.0004481,0.0004487,74.54
NEIROUSDTSWAP,3,20250604,192700,0.0004486,0.0004497,0.0004486,0.0004491,31.07
NEIROUSDTSWAP,3,20250604,193000,0.000449,0.0004498,0.0004486,0.0004492,39.5
NEIROUSDTSWAP,3,20250604,193300,0.0004493,0.0004517,0.0004491,0.0004516,26.24
NEIROUSDTSWAP,3,20250604,193600,0.0004516,0.0004517,0.0004501,0.0004512,20.72
NEIROUSDTSWAP,3,20250604,193900,0.0004513,0.0004527,0.0004509,0.0004509,34.67
NEIROUSDTSWAP,3,20250604,194200,0.0004509,0.0004512,0.0004494,0.0004504,31.19
NEIROUSDTSWAP,3,20250604,194500,0.0004504,0.0004517,0.0004497,0.0004515,16.76
NEIROUSDTSWAP,3,20250604,194800,0.0004516,0.0004533,0.0004512,0.0004532,41.68
NEIROUSDTSWAP,3,20250604,195100,0.0004531,0.0004531,0.0004512,0.0004514,36.63
NEIROUSDTSWAP,3,20250604,195400,0.0004514,0.0004525,0.0004507,0.0004511,23.97
NEIROUSDTSWAP,3,20250604,195700,0.000451,0.0004517,0.0004502,0.0004517,15.33
NEIROUSDTSWAP,3,20250604,200000,0.0004516,0.0004519,0.0004499,0.0004499,22.32
NEIROUSDTSWAP,3,20250604,200300,0.00045,0.0004511,0.0004498,0.0004502,26.73
NEIROUSDTSWAP,3,20250604,200600,0.0004502,0.0004502,0.0004484,0.0004485,45.18
NEIROUSDTSWAP,3,20250604,200900,0.0004485,0.0004485,0.0004471,0.0004477,62.76
NEIROUSDTSWAP,3,20250604,201200,0.0004476,0.0004486,0.0004473,0.0004482,19.2
