<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NOTUSDTSWAP,1440,20250225,030000,0.002491,0.002628,0.002268,0.002559,412062.77
NOTUSDTSWAP,1440,20250226,030000,0.00256,0.002779,0.002559,0.002729,326079.28
NOTUSDTSWAP,1440,20250227,030000,0.00273,0.002791,0.002596,0.002667,250432.0
NOTUSDTSWAP,1440,20250228,030000,0.002667,0.002932,0.002447,0.002858,278961.62
NOTUSDTSWAP,1440,20250301,030000,0.002858,0.002965,0.002642,0.002741,212639.15
NOTUSDTSWAP,1440,20250302,030000,0.002741,0.003222,0.002673,0.003195,273498.87
NOTUSDTSWAP,1440,20250303,030000,0.003194,0.003194,0.002628,0.002667,258665.44
NOTUSDTSWAP,1440,20250304,030000,0.002667,0.002898,0.002419,0.002777,332015.15
NOTUSDTSWAP,1440,20250305,030000,0.002777,0.002794,0.002422,0.002595,355369.35
NOTUSDTSWAP,1440,20250306,030000,0.002595,0.002783,0.002539,0.002575,274905.39
NOTUSDTSWAP,1440,20250307,030000,0.002574,0.002597,0.002201,0.002358,421811.78
NOTUSDTSWAP,1440,20250308,030000,0.002357,0.002555,0.002237,0.00233,231737.05
NOTUSDTSWAP,1440,20250309,030000,0.00233,0.002332,0.00191,0.001966,483846.87
NOTUSDTSWAP,1440,20250310,030000,0.001967,0.00218,0.001943,0.001965,354128.15
NOTUSDTSWAP,1440,20250311,030000,0.001966,0.002132,0.001829,0.002044,320734.78
NOTUSDTSWAP,1440,20250312,030000,0.002044,0.002219,0.001997,0.002171,240296.78
NOTUSDTSWAP,1440,20250313,030000,0.00217,0.002179,0.001973,0.002036,247891.04
NOTUSDTSWAP,1440,20250314,030000,0.002037,0.002284,0.002021,0.002147,328957.44
NOTUSDTSWAP,1440,20250315,030000,0.002148,0.002675,0.001994,0.00252,997237.33
NOTUSDTSWAP,1440,20250316,030000,0.00252,0.002785,0.002323,0.002355,931928.04
NOTUSDTSWAP,1440,20250317,030000,0.002355,0.002441,0.002287,0.002399,358381.27
NOTUSDTSWAP,1440,20250318,030000,0.002399,0.002459,0.002298,0.002435,272116.79
NOTUSDTSWAP,1440,20250319,030000,0.002435,0.002483,0.002306,0.002398,268266.17
NOTUSDTSWAP,1440,20250320,030000,0.002399,0.002617,0.002346,0.002504,383961.46
NOTUSDTSWAP,1440,20250321,030000,0.002503,0.002607,0.002384,0.00246,333671.86
NOTUSDTSWAP,1440,20250322,030000,0.00246,0.002662,0.002433,0.002525,621605.45
NOTUSDTSWAP,1440,20250323,030000,0.002524,0.002593,0.002457,0.002502,224620.92
NOTUSDTSWAP,1440,20250324,030000,0.002502,0.002701,0.002468,0.002623,389088.87
NOTUSDTSWAP,1440,20250325,030000,0.002622,0.002686,0.002589,0.002675,295036.02
NOTUSDTSWAP,1440,20250326,030000,0.002675,0.002766,0.002601,0.002669,255528.57
NOTUSDTSWAP,1440,20250327,030000,0.00267,0.002769,0.002636,0.002676,302979.39
NOTUSDTSWAP,1440,20250328,030000,0.002676,0.002715,0.002442,0.002478,222811.71
NOTUSDTSWAP,1440,20250329,030000,0.002478,0.002491,0.002199,0.002247,222031.22
NOTUSDTSWAP,1440,20250330,030000,0.002247,0.002365,0.002215,0.002283,449757.72
NOTUSDTSWAP,1440,20250331,030000,0.002283,0.002344,0.002209,0.00227,249079.71
NOTUSDTSWAP,1440,20250401,030000,0.00227,0.002344,0.002231,0.002269,202562.76
NOTUSDTSWAP,1440,20250402,030000,0.002269,0.00229,0.002061,0.002103,177699.86
NOTUSDTSWAP,1440,20250403,030000,0.002102,0.002202,0.001988,0.002074,137083.65
NOTUSDTSWAP,1440,20250404,030000,0.002074,0.002113,0.001979,0.00204,109805.58
NOTUSDTSWAP,1440,20250405,030000,0.00204,0.002069,0.001971,0.00201,60459.36
NOTUSDTSWAP,1440,20250406,030000,0.00201,0.002011,0.001703,0.001749,174673.15
NOTUSDTSWAP,1440,20250407,030000,0.00175,0.001888,0.001597,0.001812,241326.12
NOTUSDTSWAP,1440,20250408,030000,0.001813,0.001872,0.001679,0.00169,93840.88
NOTUSDTSWAP,1440,20250409,030000,0.00169,0.00191,0.001622,0.001871,128338.07
NOTUSDTSWAP,1440,20250410,030000,0.00187,0.00188,0.001763,0.001822,68201.41
NOTUSDTSWAP,1440,20250411,030000,0.001823,0.001911,0.001811,0.001885,86271.62
NOTUSDTSWAP,1440,20250412,030000,0.001885,0.00193,0.001829,0.001892,97050.1
NOTUSDTSWAP,1440,20250413,030000,0.001892,0.001908,0.001684,0.001725,126465.82
NOTUSDTSWAP,1440,20250414,030000,0.001724,0.001803,0.001675,0.001707,119099.02
NOTUSDTSWAP,1440,20250415,030000,0.001708,0.001816,0.001681,0.001695,131743.2
NOTUSDTSWAP,1440,20250416,030000,0.001695,0.00172,0.001593,0.001644,104355.33
NOTUSDTSWAP,1440,20250417,030000,0.001645,0.00173,0.001628,0.001708,71132.25
NOTUSDTSWAP,1440,20250418,030000,0.001709,0.001831,0.001688,0.00182,72988.67
NOTUSDTSWAP,1440,20250419,030000,0.001819,0.001918,0.001799,0.001856,75001.49
NOTUSDTSWAP,1440,20250420,030000,0.001856,0.001988,0.001843,0.001948,144195.77
NOTUSDTSWAP,1440,20250421,030000,0.001947,0.002034,0.001917,0.001934,65248.81
NOTUSDTSWAP,1440,20250422,030000,0.001934,0.00204,0.001909,0.002029,64637.22
NOTUSDTSWAP,1440,20250423,030000,0.00203,0.002288,0.002019,0.002177,160266.11
NOTUSDTSWAP,1440,20250424,030000,0.002178,0.002328,0.002083,0.002295,110712.39
NOTUSDTSWAP,1440,20250425,030000,0.002294,0.002482,0.002265,0.002415,141678.42
NOTUSDTSWAP,1440,20250426,030000,0.002416,0.002673,0.002397,0.002609,123030.61
