<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NOTUSDTSWAP,60,20250531,190000,0.002182,0.002219,0.002172,0.002216,2792.87
NOTUSDTSWAP,60,20250531,200000,0.002216,0.00222,0.002186,0.002189,3265.73
NOTUSDTSWAP,60,20250531,210000,0.002188,0.00222,0.002182,0.002213,1848.69
NOTUSDTSWAP,60,20250531,220000,0.002213,0.002226,0.002203,0.002216,1709.7
NOTUSDTSWAP,60,20250531,230000,0.002216,0.002227,0.002209,0.002222,1271.61
NOTUSDTSWAP,60,20250601,000000,0.002222,0.002241,0.002221,0.002233,3894.35
NOTUSDTSWAP,60,20250601,010000,0.002233,0.002235,0.002211,0.002211,1302.41
NOTUSDTSWAP,60,20250601,020000,0.002211,0.002226,0.002195,0.002207,3685.89
NOTUSDTSWAP,60,20250601,030000,0.002206,0.00222,0.00219,0.002202,2233.33
NOTUSDTSWAP,60,20250601,040000,0.002201,0.002227,0.002165,0.002171,4069.91
NOTUSDTSWAP,60,20250601,050000,0.00217,0.002208,0.002152,0.002202,4283.07
NOTUSDTSWAP,60,20250601,060000,0.002203,0.002205,0.002178,0.002187,2295.27
NOTUSDTSWAP,60,20250601,070000,0.002187,0.002217,0.002186,0.00221,1356.62
NOTUSDTSWAP,60,20250601,080000,0.00221,0.002232,0.002207,0.002226,1477.48
NOTUSDTSWAP,60,20250601,090000,0.002225,0.002236,0.002214,0.002216,1780.29
NOTUSDTSWAP,60,20250601,100000,0.002215,0.002228,0.002205,0.002227,915.37
NOTUSDTSWAP,60,20250601,110000,0.002226,0.00223,0.002194,0.0022,1269.22
NOTUSDTSWAP,60,20250601,120000,0.002201,0.002211,0.002155,0.002178,2460.78
NOTUSDTSWAP,60,20250601,130000,0.002177,0.002191,0.002167,0.002187,1641.79
NOTUSDTSWAP,60,20250601,140000,0.002186,0.00221,0.002173,0.002201,1566.16
NOTUSDTSWAP,60,20250601,150000,0.0022,0.00221,0.002174,0.002186,1430.96
NOTUSDTSWAP,60,20250601,160000,0.002185,0.002219,0.002183,0.002206,1744.48
NOTUSDTSWAP,60,20250601,170000,0.002207,0.00225,0.002207,0.002235,2360.06
NOTUSDTSWAP,60,20250601,180000,0.002235,0.002271,0.002224,0.002242,15483.91
NOTUSDTSWAP,60,20250601,190000,0.002241,0.002268,0.002225,0.002234,5368.09
NOTUSDTSWAP,60,20250601,200000,0.002235,0.002243,0.002214,0.002221,3621.57
NOTUSDTSWAP,60,20250601,210000,0.002221,0.002223,0.002184,0.00221,3967.84
NOTUSDTSWAP,60,20250601,220000,0.002209,0.00223,0.002207,0.002229,2535.76
NOTUSDTSWAP,60,20250601,230000,0.002229,0.002256,0.002221,0.002241,1724.48
NOTUSDTSWAP,60,20250602,000000,0.002241,0.002267,0.002238,0.002259,1269.86
NOTUSDTSWAP,60,20250602,010000,0.002259,0.002279,0.002253,0.002256,1476.41
NOTUSDTSWAP,60,20250602,020000,0.002256,0.002271,0.002255,0.00226,1550.73
NOTUSDTSWAP,60,20250602,030000,0.00226,0.00226,0.002237,0.002245,1723.9
NOTUSDTSWAP,60,20250602,040000,0.002245,0.002274,0.002244,0.002244,2412.65
NOTUSDTSWAP,60,20250602,050000,0.002244,0.002245,0.002215,0.002223,1976.6
NOTUSDTSWAP,60,20250602,060000,0.002224,0.00223,0.002204,0.002219,1415.88
NOTUSDTSWAP,60,20250602,070000,0.002219,0.002232,0.00221,0.002213,1159.16
NOTUSDTSWAP,60,20250602,080000,0.002214,0.002232,0.0022,0.002214,1190.45
NOTUSDTSWAP,60,20250602,090000,0.002214,0.002258,0.002204,0.002239,2155.4
NOTUSDTSWAP,60,20250602,100000,0.002239,0.00226,0.002231,0.002237,1706.33
NOTUSDTSWAP,60,20250602,110000,0.002237,0.002246,0.002209,0.002217,1554.42
NOTUSDTSWAP,60,20250602,120000,0.002218,0.002219,0.00218,0.00219,3203.08
NOTUSDTSWAP,60,20250602,130000,0.002189,0.002193,0.002174,0.002187,3523.53
NOTUSDTSWAP,60,20250602,140000,0.002187,0.002201,0.002177,0.002194,1342.99
NOTUSDTSWAP,60,20250602,150000,0.002194,0.002214,0.002177,0.002211,1594.65
NOTUSDTSWAP,60,20250602,160000,0.002211,0.002235,0.0022,0.002206,2014.29
NOTUSDTSWAP,60,20250602,170000,0.002206,0.002244,0.002198,0.002223,2658.92
NOTUSDTSWAP,60,20250602,180000,0.002224,0.00224,0.002207,0.002227,1807.02
NOTUSDTSWAP,60,20250602,190000,0.002227,0.00223,0.002197,0.002225,3331.24
NOTUSDTSWAP,60,20250602,200000,0.002225,0.002242,0.002209,0.002241,1736.17
NOTUSDTSWAP,60,20250602,210000,0.00224,0.002251,0.002218,0.002221,1130.94
NOTUSDTSWAP,60,20250602,220000,0.002221,0.00223,0.002196,0.002204,1257.25
NOTUSDTSWAP,60,20250602,230000,0.002205,0.002252,0.002205,0.002252,1699.58
NOTUSDTSWAP,60,20250603,000000,0.002252,0.002278,0.002245,0.002276,3473.3
NOTUSDTSWAP,60,20250603,010000,0.002275,0.002307,0.002275,0.002285,1988.6
NOTUSDTSWAP,60,20250603,020000,0.002285,0.002287,0.002269,0.002276,2640.72
NOTUSDTSWAP,60,20250603,030000,0.002277,0.002307,0.00227,0.002305,2380.92
NOTUSDTSWAP,60,20250603,040000,0.002305,0.002336,0.0023,0.002331,2043.65
NOTUSDTSWAP,60,20250603,050000,0.002332,0.002337,0.002298,0.00231,1916.99
NOTUSDTSWAP,60,20250603,060000,0.00231,0.002318,0.002275,0.002287,2853.96
NOTUSDTSWAP,60,20250603,070000,0.002287,0.002289,0.002255,0.002261,2630.52
NOTUSDTSWAP,60,20250603,080000,0.002262,0.002287,0.002262,0.002286,1472.98
NOTUSDTSWAP,60,20250603,090000,0.002286,0.002301,0.002274,0.0023,1305.41
NOTUSDTSWAP,60,20250603,100000,0.002301,0.002312,0.002274,0.002277,1898.49
NOTUSDTSWAP,60,20250603,110000,0.002277,0.002284,0.00224,0.002265,3010.98
NOTUSDTSWAP,60,20250603,120000,0.002264,0.002285,0.00226,0.002276,1880.62
NOTUSDTSWAP,60,20250603,130000,0.002276,0.002281,0.002268,0.002278,1974.5
NOTUSDTSWAP,60,20250603,140000,0.002278,0.002287,0.002271,0.002281,1520.97
NOTUSDTSWAP,60,20250603,150000,0.002281,0.002291,0.002272,0.002288,1627.56
NOTUSDTSWAP,60,20250603,160000,0.002287,0.002318,0.002286,0.002299,4534.6
