<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OLUSDTSWAP,1440,20250225,030000,0.083359,0.090227,0.080159,0.088778,2652345.59
OLUSDTSWAP,1440,20250226,030000,0.088773,0.096533,0.082501,0.094048,3203979.58
OLUSDTSWAP,1440,20250227,030000,0.094053,0.095592,0.088162,0.092402,2224975.89
OLUSDTSWAP,1440,20250228,030000,0.092402,0.098909,0.083341,0.095245,3657472.23
OLUSDTSWAP,1440,20250301,030000,0.09523,0.095333,0.085445,0.08685,1666427.1
OLUSDTSWAP,1440,20250302,030000,0.086865,0.0885,0.080546,0.087454,1955560.47
OLUSDTSWAP,1440,20250303,030000,0.087456,0.089833,0.068608,0.069972,2965425.51
OLUSDTSWAP,1440,20250304,030000,0.069934,0.073499,0.065016,0.070535,1525746.58
OLUSDTSWAP,1440,20250305,030000,0.070526,0.072417,0.067008,0.06968,1116858.76
OLUSDTSWAP,1440,20250306,030000,0.069706,0.0711,0.063013,0.066056,1444976.66
OLUSDTSWAP,1440,20250307,030000,0.066033,0.072296,0.063,0.069043,1253302.05
OLUSDTSWAP,1440,20250308,030000,0.069061,0.069406,0.062636,0.064244,739612.23
OLUSDTSWAP,1440,20250309,030000,0.06424,0.066296,0.053782,0.055651,1134596.34
OLUSDTSWAP,1440,20250310,030000,0.055655,0.066116,0.055085,0.060408,1617564.27
OLUSDTSWAP,1440,20250311,030000,0.060402,0.063865,0.056618,0.061842,813030.43
OLUSDTSWAP,1440,20250312,030000,0.061835,0.0625,0.056195,0.058552,915260.89
OLUSDTSWAP,1440,20250313,030000,0.058537,0.058831,0.052697,0.055481,1108680.48
OLUSDTSWAP,1440,20250314,030000,0.055493,0.064823,0.055198,0.062716,817320.49
OLUSDTSWAP,1440,20250315,030000,0.062716,0.066999,0.061529,0.066179,934949.31
OLUSDTSWAP,1440,20250316,030000,0.066179,0.066324,0.057328,0.058368,1065230.42
OLUSDTSWAP,1440,20250317,030000,0.058368,0.066337,0.056606,0.064097,1064089.15
OLUSDTSWAP,1440,20250318,030000,0.064114,0.070775,0.056719,0.059351,2324861.16
OLUSDTSWAP,1440,20250319,030000,0.059343,0.060735,0.056851,0.059986,1079600.32
OLUSDTSWAP,1440,20250320,030000,0.060001,0.071908,0.0576,0.062253,4396078.45
OLUSDTSWAP,1440,20250321,030000,0.062218,0.064614,0.0575,0.059568,1712959.84
OLUSDTSWAP,1440,20250322,030000,0.059551,0.061194,0.057,0.058017,993165.38
OLUSDTSWAP,1440,20250323,030000,0.058016,0.05908,0.055035,0.05687,726989.04
OLUSDTSWAP,1440,20250324,030000,0.056883,0.059987,0.056069,0.05937,840137.62
OLUSDTSWAP,1440,20250325,030000,0.059367,0.060176,0.058081,0.058968,827399.24
OLUSDTSWAP,1440,20250326,030000,0.058959,0.061923,0.057735,0.058642,927615.51
OLUSDTSWAP,1440,20250327,030000,0.058639,0.06,0.056043,0.057372,641839.1
OLUSDTSWAP,1440,20250328,030000,0.057378,0.059316,0.054222,0.055813,742941.02
OLUSDTSWAP,1440,20250329,030000,0.055815,0.057461,0.042123,0.044568,1934260.45
OLUSDTSWAP,1440,20250330,030000,0.044569,0.046661,0.043118,0.044873,896074.59
OLUSDTSWAP,1440,20250331,030000,0.044857,0.048206,0.040522,0.047921,1020066.75
OLUSDTSWAP,1440,20250401,030000,0.047921,0.04988,0.043076,0.045456,1448882.09
OLUSDTSWAP,1440,20250402,030000,0.045452,0.045507,0.041315,0.042773,790208.97
OLUSDTSWAP,1440,20250403,030000,0.042773,0.0525,0.040561,0.04294,2486031.56
OLUSDTSWAP,1440,20250404,030000,0.04292,0.04298,0.039378,0.041145,1004780.55
OLUSDTSWAP,1440,20250405,030000,0.041149,0.042236,0.038281,0.039383,468765.83
OLUSDTSWAP,1440,20250406,030000,0.039397,0.039477,0.031273,0.033643,1377862.88
OLUSDTSWAP,1440,20250407,030000,0.033652,0.034739,0.028703,0.032952,1124307.94
OLUSDTSWAP,1440,20250408,030000,0.032955,0.03362,0.027283,0.02795,1538230.29
OLUSDTSWAP,1440,20250409,030000,0.027953,0.031652,0.0272,0.030934,1124989.09
OLUSDTSWAP,1440,20250410,030000,0.030944,0.031445,0.029523,0.03095,582051.44
OLUSDTSWAP,1440,20250411,030000,0.030945,0.034,0.029688,0.030058,858153.99
OLUSDTSWAP,1440,20250412,030000,0.030058,0.032334,0.0285,0.031656,719870.25
OLUSDTSWAP,1440,20250413,030000,0.031654,0.032777,0.026602,0.027859,932004.49
OLUSDTSWAP,1440,20250414,030000,0.027861,0.029325,0.02525,0.027383,1084092.07
OLUSDTSWAP,1440,20250415,030000,0.027387,0.042719,0.026892,0.0368,10465932.74
OLUSDTSWAP,1440,20250416,030000,0.036772,0.049253,0.032388,0.042454,11484475.68
OLUSDTSWAP,1440,20250417,030000,0.042468,0.043839,0.0379,0.042824,5402482.92
OLUSDTSWAP,1440,20250418,030000,0.042809,0.07276,0.042419,0.058715,26877800.43
OLUSDTSWAP,1440,20250419,030000,0.058686,0.063556,0.052342,0.05893,11799505.99
OLUSDTSWAP,1440,20250420,030000,0.058912,0.071999,0.053262,0.060837,12284948.99
OLUSDTSWAP,1440,20250421,030000,0.060802,0.071888,0.058345,0.069349,10701488.3
OLUSDTSWAP,1440,20250422,030000,0.069349,0.082438,0.06753,0.073536,15356639.92
OLUSDTSWAP,1440,20250423,030000,0.073553,0.073761,0.064016,0.070733,5790367.25
OLUSDTSWAP,1440,20250424,030000,0.070714,0.076499,0.066554,0.068917,4157787.46
OLUSDTSWAP,1440,20250425,030000,0.068917,0.075778,0.067612,0.07428,1989287.41
OLUSDTSWAP,1440,20250426,030000,0.074279,0.077979,0.070919,0.07242,1763942.78
OLUSDTSWAP,1440,20250427,030000,0.072429,0.073347,0.059602,0.06181,2292476.28
OLUSDTSWAP,1440,20250428,030000,0.0618,0.06384,0.056105,0.058124,2226241.92
OLUSDTSWAP,1440,20250429,030000,0.058124,0.065351,0.056779,0.060208,1698732.66
OLUSDTSWAP,1440,20250430,030000,0.060181,0.0643,0.05914,0.06192,1114562.47
OLUSDTSWAP,1440,20250501,030000,0.06193,0.06279,0.05983,0.06085,410047.88
OLUSDTSWAP,1440,20250502,030000,0.06084,0.06159,0.05728,0.05994,454328.72
OLUSDTSWAP,1440,20250503,030000,0.05995,0.06245,0.05537,0.05632,573123.62
OLUSDTSWAP,1440,20250504,030000,0.05632,0.05685,0.05065,0.05202,1100550.3
OLUSDTSWAP,1440,20250505,030000,0.05202,0.05252,0.04944,0.05065,700519.47
OLUSDTSWAP,1440,20250506,030000,0.05066,0.0518,0.04602,0.04807,1170774.49
