<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OLUSDTSWAP,60,20250531,190000,0.05311,0.05385,0.05225,0.05294,26122.21
OLUSDTSWAP,60,20250531,200000,0.05293,0.05317,0.05211,0.05244,13072.6
OLUSDTSWAP,60,20250531,210000,0.05241,0.05335,0.05234,0.05308,8473.39
OLUSDTSWAP,60,20250531,220000,0.05307,0.05335,0.05248,0.05261,6178.57
OLUSDTSWAP,60,20250531,230000,0.05264,0.05426,0.05262,0.05418,19505.23
OLUSDTSWAP,60,20250601,000000,0.05419,0.05547,0.05419,0.05511,22451.3
OLUSDTSWAP,60,20250601,010000,0.05512,0.05545,0.05445,0.0547,16812.65
OLUSDTSWAP,60,20250601,020000,0.05468,0.05516,0.05402,0.05459,15805.86
OLUSDTSWAP,60,20250601,030000,0.05457,0.05457,0.05387,0.05404,9370.27
OLUSDTSWAP,60,20250601,040000,0.05406,0.05495,0.0535,0.05388,15895.42
OLUSDTSWAP,60,20250601,050000,0.05384,0.05491,0.05328,0.05462,18273.78
OLUSDTSWAP,60,20250601,060000,0.05462,0.0552,0.05384,0.05492,13071.33
OLUSDTSWAP,60,20250601,070000,0.05488,0.05595,0.05472,0.05568,17828.7
OLUSDTSWAP,60,20250601,080000,0.05569,0.05598,0.05506,0.05528,15461.55
OLUSDTSWAP,60,20250601,090000,0.05527,0.05532,0.05439,0.05472,14905.55
OLUSDTSWAP,60,20250601,100000,0.05471,0.0553,0.05437,0.05502,16828.74
OLUSDTSWAP,60,20250601,110000,0.05502,0.05562,0.0544,0.0554,13712.47
OLUSDTSWAP,60,20250601,120000,0.05544,0.05548,0.05445,0.05521,24503.81
OLUSDTSWAP,60,20250601,130000,0.05516,0.05544,0.05464,0.05538,11271.17
OLUSDTSWAP,60,20250601,140000,0.05537,0.05555,0.0549,0.05538,9380.67
OLUSDTSWAP,60,20250601,150000,0.05538,0.0555,0.0544,0.05498,18801.79
OLUSDTSWAP,60,20250601,160000,0.05498,0.05558,0.05461,0.05504,20278.0
OLUSDTSWAP,60,20250601,170000,0.05504,0.05648,0.05503,0.05609,24875.16
OLUSDTSWAP,60,20250601,180000,0.05606,0.05606,0.0552,0.05538,12001.16
OLUSDTSWAP,60,20250601,190000,0.05539,0.05631,0.05489,0.05569,23032.33
OLUSDTSWAP,60,20250601,200000,0.05569,0.05673,0.05562,0.05596,18532.52
