<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OLUSDTSWAP,3,20250604,172700,0.05813,0.05837,0.05813,0.05833,2043.1
OLUSDTSWAP,3,20250604,173000,0.05835,0.05846,0.05801,0.05817,1260.59
OLUSDTSWAP,3,20250604,173300,0.0582,0.05828,0.05799,0.05807,837.21
OLUSDTSWAP,3,20250604,173600,0.05806,0.0581,0.05794,0.05807,1171.48
OLUSDTSWAP,3,20250604,173900,0.05802,0.05818,0.05797,0.05818,182.36
OLUSDTSWAP,3,20250604,174200,0.05817,0.05817,0.05799,0.05809,468.38
OLUSDTSWAP,3,20250604,174500,0.05807,0.05807,0.05775,0.05786,1672.24
OLUSDTSWAP,3,20250604,174800,0.05791,0.05814,0.05791,0.05792,788.39
OLUSDTSWAP,3,20250604,175100,0.05794,0.05808,0.05793,0.05807,156.44
OLUSDTSWAP,3,20250604,175400,0.05806,0.05821,0.05805,0.05816,812.55
OLUSDTSWAP,3,20250604,175700,0.05814,0.0582,0.05808,0.05813,364.89
OLUSDTSWAP,3,20250604,180000,0.05813,0.05821,0.05793,0.05797,588.04
OLUSDTSWAP,3,20250604,180300,0.05796,0.05801,0.05768,0.05768,1210.96
OLUSDTSWAP,3,20250604,180600,0.05775,0.05805,0.05768,0.05794,1258.83
OLUSDTSWAP,3,20250604,180900,0.05792,0.05812,0.05791,0.05812,340.86
OLUSDTSWAP,3,20250604,181200,0.05813,0.0583,0.05813,0.05828,1340.42
OLUSDTSWAP,3,20250604,181500,0.05823,0.05881,0.05823,0.05873,1895.1
OLUSDTSWAP,3,20250604,181800,0.05878,0.05904,0.05878,0.05889,3178.65
OLUSDTSWAP,3,20250604,182100,0.05892,0.0592,0.05885,0.05905,1416.26
OLUSDTSWAP,3,20250604,182400,0.05905,0.05925,0.05899,0.05904,1729.69
OLUSDTSWAP,3,20250604,182700,0.05905,0.05911,0.0588,0.05885,879.31
OLUSDTSWAP,3,20250604,183000,0.05883,0.05909,0.0587,0.05887,2293.37
OLUSDTSWAP,3,20250604,183300,0.05886,0.05886,0.05845,0.05855,1328.53
OLUSDTSWAP,3,20250604,183600,0.05854,0.05863,0.05817,0.05841,2097.66
OLUSDTSWAP,3,20250604,183900,0.05841,0.05879,0.05839,0.05867,960.79
OLUSDTSWAP,3,20250604,184200,0.05866,0.05869,0.05847,0.05854,1770.59
OLUSDTSWAP,3,20250604,184500,0.05855,0.0587,0.05838,0.0584,1918.51
OLUSDTSWAP,3,20250604,184800,0.05839,0.0585,0.05825,0.05841,754.87
OLUSDTSWAP,3,20250604,185100,0.05841,0.05852,0.05833,0.05846,148.42
OLUSDTSWAP,3,20250604,185400,0.05843,0.0593,0.05841,0.05913,2639.22
OLUSDTSWAP,3,20250604,185700,0.05918,0.05928,0.05887,0.0591,1241.06
OLUSDTSWAP,3,20250604,190000,0.0591,0.0591,0.05859,0.05863,1531.52
OLUSDTSWAP,3,20250604,190300,0.05866,0.05868,0.05842,0.05846,818.07
OLUSDTSWAP,3,20250604,190600,0.05843,0.05843,0.05816,0.05816,1428.96
OLUSDTSWAP,3,20250604,190900,0.05817,0.05832,0.05816,0.05828,395.21
OLUSDTSWAP,3,20250604,191200,0.05831,0.05838,0.05816,0.05817,648.99
OLUSDTSWAP,3,20250604,191500,0.0582,0.05825,0.05811,0.05817,325.69
OLUSDTSWAP,3,20250604,191800,0.05818,0.0585,0.05818,0.0585,255.64
OLUSDTSWAP,3,20250604,192100,0.05849,0.05853,0.05826,0.05831,550.8
OLUSDTSWAP,3,20250604,192400,0.05827,0.05847,0.05823,0.05828,1061.91
OLUSDTSWAP,3,20250604,192700,0.05827,0.05831,0.05807,0.05813,1347.79
OLUSDTSWAP,3,20250604,193000,0.05814,0.0583,0.05812,0.0583,159.07
OLUSDTSWAP,3,20250604,193300,0.05833,0.05838,0.05821,0.05832,459.23
OLUSDTSWAP,3,20250604,193600,0.05832,0.05832,0.05822,0.05827,96.17
OLUSDTSWAP,3,20250604,193900,0.05829,0.0584,0.05824,0.05824,160.76
OLUSDTSWAP,3,20250604,194200,0.05823,0.05825,0.05815,0.05825,156.17
OLUSDTSWAP,3,20250604,194500,0.05825,0.05834,0.05822,0.05822,217.68
OLUSDTSWAP,3,20250604,194800,0.05824,0.05828,0.05821,0.05828,114.79
OLUSDTSWAP,3,20250604,195100,0.0583,0.05834,0.05818,0.05827,346.42
OLUSDTSWAP,3,20250604,195400,0.05819,0.05833,0.05819,0.05833,326.1
OLUSDTSWAP,3,20250604,195700,0.05833,0.05869,0.05827,0.0586,2922.74
OLUSDTSWAP,3,20250604,200000,0.05861,0.05872,0.05823,0.05823,580.41
OLUSDTSWAP,3,20250604,200300,0.05823,0.05827,0.0578,0.05788,2119.92
OLUSDTSWAP,3,20250604,200600,0.05793,0.05797,0.05785,0.05785,187.52
OLUSDTSWAP,3,20250604,200900,0.05785,0.05785,0.05754,0.05761,1147.34
OLUSDTSWAP,3,20250604,201200,0.05756,0.05767,0.05756,0.0576,230.59
OLUSDTSWAP,3,20250604,201500,0.05761,0.05761,0.05733,0.05739,946.99
OLUSDTSWAP,3,20250604,201800,0.05741,0.05759,0.05741,0.05751,379.59
OLUSDTSWAP,3,20250604,202100,0.05756,0.05775,0.05753,0.05772,1167.55
OLUSDTSWAP,3,20250604,202400,0.05772,0.05774,0.05758,0.05765,710.19
OLUSDTSWAP,3,20250604,202700,0.05767,0.05768,0.05756,0.05762,102.77
OLUSDTSWAP,3,20250604,203000,0.05758,0.05762,0.05748,0.05754,387.57
OLUSDTSWAP,3,20250604,203300,0.05755,0.05782,0.05747,0.05779,788.43
OLUSDTSWAP,3,20250604,203600,0.05779,0.05779,0.05758,0.05772,360.15
OLUSDTSWAP,3,20250604,203900,0.05774,0.05792,0.05774,0.0579,126.39
OLUSDTSWAP,3,20250604,204200,0.05787,0.05787,0.05773,0.05773,184.2
OLUSDTSWAP,3,20250604,204500,0.05772,0.05785,0.05772,0.05783,109.67
OLUSDTSWAP,3,20250604,204800,0.05782,0.05799,0.05782,0.05788,97.25
OLUSDTSWAP,3,20250604,205100,0.05781,0.05795,0.05779,0.05788,124.52
OLUSDTSWAP,3,20250604,205400,0.05789,0.05789,0.05779,0.05783,107.33
OLUSDTSWAP,3,20250604,205700,0.05783,0.05786,0.0578,0.05786,223.34
OLUSDTSWAP,3,20250604,210000,0.05786,0.05811,0.05786,0.05797,567.26
OLUSDTSWAP,3,20250604,210300,0.05797,0.0582,0.05797,0.0582,178.55
OLUSDTSWAP,3,20250604,210600,0.0582,0.0582,0.05806,0.05811,681.17
OLUSDTSWAP,3,20250604,210900,0.05807,0.05823,0.05805,0.05821,192.85
OLUSDTSWAP,3,20250604,211200,0.05822,0.05823,0.0581,0.05813,214.02
OLUSDTSWAP,3,20250604,211500,0.05813,0.05829,0.05812,0.05829,218.92
OLUSDTSWAP,3,20250604,211800,0.05824,0.05838,0.05808,0.0583,1076.04
OLUSDTSWAP,3,20250604,212100,0.05833,0.05849,0.05825,0.05825,974.05
OLUSDTSWAP,3,20250604,212400,0.05833,0.05834,0.05824,0.05831,145.82
OLUSDTSWAP,3,20250604,212700,0.05833,0.05882,0.05833,0.05882,932.06
OLUSDTSWAP,3,20250604,213000,0.05883,0.05884,0.05867,0.05872,212.38
OLUSDTSWAP,3,20250604,213300,0.0587,0.0587,0.05848,0.05848,175.51
OLUSDTSWAP,3,20250604,213600,0.05853,0.0586,0.0584,0.05848,175.12
OLUSDTSWAP,3,20250604,213900,0.05847,0.05847,0.0582,0.05823,388.07
OLUSDTSWAP,3,20250604,214200,0.05822,0.05837,0.05822,0.05827,518.57
OLUSDTSWAP,3,20250604,214500,0.05828,0.05833,0.05821,0.05833,55.89
OLUSDTSWAP,3,20250604,214800,0.05833,0.05836,0.05818,0.0582,94.84
OLUSDTSWAP,3,20250604,215100,0.05818,0.05829,0.05813,0.05825,104.78
OLUSDTSWAP,3,20250604,215400,0.05825,0.05825,0.05809,0.05818,94.66
OLUSDTSWAP,3,20250604,215700,0.05818,0.0582,0.05801,0.05801,282.64
OLUSDTSWAP,3,20250604,220000,0.05806,0.05813,0.05806,0.05813,88.83
OLUSDTSWAP,3,20250604,220300,0.05812,0.05814,0.0578,0.0579,1134.62
OLUSDTSWAP,3,20250604,220600,0.05789,0.05798,0.05768,0.05787,733.7
OLUSDTSWAP,3,20250604,220900,0.05789,0.05789,0.05782,0.05789,40.35
OLUSDTSWAP,3,20250604,221200,0.05785,0.05789,0.05785,0.05787,50.91
OLUSDTSWAP,3,20250604,221500,0.05786,0.05793,0.05779,0.05793,119.19
OLUSDTSWAP,3,20250604,221800,0.05793,0.058,0.05793,0.05799,31.69
OLUSDTSWAP,3,20250604,222100,0.05796,0.05804,0.05796,0.05804,51.93
OLUSDTSWAP,3,20250604,222400,0.05804,0.05804,0.05801,0.05801,11.2
