<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OMUSDTSWAP,60,20250531,190000,0.3095,0.3137,0.3082,0.3107,54826.41
OMUSDTSWAP,60,20250531,200000,0.3108,0.3114,0.3078,0.3081,38006.8
OMUSDTSWAP,60,20250531,210000,0.308,0.3119,0.308,0.3112,32077.77
OMUSDTSWAP,60,20250531,220000,0.3112,0.3146,0.3112,0.312,39056.41
OMUSDTSWAP,60,20250531,230000,0.3121,0.3144,0.3095,0.3134,52768.96
OMUSDTSWAP,60,20250601,000000,0.3134,0.3143,0.3111,0.3122,27715.75
OMUSDTSWAP,60,20250601,010000,0.3122,0.3127,0.3081,0.3092,36712.82
OMUSDTSWAP,60,20250601,020000,0.3091,0.3112,0.3072,0.3096,57089.81
OMUSDTSWAP,60,20250601,030000,0.3098,0.3098,0.3027,0.3061,159531.23
OMUSDTSWAP,60,20250601,040000,0.3061,0.3121,0.3051,0.3058,77883.29
OMUSDTSWAP,60,20250601,050000,0.3057,0.3091,0.3013,0.3087,101330.99
OMUSDTSWAP,60,20250601,060000,0.3087,0.3137,0.307,0.3119,84210.83
OMUSDTSWAP,60,20250601,070000,0.3119,0.3145,0.3105,0.3136,72218.57
OMUSDTSWAP,60,20250601,080000,0.3135,0.3145,0.3095,0.3115,62473.9
OMUSDTSWAP,60,20250601,090000,0.3114,0.3127,0.3099,0.3113,42986.03
OMUSDTSWAP,60,20250601,100000,0.3113,0.313,0.3095,0.3109,36382.97
OMUSDTSWAP,60,20250601,110000,0.3109,0.3129,0.3102,0.3117,49166.07
OMUSDTSWAP,60,20250601,120000,0.3118,0.3132,0.3026,0.3055,99005.64
OMUSDTSWAP,60,20250601,130000,0.3055,0.3073,0.3031,0.3053,44920.26
OMUSDTSWAP,60,20250601,140000,0.3053,0.3064,0.3033,0.3043,36865.77
OMUSDTSWAP,60,20250601,150000,0.3043,0.3048,0.3012,0.3045,64347.31
OMUSDTSWAP,60,20250601,160000,0.3045,0.3081,0.3041,0.3063,41394.4
OMUSDTSWAP,60,20250601,170000,0.3063,0.3109,0.3063,0.3088,55803.02
OMUSDTSWAP,60,20250601,180000,0.3088,0.3116,0.3087,0.3114,40241.83
OMUSDTSWAP,60,20250601,190000,0.3114,0.3144,0.3106,0.3122,72116.19
OMUSDTSWAP,60,20250601,200000,0.3122,0.3134,0.3108,0.3127,29799.46
