<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ONEUSDTSWAP,1440,20250225,030000,0.01376,0.01443,0.01303,0.01429,40671.49
ONEUSDTSWAP,1440,20250226,030000,0.0143,0.01487,0.01379,0.01459,17910.99
ONEUSDTSWAP,1440,20250227,030000,0.0146,0.01501,0.01395,0.01453,14561.05
ONEUSDTSWAP,1440,20250228,030000,0.01452,0.01469,0.01303,0.01455,23697.12
ONEUSDTSWAP,1440,20250301,030000,0.01455,0.01466,0.01361,0.01422,14181.04
ONEUSDTSWAP,1440,20250302,030000,0.01423,0.0162,0.01396,0.01609,26221.55
ONEUSDTSWAP,1440,20250303,030000,0.0161,0.01615,0.01324,0.01348,33507.95
ONEUSDTSWAP,1440,20250304,030000,0.01348,0.01362,0.01197,0.01321,31711.89
ONEUSDTSWAP,1440,20250305,030000,0.01321,0.01366,0.01269,0.01347,21104.47
ONEUSDTSWAP,1440,20250306,030000,0.01346,0.01415,0.01318,0.01329,19575.59
ONEUSDTSWAP,1440,20250307,030000,0.0133,0.01378,0.01251,0.01308,28380.47
ONEUSDTSWAP,1440,20250308,030000,0.01308,0.0131,0.01245,0.01263,17138.71
ONEUSDTSWAP,1440,20250309,030000,0.01263,0.01271,0.01135,0.01154,21886.63
ONEUSDTSWAP,1440,20250310,030000,0.01154,0.0123,0.01025,0.01054,30480.06
ONEUSDTSWAP,1440,20250311,030000,0.01055,0.01114,0.00956,0.0108,40001.72
ONEUSDTSWAP,1440,20250312,030000,0.0108,0.01151,0.01043,0.01127,20905.24
ONEUSDTSWAP,1440,20250313,030000,0.01128,0.01134,0.01064,0.01098,15773.62
ONEUSDTSWAP,1440,20250314,030000,0.01098,0.01157,0.0109,0.0112,12861.77
ONEUSDTSWAP,1440,20250315,030000,0.0112,0.01148,0.0111,0.01142,5783.9
ONEUSDTSWAP,1440,20250316,030000,0.01144,0.01145,0.01072,0.01091,18863.27
ONEUSDTSWAP,1440,20250317,030000,0.0109,0.01188,0.01089,0.0115,15144.35
ONEUSDTSWAP,1440,20250318,030000,0.0115,0.0115,0.01102,0.01142,12688.93
ONEUSDTSWAP,1440,20250319,030000,0.01142,0.01235,0.0114,0.01227,17718.36
ONEUSDTSWAP,1440,20250320,030000,0.01226,0.01228,0.01169,0.01178,8142.61
ONEUSDTSWAP,1440,20250321,030000,0.01177,0.01185,0.01124,0.01159,7896.28
ONEUSDTSWAP,1440,20250322,030000,0.01158,0.01223,0.01155,0.01199,7968.31
ONEUSDTSWAP,1440,20250323,030000,0.012,0.012,0.01155,0.01183,4982.08
ONEUSDTSWAP,1440,20250324,030000,0.01183,0.01303,0.0116,0.01279,23834.55
ONEUSDTSWAP,1440,20250325,030000,0.01278,0.01297,0.01258,0.01272,10162.77
ONEUSDTSWAP,1440,20250326,030000,0.01272,0.0134,0.01248,0.01278,17654.02
ONEUSDTSWAP,1440,20250327,030000,0.01278,0.01343,0.01264,0.01282,11058.11
ONEUSDTSWAP,1440,20250328,030000,0.01282,0.01289,0.0115,0.01171,16452.96
ONEUSDTSWAP,1440,20250329,030000,0.01171,0.01176,0.01068,0.01085,14114.17
ONEUSDTSWAP,1440,20250330,030000,0.01085,0.01114,0.01066,0.01082,9899.79
ONEUSDTSWAP,1440,20250331,030000,0.01083,0.01103,0.0104,0.01069,9716.05
ONEUSDTSWAP,1440,20250401,030000,0.01068,0.01135,0.01066,0.01096,9872.38
ONEUSDTSWAP,1440,20250402,030000,0.01096,0.01124,0.01014,0.0103,17745.07
ONEUSDTSWAP,1440,20250403,030000,0.01029,0.01082,0.00995,0.01061,11174.38
ONEUSDTSWAP,1440,20250404,030000,0.01061,0.01092,0.01031,0.01061,10739.42
ONEUSDTSWAP,1440,20250405,030000,0.01061,0.01072,0.01023,0.0104,8104.88
ONEUSDTSWAP,1440,20250406,030000,0.01041,0.01051,0.00897,0.00923,12283.85
ONEUSDTSWAP,1440,20250407,030000,0.00923,0.01002,0.00838,0.00956,22194.59
ONEUSDTSWAP,1440,20250408,030000,0.00956,0.00997,0.00909,0.00913,10673.63
ONEUSDTSWAP,1440,20250409,030000,0.00914,0.01078,0.00886,0.01061,14831.89
ONEUSDTSWAP,1440,20250410,030000,0.01062,0.01066,0.00996,0.01022,10413.14
ONEUSDTSWAP,1440,20250411,030000,0.01022,0.0108,0.01017,0.01053,8499.99
ONEUSDTSWAP,1440,20250412,030000,0.01054,0.01118,0.0104,0.01099,6712.87
ONEUSDTSWAP,1440,20250413,030000,0.01099,0.01108,0.01029,0.01047,9288.35
ONEUSDTSWAP,1440,20250414,030000,0.01047,0.01106,0.01043,0.01061,11411.44
ONEUSDTSWAP,1440,20250415,030000,0.01061,0.01076,0.01007,0.01015,12985.71
ONEUSDTSWAP,1440,20250416,030000,0.01016,0.0104,0.00985,0.01014,10303.45
ONEUSDTSWAP,1440,20250417,030000,0.01015,0.01082,0.01006,0.01073,6875.13
ONEUSDTSWAP,1440,20250418,030000,0.01073,0.01122,0.01061,0.01093,8619.55
