<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ONEUSDTSWAP,60,20250531,190000,0.01191,0.01208,0.01188,0.01201,197.52
ONEUSDTSWAP,60,20250531,200000,0.01202,0.01207,0.01193,0.01195,145.01
ONEUSDTSWAP,60,20250531,210000,0.01194,0.01209,0.01193,0.01208,164.99
ONEUSDTSWAP,60,20250531,220000,0.01209,0.01212,0.01202,0.01206,269.7
ONEUSDTSWAP,60,20250531,230000,0.01205,0.01209,0.01201,0.01209,121.13
ONEUSDTSWAP,60,20250601,000000,0.0121,0.01217,0.01207,0.01211,197.92
ONEUSDTSWAP,60,20250601,010000,0.01212,0.01212,0.01202,0.01203,89.39
ONEUSDTSWAP,60,20250601,020000,0.01202,0.01208,0.01195,0.01197,173.38
ONEUSDTSWAP,60,20250601,030000,0.01197,0.01198,0.01189,0.01194,175.85
ONEUSDTSWAP,60,20250601,040000,0.01194,0.01201,0.01184,0.01185,157.12
ONEUSDTSWAP,60,20250601,050000,0.01187,0.01195,0.01179,0.01191,266.52
ONEUSDTSWAP,60,20250601,060000,0.01191,0.01192,0.01181,0.01189,173.84
ONEUSDTSWAP,60,20250601,070000,0.01188,0.01202,0.01186,0.01199,200.43
ONEUSDTSWAP,60,20250601,080000,0.01199,0.01201,0.01193,0.01199,144.04
ONEUSDTSWAP,60,20250601,090000,0.01199,0.01199,0.0119,0.01191,190.86
ONEUSDTSWAP,60,20250601,100000,0.0119,0.01192,0.01184,0.0119,104.55
ONEUSDTSWAP,60,20250601,110000,0.01189,0.0119,0.01176,0.01182,153.3
ONEUSDTSWAP,60,20250601,120000,0.01183,0.01185,0.0116,0.01167,386.12
ONEUSDTSWAP,60,20250601,130000,0.01167,0.01171,0.01162,0.01171,407.5
ONEUSDTSWAP,60,20250601,140000,0.01171,0.01184,0.01167,0.01178,491.49
ONEUSDTSWAP,60,20250601,150000,0.01178,0.01181,0.01167,0.01171,201.27
ONEUSDTSWAP,60,20250601,160000,0.01171,0.01187,0.01169,0.01182,293.04
ONEUSDTSWAP,60,20250601,170000,0.01183,0.01207,0.01183,0.01201,451.73
ONEUSDTSWAP,60,20250601,180000,0.01202,0.01206,0.01198,0.01203,175.12
ONEUSDTSWAP,60,20250601,190000,0.01202,0.01217,0.012,0.0121,458.36
ONEUSDTSWAP,60,20250601,200000,0.01209,0.01213,0.01205,0.01206,158.13
ONEUSDTSWAP,60,20250601,210000,0.01205,0.01205,0.01183,0.01194,543.33
ONEUSDTSWAP,60,20250601,220000,0.01194,0.01203,0.01192,0.01203,198.38
ONEUSDTSWAP,60,20250601,230000,0.01202,0.01214,0.01199,0.0121,246.46
ONEUSDTSWAP,60,20250602,000000,0.01211,0.0122,0.01209,0.01217,215.16
ONEUSDTSWAP,60,20250602,010000,0.01218,0.01223,0.01215,0.01218,203.67
ONEUSDTSWAP,60,20250602,020000,0.01219,0.0123,0.01218,0.01221,300.3
ONEUSDTSWAP,60,20250602,030000,0.01221,0.01221,0.01214,0.01218,635.53
ONEUSDTSWAP,60,20250602,040000,0.01218,0.01226,0.01212,0.01212,192.52
ONEUSDTSWAP,60,20250602,050000,0.01212,0.01212,0.01197,0.01199,306.83
ONEUSDTSWAP,60,20250602,060000,0.012,0.012,0.0119,0.01194,277.25
ONEUSDTSWAP,60,20250602,070000,0.01194,0.01198,0.01187,0.01188,173.08
ONEUSDTSWAP,60,20250602,080000,0.01188,0.01196,0.01182,0.01189,119.69
ONEUSDTSWAP,60,20250602,090000,0.01189,0.01201,0.01182,0.01196,334.44
ONEUSDTSWAP,60,20250602,100000,0.01197,0.0121,0.01197,0.01208,318.93
ONEUSDTSWAP,60,20250602,110000,0.01208,0.01213,0.01193,0.01195,325.46
ONEUSDTSWAP,60,20250602,120000,0.01195,0.01195,0.0118,0.01184,214.59
ONEUSDTSWAP,60,20250602,130000,0.01184,0.01188,0.01176,0.01185,744.14
ONEUSDTSWAP,60,20250602,140000,0.01185,0.01191,0.01179,0.01187,84.87
ONEUSDTSWAP,60,20250602,150000,0.01188,0.01206,0.01185,0.01206,533.9
ONEUSDTSWAP,60,20250602,160000,0.01206,0.01211,0.01194,0.01195,352.66
ONEUSDTSWAP,60,20250602,170000,0.01194,0.01213,0.01191,0.01205,280.0
ONEUSDTSWAP,60,20250602,180000,0.01206,0.01214,0.01198,0.01209,189.08
ONEUSDTSWAP,60,20250602,190000,0.01209,0.01209,0.01196,0.01206,140.9
ONEUSDTSWAP,60,20250602,200000,0.01206,0.01209,0.01197,0.01207,100.6
ONEUSDTSWAP,60,20250602,210000,0.01208,0.01214,0.01199,0.012,57.08
ONEUSDTSWAP,60,20250602,220000,0.01201,0.01205,0.01185,0.01194,116.04
ONEUSDTSWAP,60,20250602,230000,0.01195,0.01223,0.01195,0.01222,149.91
ONEUSDTSWAP,60,20250603,000000,0.01223,0.01236,0.01223,0.01232,288.52
ONEUSDTSWAP,60,20250603,010000,0.01233,0.01246,0.01232,0.01241,340.36
ONEUSDTSWAP,60,20250603,020000,0.01241,0.01249,0.01239,0.01246,117.82
ONEUSDTSWAP,60,20250603,030000,0.01247,0.01257,0.01243,0.01254,208.9
ONEUSDTSWAP,60,20250603,040000,0.01252,0.01274,0.01252,0.01274,186.67
ONEUSDTSWAP,60,20250603,050000,0.01274,0.01274,0.01252,0.01255,180.74
ONEUSDTSWAP,60,20250603,060000,0.01254,0.01255,0.01241,0.01243,208.15
ONEUSDTSWAP,60,20250603,070000,0.01244,0.01244,0.01231,0.01232,65.24
ONEUSDTSWAP,60,20250603,080000,0.01233,0.01248,0.01232,0.01248,103.36
ONEUSDTSWAP,60,20250603,090000,0.01248,0.01249,0.0124,0.01249,98.62
ONEUSDTSWAP,60,20250603,100000,0.0125,0.0125,0.01242,0.01242,147.45
ONEUSDTSWAP,60,20250603,110000,0.01243,0.01243,0.0123,0.0124,158.93
ONEUSDTSWAP,60,20250603,120000,0.0124,0.0125,0.01235,0.01247,148.55
ONEUSDTSWAP,60,20250603,130000,0.01246,0.0125,0.01244,0.01246,107.88
ONEUSDTSWAP,60,20250603,140000,0.01248,0.01253,0.01245,0.01246,259.43
ONEUSDTSWAP,60,20250603,150000,0.01247,0.01251,0.01241,0.01247,88.95
ONEUSDTSWAP,60,20250603,160000,0.01248,0.01262,0.01245,0.0125,587.41
ONEUSDTSWAP,60,20250603,170000,0.0125,0.01263,0.01237,0.01263,324.1
ONEUSDTSWAP,60,20250603,180000,0.01263,0.01264,0.01253,0.01254,257.0
ONEUSDTSWAP,60,20250603,190000,0.01256,0.01257,0.01248,0.01249,227.07
ONEUSDTSWAP,60,20250603,200000,0.01248,0.01261,0.01248,0.01258,225.83
ONEUSDTSWAP,60,20250603,210000,0.01259,0.01259,0.01243,0.01247,246.58
ONEUSDTSWAP,60,20250603,220000,0.01246,0.01256,0.01246,0.01249,121.11
ONEUSDTSWAP,60,20250603,230000,0.01249,0.0125,0.01224,0.01232,272.01
ONEUSDTSWAP,60,20250604,000000,0.01232,0.01233,0.01209,0.01217,207.75
ONEUSDTSWAP,60,20250604,010000,0.01217,0.01233,0.01214,0.01228,222.48
ONEUSDTSWAP,60,20250604,020000,0.01228,0.01229,0.01222,0.01225,195.07
ONEUSDTSWAP,60,20250604,030000,0.01226,0.01238,0.0122,0.01237,332.01
ONEUSDTSWAP,60,20250604,040000,0.01237,0.01255,0.01237,0.01246,253.57
ONEUSDTSWAP,60,20250604,050000,0.01246,0.01254,0.01237,0.01239,108.31
ONEUSDTSWAP,60,20250604,060000,0.0124,0.01249,0.0124,0.01244,99.86
ONEUSDTSWAP,60,20250604,070000,0.01245,0.01247,0.01239,0.01243,293.65
ONEUSDTSWAP,60,20250604,080000,0.01242,0.01245,0.01237,0.01238,177.53
ONEUSDTSWAP,60,20250604,090000,0.01237,0.0124,0.01229,0.01237,176.58
ONEUSDTSWAP,60,20250604,100000,0.01237,0.01239,0.01228,0.01232,130.21
ONEUSDTSWAP,60,20250604,110000,0.01231,0.01241,0.01231,0.01237,130.72
ONEUSDTSWAP,60,20250604,120000,0.01236,0.01237,0.01222,0.01228,183.73
ONEUSDTSWAP,60,20250604,130000,0.01228,0.01232,0.01217,0.01219,103.86
ONEUSDTSWAP,60,20250604,140000,0.01218,0.01222,0.01209,0.01211,182.97
ONEUSDTSWAP,60,20250604,150000,0.01211,0.01214,0.01197,0.01199,197.22
ONEUSDTSWAP,60,20250604,160000,0.01198,0.01209,0.01194,0.01199,141.84
ONEUSDTSWAP,60,20250604,170000,0.01198,0.01211,0.01188,0.0121,197.21
ONEUSDTSWAP,60,20250604,180000,0.0121,0.01233,0.01209,0.01231,543.02
ONEUSDTSWAP,60,20250604,190000,0.01231,0.01231,0.01221,0.01224,135.48
ONEUSDTSWAP,60,20250604,200000,0.01225,0.01226,0.01201,0.01207,252.56
