<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ONEUSDTSWAP,3,20250604,172700,0.01197,0.01197,0.01196,0.01197,9.0
ONEUSDTSWAP,3,20250604,173000,0.01197,0.01198,0.01197,0.01198,2.31
ONEUSDTSWAP,3,20250604,173300,0.01199,0.01201,0.01199,0.01199,31.61
ONEUSDTSWAP,3,20250604,173600,0.01198,0.01199,0.01197,0.01197,9.81
ONEUSDTSWAP,3,20250604,173900,0.01198,0.01199,0.01198,0.01199,0.11
ONEUSDTSWAP,3,20250604,174200,0.01199,0.01199,0.01198,0.01199,0.38
ONEUSDTSWAP,3,20250604,174500,0.012,0.01202,0.012,0.01202,2.44
ONEUSDTSWAP,3,20250604,174800,0.01203,0.01204,0.01202,0.01202,2.01
ONEUSDTSWAP,3,20250604,175100,0.01202,0.01202,0.01201,0.01202,15.49
ONEUSDTSWAP,3,20250604,175400,0.01203,0.01206,0.01203,0.01205,0.95
ONEUSDTSWAP,3,20250604,175700,0.01206,0.01211,0.01206,0.0121,6.52
ONEUSDTSWAP,3,20250604,180000,0.0121,0.01211,0.01209,0.01209,9.63
ONEUSDTSWAP,3,20250604,180300,0.01209,0.0121,0.01209,0.01209,20.29
ONEUSDTSWAP,3,20250604,180600,0.0121,0.01214,0.0121,0.0121,39.24
ONEUSDTSWAP,3,20250604,180900,0.0121,0.01211,0.0121,0.01211,22.58
ONEUSDTSWAP,3,20250604,181200,0.01211,0.01217,0.0121,0.01212,100.69
ONEUSDTSWAP,3,20250604,181500,0.01212,0.0122,0.01212,0.01218,52.64
ONEUSDTSWAP,3,20250604,181800,0.01218,0.01219,0.01218,0.01218,5.33
ONEUSDTSWAP,3,20250604,182100,0.01217,0.0122,0.01216,0.0122,35.68
ONEUSDTSWAP,3,20250604,182400,0.0122,0.0122,0.01218,0.01219,21.95
ONEUSDTSWAP,3,20250604,182700,0.01219,0.01221,0.01219,0.01219,29.02
ONEUSDTSWAP,3,20250604,183000,0.0122,0.01222,0.01219,0.01222,31.24
ONEUSDTSWAP,3,20250604,183300,0.01222,0.01223,0.01222,0.01222,24.4
ONEUSDTSWAP,3,20250604,183600,0.01223,0.01227,0.01223,0.01227,33.71
ONEUSDTSWAP,3,20250604,183900,0.01227,0.0123,0.01227,0.0123,16.44
ONEUSDTSWAP,3,20250604,184200,0.0123,0.01233,0.01229,0.0123,24.8
ONEUSDTSWAP,3,20250604,184500,0.01231,0.01232,0.01229,0.01229,31.86
ONEUSDTSWAP,3,20250604,184800,0.01229,0.0123,0.01228,0.0123,18.64
ONEUSDTSWAP,3,20250604,185100,0.01229,0.01231,0.01229,0.01231,24.87
ONEUSDTSWAP,3,20250604,185400,0.01231,0.01233,0.01231,0.01233,0.95
ONEUSDTSWAP,3,20250604,185700,0.01232,0.01232,0.01229,0.01231,2.6
ONEUSDTSWAP,3,20250604,190000,0.01231,0.01231,0.01228,0.01229,6.16
ONEUSDTSWAP,3,20250604,190300,0.01229,0.0123,0.01228,0.01228,6.87
ONEUSDTSWAP,3,20250604,190600,0.01228,0.01229,0.01225,0.01226,19.0
ONEUSDTSWAP,3,20250604,190900,0.01226,0.0123,0.01226,0.0123,0.49
ONEUSDTSWAP,3,20250604,191200,0.01229,0.0123,0.01229,0.0123,2.63
ONEUSDTSWAP,3,20250604,191500,0.01228,0.01229,0.01225,0.01225,0.99
ONEUSDTSWAP,3,20250604,191800,0.01226,0.01227,0.01224,0.01227,17.11
ONEUSDTSWAP,3,20250604,192100,0.01228,0.01228,0.01225,0.01226,6.25
ONEUSDTSWAP,3,20250604,192400,0.01225,0.01226,0.01223,0.01223,6.92
ONEUSDTSWAP,3,20250604,192700,0.01224,0.01225,0.01223,0.01224,9.66
ONEUSDTSWAP,3,20250604,193000,0.01224,0.01224,0.01224,0.01224,9.39
ONEUSDTSWAP,3,20250604,193300,0.01224,0.01225,0.01224,0.01225,13.35
ONEUSDTSWAP,3,20250604,193600,0.01224,0.01224,0.01223,0.01224,0.28
ONEUSDTSWAP,3,20250604,193900,0.01225,0.01227,0.01225,0.01227,4.3
ONEUSDTSWAP,3,20250604,194200,0.01225,0.01225,0.01222,0.01224,4.47
ONEUSDTSWAP,3,20250604,194500,0.01223,0.01223,0.01221,0.01222,0.49
ONEUSDTSWAP,3,20250604,194800,0.01222,0.01225,0.01221,0.01225,17.22
ONEUSDTSWAP,3,20250604,195100,0.01223,0.01224,0.01223,0.01224,1.37
ONEUSDTSWAP,3,20250604,195400,0.01226,0.01227,0.01224,0.01224,7.93
ONEUSDTSWAP,3,20250604,195700,0.01224,0.01224,0.01224,0.01224,0.01
ONEUSDTSWAP,3,20250604,200000,0.01225,0.01226,0.01223,0.01224,13.4
ONEUSDTSWAP,3,20250604,200300,0.01223,0.01223,0.01219,0.01219,6.64
ONEUSDTSWAP,3,20250604,200600,0.01219,0.01219,0.01216,0.01217,9.75
ONEUSDTSWAP,3,20250604,200900,0.01217,0.01217,0.01214,0.01214,1.05
ONEUSDTSWAP,3,20250604,201200,0.01214,0.01215,0.01214,0.01215,1.55
ONEUSDTSWAP,3,20250604,201500,0.01215,0.01215,0.01212,0.01213,24.02
ONEUSDTSWAP,3,20250604,201800,0.01214,0.01214,0.01214,0.01214,7.42
ONEUSDTSWAP,3,20250604,202100,0.01213,0.01214,0.01213,0.01214,0.29
ONEUSDTSWAP,3,20250604,202400,0.01213,0.01213,0.0121,0.01211,15.39
ONEUSDTSWAP,3,20250604,202700,0.01211,0.01211,0.01207,0.01207,6.68
ONEUSDTSWAP,3,20250604,203000,0.01206,0.01206,0.01203,0.01203,56.09
ONEUSDTSWAP,3,20250604,203300,0.01204,0.01205,0.01201,0.01205,64.75
ONEUSDTSWAP,3,20250604,203600,0.01204,0.01204,0.01202,0.01204,14.23
ONEUSDTSWAP,3,20250604,203900,0.01204,0.01206,0.01203,0.01205,9.48
ONEUSDTSWAP,3,20250604,204200,0.01205,0.01205,0.01204,0.01204,2.35
ONEUSDTSWAP,3,20250604,204500,0.01204,0.01205,0.01203,0.01203,8.78
ONEUSDTSWAP,3,20250604,204800,0.01203,0.01206,0.01203,0.01203,5.58
ONEUSDTSWAP,3,20250604,205100,0.01204,0.01206,0.01204,0.01206,1.04
ONEUSDTSWAP,3,20250604,205400,0.01207,0.01207,0.01206,0.01206,0.04
ONEUSDTSWAP,3,20250604,205700,0.01207,0.01207,0.01206,0.01207,0.7
ONEUSDTSWAP,3,20250604,210000,0.01207,0.01208,0.01205,0.01206,18.27
ONEUSDTSWAP,3,20250604,210300,0.01207,0.01208,0.01207,0.01208,1.16
ONEUSDTSWAP,3,20250604,210600,0.01207,0.01208,0.01206,0.01206,9.23
ONEUSDTSWAP,3,20250604,210900,0.01204,0.01206,0.01204,0.01206,22.77
ONEUSDTSWAP,3,20250604,211200,0.01205,0.01205,0.01205,0.01205,3.6
ONEUSDTSWAP,3,20250604,211500,0.01206,0.01207,0.01206,0.01207,13.91
ONEUSDTSWAP,3,20250604,211800,0.01206,0.01207,0.01206,0.01207,12.23
ONEUSDTSWAP,3,20250604,212100,0.01207,0.01208,0.01207,0.01208,17.92
ONEUSDTSWAP,3,20250604,212400,0.01208,0.01208,0.01208,0.01208,1.08
ONEUSDTSWAP,3,20250604,212700,0.01209,0.0121,0.01209,0.0121,14.04
ONEUSDTSWAP,3,20250604,213000,0.01209,0.0121,0.01208,0.01209,6.73
ONEUSDTSWAP,3,20250604,213300,0.01209,0.01209,0.01208,0.01208,6.67
ONEUSDTSWAP,3,20250604,213600,0.01207,0.01207,0.01207,0.01207,3.34
ONEUSDTSWAP,3,20250604,213900,0.01207,0.01207,0.01207,0.01207,1.17
ONEUSDTSWAP,3,20250604,214200,0.01207,0.01209,0.01207,0.01209,8.45
ONEUSDTSWAP,3,20250604,214500,0.01208,0.01208,0.01207,0.01208,4.54
ONEUSDTSWAP,3,20250604,214800,0.01208,0.01208,0.01207,0.01207,0.12
ONEUSDTSWAP,3,20250604,215100,0.01205,0.01206,0.01204,0.01205,29.11
ONEUSDTSWAP,3,20250604,215400,0.01204,0.01204,0.01202,0.01202,5.55
ONEUSDTSWAP,3,20250604,215700,0.01203,0.01204,0.01199,0.01201,21.93
ONEUSDTSWAP,3,20250604,220000,0.012,0.012,0.012,0.012,15.38
ONEUSDTSWAP,3,20250604,220300,0.012,0.01201,0.012,0.01201,7.09
ONEUSDTSWAP,3,20250604,220600,0.01201,0.01201,0.01197,0.01198,12.89
ONEUSDTSWAP,3,20250604,220900,0.01198,0.01198,0.01196,0.01197,0.87
ONEUSDTSWAP,3,20250604,221200,0.01198,0.01198,0.01196,0.01197,2.92
ONEUSDTSWAP,3,20250604,221500,0.01197,0.01197,0.01193,0.01194,2.11
ONEUSDTSWAP,3,20250604,221800,0.01195,0.01198,0.01195,0.01197,3.76
ONEUSDTSWAP,3,20250604,222100,0.01197,0.012,0.01197,0.01198,11.67
ONEUSDTSWAP,3,20250604,222400,0.01198,0.01198,0.01198,0.01198,2.47
