<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OPUSDTSWAP,1440,20250225,030000,1.0031,1.0935,0.932,1.0787,59051955.33
OPUSDTSWAP,1440,20250226,030000,1.0787,1.1795,1.0519,1.1565,38936821.0
OPUSDTSWAP,1440,20250227,030000,1.1566,1.2089,1.0733,1.1075,45465951.78
OPUSDTSWAP,1440,20250228,030000,1.1075,1.1147,1.017,1.0805,59621622.36
OPUSDTSWAP,1440,20250301,030000,1.0806,1.1003,1.0245,1.0426,33071322.12
OPUSDTSWAP,1440,20250302,030000,1.0426,1.1798,1.0324,1.1691,45644515.04
OPUSDTSWAP,1440,20250303,030000,1.1692,1.1722,0.961,0.9845,48557970.37
OPUSDTSWAP,1440,20250304,030000,0.9844,0.9903,0.8737,0.942,73109881.87
OPUSDTSWAP,1440,20250305,030000,0.9419,1.0071,0.9233,0.9871,34001143.24
OPUSDTSWAP,1440,20250306,030000,0.9869,1.0449,0.9543,0.9543,32046818.13
OPUSDTSWAP,1440,20250307,030000,0.9544,1.0016,0.9117,0.9573,43558613.67
OPUSDTSWAP,1440,20250308,030000,0.9573,0.963,0.9174,0.9358,17872935.55
OPUSDTSWAP,1440,20250309,030000,0.9359,0.9408,0.8407,0.8485,25611279.73
OPUSDTSWAP,1440,20250310,030000,0.8486,0.9323,0.8007,0.8032,39540766.49
OPUSDTSWAP,1440,20250311,030000,0.8034,0.8812,0.7409,0.8521,44338854.65
OPUSDTSWAP,1440,20250312,030000,0.852,0.8842,0.8103,0.8784,29854960.12
OPUSDTSWAP,1440,20250313,030000,0.8783,0.8867,0.8202,0.8368,52574854.44
OPUSDTSWAP,1440,20250314,030000,0.8369,0.8917,0.8332,0.8671,17469699.16
OPUSDTSWAP,1440,20250315,030000,0.8672,0.8958,0.8597,0.887,14021918.97
OPUSDTSWAP,1440,20250316,030000,0.887,0.8919,0.8207,0.8306,22368935.45
